DateTime,Entries,UniqueIPs
1514140946,9665,9665
1514141786,9669,9669
1514142637,9665,9665
1514143471,9668,9668
1514144444,9668,9668
1514145332,9670,9670
1514146470,9672,9672
1514148476,9666,9666
1514149281,9661,9661
1514150133,9660,9660
1514151633,9651,9651
1514152532,9647,9647
1514153385,9637,9637
1514155535,9624,9624
1514157038,9611,9611
1514158239,9606,9606
1514159133,9601,9601
1514160643,9593,9593
1514162548,9585,9585
1514164470,9584,9584
1514165311,9587,9587
1514166344,9572,9572
1514166991,9586,9586
1514168073,9594,9594
1514169634,9591,9591
1514170504,9592,9592
1514171681,9577,9577
1514173361,9567,9567
1514174486,9566,9566
1514175346,9568,9568
1514176233,9561,9561
1514176964,9556,9556
1514177787,9561,9561
1514178639,9557,9557
1514179712,9563,9563
1514180546,9554,9554
1514182468,9567,9567
1514183467,9561,9561
1514184339,9566,9566
1514184987,9569,9569
1514186071,9570,9570
1514186918,9577,9577
1514187933,9581,9581
1514189443,9572,9572
1514190520,9574,9574
1514191539,9563,9563
1514192187,9567,9567
1514193039,9561,9561
1514194003,9568,9568
1514194954,9566,9566
1514195789,9570,9570
1514196645,9574,9574
1514197528,9577,9577
1514198434,9572,9572
1514199331,9570,9570
1514200474,9566,9566
1514201443,9568,9568
1514202329,9569,9569
1514204069,9579,9579
1514205454,9582,9582
1514206595,9580,9580
1514207392,9568,9568
1514208511,9574,9574
1514209359,9570,9570
1514210927,9566,9566
1514212938,8244,8244
1514214079,9558,9558
1514214937,9560,9560
1514215815,9557,9557
1514216553,9558,9558
1514218838,9568,9568
1514219868,9565,9565
1514220933,8244,8244
1514222067,9573,9573
1514223034,9579,9579
1514223753,9582,9582
1514225436,9584,9584
1514226332,9586,9586
1514227243,9577,9577
1514228132,9578,9578
1514229035,9579,9579
1514230241,9581,9581
1514231136,9582,9582
1514232619,8244,8244
1514233725,9585,9585
1514234553,9580,9580
1514236733,9586,9586
1514238041,9585,9585
1514239836,9584,9584
1514240734,9582,9582
1514242183,9581,9581
1514243211,9570,9570
1514244042,9567,9567
1514245531,9576,9576
1514247335,9580,9580
1514248243,9579,9579
1514249140,9582,9582
1514250207,9583,9583
1514251244,9585,9585
1514252441,9583,9583
1514253335,9583,9583
1514254237,9583,9583
1514255311,9584,9584
1514256241,9579,9579
1514256985,9580,9580
1514257834,8244,8244
1514258826,9572,9572
1514259752,9569,9569
1514261442,9564,9564
1514262500,9564,9564
1514265042,9563,9563
1514266112,9564,9564
1514266946,9562,9562
1514268641,9554,9554
1514269711,9557,9557
1514270551,9547,9547
