DateTime,Entries,UniqueIPs
1513809946,105,105
1513811443,104,104
1513812649,100,100
1513813362,98,98
1513814198,99,99
1513815033,98,98
1513816911,98,98
1513818641,97,97
1513820743,99,99
1513822103,100,100
1513823431,103,103
1513833085,103,103
1513834967,105,105
1513836514,104,104
1513838563,104,104
1513840476,103,103
1513841457,102,102
1513843040,103,103
1513844088,109,109
1513845339,108,108
1513846594,110,110
1513847442,109,109
1513849358,107,107
1513852118,108,108
1513852954,107,107
1513854647,106,106
1513855721,107,107
1513856759,108,108
1513857990,106,106
1513860161,107,107
1513861736,109,109
1513863057,111,111
1513865429,123,123
1513866519,124,124
1513867552,125,125
1513871146,122,122
1513872645,121,121
1513873855,120,120
1513874740,119,119
1513876485,118,118
1513877318,120,120
1513878645,122,122
1513879846,120,120
1513880746,121,121
1513881642,121,121
1513883683,119,119
1513885234,120,120
1513890642,121,121
1513892450,121,121
1513893399,124,124
1513894476,122,122
1513896168,123,123
1513899048,122,122
1513899901,123,123
1513901270,124,124
1513903249,127,127
1513905273,125,125
1513906224,124,124
1513909861,124,124
1513912240,123,123
1513914155,123,123
1513916072,121,121
1513917014,120,120
1513917741,121,121
1513919442,122,122
1513920516,125,125
1513921556,124,124
1513923042,122,122
1513924958,122,122
1513926647,122,122
1513927836,122,122
1513930242,118,118
1513931122,124,124
1513932042,123,123
1513933842,125,125
1513934920,126,126
1513936232,124,124
1513938518,126,126
1513939543,127,127
1513942843,125,125
1513944107,126,126
1513944944,128,128
1513947031,128,128
1513948243,126,126
1513949448,127,127
1513950362,131,131
1513955680,129,129
1513959040,128,128
1513961145,127,127
1513962639,127,127
1513964449,130,130
1513968349,127,127
1513970448,130,130
1513971753,129,129
1513973441,127,127
1513976156,132,132
1513977055,133,133
1513978122,134,134
1513978951,135,135
1513980644,136,136
1513982556,137,137
1513984481,136,136
1513985322,137,137
1513986906,139,139
1513987843,137,137
1513988733,138,138
1513989649,139,139
1513991441,141,141
1513992648,136,136
1513994756,135,135
1513995649,136,136
1513996957,138,138
1513997801,142,142
1514002245,142,142
1514004045,143,143
1514005840,143,143
1514007751,143,143
1514008887,144,144
1514009745,146,146
1514012487,144,144
1514013345,146,146
1514014961,142,142
1514016524,142,142
1514020248,143,143
1514022048,144,144
1514024731,146,146
1514025768,147,147
1514026862,144,144
1514027738,146,146
1514029763,145,145
1514031313,144,144
1514033150,143,143
1514034640,135,135
1514035537,137,137
1514036400,132,132
1514038245,133,133
1514039048,135,135
1514040252,136,136
1514041175,137,137
1514043654,136,136
1514045445,137,137
1514047351,140,140
1514049043,139,139
1514050847,138,138
1514053719,137,137
1514056470,138,138
1514057445,139,139
1514061759,134,134
1514062593,137,137
1514063688,134,134
1514067932,135,135
1514068844,134,134
1514070880,134,134
1514075101,135,135
1514076151,136,136
1514078089,137,137
1514078918,138,138
1514079751,139,139
1514081445,140,140
1514082291,141,141
1514085276,143,143
1514089864,144,144
1514091034,145,145
1514092241,146,146
1514096451,147,147
1514097352,148,148
1514098418,149,149
1514100936,148,148
1514104968,148,148
1514106882,149,149
1514107844,142,142
1514110241,143,143
1514111316,144,144
1514112341,145,145
1514113843,146,146
1514115341,149,149
1514117445,150,150
1514118646,152,152
1514120197,151,151
1514122252,153,153
1514125809,128,128
1514129210,127,127
1514130049,127,127
1514132072,128,128
1514133757,123,123
1514140951,121,121
1514141791,122,122
1514144449,117,117
1514145337,118,118
1514146475,117,117
1514148481,114,114
1514149286,111,111
1514151638,110,110
1514152537,111,111
1514155540,108,108
1514157043,107,107
1514158244,105,105
1514159138,102,102
1514160648,99,99
1514162553,99,99
1514164476,100,100
1514165316,102,102
1514166352,99,99
1514168082,95,95
1514169639,96,96
1514171686,95,95
1514173368,90,90
1514174498,89,89
1514176240,89,89
1514176969,90,90
1514178644,88,88
1514180551,88,88
1514183489,86,86
1514184344,84,84
1514186076,83,83
1514186923,82,82
1514189448,84,84
1514191545,82,82
1514194959,78,78
1514196650,77,77
1514198439,75,75
1514200483,76,76
1514201447,75,75
1514202334,75,75
1514205459,74,74
1514207398,73,73
1514208516,74,74
1514209364,72,72
1514210932,73,73
1514214084,72,72
1514214942,71,71
1514215828,67,67
1514216558,68,68
1514218843,70,70
1514219895,72,72
1514222072,73,73
1514223043,74,74
1514223757,75,75
1514225441,77,77
