DateTime,AddedIPs,RemovedIPs
1514119554,2,0
1514120202,1,0
1514121049,2,4
1514122258,0,2
1514123742,4,0
1514124646,2,0
1514125815,2,3
1514126747,4,1
1514129215,7,3
1514130054,0,4
1514130996,2,0
1514132077,4,2
1514132931,5,0
1514133762,2,5
1514134638,2,0
1514135684,1,2
1514136660,3,2
1514137356,2,0
1514139278,1,0
1514140957,7,5
1514141797,2,0
1514142647,1,6
1514143490,2,0
1514144454,3,4
1514145342,1,0
1514146481,3,1
1514148498,2,5
1514149294,1,6
1514150149,0,2
1514151643,0,10
1514152542,0,3
1514153396,0,10
1514155545,1,14
1514157049,2,14
1514158250,0,6
1514159143,2,6
1514160653,3,10
1514162558,9,15
1514164483,3,6
1514165323,4,2
1514166357,4,19
1514167001,14,1
1514168088,17,8
1514169644,7,12
1514170515,5,5
1514171691,1,16
1514173373,10,16
1514174508,7,7
1514175360,5,3
1514176246,8,14
1514176974,2,7
1514177797,8,3
1514178649,5,7
1514179724,7,2
1514180556,5,10
1514182483,19,6
1514183499,3,8
1514184353,8,3
1514184997,4,1
1514186081,9,8
1514186933,10,4
1514187944,9,4
1514189453,7,16
1514190531,6,5
1514191551,3,12
1514192197,8,4
1514193050,2,8
1514194014,9,3
1514194965,8,9
1514195800,4,2
1514196655,5,2
1514197539,8,4
1514198444,6,8
1514199343,3,5
1514200489,5,11
1514201453,10,7
1514202339,9,10
1514204081,16,8
1514205510,8,5
1514206605,5,6
1514207418,5,16
1514208521,11,5
1514209369,4,6
1514210937,4,8
1514212952,7,13
1514214092,6,10
1514214953,6,3
1514215834,4,4
1514216563,1,2
1514218849,13,3
1514219906,6,10
1514220945,6,0
1514222078,7,7
1514223048,7,1
1514223763,4,1
1514225447,2,2
1514226342,1,0
1514227255,1,8
1514228142,2,1
1514229045,3,5
1514230252,7,2
1514231146,2,0
1514232631,2,6
1514233735,6,0
1514234563,1,3
1514235908,3,0
1514238051,2,2
1514239846,9,13
1514240745,3,6
1514242195,5,4
1514243222,6,16
1514244052,5,7
1514245535,11,5
1514247345,10,5
1514248257,3,4
1514249152,3,0
1514250235,2,3
1514251255,2,0
1514252451,4,2
1514253345,1,1
1514254247,1,2
1514255322,2,1
1514256266,1,2
1514257841,0,2
1514258867,1,7
1514262510,0,2
1514265052,3,2
1514266122,1,2
1514266956,3,5
1514268652,6,11
1514269722,2,1
1514270561,3,14
1514272250,3,3
1514273455,1,1
1514274157,1,0
1514274973,5,1
1514275847,3,1
1514277582,3,4
1514278548,1,0
1514279456,0,3
1514280639,1,0
1514281357,1,1
1514283286,3,3
1514284249,0,2
1514285146,1,0
1514285796,0,1
1514286648,0,3
1514287568,2,0
1514288454,1,3
1514289337,1,1
1514290246,1,2
1514291446,2,4
1514292523,0,1
1514293723,0,2
1514296320,3,7
1514297451,1,12
1514299250,0,5
1514300488,0,1
1514301350,3,1
1514302560,1,9
1514303739,7,20
1514304652,12,3
1514305651,10,0
1514306557,14,3
1514307589,11,6
1514308553,12,2
1514310156,0,11
1514311844,0,2
1514313970,8,4
1514315659,6,3
1514316664,1,1
1514317357,3,2
1514319291,8,5
1514320548,11,5
1514322648,2,5
1514323865,11,3
1514324745,1,1
1514325396,2,3
1514326251,10,1
1514327448,9,1
1514329848,0,9
1514331035,4,4
1514331774,3,1
1514333439,11,9
1514335344,4,15
1514337047,6,21
1514337933,7,1
1514338963,2,7
1514340653,0,7
1514341853,2,0
1514342721,2,1
1514344481,3,3
1514346054,7,6
1514346949,12,1
1514347849,2,4
1514348743,2,1
1514349652,4,2
1514351446,5,5
1514352658,1,5
1514354196,2,1
1514355044,0,4
1514356102,1,3
1514357156,7,6
1514358574,11,6
1514359722,7,0
1514360552,0,4
1514362047,4,3
1514362855,8,1
1514364038,4,5
1514366084,5,6
1514367051,9,4
1514368337,5,4
1514369452,2,7
1514370518,6,1
1514371380,9,10
1514372942,5,3
1514373851,2,1
1514374850,1,7
1514375811,1,1
1514376888,1,5
1514377722,4,1
1514378554,6,11
1514380486,11,3
1514381531,3,5
1514384083,6,5
1514385754,6,8
1514387683,1,0
1514388520,1,0
1514389355,2,6
1514390390,0,7
1514391311,2,0
1514392123,4,0
1514394875,10,11
1514395718,5,0
1514396744,1,4
1514398487,1,8
1514399461,4,7
1514400155,2,5
1514401180,2,4
1514402080,2,0
1514402919,4,0
1514403946,7,4
1514404924,6,3
1514405748,2,0
1514406614,2,5
1514407356,1,3
1514408197,9,0
1514409280,3,5
1514410126,2,0
1514410955,2,5
1514412652,5,6
1514413554,1,0
