DateTime,Entries,UniqueIPs
1514119554,1207,1207
1514120202,1208,1208
1514121049,1206,1206
1514122258,1204,1204
1514123742,1208,1208
1514124646,1210,1210
1514125815,1209,1209
1514126747,1212,1212
1514129215,1216,1216
1514130054,1212,1212
1514130996,1214,1214
1514132077,1216,1216
1514132931,1221,1221
1514133762,1218,1218
1514134638,1220,1220
1514135684,1219,1219
1514136660,1220,1220
1514137356,1222,1222
1514139278,1223,1223
1514140957,1225,1225
1514141797,1227,1227
1514142647,1222,1222
1514143490,1224,1224
1514144454,1223,1223
1514145342,1224,1224
1514146481,1226,1226
1514148498,1223,1223
1514149294,1218,1218
1514150149,1216,1216
1514151643,1206,1206
1514152542,1203,1203
1514153396,1193,1193
1514155545,1180,1180
1514157049,1168,1168
1514158250,1162,1162
1514159143,1158,1158
1514160653,1151,1151
1514162558,1145,1145
1514164483,1142,1142
1514165323,1144,1144
1514166357,1129,1129
1514167001,1142,1142
1514168088,1151,1151
1514169644,1146,1146
1514170515,1146,1146
1514171691,1131,1131
1514173373,1125,1125
1514174508,1125,1125
1514175360,1127,1127
1514176246,1121,1121
1514176974,1116,1116
1514177797,1121,1121
1514178649,1119,1119
1514179724,1124,1124
1514180556,1119,1119
1514182483,1132,1132
1514183499,1127,1127
1514184353,1132,1132
1514184997,1135,1135
1514186081,1136,1136
1514186933,1142,1142
1514187944,1147,1147
1514189453,1138,1138
1514190531,1139,1139
1514191551,1130,1130
1514192197,1134,1134
1514193050,1128,1128
1514194014,1134,1134
1514194965,1133,1133
1514195800,1135,1135
1514196655,1138,1138
1514197539,1142,1142
1514198444,1140,1140
1514199343,1138,1138
1514200489,1132,1132
1514201453,1135,1135
1514202339,1134,1134
1514204081,1142,1142
1514205510,1145,1145
1514206605,1144,1144
1514207418,1133,1133
1514208521,1139,1139
1514209369,1137,1137
1514210937,1133,1133
1514212952,1127,1127
1514214092,1123,1123
1514214953,1126,1126
1514215834,1126,1126
1514216563,1125,1125
1514218849,1135,1135
1514219906,1131,1131
1514220945,1137,1137
1514222078,1137,1137
1514223048,1143,1143
1514223763,1146,1146
1514225447,1146,1146
1514226342,1147,1147
1514227255,1140,1140
1514228142,1141,1141
1514229045,1139,1139
1514230252,1144,1144
1514231146,1146,1146
1514232631,1142,1142
1514233735,1148,1148
1514234563,1146,1146
1514235908,1149,1149
1514238051,1149,1149
1514239846,1145,1145
1514240745,1142,1142
1514242195,1143,1143
1514243222,1133,1133
1514244052,1131,1131
1514245535,1137,1137
1514247345,1142,1142
1514248257,1141,1141
1514249152,1144,1144
1514250235,1143,1143
1514251255,1145,1145
1514252451,1147,1147
1514253345,1147,1147
1514254247,1146,1146
1514255322,1147,1147
1514256266,1146,1146
1514257841,1144,1144
1514258867,1138,1138
1514262510,1136,1136
1514265052,1137,1137
1514266122,1136,1136
1514266956,1134,1134
1514268652,1129,1129
1514269722,1130,1130
1514270561,1119,1119
1514272250,1119,1119
1514273455,1119,1119
1514274157,1120,1120
1514274973,1124,1124
1514275847,1126,1126
1514277582,1125,1125
1514278548,1126,1126
1514279456,1123,1123
1514280639,1124,1124
1514281357,1124,1124
1514283286,1124,1124
1514284249,1122,1122
1514285146,1123,1123
1514285796,1122,1122
1514286648,1119,1119
1514287568,1121,1121
1514288454,1119,1119
1514289337,1119,1119
1514290246,1118,1118
1514291446,1116,1116
1514292523,1115,1115
1514293723,1113,1113
1514296320,1109,1109
1514297451,1098,1098
1514299250,1093,1093
1514300488,1092,1092
1514301350,1094,1094
1514302560,1086,1086
1514303739,1073,1073
1514304652,1082,1082
1514305651,1092,1092
1514306557,1103,1103
1514307589,1108,1108
1514308553,1118,1118
1514310156,1107,1107
1514311844,1105,1105
1514313970,1109,1109
1514315659,1112,1112
1514316664,1112,1112
1514317357,1113,1113
1514319291,1116,1116
1514320548,1122,1122
1514322648,1119,1119
1514323865,1127,1127
1514324745,1127,1127
1514325396,1126,1126
1514326251,1135,1135
1514327448,1143,1143
1514329848,1134,1134
1514331035,1134,1134
1514331774,1136,1136
1514333439,1138,1138
1514335344,1127,1127
1514337047,1112,1112
1514337933,1118,1118
1514338963,1113,1113
1514340653,1106,1106
1514341853,1108,1108
1514342721,1109,1109
1514344481,1109,1109
1514346054,1110,1110
1514346949,1121,1121
1514347849,1119,1119
1514348743,1120,1120
1514349652,1122,1122
1514351446,1122,1122
1514352658,1118,1118
1514354196,1119,1119
1514355044,1115,1115
1514356102,1113,1113
1514357156,1114,1114
1514358574,1119,1119
1514359722,1126,1126
1514360552,1122,1122
1514362047,1123,1123
1514362855,1130,1130
1514364038,1129,1129
1514366084,1128,1128
1514367051,1133,1133
1514368337,1134,1134
1514369452,1129,1129
1514370518,1134,1134
1514371380,1133,1133
1514372942,1135,1135
1514373851,1136,1136
1514374850,1130,1130
1514375811,1130,1130
1514376888,1126,1126
1514377722,1129,1129
1514378554,1124,1124
1514380486,1132,1132
1514381531,1130,1130
1514384083,1131,1131
1514385754,1129,1129
1514387683,1130,1130
1514388520,1131,1131
1514389355,1127,1127
1514390390,1120,1120
1514391311,1122,1122
1514392123,1126,1126
1514394875,1125,1125
1514395718,1130,1130
1514396744,1127,1127
1514398487,1120,1120
1514399461,1117,1117
1514400155,1114,1114
1514401180,1112,1112
1514402080,1114,1114
1514402919,1118,1118
1514403946,1121,1121
1514404924,1124,1124
1514405748,1126,1126
1514406614,1123,1123
1514407356,1121,1121
1514408197,1130,1130
1514409280,1128,1128
1514410126,1130,1130
1514410955,1127,1127
1514412652,1126,1126
1514413554,1127,1127
1514414562,1120,1120
1514416253,1136,1136
1514417323,1139,1139
1514419845,1138,1138
1514420929,1144,1144
1514421762,1148,1148
1514422894,1146,1146
1514423746,1148,1148
1514425249,1148,1148
1514426137,1162,1162
1514427042,1169,1169
1514428119,1185,1185
1514429982,1200,1200
1514430951,1207,1207
1514431853,1212,1212
1514432765,1215,1215
1514434246,1219,1219
1514435449,1221,1221
1514436348,1222,1222
1514438075,1229,1229
1514438923,1230,1230
1514439766,1228,1228
1514440594,1233,1233
1514441670,1234,1234
1514443384,1237,1237
1514444667,1237,1237
1514446121,1238,1238
1514448073,1234,1234
1514448989,1235,1235
1514449726,1236,1236
1514450555,1238,1238
1514451694,1241,1241
1514452482,1243,1243
1514453573,1247,1247
1514454713,1246,1246
1514455849,1249,1249
1514456757,1247,1247
1514457606,1249,1249
1514459446,1250,1250
1514460530,1251,1251
1514463047,1258,1258
1514464126,1261,1261
1514464971,1263,1263
1514466883,1266,1266
1514468146,1268,1268
1514469339,1270,1270
1514470476,1270,1270
1514471450,1266,1266
1514472157,1266,1266
1514473025,1262,1262
1514473846,1250,1250
1514474741,1231,1231
1514475951,1229,1229
1514477453,1223,1223
1514478343,1224,1224
1514479769,1225,1225
1514480709,1229,1229
1514481275,1232,1232
1514482116,1234,1234
1514482964,1231,1231
1514483980,1233,1233
1514484877,1234,1234
1514485837,1235,1235
1514486763,1238,1238
1514487892,1237,1237
1514488729,1238,1238
1514490145,1235,1235
1514491854,1237,1237
1514492074,1240,1240
1514492916,1242,1242
1514493972,1241,1241
1514495314,1247,1247
1514496792,1249,1249
1514497848,1250,1250
1514499282,1257,1257
1514500121,1261,1261
1514501703,1273,1273
1514502657,1277,1277
1514504171,1282,1282
1514505049,1285,1285
1514506475,1290,1290
1514507317,1294,1294
1514508343,1299,1299
1514509822,1298,1298
1514511195,1299,1299
1514512897,1305,1305
1514513699,1306,1306
1514514668,1305,1305
1514517048,1305,1305
1514518981,1306,1306
1514519967,1305,1305
1514520875,1306,1306
1514521715,1310,1310
1514522572,1313,1313
1514523956,1316,1316
1514524852,1317,1317
1514525328,1318,1318
1514526347,1319,1319
1514528074,1316,1316
1514528914,1316,1316
1514529951,1311,1311
1514531452,1311,1311
1514532657,1307,1307
1514533557,1315,1315
1514535041,1319,1319
1514536975,1314,1314
1514538106,1315,1315
1514538899,1316,1316
1514539883,1312,1312
1514540569,1314,1314
1514542252,1319,1319
1514543464,1318,1318
1514544362,1318,1318
1514545862,1318,1318
1514547798,1323,1323
1514548624,1321,1321
1514549684,1323,1323
1514551255,1323,1323
1514552234,1324,1324
1514553943,1325,1325
1514555759,1325,1325
1514556646,1324,1324
1514557799,1322,1322
1514560114,1321,1321
1514562341,1323,1323
1514564089,1322,1322
1514564915,1323,1323
1514565963,1320,1320
1514567261,1317,1317
1514569371,1315,1315
1514570197,1316,1316
1514571048,1317,1317
1514572963,1316,1316
1514574887,1316,1316
1514576587,1317,1317
1514578556,1313,1313
1514579318,1312,1312
1514581001,1309,1309
1514582076,1313,1313
1514582923,1314,1314
1514583951,1308,1308
1514585675,1293,1293
1514586942,1281,1281
1514587831,1280,1280
1514589280,1281,1281
1514590269,1274,1274
1514591148,1272,1272
1514592652,1275,1275
1514593547,1280,1280
1514594569,1282,1282
1514595431,1278,1278
1514596482,1284,1284
1514597315,1292,1292
1514598348,1288,1288
1514599480,1286,1286
1514600457,1288,1288
1514601574,1279,1279
1514602650,1274,1274
1514603448,1278,1278
1514604964,1285,1285
1514606928,1287,1287
1514608959,1298,1298
1514610649,1304,1304
1514611859,1312,1312
1514612562,1311,1311
1514613413,1314,1314
1514614251,1315,1315
1514615143,1318,1318
1514616222,1316,1316
1514618075,1320,1320
1514619101,1319,1319
1514619960,1318,1318
1514620655,1315,1315
1514621688,1316,1316
1514623357,1319,1319
1514624219,1322,1322
1514629721,1328,1328
1514630748,1325,1325
1514631417,1322,1322
1514632477,1325,1325
1514633456,1323,1323
1514634155,1319,1319
1514637056,1314,1314
1514637746,1311,1311
1514639674,1309,1309
1514640647,1307,1307
