DateTime,AddedIPs,RemovedIPs
1514149261,83,148
1514150107,94,0
1514151606,132,214
1514152507,74,0
1514153362,118,175
1514154628,166,312
1514155507,180,79
1514156167,69,0
1514157008,83,149
1514158210,117,210
1514159107,110,83
1514160613,182,178
1514162528,249,274
1514164446,213,171
1514165287,107,0
1514166307,129,275
1514166967,93,0
1514168042,0,28496
1514169607,28376,0
1514170502,0,28376
1514171647,28617,0
1514173327,236,387
1514174455,202,187
1514175310,99,0
1514176210,100,270
1514176933,91,61
1514177767,113,0
1514178607,97,161
1514179687,107,0
1514180527,99,271
1514182447,141,147
1514183440,123,178
1514184307,100,51
1514184967,87,0
1514186047,149,139
1514186887,114,0
1514187907,120,247
1514189413,173,131
1514190487,144,0
1514191508,111,270
1514192167,87,0
1514193007,112,149
1514193983,359,0
1514194927,106,274
1514195768,97,0
1514196608,91,128
1514197508,111,1
1514198407,129,443
1514199307,90,0
1514200448,97,160
1514201417,92,219
1514202307,111,74
1514203393,131,151
1514204048,66,0
1514205422,168,672
1514207374,190,415
1514208487,93,0
1514209327,92,191
1514210908,153,220
1514212928,180,191
1514214053,115,203
1514214908,85,0
1514215735,89,0
1514216527,109,239
1514218807,376,171
1514219847,112,554
1514220907,104,0
1514222047,120,534
1514223008,108,288
1514223727,102,71
1514225407,252,157
1514226306,92,0
1514227207,78,170
1514228107,96,0
1514229007,126,220
1514230211,141,196
1514231108,116,71
1514232607,172,199
1514233687,119,1
1514234528,105,284
1514236714,270,225
1514238013,174,326
1514239807,236,245
1514240713,133,0
1514242162,158,276
1514243191,141,151
1514244007,77,0
1514245507,673,323
1514246382,85,145
1514247307,109,0
1514248208,91,204
1514249107,101,83
1514250184,119,143
1514251207,106,0
1514252412,153,283
1514253307,94,0
1514254207,108,180
1514255287,127,0
1514256222,95,276
1514256966,90,0
1514257807,89,167
1514258781,116,0
1514259727,134,443
1514261407,211,161
1514262476,118,0
1514265007,316,413
1514266087,135,0
1514266927,113,247
1514268607,318,119
1514269687,131,0
1514270527,115,249
1514271364,0,27326
1514272206,27381,0
1514273420,136,210
1514274127,87,67
1514274939,114,0
1514275807,105,145
1514277546,225,457
1514278509,171,0
1514279421,90,405
1514280217,109,0
1514281327,130,252
1514283247,247,167
1514284211,144,208
1514285107,132,73
1514285766,109,0
1514286612,142,136
1514287539,129,0
1514288407,131,239
1514289307,124,0
1514290207,247,151
1514291399,124,168
1514292469,135,58
1514293678,141,133
1514296290,363,190
1514297407,146,222
1514298307,112,0
1514299207,104,189
1514300454,195,380
1514301308,170,0
1514302529,236,299
1514303709,242,71
1514304607,152,158
1514305606,166,0
1514306527,139,517
1514307472,139,0
1514308508,172,225
1514310127,243,251
1514311788,247,118
1514313020,142,162
1514313907,159,0
1514315646,0,27829
1514316615,27767,0
1514317327,118,65
1514319248,247,122
1514320507,157,183
1514322607,255,187
1514323826,175,252
1514324707,111,115
