DateTime,AddedIPs,RemovedIPs
1514097351,3,9
1514098414,3,3
1514099440,5,8
1514100933,3,5
1514101351,1,2
1514103041,5,3
1514103876,1,1
1514104966,6,2
1514106881,5,4
1514107843,6,3
1514108553,3,1
1514110240,15,6
1514111315,4,0
1514112340,2,5
1514113842,1,3
1514115340,4,5
1514117444,6,1
1514118644,4,2
1514119546,2,1
1514121043,0,6
1514122250,1,4
1514123735,4,0
1514124639,1,2
1514125793,4,5
1514126739,3,1
1514129209,6,2
1514130047,3,2
1514130990,7,1
1514132071,0,1
1514132925,1,1
1514133756,1,6
1514134631,1,2
1514135677,1,1
1514136647,1,2
1514139270,4,1
1514140950,1,5
1514141790,2,1
1514142640,4,3
1514144448,1,2
1514146474,1,3
1514147320,2,0
1514148479,0,5
1514149285,2,1
1514150138,1,0
1514151637,4,2
1514153389,0,4
1514155539,3,1
1514157042,1,1
1514158243,1,6
1514159137,3,2
1514160647,7,4
1514162552,3,11
1514164475,7,3
1514165315,5,1
1514166351,4,6
1514166995,6,1
1514168081,8,6
1514169638,11,7
1514170508,4,0
1514171685,3,4
1514173367,9,8
1514174497,5,3
1514176239,3,5
1514176968,1,3
1514177791,3,0
1514178643,1,7
1514179717,10,0
1514180550,3,7
1514182476,10,7
1514183483,3,0
1514184343,2,1
1514186075,7,4
1514186922,3,0
1514187937,3,10
1514189447,4,3
1514190525,8,0
1514191543,1,13
1514192191,3,0
1514193043,4,2
1514194007,5,0
1514194957,4,11
1514195793,4,0
1514196649,2,3
1514197532,7,0
1514198438,3,1
1514199335,4,0
1514200482,3,6
1514201446,2,5
1514202333,4,1
1514204074,4,0
1514205458,5,3
1514206599,1,2
1514207397,3,1
1514209363,2,2
1514210931,2,4
1514212945,2,6
1514214083,4,3
1514214941,1,0
1514215827,1,2
1514216557,2,0
1514218842,4,3
1514219883,1,34
1514222071,6,2
1514223040,1,2
1514223756,0,2
1514225440,3,1
1514226336,1,1
1514227249,4,1
1514228136,3,0
1514229039,3,3
1514230245,3,1
1514231140,3,0
1514232625,1,4
1514233729,0,1
1514234557,1,7
1514236737,1,2
1514238045,0,8
1514239840,4,2
1514242188,1,2
1514243215,5,5
1514246452,0,5
1514247339,2,0
1514248249,0,1
1514249144,3,2
1514250218,5,5
1514251248,2,0
1514252445,5,7
1514253339,1,0
1514254241,1,8
1514255315,6,0
1514256249,6,8
1514256989,3,0
1514258835,7,7
1514259756,6,9
1514261446,10,5
1514262504,3,0
1514265046,12,11
1514266116,4,1
1514266950,6,6
1514268646,5,4
1514269715,3,0
1514270555,2,8
1514271372,1,0
1514272243,2,4
1514273448,5,2
1514274151,7,4
1514274962,6,1
1514275841,3,5
1514277576,3,9
1514278540,2,0
1514279450,2,15
1514280631,1,8
1514281351,1,0
1514283276,5,4
1514284237,2,1
1514285789,2,0
1514286642,2,6
1514287561,2,0
1514288447,3,8
1514289330,2,1
1514290240,2,1
1514291435,1,3
1514292502,3,2
1514293714,1,1
1514296314,2,6
1514297444,2,6
1514298330,3,0
1514299244,0,3
1514300481,3,3
1514301343,1,0
1514302553,0,1
1514303732,5,0
1514304646,2,3
1514305634,1,0
1514306551,1,2
1514307583,1,4
1514310150,3,4
1514311829,8,0
1514313054,1,1
1514313960,1,0
1514315653,6,6
1514316656,0,4
1514317351,2,1
1514319284,2,2
1514320542,5,4
1514322641,4,3
1514323858,4,1
1514324738,2,1
1514325390,1,0
1514326245,0,1
1514327440,1,2
1514328341,3,0
1514329840,6,9
1514331027,2,3
1514331768,2,1
1514333432,3,4
1514335338,6,6
1514337041,6,12
1514337926,2,0
1514338957,3,13
1514340646,4,7
1514341842,2,7
1514342713,2,0
1514344475,5,8
1514346048,8,5
1514346943,4,0
1514347842,6,3
1514348737,7,0
1514349645,3,12
1514351440,8,7
1514352651,11,6
1514354190,5,3
1514355035,4,4
1514356093,3,0
1514357149,7,7
1514358563,10,6
1514359716,12,0
1514362030,21,17
1514362848,7,0
1514364030,9,6
1514367045,22,13
1514368317,7,2
1514369446,7,6
1514370512,2,1
1514371374,5,7
1514372934,3,8
1514373841,2,1
1514374843,11,5
1514375805,3,1
1514376878,5,2
1514377716,0,1
1514378548,4,0
1514380480,4,7
1514381513,2,5
1514382336,3,0
1514384077,2,6
1514385748,5,5
1514387677,6,4
1514389348,6,1
1514390384,4,2
1514391297,3,1
1514392116,4,0
1514393132,1,9
1514394869,8,2
1514395712,3,1
1514396736,2,2
1514398481,1,5
1514399451,3,4
1514400148,1,1
1514401170,4,0
1514402057,3,0
1514402913,1,0
1514403939,2,2
1514404894,1,3
