DateTime,Entries,UniqueIPs
1514097351,541,541
1514098414,541,541
1514099440,538,538
1514100933,536,536
1514101351,535,535
1514103041,537,537
1514103876,537,537
1514104966,541,541
1514106881,542,542
1514107843,545,545
1514108553,547,547
1514110240,556,556
1514111315,560,560
1514112340,557,557
1514113842,555,555
1514115340,554,554
1514117444,559,559
1514118644,561,561
1514119546,562,562
1514121043,556,556
1514122250,553,553
1514123735,557,557
1514124639,556,556
1514125793,555,555
1514126739,557,557
1514129209,561,561
1514130047,562,562
1514130990,568,568
1514132071,567,567
1514132925,567,567
1514133756,562,562
1514134631,561,561
1514135677,561,561
1514136647,560,560
1514139270,563,563
1514140950,559,559
1514141790,560,560
1514142640,561,561
1514144448,560,560
1514146474,558,558
1514147320,560,560
1514148479,555,555
1514149285,556,556
1514150138,557,557
1514151637,559,559
1514153389,555,555
1514155539,557,557
1514157042,557,557
1514158243,552,552
1514159137,553,553
1514160647,556,556
1514162552,548,548
1514164475,552,552
1514165315,556,556
1514166351,554,554
1514166995,559,559
1514168081,561,561
1514169638,565,565
1514170508,569,569
1514171685,568,568
1514173367,569,569
1514174497,571,571
1514176239,569,569
1514176968,567,567
1514177791,570,570
1514178643,564,564
1514179717,574,574
1514180550,570,570
1514182476,573,573
1514183483,576,576
1514184343,577,577
1514186075,580,580
1514186922,583,583
1514187937,576,576
1514189447,577,577
1514190525,585,585
1514191543,573,573
1514192191,576,576
1514193043,578,578
1514194007,583,583
1514194957,576,576
1514195793,580,580
1514196649,579,579
1514197532,586,586
1514198438,588,588
1514199335,592,592
1514200482,589,589
1514201446,586,586
1514202333,589,589
1514204074,593,593
1514205458,595,595
1514206599,594,594
1514207397,596,596
1514209363,596,596
1514210931,594,594
1514212945,590,590
1514214083,591,591
1514214941,592,592
1514215827,591,591
1514216557,593,593
1514218842,594,594
1514219883,561,561
1514222071,565,565
1514223040,564,564
1514223756,562,562
1514225440,564,564
1514226336,564,564
1514227249,567,567
1514228136,570,570
1514229039,570,570
1514230245,572,572
1514231140,575,575
1514232625,572,572
1514233729,571,571
1514234557,565,565
1514236737,564,564
1514238045,556,556
1514239840,558,558
1514242188,557,557
1514243215,557,557
1514246452,552,552
1514247339,554,554
1514248249,553,553
1514249144,554,554
1514250218,554,554
1514251248,556,556
1514252445,554,554
1514253339,555,555
1514254241,548,548
1514255315,554,554
1514256249,552,552
1514256989,555,555
1514258835,555,555
1514259756,552,552
1514261446,557,557
1514262504,560,560
1514265046,561,561
1514266116,564,564
1514266950,564,564
1514268646,565,565
1514269715,568,568
1514270555,562,562
1514271372,563,563
1514272243,561,561
1514273448,564,564
1514274151,567,567
1514274962,572,572
1514275841,570,570
1514277576,564,564
1514278540,566,566
1514279450,553,553
1514280631,546,546
1514281351,547,547
1514283276,548,548
1514284237,549,549
1514285789,551,551
1514286642,547,547
1514287561,549,549
1514288447,544,544
1514289330,545,545
1514290240,546,546
1514291435,544,544
1514292502,545,545
1514293714,545,545
1514296314,541,541
1514297444,537,537
1514298330,540,540
1514299244,537,537
1514300481,537,537
1514301343,538,538
1514302553,537,537
1514303732,542,542
1514304646,541,541
1514305634,542,542
1514306551,541,541
1514307583,538,538
1514310150,537,537
1514311829,545,545
1514313054,545,545
