DateTime,Entries,UniqueIPs
1514149261,36744,36744
1514150107,36838,36838
1514151606,36756,36756
1514152507,36830,36830
1514153362,36773,36773
1514154628,36627,36627
1514155507,36728,36728
1514156167,36797,36797
1514157008,36731,36731
1514158210,36638,36638
1514159107,36665,36665
1514160613,36669,36669
1514162528,36644,36644
1514164446,36686,36686
1514165287,36793,36793
1514166307,36647,36647
1514166967,36740,36740
1514168042,8244,8244
1514169607,36620,36620
1514170502,8244,8244
1514171647,36861,36861
1514173327,36710,36710
1514174455,36725,36725
1514175310,36824,36824
1514176210,36654,36654
1514176933,36684,36684
1514177767,36797,36797
1514178607,36733,36733
1514179687,36840,36840
1514180527,36668,36668
1514182447,36662,36662
1514183440,36607,36607
1514184307,36656,36656
1514184967,36743,36743
1514186047,36753,36753
1514186887,36867,36867
1514187907,36740,36740
1514189413,36782,36782
1514190487,36926,36926
1514191508,36767,36767
1514192167,36854,36854
1514193007,36817,36817
1514193983,37176,37176
1514194927,37008,37008
1514195768,37105,37105
1514196608,37068,37068
1514197508,37178,37178
1514198407,36864,36864
1514199307,36954,36954
1514200448,36891,36891
1514201417,36764,36764
1514202307,36801,36801
1514203393,36781,36781
1514204048,36847,36847
1514205422,36343,36343
1514207374,36118,36118
1514208487,36211,36211
1514209327,36112,36112
1514210908,36045,36045
1514212928,36034,36034
1514214053,35946,35946
1514214908,36031,36031
1514215735,36120,36120
1514216527,35990,35990
1514218807,36195,36195
1514219847,35753,35753
1514220907,35857,35857
1514222047,35443,35443
1514223008,35263,35263
1514223727,35294,35294
1514225407,35389,35389
1514226306,35481,35481
1514227207,35389,35389
1514228107,35485,35485
1514229007,35391,35391
1514230211,35336,35336
1514231108,35381,35381
1514232607,35354,35354
1514233687,35472,35472
1514234528,35293,35293
1514236714,35338,35338
1514238013,35186,35186
1514239807,35177,35177
1514240713,35310,35310
1514242162,35192,35192
1514243191,35182,35182
1514244007,35259,35259
1514245507,35609,35609
1514246382,35549,35549
1514247307,35658,35658
1514248208,35545,35545
1514249107,35563,35563
1514250184,35539,35539
1514251207,35645,35645
1514252412,35515,35515
1514253307,35609,35609
1514254207,35537,35537
1514255287,35664,35664
1514256222,35483,35483
1514256966,35573,35573
1514257807,35495,35495
1514258781,35611,35611
1514259727,35302,35302
1514261407,35352,35352
1514262476,35470,35470
1514265007,35373,35373
1514266087,35508,35508
1514266927,35374,35374
1514268607,35573,35573
1514269687,35704,35704
1514270527,35570,35570
1514271364,8244,8244
1514272206,35625,35625
1514273420,35551,35551
1514274127,35571,35571
1514274939,35685,35685
1514275807,35645,35645
1514277546,35413,35413
1514278509,35584,35584
1514279421,35269,35269
1514280217,35378,35378
1514281327,35256,35256
1514283247,35336,35336
1514284211,35272,35272
1514285107,35331,35331
1514285766,35440,35440
1514286612,35446,35446
1514287539,35575,35575
1514288407,35467,35467
1514289307,35591,35591
1514290207,35687,35687
1514291399,35643,35643
1514292469,35720,35720
1514293678,35728,35728
1514296290,35901,35901
1514297407,35825,35825
1514298307,35937,35937
1514299207,35852,35852
1514300454,35667,35667
1514301308,35837,35837
1514302529,35774,35774
1514303709,35945,35945
1514304607,35939,35939
1514305606,36105,36105
1514306527,35727,35727
1514307472,35866,35866
1514308508,35813,35813
1514310127,35805,35805
1514311788,35934,35934
1514313020,35914,35914
1514313907,36073,36073
1514315646,8244,8244
1514316615,36011,36011
1514317327,36064,36064
1514319248,36189,36189
1514320507,36163,36163
1514322607,36231,36231
1514323826,36154,36154
1514324707,36150,36150
1514325367,36242,36242
1514326209,36227,36227
1514327411,36255,36255
1514328308,36382,36382
1514329807,36334,36334
1514331007,36249,36249
1514331730,36260,36260
1514333385,36363,36363
1514335326,8244,8244
1514337007,36474,36474
1514337902,36635,36635
1514338927,36567,36567
1514340607,36678,36678
1514341813,36516,36516
1514342706,8244,8244
1514344447,36561,36561
1514346007,36492,36492
1514346907,36619,36619
1514347807,36588,36588
1514348707,36717,36717
1514349613,36675,36675
1514351407,36790,36790
1514352621,36780,36780
1514354167,36904,36904
1514355007,36888,36888
1514356069,37036,37036
1514357107,36898,36898
1514358524,36855,36855
1514359687,36992,36992
1514360527,36821,36821
1514362000,36823,36823
1514362807,36929,36929
1514364007,36600,36600
1514366047,36805,36805
1514367012,36720,36720
1514368294,36826,36826
1514369406,36893,36893
1514370486,37134,37134
1514371350,37089,37089
1514372911,37208,37208
1514373817,37353,37353
1514374806,37281,37281
1514375766,37513,37513
1514376847,37604,37604
1514377686,37766,37766
1514378526,37781,37781
1514380447,37949,37949
1514381465,38006,38006
1514382307,38170,38170
1514384046,38278,38278
1514385726,38328,38328
1514387647,38516,38516
1514388486,38676,38676
1514389326,38407,38407
1514390362,38498,38498
1514391277,38689,38689
1514392086,38876,38876
1514393106,38832,38832
1514394846,38982,38982
1514395686,39105,39105
1514396706,39063,39063
1514398447,39104,39104
1514399417,39057,39057
1514400127,39104,39104
1514401133,8244,8244
1514402023,39224,39224
1514402886,39361,39361
1514403912,39310,39310
1514404859,39192,39192
1514405706,39327,39327
1514406519,39447,39447
1514407327,39250,39250
1514408166,39382,39382
1514409246,39374,39374
1514410086,39511,39511
1514410926,39388,39388
1514412606,39377,39377
1514413507,39511,39511
1514414526,39287,39287
1514416207,38908,38908
1514417287,39105,39105
1514419806,39049,39049
1514420886,39207,39207
1514421726,39123,39123
1514422854,39058,39058
1514423697,39195,39195
1514426106,39324,39324
1514426905,39306,39306
1514427722,39456,39456
1514428086,39584,39584
1514429859,39813,39813
1514430908,39759,39759
1514431806,39726,39726
1514432728,39785,39785
1514434206,39825,39825
1514435416,39768,39768
1514436306,39914,39914
1514438046,39845,39845
1514439727,39735,39735
1514440566,39857,39857
1514441626,39846,39846
1514442486,39954,39954
1514443327,39852,39852
1514444612,39778,39778
1514445426,39874,39874
1514446086,39975,39975
1514446927,39773,39773
1514447987,39627,39627
1514448909,39756,39756
1514449686,39883,39883
1514450526,39800,39800
1514451654,39724,39724
1514452446,39821,39821
1514453527,39816,39816
1514454664,39904,39904
1514455806,39847,39847
1514456700,39950,39950
1514457574,39835,39835
1514459387,40037,40037
1514460487,40260,40260
1514463007,40120,40120
1514464086,40331,40331
1514464926,40161,40161
1514466847,40348,40348
1514468106,40354,40354
1514469306,40520,40520
1514470447,40490,40490
1514471401,40399,40399
1514472127,40414,40414
1514472987,40358,40358
1514473806,40548,40548
1514474706,40874,40874
1514475906,40926,40926
1514477406,41016,41016
1514478306,41523,41523
1514479726,41522,41522
1514481246,41405,41405
1514482088,41571,41571
1514482927,41401,41401
1514483952,41413,41413
1514484846,41576,41576
1514485798,41562,41562
1514486706,41739,41739
1514487857,41670,41670
1514488694,41779,41779
1514489296,41865,41865
1514490126,41715,41715
1514490989,41676,41676
1514491806,41804,41804
1514492887,41954,41954
1514493906,41840,41840
1514495267,41754,41754
1514496719,41738,41738
1514497807,41830,41830
1514499247,41865,41865
1514500093,41995,41995
1514501675,41997,41997
1514502607,41853,41853
1514504132,41600,41600
1514505007,41728,41728
1514506446,41744,41744
1514507287,41864,41864
1514508306,41712,41712
1514509811,8244,8244
1514511102,41444,41444
1514511906,41497,41497
1514512855,41436,41436
1514513672,41574,41574
1514514608,41476,41476
1514515506,41618,41618
1514517007,41622,41622
1514518086,41799,41799
1514518944,41631,41631
1514519872,41615,41615
1514520846,41763,41763
