DateTime,AddedIPs,RemovedIPs
1514129208,43,36
1514130046,10,47
1514130989,13,2
1514132070,14,16
1514132924,14,1
1514133755,19,34
1514134630,16,4
1514135676,15,17
1514136644,24,22
1514137349,14,12
1514139269,36,18
1514140949,37,50
1514141789,19,2
1514142639,19,37
1514143481,12,4
1514144447,13,34
1514145335,15,1
1514146473,14,18
1514147315,11,1
1514148479,17,34
1514149284,14,28
1514150136,6,2
1514151636,26,21
1514152535,17,2
1514153388,21,29
1514155538,34,34
1514157041,38,18
1514158242,15,38
1514159136,22,14
1514160646,32,22
1514162551,31,66
1514164473,29,44
1514165314,17,7
1514166349,29,61
1514166994,20,5
1514168076,18,31
1514169637,33,53
1514170507,27,5
1514171684,49,27
1514173366,60,120
1514174494,29,44
1514175352,25,5
1514176238,22,28
1514176967,18,12
1514177790,19,10
1514178642,33,21
1514179715,22,10
1514180549,16,48
1514182471,29,21
1514183475,30,34
1514184342,20,14
1514184990,10,6
1514186074,19,20
1514186921,28,7
1514187936,19,32
1514189446,27,17
1514190524,19,5
1514191542,35,39
1514192190,14,10
1514193042,26,17
1514194006,23,8
1514194956,15,43
1514195792,14,6
1514196648,8,16
1514197531,11,9
1514198437,14,56
1514199334,17,5
1514200477,25,27
1514201445,14,39
1514202332,16,13
1514204073,25,28
1514205457,42,36
1514206598,27,8
1514207395,18,15
1514208514,14,8
1514209362,11,24
1514210930,20,35
1514214082,65,55
1514214940,18,6
1514215823,22,27
1514216556,9,13
1514218841,27,41
1514219878,19,79
1514222070,28,168
1514223037,10,89
1514223755,7,9
1514225439,25,27
1514226335,13,3
1514227248,20,22
1514228135,10,1
1514229038,12,34
1514230244,16,25
1514231139,5,8
1514233728,31,30
1514234556,11,51
1514236736,20,39
1514238044,39,36
1514239839,31,34
1514240737,23,1
1514242186,10,46
1514243214,32,12
1514244045,25,5
1514246406,61,83
1514247338,8,5
1514248246,10,40
1514249143,13,18
1514250216,12,25
1514251247,24,3
1514252444,14,45
1514253338,14,4
1514254240,15,33
1514255314,12,3
1514256244,11,32
1514256988,12,1
1514258829,37,24
1514259755,13,24
1514261445,26,21
1514262503,10,2
1514265045,42,58
1514266115,18,0
1514266949,17,25
1514268644,37,19
1514269714,18,4
1514270554,19,46
1514271371,11,3
1514272242,9,34
1514273447,16,30
1514274150,10,9
1514274961,15,5
1514275840,16,17
1514277575,22,59
1514278539,17,3
1514279448,17,51
1514280629,23,31
1514281350,10,9
1514283275,36,18
1514284236,26,22
1514285137,17,15
1514285788,17,2
1514286641,18,17
1514287561,13,1
1514288446,22,24
1514289329,11,1
1514290239,17,21
1514291430,22,24
1514292501,17,10
1514293711,25,24
1514296312,42,32
1514297444,26,32
1514298329,29,2
1514299243,18,22
1514300479,28,26
1514301341,14,1
1514302552,26,18
1514303731,45,14
1514304644,12,25
1514305629,13,13
1514306550,21,45
1514307582,22,38
1514308544,22,5
1514310149,32,52
1514311823,36,21
1514313053,29,28
1514313957,40,6
1514316655,95,41
1514317350,23,10
1514319283,50,24
1514320541,42,25
1514322640,58,24
1514323856,37,25
1514324737,27,7
1514325389,24,3
1514326244,27,27
1514327438,33,38
1514328340,29,2
1514329839,41,44
1514331025,35,43
1514331767,23,18
1514333430,56,53
1514335337,60,57
1514337040,49,45
1514337925,16,5
1514338956,42,22
1514340645,62,27
1514341837,27,31
1514342710,22,4
1514344474,56,40
1514346047,39,38
1514346942,16,10
1514347841,38,14
1514348736,28,3
1514349644,23,28
1514351439,82,27
1514352648,42,31
1514354189,49,15
1514355034,14,9
1514356092,22,2
1514357148,20,38
1514358557,18,24
1514359715,19,9
1514362022,46,63
1514362847,17,6
1514364029,28,34
1514367044,89,51
1514368316,46,16
1514369445,30,16
1514370511,32,3
1514371373,25,29
1514372933,58,11
1514373839,34,5
1514374842,40,51
1514375804,42,2
1514376877,34,18
1514377715,39,2
1514378547,34,20
1514380475,57,37
1514381512,41,16
1514382335,17,2
1514384076,32,30
1514385747,27,38
1514387676,34,17
1514388512,16,0
1514389347,11,38
1514390383,22,10
1514391296,21,5
1514392115,16,4
1514393131,14,31
1514394868,27,21
1514395711,11,3
1514396735,21,22
1514398480,19,22
1514399450,14,23
1514400147,12,8
1514402051,28,13
1514402912,13,2
1514403938,18,22
1514404880,19,21
1514405740,13,1
1514406541,12,0
1514407348,10,48
1514408188,13,4
1514409273,18,21
1514410119,11,2
1514410948,10,21
1514412644,19,29
1514413546,13,1
1514414555,13,32
1514416241,24,39
1514417314,19,4
1514419838,45,49
1514420921,20,4
1514421755,16,35
1514422878,19,26
1514423738,15,1
1514425242,14,34
1514426130,15,4
1514427034,13,17
1514428112,25,1
1514429880,48,17
1514430943,32,11
1514431845,15,13
1514432754,16,11
1514434239,32,19
1514435441,21,30
1514436339,22,2
1514438068,33,34
1514439759,35,35
1514440587,23,0
1514441660,32,11
1514442516,12,4
1514443352,16,17
1514444636,29,29
1514445460,10,2
1514446113,12,4
1514446968,22,39
1514448062,25,36
1514448959,39,3
1514450547,56,34
1514451686,33,29
1514452474,19,3
1514453565,16,37
1514454703,34,12
1514455841,20,26
1514456747,24,7
1514457599,33,23
1514459427,56,26
1514460522,26,2
1514463039,50,52
1514464119,29,1
1514464962,18,37
1514466876,40,26
1514468129,21,37
1514469332,18,7
1514470469,21,25
1514471434,22,38
1514472149,14,17
1514473016,16,17
1514473838,53,9
1514474733,133,1
1514475941,116,37
1514477445,135,35
1514478335,21,1
1514479753,28,18
1514480700,13,47
1514481268,10,0
1514482109,19,1
1514482956,28,59
1514483973,19,43
1514484870,12,3
1514486749,35,50
1514487883,18,53
1514488721,11,3
1514489325,7,2
1514491012,34,98
1514491847,20,4
1514492067,1,2
1514492908,15,3
1514493943,15,47
1514495298,21,59
1514496766,34,50
1514497841,15,23
1514499274,21,41
1514500114,19,2
1514501696,27,46
1514502643,12,52
1514504163,28,65
1514505038,14,1
1514506467,28,43
1514507308,14,4
1514508335,14,69
1514511148,53,144
1514512880,33,66
1514513692,12,1
1514514644,14,37
1514515544,22,0
1514517040,22,45
1514518972,36,68
1514519937,16,43
1514520868,22,5
1514521707,7,2
1514522564,18,49
1514523947,17,44
1514524844,23,7
1514525320,9,1
1514526338,21,40
1514528067,34,23
1514528907,15,2
1514529941,28,38
1514531445,27,14
1514532638,18,33
1514533541,17,12
1514535030,26,33
1514536968,30,72
1514538086,24,26
1514538892,24,3
1514539861,14,52
1514542244,33,73
1514543445,19,51
1514544354,25,26
1514544989,7,1
1514545854,12,56
1514547755,43,64
1514548617,13,59
1514549676,19,0
1514551244,29,73
1514552227,12,20
1514553041,11,2
1514553936,14,0
1514554100,2,1
1514555738,26,36
1514556638,16,50
1514558734,43,46
1514560093,14,25
1514562333,38,36
1514564081,26,19
1514564907,23,3
1514565940,16,35
1514567252,20,19
1514569363,28,31
1514570189,7,6
1514571041,9,21
1514572955,24,28
1514574880,43,25
1514576579,24,29
1514578540,29,20
1514580992,30,45
1514582068,8,1
1514582916,13,1
1514583940,14,18
1514585668,18,28
1514586933,16,20
1514587815,9,2
1514589273,10,34
1514590254,25,24
1514591140,10,8
1514592644,17,20
1514593539,5,2
1514594561,8,22
1514595423,10,31
1514596475,19,4
1514597307,10,3
1514598340,6,55
1514599460,14,31
1514600448,12,1
1514601565,14,36
1514602624,14,43
1514603440,15,5
1514604951,16,34
1514606921,19,27
1514608951,20,44
1514610642,14,40
1514611845,16,41
1514612555,9,13
1514613403,13,42
1514614244,17,2
1514615132,10,2
1514616215,17,36
1514618059,41,41
1514619063,24,49
1514619947,15,17
1514620644,16,36
1514621680,17,1
1514623349,26,41
1514629713,79,180
1514630731,16,41
1514631410,13,36
1514632469,24,1
1514633444,27,49
1514634148,21,10
1514635842,26,26
1514637042,27,30
1514639444,36,24
1514639667,5,1
1514640638,17,22
1514641356,8,10
1514642400,13,27
1514643341,8,1
1514644851,37,148
1514645831,22,206
1514646641,24,3
1514647488,13,3
1514648561,18,33
1514650842,38,33
1514651316,7,1
1514652339,13,56
1514653840,20,27
1514654740,14,2
1514655747,15,28
1514657421,29,29
1514658332,20,1
1514659350,17,49
1514661267,20,30
1514662118,12,1
1514662948,14,40
1514664638,22,20
1514665541,9,5
1514666457,14,40
1514667306,16,7
1514668246,15,12
1514669254,20,2
1514671003,31,47
1514671841,14,19
1514673749,35,39
1514674588,8,4
1514675441,13,28
1514676333,20,4
1514677348,28,28
1514678543,19,26
1514679634,23,2
1514682938,58,73
1514683708,13,3
1514685411,36,79
1514686240,18,2
1514686469,2,0
1514688162,28,33
1514689189,15,28
1514690075,19,8
1514691089,23,31
1514691756,20,9
1514693450,29,34
1514695348,32,34
1514696271,8,2
1514697278,16,37
1514698283,19,22
1514698950,20,9
1514700641,23,25
1514702742,44,37
1514703412,21,2
1514704242,18,24
1514705308,27,4
1514706340,23,39
1514708148,29,22
1514709756,26,32
1514711442,18,21
1514713422,46,29
1514714383,16,17
1514715282,10,2
1514716850,21,39
1514717737,16,6
1514718647,19,16
