DateTime,Entries,UniqueIPs
1514129208,3505,3505
1514130046,3468,3468
1514130989,3479,3479
1514132070,3477,3477
1514132924,3490,3490
1514133755,3475,3475
1514134630,3487,3487
1514135676,3485,3485
1514136644,3487,3487
1514137349,3489,3489
1514139269,3507,3507
1514140949,3494,3494
1514141789,3511,3511
1514142639,3493,3493
1514143481,3501,3501
1514144447,3480,3480
1514145335,3494,3494
1514146473,3490,3490
1514147315,3500,3500
1514148479,3483,3483
1514149284,3469,3469
1514150136,3473,3473
1514151636,3478,3478
1514152535,3493,3493
1514153388,3485,3485
1514155538,3485,3485
1514157041,3505,3505
1514158242,3482,3482
1514159136,3490,3490
1514160646,3500,3500
1514162551,3465,3465
1514164473,3450,3450
1514165314,3460,3460
1514166349,3428,3428
1514166994,3443,3443
1514168076,3430,3430
1514169637,3410,3410
1514170507,3432,3432
1514171684,3454,3454
1514173366,3394,3394
1514174494,3379,3379
1514175352,3399,3399
1514176238,3393,3393
1514176967,3399,3399
1514177790,3408,3408
1514178642,3420,3420
1514179715,3432,3432
1514180549,3400,3400
1514182471,3408,3408
1514183475,3404,3404
1514184342,3410,3410
1514184990,3414,3414
1514186074,3413,3413
1514186921,3434,3434
1514187936,3421,3421
1514189446,3431,3431
1514190524,3445,3445
1514191542,3441,3441
1514192190,3445,3445
1514193042,3454,3454
1514194006,3469,3469
1514194956,3441,3441
1514195792,3449,3449
1514196648,3441,3441
1514197531,3443,3443
1514198437,3401,3401
1514199334,3413,3413
1514200477,3411,3411
1514201445,3386,3386
1514202332,3389,3389
1514204073,3386,3386
1514205457,3392,3392
1514206598,3411,3411
1514207395,3414,3414
1514208514,3420,3420
1514209362,3407,3407
1514210930,3392,3392
1514214082,3402,3402
1514214940,3414,3414
1514215823,3409,3409
1514216556,3405,3405
1514218841,3391,3391
1514219878,3331,3331
1514222070,3191,3191
1514223037,3112,3112
1514223755,3110,3110
1514225439,3108,3108
1514226335,3118,3118
1514227248,3116,3116
1514228135,3125,3125
1514229038,3103,3103
1514230244,3094,3094
