DateTime,AddedIPs,RemovedIPs
1514147310,70,0
1514148473,76,268
1514149278,55,91
1514150130,46,0
1514151631,74,110
1514152530,46,0
1514153379,75,90
1514154660,117,244
1514155532,125,34
1514157035,93,82
1514158234,61,122
1514159130,67,56
1514160640,112,79
1514162546,157,165
1514164468,138,107
1514165309,67,4
1514166337,96,161
1514166989,41,3
1514168066,62,80
1514169632,114,152
1514170502,0,16742
1514171679,16977,0
1514173358,182,239
1514174476,165,122
1514175340,65,4
1514176228,60,197
1514176962,66,39
1514177784,72,7
1514178637,63,89
1514179710,61,7
1514180544,68,174
1514182466,69,91
1514183461,89,115
1514184337,70,41
1514184985,48,2
1514186064,92,72
1514186914,80,6
1514187931,79,155
1514189440,119,79
1514190518,88,3
1514191535,94,186
1514192185,55,7
1514193037,86,102
1514194001,321,5
1514194951,60,165
1514195787,56,4
1514196642,57,87
1514197525,63,6
1514198431,81,347
1514199329,49,1
1514200472,60,88
1514201438,63,142
1514202327,60,44
1514204067,126,98
1514205447,99,616
1514206592,74,235
1514207390,44,92
1514208509,61,7
1514209352,54,122
1514210924,106,149
1514212938,0,16237
1514214073,16169,0
1514214935,51,3
1514215807,64,88
1514216550,54,39
1514218836,289,121
1514219864,58,428
1514220932,51,7
1514222065,69,454
1514223030,61,218
1514223750,75,39
1514225434,178,98
1514226330,57,0
1514227237,51,102
1514228130,63,0
1514229033,69,133
1514230238,87,123
1514231133,69,42
1514232618,0,15620
1514233718,15668,0
1514234551,68,189
1514236731,181,160
1514238039,124,219
1514239834,137,185
1514240732,91,0
1514242181,102,175
1514243209,96,90
1514244038,53,3
1514245527,596,205
1514247331,127,108
1514248240,67,136
1514249138,52,47
1514250203,78,96
1514251238,70,2
1514252439,104,168
1514253332,66,1
1514254235,70,108
1514255309,80,0
1514256239,60,158
1514256983,65,0
1514257833,62,112
1514258824,89,0
1514259750,88,350
1514261440,133,92
1514262493,80,1
1514265040,213,244
1514266109,89,0
1514266944,69,146
1514268639,278,74
1514269708,90,0
1514270549,87,154
1514271364,0,16010
1514272237,16052,0
1514273440,84,130
1514274144,52,43
1514274956,70,1
1514275834,67,89
1514277570,148,345
1514278534,131,0
1514279442,69,347
1514280623,105,105
1514281345,56,43
1514283270,140,118
1514284230,86,141
1514285130,78,45
1514285783,71,1
1514286636,90,70
1514287555,80,0
1514288437,81,139
1514289324,70,0
1514290234,210,90
1514291418,79,107
1514292492,90,36
1514293695,101,77
1514296307,225,97
1514297438,103,108
1514298324,78,0
1514299233,60,100
1514300473,143,295
1514301336,125,0
1514302547,180,224
1514303726,194,40
1514304639,112,109
1514305623,120,9
1514306545,107,447
1514307576,102,126
1514308536,120,3
1514310144,188,148
1514311806,177,67
1514313045,102,104
1514313947,102,2
1514315646,0,16442
1514316647,16440,0
1514317345,72,47
1514319276,164,82
1514320533,98,95
1514322635,187,100
1514323849,110,169
1514324730,75,95
1514325384,72,1
1514326237,92,78
1514327433,117,113
1514328334,85,0
1514329834,122,148
1514331021,0,16706
1514331762,16670,0
1514333402,248,138
1514335326,0,16780
1514337034,16958,0
1514337920,128,2
1514338951,157,145
1514340640,224,147
1514341832,123,257
1514342706,0,17039
1514344468,17062,0
1514346041,137,157
1514346933,78,9
1514347836,74,85
1514348730,85,2
1514349639,95,100
1514351434,196,79
1514352641,121,123
1514354184,137,47
1514355029,89,88
1514356086,97,0
1514357138,74,154
1514358541,107,138
1514359710,83,5
1514360542,0,17448
1514362016,17329,0
1514362838,61,5
1514364024,107,425
1514366074,328,139
1514367039,105,121
1514368311,131,52
1514369440,172,75
1514370506,187,1
1514371368,148,123
1514372927,197,104
1514373834,118,2
1514374837,147,172
1514375799,169,1
1514376870,129,55
1514377708,133,0
1514378542,138,97
1514380470,295,137
1514381490,173,73
1514382330,131,0
1514384071,246,129
1514385742,257,157
1514387670,261,118
1514388506,130,0
1514389342,78,278
1514390378,154,61
1514391293,150,8
1514392110,153,1
1514393124,212,181
1514394863,268,167
1514395706,87,1
1514396730,93,109
1514398475,175,122
1514399444,110,126
1514400142,80,54
1514401133,0,19558
1514402041,19643,0
1514402907,94,0
1514403931,91,121
1514404875,101,158
1514405734,95,2
1514406536,76,0
1514407343,72,205
1514408183,89,1
1514409267,104,95
1514410114,98,0
1514410942,85,149
1514412639,147,132
1514413539,94,1
1514414550,118,294
1514416236,166,567
1514417309,144,2
1514419833,246,252
1514420911,108,1
1514421750,102,141
1514422871,110,148
1514423731,93,0
1514425233,158,157
1514426125,107,1
1514427025,102,104
1514428107,193,0
1514429875,338,140
1514430935,121,137
1514431838,111,123
1514432749,90,54
1514434234,115,86
1514435434,109,152
1514436329,87,1
1514438063,156,237
1514439754,191,289
1514440582,77,0
1514441642,85,92
1514442511,76,0
1514443346,64,126
1514444630,115,148
1514445455,72,2
1514446108,63,0
1514446959,95,208
1514448057,78,185
1514448944,90,1
1514449714,93,0
1514450542,87,149
1514451677,105,137
1514452469,61,1
1514453556,195,138
1514454692,132,55
1514455835,89,123
1514456731,70,0
1514457593,96,148
1514459404,495,274
1514460516,160,0
1514463034,198,301
1514464113,141,0
1514464956,117,194
1514466871,275,105
1514468124,150,134
1514469323,173,38
1514470464,149,154
1514471426,182,226
1514472143,99,87
1514473010,106,165
1514473833,150,0
1514474727,295,1
1514475927,347,256
1514477438,305,201
1514478327,476,0
1514479742,185,181
1514481263,107,195
1514482104,123,1
1514482951,126,222
1514483968,137,122
1514484864,134,0
1514485824,153,139
1514486735,134,2
1514487873,144,156
1514488716,68,0
1514489320,56,0
1514490131,0,22265
1514491007,22160,0
1514491841,93,0
1514492062,19,2
1514492903,87,1
1514493931,97,158
1514495283,120,184
1514496737,164,168
1514497835,110,60
1514499269,146,107
1514500109,100,2
1514501691,160,146
1514502637,85,190
1514504158,190,413
1514505033,85,1
1514506462,144,131
1514507303,83,1
1514508329,100,259
1514509812,0,22120
1514511121,21903,0
1514511933,90,58
1514512873,91,153
1514513687,95,0
1514514632,92,159
1514515537,115,0
1514517035,178,158
1514518962,214,202
1514519932,124,129
1514520863,111,2
1514521702,67,0
1514522559,122,168
1514523942,347,166
1514524839,133,1
1514525311,34,0
1514526333,66,191
1514528062,113,96
1514528902,55,0
1514529936,316,177
1514531439,225,92
1514532631,114,134
1514533536,82,51
1514535027,0,22750
1514536958,22569,0
1514538079,130,134
1514538887,87,0
1514539851,91,297
1514540557,95,111
1514542239,359,171
1514543439,252,215
1514544348,144,88
1514544983,79,0
1514545848,99,208
1514547749,284,226
1514548612,124,287
1514549670,196,2
1514551239,236,351
1514552222,110,187
1514553036,109,1
1514553931,124,0
1514554092,0,22810
1514555725,22838,0
1514556633,242,274
1514557783,0,22806
1514558720,23241,0
1514560078,178,175
1514562327,284,411
1514564076,162,206
1514564902,96,0
1514565930,82,250
1514567232,101,131
1514569357,168,250
1514570184,75,1
1514571035,67,140
1514572950,161,220
1514574874,176,127
1514576574,127,233
1514578531,155,128
1514579308,0,22801
1514580933,22774,0
1514582063,88,113
1514582911,62,0
1514583935,92,169
1514585663,134,174
1514586928,108,205
1514587807,77,0
1514589268,106,179
1514590248,79,170
1514591132,74,70
1514592637,120,134
1514593534,65,1
1514594556,72,178
1514595416,65,211
1514596470,76,1
1514597302,49,0
1514598332,59,461
1514599443,88,165
1514600439,68,0
1514601548,79,215
1514602619,70,169
1514603435,58,1
1514604946,107,196
1514606905,136,116
1514608946,138,204
1514610636,120,163
1514611837,65,147
1514612549,52,51
1514613398,67,125
1514614238,88,0
1514615127,73,0
1514616209,0,21691
1514619056,21573,0
1514619935,90,62
1514620639,75,120
1514621675,82,0
1514623344,132,255
1514624205,0,21515
1514629707,20939,0
1514630719,86,280
1514631405,70,116
1514632464,88,0
1514633430,0,20787
1514634143,20652,0
1514635837,129,183
1514637032,81,227
1514637735,0,20452
1514639662,20388,0
