DateTime,Entries,UniqueIPs
1514147310,25212,25212
1514148473,25020,25020
1514149278,24984,24984
1514150130,25030,25030
1514151631,24994,24994
1514152530,25040,25040
1514153379,25025,25025
1514154660,24898,24898
1514155532,24989,24989
1514157035,25000,25000
1514158234,24939,24939
1514159130,24950,24950
1514160640,24983,24983
1514162546,24975,24975
1514164468,25006,25006
1514165309,25069,25069
1514166337,25004,25004
1514166989,25042,25042
1514168066,25024,25024
1514169632,24986,24986
1514170502,8244,8244
1514171679,25221,25221
1514173358,25164,25164
1514174476,25207,25207
1514175340,25268,25268
1514176228,25131,25131
1514176962,25158,25158
1514177784,25223,25223
1514178637,25197,25197
1514179710,25251,25251
1514180544,25145,25145
1514182466,25123,25123
1514183461,25097,25097
1514184337,25126,25126
1514184985,25172,25172
1514186064,25192,25192
1514186914,25266,25266
1514187931,25190,25190
1514189440,25230,25230
1514190518,25315,25315
1514191535,25223,25223
1514192185,25271,25271
1514193037,25255,25255
1514194001,25571,25571
1514194951,25466,25466
1514195787,25518,25518
1514196642,25488,25488
1514197525,25545,25545
1514198431,25279,25279
1514199329,25327,25327
1514200472,25299,25299
1514201438,25220,25220
1514202327,25236,25236
1514204067,25264,25264
1514205447,24747,24747
1514206592,24586,24586
1514207390,24538,24538
1514208509,24592,24592
1514209352,24524,24524
1514210924,24481,24481
1514212938,8244,8244
1514214073,24413,24413
1514214935,24461,24461
1514215807,24437,24437
1514216550,24452,24452
1514218836,24620,24620
1514219864,24250,24250
1514220932,24294,24294
1514222065,23909,23909
1514223030,23752,23752
1514223750,23788,23788
1514225434,23868,23868
1514226330,23925,23925
1514227237,23874,23874
1514228130,23937,23937
1514229033,23873,23873
1514230238,23837,23837
1514231133,23864,23864
1514232618,8244,8244
1514233718,23912,23912
1514234551,23791,23791
1514236731,23812,23812
1514238039,23717,23717
1514239834,23669,23669
1514240732,23760,23760
1514242181,23687,23687
1514243209,23693,23693
1514244038,23743,23743
1514245527,24134,24134
1514247331,24153,24153
1514248240,24084,24084
1514249138,24089,24089
1514250203,24071,24071
1514251238,24139,24139
1514252439,24075,24075
1514253332,24140,24140
1514254235,24102,24102
1514255309,24182,24182
1514256239,24084,24084
1514256983,24149,24149
1514257833,24099,24099
1514258824,24188,24188
1514259750,23926,23926
1514261440,23967,23967
1514262493,24046,24046
1514265040,24015,24015
1514266109,24104,24104
1514266944,24027,24027
1514268639,24231,24231
1514269708,24321,24321
1514270549,24254,24254
1514271364,8244,8244
1514272237,24296,24296
1514273440,24250,24250
1514274144,24259,24259
1514274956,24328,24328
1514275834,24306,24306
1514277570,24109,24109
1514278534,24240,24240
1514279442,23962,23962
1514280623,23962,23962
1514281345,23975,23975
1514283270,23997,23997
1514284230,23942,23942
1514285130,23975,23975
1514285783,24045,24045
1514286636,24065,24065
1514287555,24145,24145
1514288437,24087,24087
1514289324,24157,24157
1514290234,24277,24277
1514291418,24249,24249
1514292492,24303,24303
1514293695,24327,24327
1514296307,24455,24455
1514297438,24450,24450
1514298324,24528,24528
1514299233,24488,24488
1514300473,24336,24336
1514301336,24461,24461
1514302547,24417,24417
1514303726,24571,24571
1514304639,24574,24574
1514305623,24685,24685
1514306545,24345,24345
1514307576,24321,24321
1514308536,24438,24438
1514310144,24478,24478
1514311806,24588,24588
1514313045,24586,24586
1514313947,24686,24686
1514315646,8244,8244
1514316647,24684,24684
1514317345,24709,24709
1514319276,24791,24791
1514320533,24794,24794
1514322635,24881,24881
1514323849,24822,24822
1514324730,24802,24802
1514325384,24873,24873
1514326237,24887,24887
1514327433,24891,24891
1514328334,24976,24976
1514329834,24950,24950
1514331021,8244,8244
1514331762,24914,24914
1514333402,25024,25024
1514335326,8244,8244
1514337034,25202,25202
1514337920,25328,25328
1514338951,25340,25340
1514340640,25417,25417
1514341832,25283,25283
1514342706,8244,8244
1514344468,25306,25306
1514346041,25286,25286
1514346933,25355,25355
1514347836,25344,25344
1514348730,25427,25427
1514349639,25422,25422
1514351434,25539,25539
1514352641,25537,25537
1514354184,25627,25627
1514355029,25628,25628
1514356086,25725,25725
1514357138,25645,25645
1514358541,25614,25614
1514359710,25692,25692
1514360542,8244,8244
1514362016,25573,25573
1514362838,25629,25629
1514364024,25311,25311
1514366074,25500,25500
1514367039,25484,25484
1514368311,25563,25563
1514369440,25660,25660
1514370506,25846,25846
1514371368,25871,25871
1514372927,25964,25964
1514373834,26080,26080
1514374837,26055,26055
1514375799,26223,26223
1514376870,26297,26297
1514377708,26430,26430
1514378542,26471,26471
1514380470,26629,26629
1514381490,26729,26729
1514382330,26860,26860
1514384071,26977,26977
1514385742,27077,27077
1514387670,27220,27220
1514388506,27350,27350
1514389342,27150,27150
1514390378,27243,27243
1514391293,27385,27385
1514392110,27537,27537
1514393124,27568,27568
1514394863,27669,27669
1514395706,27755,27755
1514396730,27739,27739
1514398475,27792,27792
1514399444,27776,27776
1514400142,27802,27802
1514401133,8244,8244
1514402041,27887,27887
1514402907,27981,27981
1514403931,27951,27951
1514404875,27894,27894
1514405734,27987,27987
1514406536,28063,28063
1514407343,27930,27930
1514408183,28018,28018
1514409267,28027,28027
1514410114,28125,28125
1514410942,28061,28061
1514412639,28076,28076
1514413539,28169,28169
1514414550,27993,27993
1514416236,27592,27592
1514417309,27734,27734
1514419833,27728,27728
1514420911,27835,27835
1514421750,27796,27796
1514422871,27758,27758
1514423731,27851,27851
1514425233,27852,27852
1514426125,27958,27958
1514427025,27956,27956
1514428107,28149,28149
1514429875,28347,28347
1514430935,28331,28331
1514431838,28319,28319
1514432749,28355,28355
1514434234,28384,28384
1514435434,28341,28341
1514436329,28427,28427
1514438063,28346,28346
1514439754,28248,28248
1514440582,28325,28325
1514441642,28318,28318
1514442511,28394,28394
1514443346,28332,28332
1514444630,28299,28299
1514445455,28369,28369
1514446108,28432,28432
1514446959,28319,28319
1514448057,28212,28212
1514448944,28301,28301
1514449714,28394,28394
1514450542,28332,28332
1514451677,28300,28300
1514452469,28360,28360
1514453556,28417,28417
1514454692,28494,28494
1514455835,28460,28460
1514456731,28530,28530
1514457593,28478,28478
1514459404,28699,28699
1514460516,28859,28859
1514463034,28756,28756
1514464113,28897,28897
1514464956,28820,28820
1514466871,28990,28990
1514468124,29006,29006
1514469323,29141,29141
1514470464,29136,29136
1514471426,29092,29092
1514472143,29104,29104
1514473010,29045,29045
1514473833,29195,29195
1514474727,29489,29489
1514475927,29580,29580
1514477438,29684,29684
1514478327,30160,30160
1514479742,30164,30164
1514481263,30076,30076
1514482104,30198,30198
1514482951,30102,30102
1514483968,30117,30117
1514484864,30251,30251
1514485824,30265,30265
1514486735,30397,30397
1514487873,30385,30385
1514488716,30453,30453
1514489320,30509,30509
1514490131,8244,8244
1514491007,30404,30404
1514491841,30497,30497
1514492062,30514,30514
1514492903,30600,30600
1514493931,30539,30539
1514495283,30475,30475
1514496737,30471,30471
1514497835,30521,30521
1514499269,30560,30560
1514500109,30658,30658
1514501691,30672,30672
1514502637,30567,30567
1514504158,30344,30344
1514505033,30428,30428
1514506462,30441,30441
1514507303,30523,30523
1514508329,30364,30364
1514509812,8244,8244
1514511121,30147,30147
1514511933,30179,30179
1514512873,30117,30117
1514513687,30212,30212
1514514632,30145,30145
1514515537,30260,30260
1514517035,30280,30280
1514518962,30292,30292
1514519932,30287,30287
1514520863,30396,30396
1514521702,30463,30463
1514522559,30417,30417
1514523942,30598,30598
1514524839,30730,30730
1514525311,30764,30764
1514526333,30639,30639
1514528062,30656,30656
1514528902,30711,30711
1514529936,30850,30850
1514531439,30983,30983
1514532631,30963,30963
1514533536,30994,30994
1514535027,8244,8244
1514536958,30813,30813
1514538079,30809,30809
1514538887,30896,30896
1514539851,30690,30690
1514540557,30674,30674
1514542239,30862,30862
1514543439,30899,30899
1514544348,30955,30955
1514544983,31034,31034
1514545848,30925,30925
1514547749,30983,30983
1514548612,30820,30820
1514549670,31014,31014
1514551239,30899,30899
1514552222,30822,30822
1514553036,30930,30930
1514553931,31054,31054
1514554092,8244,8244
1514555725,31082,31082
1514556633,31050,31050
1514557783,8244,8244
1514558720,31485,31485
1514560078,31488,31488
1514562327,31361,31361
1514564076,31317,31317
1514564902,31413,31413
1514565930,31245,31245
1514567232,31215,31215
1514569357,31133,31133
1514570184,31207,31207
1514571035,31134,31134
1514572950,31075,31075
1514574874,31124,31124
1514576574,31018,31018
1514578531,31045,31045
1514579308,8244,8244
1514580933,31018,31018
1514582063,30993,30993
1514582911,31055,31055
1514583935,30978,30978
1514585663,30938,30938
1514586928,30841,30841
1514587807,30918,30918
1514589268,30845,30845
1514590248,30754,30754
1514591132,30758,30758
1514592637,30744,30744
1514593534,30808,30808
1514594556,30702,30702
1514595416,30556,30556
1514596470,30631,30631
1514597302,30680,30680
1514598332,30278,30278
1514599443,30201,30201
1514600439,30269,30269
1514601548,30133,30133
1514602619,30034,30034
1514603435,30091,30091
1514604946,30002,30002
1514606905,30022,30022
1514608946,29956,29956
1514610636,29913,29913
1514611837,29831,29831
1514612549,29832,29832
1514613398,29774,29774
