DateTime,AddedIPs,RemovedIPs
1514126714,67,69
1514128194,74,85
1514129195,41,1
1514130029,32,96
1514130979,42,2
1514132059,44,71
1514132905,28,1
1514133744,46,97
1514134615,42,0
1514135661,50,47
1514136627,42,53
1514137338,29,21
1514139258,104,54
1514140939,63,103
1514141779,26,1
1514142625,29,29
1514144432,43,76
1514145320,26,1
1514146459,43,31
1514147304,30,0
1514148468,42,110
1514149273,29,52
1514150121,49,0
1514151619,56,94
1514152520,32,0
1514153374,53,79
1514154647,59,61
1514155520,46,41
1514157025,68,60
1514158222,57,76
1514159121,43,22
1514160631,69,91
1514162540,91,96
1514164462,72,62
1514165299,34,0
1514166325,34,92
1514166983,34,2
1514168054,41,77
1514169620,63,101
1514171666,78,58
1514173346,50,129
1514174468,36,58
1514175328,28,0
1514176223,36,63
1514176952,27,15
1514177779,37,0
1514178627,35,61
1514179699,39,2
1514180539,26,79
1514182460,55,52
1514183453,34,57
1514184329,30,15
1514184979,39,0
1514186059,50,64
1514186901,31,1
1514187921,39,85
1514189431,54,47
1514190508,51,0
1514191521,21,63
1514192179,30,0
1514193032,23,41
1514193995,33,0
1514194942,40,91
1514195781,37,0
1514196632,32,38
1514197520,41,1
1514198419,47,89
1514199324,38,0
1514200462,40,65
1514201430,29,70
1514202321,39,29
1514204061,63,56
1514205434,66,56
1514206583,44,16
1514207385,31,63
1514208499,33,0
1514209340,35,61
1514210919,49,66
1514214065,104,120
1514214925,32,1
1514215746,25,2
1514216541,52,104
1514218826,75,50
1514219858,49,87
1514220920,45,0
1514222059,44,77
1514223023,45,69
1514223741,19,28
1514225425,70,60
1514226320,33,0
1514227225,25,58
1514228120,29,0
1514229024,44,80
1514230229,52,72
1514231121,38,30
1514233705,96,50
1514234541,35,80
1514236726,80,64
1514238029,45,93
1514239824,95,57
1514240726,43,0
1514242174,53,96
1514243204,47,56
1514244025,32,0
1514245519,76,120
1514247321,72,44
1514248231,25,66
1514249125,41,35
1514250197,36,40
1514251225,33,0
1514252429,45,105
1514253320,23,1
1514254225,38,61
1514255299,38,0
1514256233,26,103
1514256978,23,2
1514257824,22,43
1514258793,30,0
1514259741,40,81
1514261430,69,60
1514262488,37,0
1514265030,90,154
1514266099,42,1
1514266939,37,90
1514268624,39,38
1514269698,37,0
1514270539,32,84
1514272225,66,47
1514273432,45,77
1514274139,25,20
1514274951,36,1
1514275824,33,50
1514277560,67,101
1514278525,38,0
1514279436,18,37
1514280614,49,65
1514281339,28,29
1514283261,101,43
1514284222,60,62
1514285121,47,27
1514285778,36,0
1514286629,52,56
1514287550,42,0
1514288425,47,88
1514289319,54,0
1514290224,33,57
1514291413,44,55
1514292486,42,22
1514293689,42,54
1514296302,133,81
1514297429,47,101
1514298318,28,0
1514299221,42,81
1514300466,52,78
1514301326,38,1
1514302541,53,61
1514303721,53,31
1514304625,38,51
1514305618,40,1
1514306539,25,74
1514307483,31,1
1514308531,44,95
1514310139,53,89
1514311800,59,48
1514313039,42,54
1514313936,48,0
1514316634,76,128
1514317340,38,17
1514319264,78,41
1514320519,53,89
1514322625,62,82
1514323840,56,84
1514324720,29,21
1514325379,23,1
1514326228,25,60
1514327424,68,53
1514328322,34,0
1514329824,60,72
1514331749,76,120
1514333396,59,66
1514337025,125,162
1514337915,27,3
1514338941,54,110
1514340630,82,48
1514341827,43,67
1514344463,84,63
1514346025,45,96
1514346920,40,0
1514347831,28,50
1514348721,35,0
1514349629,31,61
1514351428,55,57
1514352634,39,49
1514354179,56,26
1514355023,36,45
1514356081,47,1
1514357126,30,88
1514358536,48,65
1514359700,38,0
1514360538,27,79
1514362011,53,52
1514362826,36,0
1514364019,46,68
1514366064,70,70
1514367033,32,105
1514368306,45,25
1514369428,32,55
1514370497,44,0
1514371364,37,101
1514372922,78,52
1514373829,26,1
1514374825,47,94
1514375785,61,0
1514376861,52,39
1514377698,29,0
1514378537,45,74
1514380461,62,57
1514381477,26,61
1514382321,26,0
1514384060,65,74
1514385738,63,112
1514387662,80,44
1514388497,31,1
1514389338,24,88
1514390374,41,38
1514391288,50,5
1514392104,30,1
1514393117,36,98
1514394858,72,33
1514395697,31,0
1514396721,32,55
1514398459,69,63
1514399436,57,80
1514400138,38,16
1514402036,87,59
1514402898,37,0
1514403925,31,57
