DateTime,Entries,UniqueIPs
1514126714,9627,9627
1514128194,9616,9616
1514129195,9656,9656
1514130029,9592,9592
1514130979,9632,9632
1514132059,9605,9605
1514132905,9632,9632
1514133744,9581,9581
1514134615,9623,9623
1514135661,9626,9626
1514136627,9615,9615
1514137338,9623,9623
1514139258,9673,9673
1514140939,9633,9633
1514141779,9658,9658
1514142625,9658,9658
1514144432,9625,9625
1514145320,9650,9650
1514146459,9662,9662
1514147304,9692,9692
1514148468,9624,9624
1514149273,9601,9601
1514150121,9650,9650
1514151619,9612,9612
1514152520,9644,9644
1514153374,9618,9618
1514154647,9616,9616
1514155520,9621,9621
1514157025,9629,9629
1514158222,9610,9610
1514159121,9631,9631
1514160631,9609,9609
1514162540,9604,9604
1514164462,9614,9614
1514165299,9648,9648
1514166325,9590,9590
1514166983,9622,9622
1514168054,9586,9586
1514169620,9548,9548
1514171666,9568,9568
1514173346,9489,9489
1514174468,9467,9467
1514175328,9495,9495
1514176223,9468,9468
1514176952,9480,9480
1514177779,9517,9517
1514178627,9491,9491
1514179699,9528,9528
1514180539,9475,9475
1514182460,9478,9478
1514183453,9455,9455
1514184329,9470,9470
1514184979,9509,9509
1514186059,9495,9495
1514186901,9525,9525
1514187921,9479,9479
1514189431,9486,9486
1514190508,9537,9537
1514191521,9495,9495
1514192179,9525,9525
1514193032,9507,9507
1514193995,9540,9540
1514194942,9489,9489
1514195781,9526,9526
1514196632,9520,9520
1514197520,9560,9560
1514198419,9518,9518
1514199324,9556,9556
1514200462,9531,9531
1514201430,9490,9490
1514202321,9500,9500
1514204061,9507,9507
1514205434,9517,9517
1514206583,9545,9545
1514207385,9513,9513
1514208499,9546,9546
1514209340,9520,9520
1514210919,9503,9503
1514214065,9487,9487
1514214925,9518,9518
1514215746,9541,9541
1514216541,9489,9489
1514218826,9514,9514
1514219858,9476,9476
1514220920,9521,9521
1514222059,9488,9488
1514223023,9464,9464
1514223741,9455,9455
1514225425,9465,9465
1514226320,9498,9498
1514227225,9465,9465
1514228120,9494,9494
1514229024,9458,9458
1514230229,9438,9438
1514231121,9446,9446
1514233705,9492,9492
1514234541,9447,9447
1514236726,9463,9463
1514238029,9415,9415
1514239824,9453,9453
1514240726,9496,9496
1514242174,9453,9453
1514243204,9444,9444
1514244025,9476,9476
1514245519,9432,9432
1514247321,9460,9460
1514248231,9419,9419
1514249125,9425,9425
1514250197,9421,9421
1514251225,9454,9454
1514252429,9394,9394
1514253320,9416,9416
1514254225,9393,9393
1514255299,9431,9431
1514256233,9354,9354
1514256978,9375,9375
1514257824,9354,9354
1514258793,9384,9384
1514259741,9343,9343
1514261430,9352,9352
1514262488,9389,9389
1514265030,9325,9325
1514266099,9366,9366
1514266939,9313,9313
1514268624,9314,9314
1514269698,9351,9351
1514270539,9299,9299
1514272225,9318,9318
1514273432,9286,9286
1514274139,9291,9291
1514274951,9326,9326
1514275824,9309,9309
1514277560,9275,9275
1514278525,9313,9313
1514279436,9294,9294
1514280614,9278,9278
1514281339,9277,9277
1514283261,9335,9335
1514284222,9333,9333
1514285121,9353,9353
1514285778,9389,9389
1514286629,9385,9385
1514287550,9427,9427
1514288425,9386,9386
1514289319,9440,9440
1514290224,9416,9416
1514291413,9405,9405
1514292486,9425,9425
1514293689,9413,9413
1514296302,9465,9465
1514297429,9411,9411
1514298318,9439,9439
1514299221,9400,9400
1514300466,9374,9374
1514301326,9411,9411
1514302541,9403,9403
1514303721,9425,9425
1514304625,9412,9412
1514305618,9451,9451
1514306539,9402,9402
1514307483,9432,9432
1514308531,9381,9381
1514310139,9345,9345
1514311800,9356,9356
1514313039,9344,9344
1514313936,9392,9392
1514316634,9340,9340
1514317340,9361,9361
1514319264,9398,9398
1514320519,9362,9362
1514322625,9342,9342
1514323840,9314,9314
1514324720,9322,9322
1514325379,9344,9344
1514326228,9309,9309
1514327424,9324,9324
1514328322,9358,9358
1514329824,9346,9346
1514331749,9302,9302
1514333396,9295,9295
1514337025,9258,9258
1514337915,9282,9282
1514338941,9226,9226
1514340630,9260,9260
1514341827,9236,9236
1514344463,9257,9257
1514346025,9206,9206
1514346920,9246,9246
1514347831,9224,9224
1514348721,9259,9259
1514349629,9229,9229
1514351428,9227,9227
1514352634,9217,9217
1514354179,9247,9247
1514355023,9238,9238
1514356081,9284,9284
1514357126,9226,9226
1514358536,9209,9209
1514359700,9247,9247
1514360538,9195,9195
1514362011,9196,9196
1514362826,9232,9232
1514364019,9210,9210
1514366064,9210,9210
1514367033,9137,9137
1514368306,9157,9157
1514369428,9134,9134
1514370497,9178,9178
1514371364,9114,9114
1514372922,9140,9140
1514373829,9165,9165
1514374825,9118,9118
1514375785,9179,9179
1514376861,9192,9192
1514377698,9221,9221
1514378537,9192,9192
1514380461,9197,9197
1514381477,9162,9162
1514382321,9188,9188
1514384060,9179,9179
1514385738,9130,9130
1514387662,9166,9166
1514388497,9196,9196
1514389338,9132,9132
1514390374,9135,9135
1514391288,9180,9180
1514392104,9209,9209
1514393117,9147,9147
1514394858,9186,9186
1514395697,9217,9217
1514396721,9194,9194
1514398459,9200,9200
1514399436,9177,9177
1514400138,9199,9199
1514402036,9227,9227
1514402898,9264,9264
1514403925,9238,9238
1514404870,9188,9188
1514405725,9224,9224
1514406531,9264,9264
1514407339,9208,9208
1514408178,9238,9238
1514409262,9225,9225
1514410105,9261,9261
1514410938,9206,9206
1514412630,9186,9186
1514413526,9221,9221
1514414541,9180,9180
1514416231,9176,9176
1514417299,9222,9222
1514419824,9181,9181
1514420904,9222,9222
1514421742,9172,9172
1514422865,9162,9162
1514423719,9198,9198
1514425221,9181,9181
1514426117,9207,9207
1514427013,9196,9196
1514428097,9239,9239
1514429870,9245,9245
1514430926,9207,9207
1514431829,9177,9177
1514432744,9192,9192
1514434225,9189,9189
1514435427,9177,9177
1514436319,9226,9226
1514438058,9220,9220
1514439745,9211,9211
1514440577,9243,9243
1514441637,9236,9236
1514442502,9263,9263
1514443341,9225,9225
1514444625,9197,9197
1514445446,9223,9223
1514446098,9251,9251
1514446946,9172,9172
1514448006,9138,9138
1514448925,9167,9167
1514449700,9191,9191
1514450538,9168,9168
1514451665,9121,9121
1514452459,9151,9151
1514453546,9091,9091
1514454682,9099,9099
1514455830,9072,9072
1514456717,9105,9105
1514457585,9045,9045
1514459399,9023,9023
1514460510,9076,9076
1514463025,9036,9036
1514464105,9095,9095
1514464944,9005,9005
1514466866,9018,9018
1514468118,9011,9011
1514469318,9032,9032
1514470459,9011,9011
1514471417,8979,8979
1514472138,8978,8978
1514472998,8988,8988
1514473824,9025,9025
1514474717,9056,9056
1514475918,9023,9023
1514477427,9018,9018
1514478317,9054,9054
1514479738,9037,9037
1514481259,9012,9012
1514482099,9055,9055
1514482943,8990,8990
1514483963,8982,8982
1514484860,9006,9006
1514485814,8990,8990
1514486726,9017,9017
1514487868,8959,8959
1514488708,8997,8997
1514489315,9024,9024
1514491002,8943,8943
1514491832,8971,8971
1514492058,8981,8981
1514492898,9010,9010
1514493919,8961,8961
1514495278,8935,8935
1514496744,8922,8922
1514497822,8954,8954
1514499259,8948,8948
1514500104,8970,8970
1514501686,8953,8953
1514502627,8904,8904
1514504151,8872,8872
1514505020,8907,8907
1514506458,8901,8901
1514507299,8933,8933
1514508319,8933,8933
1514511115,8889,8889
1514511921,8903,8903
1514512866,8899,8899
1514513683,8935,8935
1514514619,8905,8905
1514515525,8929,8929
1514517026,8924,8924
1514518957,8925,8925
1514519883,8919,8919
1514520858,8949,8949
1514521698,8970,8970
1514522546,8933,8933
1514523937,8921,8921
1514524826,8957,8957
1514525298,8966,8966
1514526323,8917,8917
1514528057,8935,8935
1514528898,8977,8977
1514529927,8947,8947
1514531435,8961,8961
1514532625,8928,8928
1514533527,8932,8932
1514536946,8909,8909
1514538072,8902,8902
1514538882,8929,8929
1514539836,8900,8900
1514540548,8916,8916
1514542233,8912,8912
1514543430,8875,8875
1514544338,8886,8886
1514544978,8921,8921
1514545831,8869,8869
1514547740,8880,8880
1514548607,8836,8836
1514549660,8881,8881
1514551226,8875,8875
1514552217,8874,8874
1514553027,8913,8913
1514555721,8965,8965
1514556628,8897,8897
1514558711,8894,8894
1514560069,8894,8894
1514562318,8938,8938
1514564059,8943,8943
1514564898,8974,8974
1514565919,8941,8941
1514567224,8944,8944
1514569346,8954,8954
1514570180,8990,8990
1514571026,8983,8983
1514572941,8985,8985
1514574865,9010,9010
1514576569,8989,8989
1514578524,9014,9014
1514579302,9039,9039
1514580920,9000,9000
1514582058,8983,8983
1514582902,9004,9004
1514583926,8997,8997
1514585658,9007,9007
1514586918,8970,8970
1514587798,8998,8998
1514589258,8968,8968
1514590240,8926,8926
1514591123,8937,8937
1514592627,8943,8943
1514593524,8996,8996
1514594547,8982,8982
1514595407,8960,8960
1514596461,9009,9009
1514597297,9052,9052
1514598322,9015,9015
1514599438,9001,9001
1514600426,9037,9037
1514601543,9025,9025
1514602613,9007,9007
1514603430,9034,9034
1514604941,8997,8997
1514606893,9029,9029
1514608942,9062,9062
1514610627,9042,9042
1514611828,9024,9024
1514612540,9028,9028
1514613393,9012,9012
1514614226,9045,9045
1514615118,9080,9080
1514617272,9048,9048
1514619039,9057,9057
1514619926,9075,9075
1514620634,9048,9048
1514621666,9080,9080
1514623339,9075,9075
1514629700,9103,9103
1514630704,9076,9076
1514631400,9049,9049
1514632459,9089,9089
1514634138,9066,9066
1514635828,9078,9078
1514637023,9033,9033
1514639429,9050,9050
1514639657,9058,9058
1514640624,9035,9035
1514641342,9056,9056
1514642391,9046,9046
1514643321,9079,9079
1514644825,9097,9097
1514645729,9139,9139
1514646625,9105,9105
1514647478,9131,9131
1514648546,9117,9117
1514650825,9145,9145
1514651302,9157,9157
1514652322,9102,9102
1514653825,9097,9097
1514654720,9132,9132
1514655738,9103,9103
1514658318,9107,9107
1514659341,9070,9070
1514661257,9112,9112
1514662104,9152,9152
1514662938,9117,9117
1514664628,9177,9177
1514665526,9210,9210
1514666430,9147,9147
1514667296,9186,9186
1514668231,9161,9161
1514669224,9187,9187
1514670981,9167,9167
1514671827,9151,9151
1514673738,9133,9133
1514674579,9175,9175
1514675426,9164,9164
1514676318,9200,9200
1514677338,9142,9142
1514678521,9139,9139
1514679613,9176,9176
1514682922,9151,9151
1514683698,9187,9187
1514685397,9140,9140
1514686231,9174,9174
1514686460,9181,9181
1514688140,9141,9141
1514689179,9155,9155
1514690061,9176,9176
1514691066,9164,9164
1514691742,9161,9161
1514693433,9176,9176
1514695339,9172,9172
1514696262,9201,9201
1514697259,9192,9192
1514698250,9161,9161
1514698940,9155,9155
1514700626,9152,9152
1514701688,9185,9185
1514702727,9128,9128
1514703398,9145,9145
1514704228,9130,9130
1514705298,9150,9150
1514707198,9084,9084
1514708128,9116,9116
1514709742,9079,9079
1514711432,9102,9102
1514713412,9070,9070
1514714364,9041,9041
1514715267,9066,9066
1514716827,9038,9038
1514717721,9075,9075
1514718628,9059,9059
