DateTime,AddedIPs,RemovedIPs
1511592154,1,0
1511596660,1,0
1511602245,0,1
1511606449,0,1
1511608242,0,1
1511611854,0,1
1511622885,1,0
1511642747,0,1
1511651453,0,1
1511658644,1,0
1511659714,1,0
1511663439,0,1
1511666305,4,0
1511676169,0,1
1511680004,1,0
1511688650,0,1
1511693738,0,1
1511694650,0,1
1511700154,0,1
1511701845,0,1
1511704166,1,0
1511709051,0,1
1511711734,1,0
1511716507,0,1
1511730895,1,0
1511737549,1,1
1511738455,1,1
1511745047,0,1
1511746847,1,0
1511747701,1,0
1511751396,1,0
1511752242,0,1
1511756080,5,1
1511771607,2,0
1511772175,1,0
1511778792,0,1
1511783145,1,1
1511791466,0,1
1511829671,0,2
1511839714,1,0
1511840748,1,0
1511841402,1,0
1511854244,0,1
1511859401,4,0
1511869358,0,1
1511872007,0,1
1511877417,1,0
1511889046,1,0
1511894454,1,1
1511901352,0,1
1511912564,0,1
1511923355,0,2
1511925052,0,1
1511926240,0,1
1511928234,1,0
1511933318,1,0
1511953741,0,1
1511960369,1,0
1511961352,1,1
1511965894,0,1
1511970048,0,1
1511973659,1,0
1511980842,0,1
1511985656,1,0
1511999809,1,0
1512000650,1,0
1512002746,0,1
1512009114,0,2
1512011374,0,1
1512013379,2,0
1512015055,0,1
1512016895,0,1
1512028982,0,4
1512032517,1,0
1512035801,1,0
1512040262,0,1
1512041772,1,0
1512045636,4,0
1512050194,1,0
1512084420,1,0
1512096194,0,1
1512097168,0,2
1512099749,3,0
1512117767,0,1
1512126642,0,1
1512128445,1,8
1512131312,0,1
1512140117,0,1
1512142953,0,2
1512144091,1,0
1512144946,1,0
1512148242,0,1
1512161804,4,0
1512162644,2,0
1512163644,3,0
1512164447,0,2
1512171944,0,1
1512182707,1,2
1512185749,0,1
1512187860,2,0
1512193360,0,1
1512201686,0,1
1512203972,0,1
1512207755,1,0
1512210646,0,1
1512211541,1,0
1512214959,1,3
1512220473,0,1
1512225038,0,1
1512227092,0,1
1512241839,1,0
1512252876,1,0
1512254733,0,1
1512256484,0,1
1512263682,1,0
1512268248,0,2
1512268961,15,0
1512270873,2,0
1512283535,2,0
1512287145,0,6
1512297941,0,2
1512303048,0,1
1512306602,0,1
1512310246,1,0
1512314736,0,1
1512319552,0,1
1512325344,1,0
1512331668,0,5
1512333135,0,2
1512342643,1,1
1512343846,1,1
1512345996,1,1
1512353675,1,1
1512355360,0,1
1512356506,0,1
1512359803,1,0
1512366154,0,1
1512369945,0,1
1512385849,1,2
1512388598,4,0
1512401460,0,1
1512413145,1,0
1512415855,1,1
1512421846,0,1
1512423762,0,1
1512425451,1,0
1512435396,0,3
1512441755,0,1
1512447047,0,18
1512452747,0,1
1512458684,1,0
1512463547,1,0
1512468897,0,1
1512475856,0,1
