DateTime,AddedIPs,RemovedIPs
1514414405,3,58
1514415011,0,63
1514415606,34,11
1514416212,1,62
1514416810,96,67
1514417404,0,8
1514418305,4,59
1514418612,10,55
1514419206,4,27
1514419807,3,58
1514420404,4,30
1514421308,30,86
1514421910,5,88
1514422505,3,20
1514423113,1,78
1514423706,3,40
1514424607,9,78
1514425212,9,91
1514425528,49,99
1514426111,5,58
1514426711,14,85
1514427305,7,26
1514427910,3,57
1514428504,18,20
1514429104,4,6
1514429710,7,58
1514430307,0,29
1514430629,5,21
1514431286,11,69
1514431819,12,86
1514432425,6,17
1514433096,10,82
1514433605,12,7
1514433909,3,59
1514434811,14,85
1514435444,1,9
1514436045,11,79
1514436615,8,63
1514437205,24,6
1514437509,16,56
1514438406,34,80
1514439005,5,18
1514439609,12,75
1514440205,4,4
1514440509,32,58
1514441105,17,8
1514441408,0,62
1514442004,106,28
1514442307,16,56
1514442904,29,2
1514443506,29,53
1514444105,32,31
1514445004,89,66
1514445612,60,74
1514446204,39,3
1514446811,34,76
1514447405,33,43
1514448005,1,63
1514448604,34,22
1514448912,0,128
1514449806,50,24
1514450404,30,75
1514451004,10,5
1514451307,26,57
1514452207,15,80
1514452804,29,11
1514453106,0,52
1514453704,27,8
1514454309,7,75
1514455209,26,58
1514456115,4,59
1514456704,45,27
1514457616,20,140
1514458811,3,81
1514459708,28,72
1514460303,13,16
1514460605,3,19
1514461205,2,61
1514461807,10,56
1514462405,30,28
1514463006,26,58
1514463605,4,8
1514464204,5,59
1514464804,71,5
1514465704,41,97
1514466312,0,98
1514466904,3,12
1514467207,11,51
1514468111,5,55
1514468703,33,7
1514469006,2,22
1514469604,3,58
1514470209,16,62
1514470803,4,7
1514471407,5,66
1514472005,22,8
1514472308,4,53
1514472905,110,21
1514473509,11,88
1514474104,6,6
1514474708,3,68
1514475903,24,21
1514476504,6,1
1514477105,2,7
1514477704,4,5
1514478308,22,76
1514478904,2,21
1514479809,18,45
1514480404,43,5
1514481304,10,88
1514481903,68,8
1514482504,7,8
1514483103,4,13
1514483705,4,13
1514484305,5,15
1514484904,5,23
1514485504,2,24
1514486104,1,8
1514486704,45,4
1514487304,6,14
1514487907,3,43
1514488504,79,10
1514489106,8,12
1514489704,5,54
1514490304,1,2
1514490905,17,14
1514491506,1,20
1514492104,1,12
1514492704,5,6
1514493305,12,13
1514493904,18,9
1514494504,25,16
1514495108,17,46
1514495704,5,8
1514496903,15,11
1514497505,5,14
1514498104,6,9
1514498705,0,7
1514499304,7,3
1514499905,7,13
1514500504,7,11
1514501103,22,1
1514501705,2,17
1514502303,2,18
1514502912,5,88
1514504104,27,11
1514504705,5,7
1514505304,9,16
1514505904,10,6
1514506504,5,8
1514507418,8,27
1514508030,6,7
1514508614,2,6
1514509206,5,4
1514509804,5,5
1514510404,18,6
1514511004,4,6
1514511605,6,7
1514512208,9,48
1514512818,7,27
1514513404,51,17
1514514606,24,26
1514515204,1,2
1514516116,16,6
1514516708,3,5
1514517910,16,18
1514518540,6,10
1514519113,18,2
1514519741,6,4
1514520329,16,7
1514520906,17,2
1514521567,30,9
1514522211,24,3
1514522704,30,8
1514523311,21,2
1514523904,33,23
1514524504,30,29
1514525104,11,14
1514525707,42,3
1514526306,22,17
1514526906,6,29
1514527507,127,18
1514528108,13,85
1514528705,15,18
1514529305,28,28
1514529904,10,26
1514530807,16,70
1514531404,63,48
1514532008,2,12382
1514532609,12328,7
1514533209,20,57
1514533806,30,29
1514534404,14,0
1514535005,36,32
1514535606,4,32
1514536205,7,12
1514536806,36,32
1514537404,4,5
1514538005,26,38
1514539204,35,34
1514540107,29,34
1514540705,4,6
1514541305,29,9
1514541903,8,26
1514542503,29,2
1514543107,8,46
1514543703,2,25
1514544302,3,2
1514544905,22,4
1514545503,1,1
1514546105,51,22
1514546705,16,19
1514547304,18,8
1514547904,9,4
1514548505,9,16
1514549104,14,23
1514549705,24,28
1514550305,6,6
1514550905,113,12
1514551506,6,91
1514552106,6,8
1514552704,9,5
1514553305,57,6
1514553904,5,13
1514554504,6,5
1514555104,6,36
1514555704,15,1
1514556304,3,18
1514556904,25,10
1514557503,18,6
1514558107,2,24
1514559008,2,47
1514559604,44,61
1514560205,20,18
1514560804,5,5
1514561404,24,3
1514562004,51,8
1514562605,110,22
1514563205,4,7
1514563804,5,5
1514564405,1,21
1514565004,2,5
1514565604,1,6
1514566203,13,2
1514566506,3,50
1514567103,43,6
1514567704,4,3
1514568307,3,57
1514568903,2,11
1514569504,6,6
1514570104,2,3
1514570704,3,7
1514571304,2,4
1514571903,7,2
1514572503,7,2
1514572806,4,39
1514573404,2,11
1514574003,2,5
1514574608,122,72
1514575206,5,9
1514575804,47,6
1514576405,5,6
1514577005,5,3
1514577606,2,17
1514578203,20,1
1514578804,5,5
1514579404,2,15
1514580005,14,22
1514580605,2,26
1514581204,2,5
1514581803,18,13
1514582403,1,8
1514583004,13,7
1514583604,2,9
1514584804,17,14
1514585405,7,7
1514586004,8,7
1514586604,4,10
1514587204,0,6
1514587803,20,19
1514588404,7,4
1514589004,17,6
1514589605,5,8
1514590206,1,17
1514590805,3,2
1514591405,15,8
1514592006,20,10
1514592603,8,6
1514593204,8,6
1514593811,11,6
1514594441,18,4
1514595005,5,2
1514595605,3,4
1514596204,19,4
1514596807,3,17
1514597408,4,7
1514598008,5,493
1514598605,507,8
1514599205,1,10140
1514599808,10127,33
1514600405,15,5
1514601006,3,12
1514601607,19,9
1514602207,2,13
1514602805,15,7
1514603407,4,21
1514604025,4,2
1514604608,19,4
1514605220,2,9
1514605808,5,14
1514606421,4,5
1514607005,24,13
1514608234,10,65
1514608807,5,29
1514609195,20,4
1514609732,3,22
1514610303,7,32
1514610905,10,28
1514611504,19,11
1514612106,13,38
1514612705,6,19
1514613304,19,4
1514613910,47,113
1514614504,3,14
1514615104,1,15
1514615706,3,23
1514616304,17,9
1514616905,2,17
1514617505,1,18
1514618103,16,40
1514618706,3,31
1514619304,3,7
1514619903,1,18
1514620206,4,25
1514620804,13,16
1514621406,2,32
1514622004,5,7
1514622604,12,6
1514622907,1,35
1514623504,5,5
1514624105,2,18
1514624704,5,5
1514625306,16,26
1514625904,4,9
1514626506,4,19
1514627104,25,5
1514627704,77,25
1514628303,0,8
1514628906,7,26
1514629504,6,5
1514630103,16,4
1514630704,7,6
1514631305,2,22
