DateTime,Entries,UniqueIPs
1514414405,22711,22711
1514415011,22648,22648
1514415606,22671,22671
1514416212,22610,22610
1514416810,22639,22639
1514417404,22631,22631
1514418305,22576,22576
1514418612,22531,22531
1514419206,22508,22508
1514419807,22453,22453
1514420404,22427,22427
1514421308,22371,22371
1514421910,22288,22288
1514422505,22271,22271
1514423113,22194,22194
1514423706,22157,22157
1514424607,22088,22088
1514425212,22006,22006
1514425528,21956,21956
1514426111,21903,21903
1514426711,21832,21832
1514427305,21813,21813
1514427910,21759,21759
1514428504,21757,21757
1514429104,21755,21755
1514429710,21704,21704
1514430307,21675,21675
1514430629,21659,21659
1514431286,21601,21601
1514431819,21527,21527
1514432425,21516,21516
1514433096,21444,21444
1514433605,21449,21449
1514433909,21393,21393
1514434811,21322,21322
1514435444,21314,21314
1514436045,21246,21246
1514436615,21191,21191
1514437205,21209,21209
1514437509,21169,21169
1514438406,21123,21123
1514439005,21110,21110
1514439609,21047,21047
1514440205,21047,21047
1514440509,21021,21021
1514441105,21030,21030
1514441408,20968,20968
1514442004,21046,21046
1514442307,21006,21006
1514442904,21033,21033
1514443506,21009,21009
1514444105,21010,21010
1514445004,21033,21033
1514445612,21019,21019
1514446204,21055,21055
1514446811,21013,21013
1514447405,21003,21003
1514448005,20941,20941
1514448604,20953,20953
1514448912,20825,20825
1514449806,20851,20851
1514450404,20806,20806
1514451004,20811,20811
1514451307,20780,20780
1514452207,20715,20715
1514452804,20733,20733
1514453106,20681,20681
1514453704,20700,20700
1514454309,20632,20632
1514455209,20600,20600
1514456115,20545,20545
1514456704,20563,20563
1514457616,20443,20443
1514458811,20365,20365
1514459708,20321,20321
1514460303,20318,20318
1514460605,20302,20302
1514461205,20243,20243
1514461807,20197,20197
1514462405,20199,20199
1514463006,20167,20167
1514463605,20163,20163
1514464204,20109,20109
1514464804,20175,20175
1514465704,20119,20119
1514466312,20021,20021
1514466904,20012,20012
1514467207,19972,19972
1514468111,19922,19922
1514468703,19948,19948
1514469006,19928,19928
1514469604,19873,19873
1514470209,19827,19827
1514470803,19824,19824
1514471407,19763,19763
1514472005,19777,19777
1514472308,19728,19728
1514472905,19817,19817
1514473509,19740,19740
1514474104,19740,19740
1514474708,19675,19675
1514475903,19678,19678
1514476504,19683,19683
1514477105,19678,19678
1514477704,19677,19677
1514478308,19623,19623
1514478904,19604,19604
1514479809,19577,19577
1514480404,19615,19615
1514481304,19537,19537
1514481903,19597,19597
1514482504,19596,19596
1514483103,19587,19587
1514483705,19578,19578
1514484305,19568,19568
1514484904,19550,19550
1514485504,19528,19528
1514486104,19521,19521
1514486704,19562,19562
1514487304,19554,19554
1514487907,19514,19514
1514488504,19583,19583
1514489106,19579,19579
1514489704,19530,19530
1514490304,19529,19529
1514490905,19532,19532
1514491506,19513,19513
1514492104,19502,19502
1514492704,19501,19501
1514493305,19500,19500
1514493904,19509,19509
1514494504,19518,19518
1514495108,19489,19489
1514495704,19486,19486
1514496903,19490,19490
1514497505,19481,19481
1514498104,19478,19478
1514498705,19471,19471
1514499304,19475,19475
1514499905,19469,19469
1514500504,19465,19465
1514501103,19486,19486
1514501705,19471,19471
1514502303,19455,19455
1514502912,19372,19372
1514504104,19388,19388
1514504705,19386,19386
1514505304,19379,19379
1514505904,19383,19383
1514506504,19380,19380
1514507418,19361,19361
1514508030,19360,19360
1514508614,19356,19356
1514509206,19357,19357
1514509804,19357,19357
1514510404,19369,19369
1514511004,19367,19367
1514511605,19366,19366
1514512208,19327,19327
1514512818,19307,19307
1514513404,19341,19341
1514514606,19339,19339
1514515204,19338,19338
1514516116,19348,19348
1514516708,19346,19346
1514517910,19344,19344
1514518540,19340,19340
1514519113,19356,19356
1514519741,19358,19358
1514520329,19367,19367
1514520906,19382,19382
1514521567,19403,19403
1514522211,19424,19424
1514522704,19446,19446
1514523311,19465,19465
1514523904,19475,19475
1514524504,19476,19476
1514525104,19473,19473
1514525707,19512,19512
1514526306,19517,19517
1514526906,19494,19494
1514527507,19603,19603
1514528108,19531,19531
1514528705,19528,19528
1514529305,19528,19528
1514529904,19512,19512
1514530807,19458,19458
1514531404,19473,19473
1514532008,7093,7093
1514532609,19414,19414
1514533209,19377,19377
1514533806,19378,19378
1514534404,19392,19392
1514535005,19396,19396
1514535606,19368,19368
1514536205,19363,19363
1514536806,19367,19367
1514537404,19366,19366
