DateTime,Entries,UniqueIPs
1483880516,28240,29624
1483902550,28245,29629
1483924610,28212,29597
1483946685,28212,29597
1483968927,27940,29299
1483990825,27940,29299
1484012926,27930,29295
1484034883,27909,29275
1484057066,27883,29248
1484078913,27865,29228
1484100803,27850,29211
1484122858,27840,29199
1484144922,27662,29010
1484166773,27669,29017
1484188816,27695,29044
1484210927,27722,29074
1484233023,27568,28907
1484254889,27559,28897
1484276944,27543,28880
1484299247,27559,28895
1484321329,27252,28552
1484343169,27251,28552
1484365229,27258,28560
1484387334,27249,28553
1484409427,26942,28213
1484431295,26957,28230
1484453332,26983,28257
1484475398,26665,27930
1484497475,26645,27905
1484519572,26640,27900
1484541627,26634,27894
1484563498,26295,27537
1484585686,26267,27508
1484607702,26290,27531
1484629731,26318,27560
1484651586,25897,27107
1484673671,25578,26755
1484695737,25571,26745
1484717619,25581,26754
1484739640,24841,25952
1484761698,23962,24978
1484783579,24000,25018
1484805694,24013,25032
1484827755,24004,25023
1484849810,24004,25024
1484871901,24003,25022
1484893952,24045,25064
1484915807,24033,25057
1484937872,24042,25064
1484959720,24065,25087
1484981570,24081,25107
1485003730,24018,25041
1485025717,23547,24542
1485047569,23559,24554
1485069652,23567,24563
1485091754,23346,24332
1485113800,23339,24324
1485135873,23359,24345
1485157967,23367,24357
1485180156,23324,24313
1485202101,23343,24332
1485223949,23373,24364
1485246028,23389,24379
1485268099,23346,24334
1485289957,23953,24983
1485312070,23961,24992
1485334139,23973,25001
1485356198,24508,25547
1485378287,24502,25540
1485400357,24526,25565
1485422479,24580,25620
1485796624,21416,22264
1485818668,21452,22301
1485840517,21458,22307
1485862625,22254,23130
1485884679,22692,23618
1485906542,23315,24303
1485928606,23315,24303
1485950737,23445,24445
1485973031,23704,24729
1485995098,23886,24929
1486017166,23885,24929
1486039253,23639,24677
1486061358,24546,25683
1486083391,24951,26130
1486105308,24948,26128
1486127349,25215,26421
1486149669,25655,26914
1486171975,25667,26928
1486194037,25663,26923
1486215909,26043,27331
1486237974,26111,27409
1486260116,26129,27428
1486282138,26148,27448
1486304477,26415,27753
1486326602,26535,27879
1486348625,26532,27876
1486370703,26576,27921
1486392936,26647,27997
1486414891,26665,28017
1486436936,26679,28032
1486458779,26703,28058
1486481109,26784,28147
1486503156,26805,28173
1486525003,26831,28199
1486546845,26839,28207
1486568710,26757,28136
1486590764,26773,28152
1486612905,26789,28163
1486634916,26801,28174
1486656779,27033,28437
1486678896,27107,28525
1486700926,27121,28539
1486722990,27146,28565
1486744840,27289,28736
1486766911,27396,28874
1486788753,27385,28861
1486810914,27776,29271
1486832919,27853,29368
1486854997,27989,29528
1486876851,27993,29532
1486898912,28508,30079
1486920775,28712,30310
1486942838,28724,30324
1486964905,28729,30331
1486986753,29232,30863
1487008908,29328,30979
1487030931,29336,30987
1487052996,29316,30967
1487074875,29421,31087
1487096915,29432,31098
1487119030,29441,31107
1487141061,29453,31120
1487162914,29554,31246
1487184773,29576,31268
1487206909,29587,31278
1487228930,29585,31274
1487250786,29694,31403
1487272839,29687,31397
1487294905,29685,31395
1487316776,29687,31398
1487338648,29947,31710
1487360705,29940,31703
1487382748,29908,31669
1487404716,29910,31672
1487426661,29962,31737
1487448518,29950,31724
1487470580,29945,31719
1487492473,29913,31685
1487514505,30011,31785
1487536606,30007,31780
1487558669,30017,31789
1487580518,29995,31767
1487602364,30150,31945
1487624525,30160,31955
1487646526,30163,31956
1487668588,30174,31966
1487690665,30178,31981
1487712507,30246,32052
1487734359,30234,32039
1487756413,30234,32038
1487778289,30108,31900
1487800134,30120,31914
1487822204,30110,31905
1487844160,30120,31911
1487866116,29951,31723
1487887961,29807,31567
1487910054,29826,31585
1487932105,29852,31616
1487953971,29159,30838
1487976042,29336,31035
1487998129,29410,31124
1488020222,29346,31058
1488042117,29439,31160
1488064139,29490,31212
1488085980,29499,31222
1506805047,785,807
1506827218,11062,11358
1506849144,11429,11730
1506871240,11765,12070
1506893310,12139,12451
1506915160,12462,12780
1506937219,12736,13058
1506959082,12986,13311
1506981138,13287,13618
1507002988,13602,13943
1507024842,13774,14115
1507046902,14064,14411
1507068752,14161,14508
1507090859,14264,14611
1507112929,14453,14804
1507134984,14803,15164
1507157498,15175,15546
1507179395,15496,15872
1507201472,15829,16209
1507223821,16077,16465
1507245877,16344,16744
1507268220,16633,17049
1507290514,16820,17241
1507312645,16984,17412
1507334662,17156,17592
1507356509,17307,17757
1507378373,17479,17937
1507400442,17610,18073
1507422614,17745,18214
1507444668,17859,18330
1507466658,18024,18500
1507488502,18173,18658
1507510453,18297,18783
1507532457,18426,18914
1507554762,18542,19035
1507577075,18664,19166
1507599144,18810,19319
1507621244,18911,19424
1507643088,19067,19581
1507665470,19180,19701
1507687471,19307,19833
1507709541,19414,19943
1507731414,19547,20079
1507753456,19669,20204
1507775554,19799,20341
1507797415,19888,20433
1507819711,20018,20564
1507841778,20114,20663
1507863646,20194,20753
1507885709,20276,20840
1507907799,20388,20963
1507929820,20470,21051
1507951957,20527,21113
1507974018,20587,21174
1507996153,20632,21219
1508018180,20678,21268
1508040094,20748,21341
1508062107,20841,21438
1508083981,20869,21467
1508106009,20893,21495
1508127885,20926,21528
1508150002,21006,21612
1508172019,21062,21670
1508193874,21126,21739
1508215938,21173,21788
1508237833,21206,21823
1508259868,21265,21886
1508281948,21341,21967
1508303793,21412,22039
1508325854,21474,22102
1508347708,21558,22194
1508369564,21623,22265
1508391625,21673,22317
1508413689,21722,22369
1508435605,21770,22422
1508457650,21809,22463
1508479608,21839,22494
1508501597,21906,22565
1508525002,21953,22613
1508546914,21980,22640
1508568785,22003,22665
1508590823,22027,22690
1508612679,22061,22728
1508634531,22092,22764
1508656851,22110,22785
1508679024,22127,22803
1508700973,22151,22829
1508722824,22172,22854
1508744672,22187,22870
1508766767,22218,22905
1508788895,22262,22952
1508810917,22313,23003
1508833008,22357,23051
1508855054,22410,23105
1508876929,22470,23169
1508899004,22538,23241
1508920849,22552,23255
1509185312,23210,23948
1509207515,23285,24026
1509230260,23343,24087
1509252277,23351,24096
1509274339,23384,24132
1509296202,23461,24212
1509318054,23476,24228
1509340087,23483,24238
1509361957,23547,24307
1509384046,23615,24376
1509406559,23640,24402
1509428613,23629,24387
1509450512,23636,24393
1509472586,23621,24379
1509494524,23625,24388
1509516772,23615,24378
1509538856,23612,24373
1509560898,23617,24379
1509605069,23532,24285
1510066111,22528,23232
1510088042,22593,23295
1510110119,22613,23316
1510132360,22618,23326
1510154466,22655,23364
1510176511,22637,23345
1510198427,22594,23298
1510220471,22607,23310
1510242759,22586,23289
1510264837,22592,23295
1510286903,22577,23280
1510308747,22578,23282
1510330598,22552,23255
1510352722,22505,23207
1510374766,22510,23209
1510396838,22512,23211
1510418680,22484,23180
1510440729,22428,23120
1510462597,22399,23090
1510484676,22393,23083
1510506743,22349,23036
1510528827,22310,22991
1510550671,22303,22984
1510572750,22327,23011
1510594594,22346,23033
1510616675,22349,23042
1510638658,22354,23044
1510660596,22303,22990
1510682692,22354,23041
1510704750,22423,23117
1510726849,22426,23122
1510748911,22396,23092
1510770881,22406,23105
1510792821,22389,23093
1510814666,22398,23104
1510836672,22456,23163
1510858593,22476,23169
1510880491,22492,23189
1510902507,22481,23182
1510924367,22470,23174
1510946223,22514,23208
1510968263,22534,23235
1510990464,22508,23210
1511012677,22522,23223
1511035046,22497,23197
1511056892,22512,23215
1511078905,22555,23257
1511100752,22529,23228
1511122965,22565,23266
1511144896,22598,23302
1511166754,22624,23327
1511188693,22634,23342
1511210657,22666,23370
1511232505,22726,23431
1511254523,22758,23464
1511276446,22794,23501
1511298521,22905,23617
1511320752,22990,23707
1511342655,23028,23749
1511364518,23097,23814
1511386363,23145,23867
1511408452,23169,23892
1511430531,23169,23893
1511452386,23170,23896
1511474443,23127,23848
1511496475,23106,23826
1511518373,23130,23848
1511540444,23186,23905
1511562500,23234,23954
1511584599,23286,24009
1511606678,23333,24060
1511628751,23372,24100
1511650844,23412,24140
1511672975,23432,24164
1511694994,23451,24184
1511717361,23487,24222
1511739755,23516,24253
1511761964,23539,24278
1511784060,22902,23598
1511805962,22905,23597
1511827986,22941,23633
1511850043,22971,23666
1511871909,23035,23728
1511893972,23016,23712
1511916022,23065,23766
1511937874,23103,23800
1511959802,23077,23778
1511981793,23104,23811
1512003884,23116,23826
1512025967,23147,23855
1512048036,23189,23901
1512070113,23247,23960
1512091968,23315,24029
1512113827,23383,24106
1512136313,23416,24141
1512158217,23419,24146
1512180285,23474,24207
1512202373,23423,24156
1512224459,23465,24202
1512246345,23517,24255
1512268391,23569,24309
1512290678,23590,24330
1512312764,23692,24440
1512334728,23768,24524
1512356911,23833,24593
1512378754,23899,24659
1512400826,23972,24742
1512422934,24073,24851
1512444797,24138,24925
1512466810,24187,24977
1512488670,24275,25070
1512510522,24328,25127
1512532381,24381,25182
1512554454,24417,25220
1512576524,24485,25290
1512602940,24535,25342
1512625244,24569,25376
1512647582,24603,25410
1512669665,24539,25345
1512691704,24506,25309
1512713547,24488,25288
1512735437,24509,25308
1512757489,24472,25271
1512779342,24475,25273
1512801402,24478,25274
1512823487,24462,25259
1512845329,24468,25264
1512867229,24445,25243
1512889289,24427,25225
1512911569,24428,25231
1512933436,24433,25235
1512955469,24448,25246
1512977573,24457,25258
1512999643,24501,25308
1513021717,24539,25345
1513043561,24580,25390
1513065430,24606,25418
1513087288,24599,25411
1513186390,24782,25610
1513208538,24809,25637
1513230550,24796,25627
1513252858,24767,25597
1513274708,24770,25604
1513297317,24781,25615
1513319329,24793,25627
1513341649,24840,25675
1513363966,24844,25676
1513386274,24825,25655
1513408372,24832,25660
1513430452,24837,25665
1513452948,24795,25624
1513475080,24775,25606
1513497184,24793,25632
1513519305,24816,25652
1513541292,24776,25613
1513563164,24757,25594
1513585016,24765,25604
1513606973,24767,25606
1513629167,24780,25618
1513651245,24797,25635
1513673565,24802,25640
1513695973,24841,25675
1513718207,24816,25654
1513740119,24824,25664
1513762079,24838,25681
1513783979,24893,25738
1513806021,24912,25759
1513827883,24897,25743
1513849973,24921,25768
1513872310,24964,25811
1513894162,24949,25791
1513916201,24914,25752
1513938227,24923,25759
1513960124,24896,25732
1513982206,24868,25704
1514004262,24848,25683
1514026112,24838,25674
1514048033,24796,25634
1514070204,24793,25631
1514092107,24781,25619
1514114046,24785,25625
1514136261,24784,25624
1514159255,24796,25640
1514181402,24800,25644
1514203843,24829,25673
1514225791,24817,25660
1514247862,24822,25668
1514269970,24842,25687
1514292027,24861,25704
1514314136,24882,25722
1514336217,24902,25743
1514358283,24929,25772
1514380132,24910,25750
1514402222,24872,25711
1514424274,24794,25632
1514446192,24812,25647
1514468463,24791,25627
1514490514,24769,25600
1514512391,24773,25602
1514534235,24784,25611
1514556280,24740,25565
1514578260,24698,25520
1514600140,24669,25490
1514622055,24645,25462
1514644536,24617,25431
1514666438,24581,25394
1514688519,24552,25366
1514710766,24497,25308
