DateTime,AddedIPs,RemovedIPs
1483880516,1577,154
1483902550,39,39
1483924610,17,27
1483946685,35,22
1483968927,439,223
1483990825,18,1280
1484012926,42,47
1484034883,33,23
1484057066,44,2522
1484078913,21,37
1484100803,6,35
1484122858,17,37
1484144922,74,407
1484166773,80,381
1484188816,89,32
1484210927,184,46
1484233023,38,1844
1484254889,49,38
1484276944,39,39
1484299247,50,44
1484321329,31,1189
1484343169,75,36
1484365229,81,54
1484387334,61,38
1484409427,57,2530
1484431295,52,45
1484453332,73,41
1484475398,42,31
1484497475,3,56
1484519572,0,43
1484541627,0,18
1484563498,39,30
1484585686,22,6166
1484607702,49,29
1484629731,84,44
1484651586,49,34
1484673671,43,42
1484695737,57,24
1484717619,53,6
1484739640,47,16
1484761698,131,71
1484783579,227,82
1484805694,40,91
1484827755,5678,199
1484849810,69,41
1484871901,78,48
1484893952,143,37
1484915807,995,53
1484937872,68,26
1484959720,65,71
1484981570,87,74
1485003730,49,61
1485025717,68,54
1485047569,51,54
1485069652,25,67
1485091754,2827,36
1485113800,10,3
1485135873,76,0
1485157967,60,0
1485180156,2272,33
1485202101,59,21
1485223949,79,48
1485246028,55,61
1485268099,43,42
1485289957,1152,34
1485312070,50,50
1485334139,42,46
1485356198,2033,31
1485378287,31,41
1485400357,67,132
1485422479,121,28
1485796624,27,4586
1485818668,119,51
1485840517,29,85
1485862625,1404,46
1485884679,1572,1268
1485906542,1732,1008
1485928606,13,36
1485950737,734,32
1485973031,1490,3568
1485995098,1005,35
1486017166,21,86
1486039253,476,177
1486061358,2611,0
1486083391,887,0
1486105308,23,0
1486127349,681,0
1486149669,1128,0
1486171975,52,0
1486194037,42,0
1486215909,923,0
1486237974,250,0
1486260116,68,0
1486282138,62,0
1486304477,691,0
1486326602,290,0
1486348625,53,0
1486370703,101,0
1486392936,261,0
1486414891,76,10
1486436936,64,27
1486458779,58,19
1486481109,204,1004
1486503156,86,633
1486525003,75,476
1486546845,58,9
1486568710,405,424
1486590764,31,390
1486612905,63,435
1486634916,56,17
1486656779,610,514
1486678896,138,1056
1486700926,44,554
1486722990,58,17
1486744840,497,666
1486766911,357,1071
1486788753,42,42
1486810914,1071,28
1486832919,362,870
1486854997,542,581
1486876851,41,55
1486898912,1227,46
1486920775,884,717
1486942838,68,662
1486964905,48,28
1486986753,1168,73
1487008908,594,101
1487030931,39,48
1487052996,6,49
1487074875,585,37
1487096915,18,513
1487119030,13,79
1487141061,20,48
1487162914,679,38
1487184773,57,1139
1487206909,48,26
1487228930,30,40
1487250786,744,41
1487272839,10,858
1487294905,19,463
1487316776,46,28
1487338648,1006,41
1487360705,25,441
1487382748,15,392
1487404716,29,16
1487426661,456,596
1487448518,20,283
1487470580,49,704
1487492473,27,14
1487514505,689,1132
1487536606,38,786
1487558669,59,75
1487580518,5,20
1487602364,626,2141
1487624525,95,920
1487646526,69,71
1487668588,75,14
1487690665,439,1299
1487712507,245,30
1487734359,53,31
1487756413,61,42
1487778289,737,1126
1487800134,101,88
1487822204,28,77
1487844160,84,74
1487866116,113,1200
1487887961,45,17
1487910054,83,36
1487932105,130,112
1487953971,557,1137
1487976042,672,61
1487998129,282,26
1488020222,26,52
1488042117,279,438
1488064139,190,39
1488085980,18,100
1506805047,635,13700
1506827218,10551,0
1506849144,372,0
1506871240,340,0
1506893310,381,0
1506915160,329,0
1506937219,278,0
1506959082,253,0
1506981138,307,0
1507002988,325,0
1507024842,172,0
1507046902,296,0
1507068752,97,0
1507090859,103,0
1507112929,193,0
1507134984,360,0
1507157498,382,0
1507179395,326,0
1507201472,337,0
1507223821,256,0
1507245877,279,0
1507268220,305,0
1507290514,192,0
1507312645,171,0
1507334662,180,0
1507356509,165,0
1507378373,180,0
1507400442,136,0
1507422614,141,120
1507444668,122,104
1507466658,181,110
1507488502,174,106
1507510453,136,107
1507532457,146,98
1507554762,133,93
1507577075,148,79
1507599144,170,111
1507621244,127,163
1507643088,202,63
1507665470,143,124
1507687471,151,45
1507709541,147,48
1507731414,181,75
1507753456,164,124
1507775554,168,148
1507797415,126,110
1507819711,162,162
1507841778,123,138
1507863646,105,166
1507885709,134,132
1507907799,186,102
1507929820,118,133
1507951957,82,117
1507974018,90,122
1507996153,69,111
1508018180,102,93
1508040094,120,3
1508062107,164,190
1508083981,40,114
1508106009,43,101
1508127885,52,100
1508150002,141,89
1508172019,87,101
1508193874,91,153
1508215938,62,203
1508237833,59,161
1508259868,90,214
1508281948,115,162
1508303793,105,178
1508325854,137,174
1508347708,165,199
1508369564,145,176
1508391625,131,197
1508413689,130,159
1508435605,137,166
1508457650,99,179
1508479608,75,132
1508501597,137,184
1508525002,108,279
1508546914,63,193
1508568785,91,142
1508590823,51,155
1508612679,79,108
1508634531,78,216
1508656851,60,234
1508679024,70,324
1508700973,70,82
1508722824,56,71
1508744672,39,99
1508766767,85,266
1508788895,98,182
1508810917,107,142
1508833008,136,87
1508855054,223,96
1508876929,245,161
1508899004,243,134
1508920849,118,117
1509185312,1579,1753
1509207515,221,90
1509230260,229,120
1509252277,55,96
1509274339,183,84
1509296202,262,88
1509318054,39,80
1509340087,34,59
1509361957,207,43
1509384046,128,94
1509406559,115,106
1509428613,95,86
1509450512,77,161
1509472586,58,227
1509494524,46,259
1509516772,59,243
1509538856,74,151
1509560898,58,0
1509605069,124,0
1510066111,341,4988
1510088042,480,125
1510110119,306,86
1510132360,177,120
1510154466,372,162
1510176511,175,98
1510198427,138,0
1510220471,275,228
1510242759,168,0
