DateTime,Entries,UniqueIPs
1483880516,4738,4738
1483902550,150,150
1483924610,119,119
1483946685,144,144
1483968927,6277,6277
1483990825,60,60
1484012926,71,71
1484034883,54,54
1484057066,66,66
1484078913,35,35
1484100803,11,11
1484122858,29,29
1484144922,118,118
1484166773,130,130
1484188816,141,141
1484210927,299,299
1484233023,62,62
1484254889,85,85
1484276944,56,56
1484299247,85,85
1484321329,51,51
1484343169,109,109
1484365229,130,130
1484387334,112,112
1484409427,104,104
1484431295,87,87
1484453332,115,115
1484475398,72,72
1484497475,6,6
1484519572,1,1
1484541627,2,2
1484563498,62,62
1484585686,42,42
1484607702,76,76
1484629731,130,130
1484651586,73,73
1484673671,69,69
1484695737,83,83
1484717619,68,68
1484739640,71,71
1484761698,179,179
1484783579,338,338
1484805694,139,139
1484827755,5880,5880
1484849810,198,198
1484871901,180,180
1484893952,294,294
1484915807,5726,5726
1484937872,195,195
1484959720,174,174
1484981570,210,210
1485003730,154,154
1485025717,180,180
1485047569,153,153
1485069652,133,133
1485091754,5807,5807
1485113800,92,92
1485135873,186,186
1485157967,170,170
1485180156,5102,5102
1485202101,187,187
1485223949,223,223
1485246028,175,175
1485268099,5186,5186
1485289957,3389,3389
1485312070,93,93
1485334139,140,140
1485356198,7653,7653
1485378287,132,132
1485400357,224,224
1485422479,358,358
1485796624,126,126
1485818668,295,295
1485840517,136,136
1485862625,2312,2312
1485884679,5388,5388
1485906542,4641,4641
1485928606,41,41
1485950737,3339,3339
1485973031,4303,4303
1485995098,3602,3602
1486017166,124,124
1486039253,1885,1885
1486061358,7052,7052
1486083391,5153,5153
1486105308,131,131
1486127349,4066,4066
1486149669,6429,6429
1486171975,190,190
1486194037,168,168
1486215909,5741,5741
1486237974,3657,3657
1486260116,145,145
1486282138,202,202
1486304477,5927,5927
1486326602,4821,4821
1486348625,194,194
1486370703,351,351
1486392936,3410,3410
1486414891,250,250
1486436936,170,170
1486458779,208,208
1486481109,4251,4251
1486503156,727,727
1486525003,249,249
1486546845,241,241
1486568710,6753,6753
1486590764,155,155
1486612905,250,250
1486634916,199,199
1486656779,5713,5713
1486678896,2949,2949
1486700926,181,181
1486722990,233,233
1486744840,3663,3663
1486766911,2920,2920
1486788753,182,182
1486810914,2846,2846
1486832919,2901,2901
1486854997,3721,3721
1486876851,196,196
1486898912,3982,3982
1486920775,5289,5289
1486942838,427,427
1486964905,220,220
1486986753,4486,4486
1487008908,4512,4512
1487030931,217,217
1487052996,96,96
1487074875,4706,4706
1487096915,134,134
1487119030,143,143
1487141061,147,147
1487162914,4829,4829
1487184773,256,256
1487206909,206,206
1487228930,201,201
1487250786,5231,5231
1487272839,100,100
1487294905,135,135
1487316776,252,252
1487338648,4979,4979
1487360705,172,172
1487382748,115,115
1487404716,145,145
1487426661,3585,3585
1487448518,139,139
1487470580,214,214
1487492473,147,147
1487514505,4606,4606
1487536606,156,156
1487558669,212,212
1487580518,81,81
1487602364,4327,4327
1487624525,251,251
1487646526,185,185
1487668588,202,202
1487690665,3947,3947
1487712507,2291,2291
1487734359,156,156
1487756413,185,185
1487778289,4430,4430
1487800134,2037,2037
1487822204,124,124
1487844160,216,216
1487866116,606,606
