DateTime,AddedIPs,RemovedIPs
1512029764,67,69
1512037446,125,110
1512043216,131,112
1512050883,147,126
1512060005,148,129
1512063844,71,87
1512067684,99,71
1512069603,96,83
1512075615,85,92
1512079443,161,157
1512083283,94,93
1512089044,182,197
1512096723,150,105
1512100565,148,183
1512106805,99,119
1512113284,189,144
1512119046,141,128
1512124805,127,110
1512130806,86,71
1512136564,167,129
1512142565,82,86
1512148324,154,139
1512152164,102,76
1512158164,153,138
1512165846,130,169
1512174004,126,187
1512181685,176,171
1512185525,85,90
1512191284,148,200
1512197046,168,141
1512204725,138,111
1512212425,110,120
1512220323,164,92
1512224403,71,81
1512230413,156,128
1512236405,104,75
1512242163,138,168
1512247923,140,158
1512253924,72,88
1512261125,122,172
1512265203,121,107
1512269043,134,160
1512276724,181,199
1512284414,157,155
1512292083,128,120
1512299763,146,113
1512305764,91,72
1512307684,85,62
1512311765,90,77
1512315844,79,86
1512319684,167,125
1512327615,131,137
1512332644,82,74
1512338419,150,175
1512344644,73,110
1512348723,171,167
1512354486,83,120
1512358324,64,101
1512364083,201,205
1512371763,171,178
1512377523,176,119
1512383285,76,92
1512387123,108,87
1512391207,95,74
1512397205,160,145
1512405125,119,132
1512413766,173,154
1512417612,113,86
1512421444,166,156
1512425286,86,102
1512433205,147,207
1512438965,176,203
1512446644,153,166
1512454324,162,198
1512462003,181,119
1512466085,125,117
1512474722,82,69
1512478564,136,101
1512484323,96,85
1512490323,102,95
1512492243,90,70
1512498003,151,156
1512501845,105,89
1512505685,86,82
1512511442,137,171
1512515522,80,120
1512521763,177,167
1512529443,121,169
1512537125,176,201
1512540964,131,94
1512544803,107,91
1512550563,90,63
1512554413,141,116
1512562083,147,120
1512569764,152,128
1512574084,75,92
1512579845,84,86
1512581762,94,82
1512587283,118,120
1512589446,102,78
1512602416,166,233
1512604323,151,208
1512610084,92,95
1512614165,92,101
1512618003,70,96
1512621843,166,190
1512627603,85,111
1512631443,101,81
1512637218,95,58
1512641043,134,117
1512648965,140,150
1512656643,178,123
1512664323,151,162
1512671044,176,138
1512678723,170,152
1512684485,154,184
1512691224,141,198
1512697447,126,104
1512703203,146,183
1512707045,122,118
1512712816,178,221
1512720485,194,149
1512724326,100,79
1512730083,144,125
1512738244,96,71
1512740166,80,80
1512745924,163,125
1512751925,138,146
1512761044,164,163
1512766815,109,106
1512770884,140,184
1512774965,67,100
1512780723,61,106
1512782644,117,87
1512788418,126,173
1512796084,177,193
1512803764,181,151
1512807604,66,67
1512811444,92,59
1512817220,147,140
1512824883,166,129
1512830644,87,67
1512832805,85,78
1512836643,86,116
1512844324,156,135
1512850084,117,84
1512852005,68,96
1512856084,63,97
1512862324,123,152
1512866164,79,109
1512871923,185,159
1512877683,124,187
1512885364,99,120
1512890164,185,155
1512895922,151,110
1512901685,93,57
1512907443,150,139
1512913442,91,76
1512919203,169,126
1512923044,80,96
1512929764,107,92
1512933844,180,159
1512939844,167,180
1512945604,89,88
1512947523,67,118
1512951365,82,126
1512959285,157,189
1512964082,142,177
1512969842,89,106
1512975618,184,153
1512979443,87,61
1512985204,81,86
1512990962,151,128
1512996722,84,72
1512998644,90,72
1513002485,96,88
1513010163,134,150
1513014003,115,67
1513019524,168,169
1513025524,106,104
1513029366,163,184
1513036084,74,109
1513041846,150,210
1513047612,147,181
1513051443,87,126
1513055282,108,112
1513062964,187,156
1513068723,91,87
1513070643,85,90
1513074484,104,69
1513081218,132,154
1513088884,184,113
1513094646,134,144
1513100643,181,128
1513108323,91,118
1513110245,105,98
1513116017,158,165
1513122003,92,132
1513124164,82,112
1513129924,104,100
1513132085,86,89
1513135922,67,94
1513141923,169,205
1513147685,101,117
1513153444,178,131
1513159218,130,137
1513165444,159,136
1513171204,82,77
1513178884,153,157
1513182965,199,130
1513190644,97,109
1513194483,190,192
1513203366,95,84
1513205282,157,202
1513214165,77,147
1513216084,117,127
1513219923,114,95
1513221843,77,111
1513225684,102,148
1513229524,123,119
1513235283,202,185
1513242965,169,169
1513249445,185,175
1513257124,201,192
1513262883,125,101
1513264804,101,111
1513270819,181,151
1513278485,214,218
1513286164,221,204
1513290005,104,139
1513293844,93,134
1513299617,206,215
1513307283,162,197
1513311123,88,120
1513316886,205,230
1513326484,198,156
1513332246,168,173
1513339927,208,199
1513345923,237,182
1513351928,107,100
1513357924,115,124
1513359846,126,121
1513361773,128,142
1513369685,211,226
1513373763,125,143
1513375685,109,137
1513381444,186,222
1513389364,213,204
1513397044,167,215
1513402805,107,132
1513406887,211,170
1513415044,88,72
1513416965,97,90
1513420805,177,158
1513430405,209,156
1513434485,107,101
1513440243,111,114
1513444323,96,96
1513446247,112,94
1513448404,105,109
1513452243,111,90
1513458014,142,190
1513465683,147,184
1513471444,173,205
1513479363,162,178
1513485124,102,138
1513488963,92,128
1513494726,220,167
1513500483,135,136
1513508164,166,122
1513513925,115,85
1513519684,190,156
1513525446,88,90
1513527364,95,81
1513533124,90,112
1513535764,125,93
1513541523,181,178
1513547283,169,202
1513553286,132,232
1513560964,117,110
1513566724,172,189
1513572484,191,220
1513580164,106,117
1513584014,196,129
1513588084,96,108
1513593843,98,82
1513599613,159,160
1513605362,180,152
1513613042,169,156
1513620724,199,186
1513626723,212,191
1513632484,104,123
1513636323,145,199
1513642083,93,126
1513649764,220,215
1513655523,98,123
1513659363,203,252
1513665123,117,156
1513669202,208,178
1513676885,210,142
1513684563,98,127
1513686724,93,121
1513690564,221,148
1513698243,186,180
1513705924,209,209
1513711925,143,119
1513718164,222,199
1513722243,98,164
1513726324,120,127
1513732324,193,240
1513740003,188,194
1513743847,111,117
1513749614,126,141
1513753443,123,125
1513755605,129,79
1513757524,80,92
1513761846,175,167
1513769042,101,90
