DateTime,AddedIPs,RemovedIPs
1513609999,9,10
1513611867,9,10
1513613788,7,0
1513615711,12,15
1513617865,14,10
1513623641,9,46
1513627727,6,20
1513629640,5,0
1513631554,2,28
1513635416,1,9
1513637339,10,9
1513639255,6,0
1513641145,0,8
1513643074,11,24
1513645100,3,0
1513646967,7,19
1513650772,5,25
1513652674,10,0
1513654586,5,22
1513656503,7,0
1513658429,15,21
1513660333,14,0
1513662271,8,14
1513664198,9,0
1513666105,10,20
1513668008,7,0
1513671850,13,20
1513673772,4,4
1513675949,7,8
1513677883,16,8
1513679795,7,0
1513683753,6,15
1513685794,4,1
1513687693,8,0
1513689612,6,9
1513691534,6,8
1513693452,11,5
1513695386,8,18
1513699259,5,5
1513703057,7,10
1513704992,4,10
1513706926,6,4
1513709068,10,0
1513711008,10,7
1513712896,11,0
1513714832,11,4
1513719157,3,11
1513721350,6,10
1513723470,13,2
1513725390,10,7
1513727556,1,2
1513729456,7,1
1513731387,4,1
1513733319,19,3
1513735242,4,6
1513737156,5,0
1513739074,1,6
1513741002,4,15
1513742919,3,0
1513744814,3,7
1513746754,7,15
1513748661,3,19
1513750603,5,13
1513756348,6,33
1513758500,10,24
1513761138,4,7
1513763055,9,6
1513765029,5,6
1513767156,7,0
1513769067,18,2
1513770990,7,7
1513772920,9,8
1513774836,6,3
1513776760,4,0
1513780601,5,6
1513783488,19,21
1513785379,4,8
1513787345,12,0
1513789272,6,10
1513791405,2,6
1513793563,2,13
1513795463,11,6
1513797431,5,4
1513799562,2,12
1513801709,4,0
1513803666,2,7
1513805547,3,3
1513807457,3,3
1513809395,1,7
1513811556,2,12
1513813469,11,14
1513817555,6,5
1513819453,7,6
1513821635,3,14
1513825476,3,12
1513827370,2,10
1513829303,6,6
1513831227,7,12
1513833148,5,4
1513835058,8,14
1513836999,21,2
1513838917,10,8
1513840836,6,8
1513842758,2,4
1513844907,16,10
1513848991,7,0
1513850915,8,4
1513853057,11,0
1513855010,7,0
1513856914,5,0
1513859094,7,3
1513861250,5,6
1513863156,3,0
1513865303,5,9
1513867226,5,5
1513869400,3,0
1513871547,3,4
1513873709,9,10
1513875863,7,15
1513877795,5,8
1513879704,4,3
1513881626,3,11
1513883828,4,4
1513886197,3,16
1513888119,20,3
1513890039,6,6
1513891958,3,7
1513893856,2,4
1513900118,19,17
1513903949,11,25
1513906113,15,4
1513908268,9,24
1513914258,9,11
1513916189,15,8
1513918356,11,11
1513920258,21,8
1513922194,12,0
1513924354,9,6
1513926268,9,5
1513928186,11,15
1513930119,12,5
1513934204,9,23
1513936093,4,4
1513939949,5,11
1513941865,15,10
1513943774,8,8
1513945699,17,5
1513947666,4,7
1513949560,2,4
1513951464,2,0
1513953398,4,8
1513955310,5,3
1513957233,5,10
1513959135,5,6
1513961065,9,0
1513963001,3,0
1513964914,9,4
1513966832,3,6
1513968752,5,0
1513970656,17,7
1513972598,5,6
1513974524,15,8
1513976432,8,7
1513978374,5,4
1513980263,4,0
1513982186,3,5
1513984156,2,5
1513986208,11,5
1513988421,8,0
1513990342,7,17
1513992255,17,8
1513994169,19,12
1513996103,13,9
1514001865,7,16
1514003789,9,9
1514005692,8,0
1514009548,10,14
1514011466,10,22
1514013378,20,0
1514017223,13,22
1514019224,14,14
1514021053,14,0
1514022989,8,9
1514024919,3,7
1514026824,5,0
1514028732,9,6
1514031027,1,1
1514033052,14,2
1514037150,6,24
1514040972,3,10
1514042898,15,4
1514044835,7,4
1514046749,3,5
1514048661,4,0
1514052513,9,3
1514054423,3,8
1514056348,9,6
1514058277,10,12
1514060197,9,0
1514062114,6,0
1514064038,8,13
1514065954,4,0
1514067883,12,0
1514070058,5,12
1514072196,11,0
1514076037,1,7
1514077955,3,14
1514079861,10,7
1514081809,7,6
1514083709,14,5
1514085623,4,7
1514087535,3,13
1514089485,6,14
1514091390,1,11
1514093572,4,25
1514095461,2,13
1514097403,15,8
1514099309,12,17
1514103394,13,42
1514105320,12,20
1514107217,5,9
1514109389,13,11
1514111310,3,3
1514113469,18,6
1514115395,5,14
1514117408,13,3
1514123057,11,9
1514125004,1,2
1514126915,5,6
1514129061,11,6
1514130993,8,14
1514133159,3,10
1514135077,16,11
1514136998,9,6
1514138915,11,13
1514140830,4,4
1514142760,10,3
1514144915,10,16
1514147071,11,1
1514148990,1,8
1514151151,16,7
1514156917,2,13
1514159799,9,12
1514161714,13,9
1514163644,5,3
1514165544,5,12
1514167474,6,13
1514169378,5,13
1514171299,8,15
1514173216,5,4
1514176105,12,16
1514178037,9,19
1514179935,10,0
1514181860,6,0
1514183796,12,8
1514185704,20,0
1514187610,12,0
1514191460,14,9
1514193400,5,0
1514195317,12,5
1514197230,6,0
1514199148,2,5
1514201054,8,6
1514203006,11,5
1514205157,11,3
1514207063,7,2
1514209000,6,4
1514210907,11,8
1514212833,11,14
1514214758,10,16
1514218845,4,31
1514220729,10,0
1514222658,6,0
1514226521,13,23
1514228441,5,0
1514230361,4,16
1514232262,0,5
1514234198,4,3
1514236105,1,3
1514238284,5,10
1514240204,8,4
1514242119,9,8
1514244041,10,4
1514245955,3,11
1514247854,7,6
1514249799,6,8
1514251712,4,9
1514253672,7,14
1514255558,7,6
1514263225,9,39
1514265158,5,7
1514267074,6,11
1514269006,10,10
1514270898,14,12
1514274989,4,11
1514281005,2,17
1514282917,10,6
1514285072,3,1
1514286977,4,3
1514288910,7,0
1514290845,2,4
1514292761,2,6
1514294683,11,10
1514296594,7,13
1514298520,12,11
1514300440,4,13
1514302342,3,16
1514304280,5,10
1514306188,1,0
1514308109,3,0
1514310017,10,6
1514312201,12,6
1514314110,20,16
1514316030,6,7
1514317954,8,4
1514320102,11,8
1514322042,2,0
1514323955,2,15
1514325885,4,7
1514327799,2,4
1514329726,3,15
1514331859,10,5
1514334282,4,18
1514336914,14,1
1514339074,4,8
1514341004,10,2
1514342910,9,8
1514344934,8,11
1514346753,8,4
1514348790,9,7
1514350592,4,1
1514352521,14,11
1514354421,1,15
1514356351,1,8
1514358258,5,8
1514360195,2,0
1514364012,6,30
1514365934,5,5
1514368113,8,12
1514370011,5,5
1514371958,3,7
1514373861,5,3
1514376037,8,4
1514378200,3,7
1514380106,4,5
1514382031,9,7
1514384208,8,13
1514386354,6,9
1514388263,15,0
1514392111,10,17
1514394040,3,5
1514395962,3,0
1514398136,4,12
1514400272,10,0
1514402207,3,13
1514404113,16,9
1514406040,7,8
1514407947,2,16
1514410112,4,0
1514412045,5,5
1514413949,2,4
1514415879,7,4
1514417897,0,1
1514419949,3,5
1514421860,7,9
1514423798,6,8
1514425967,3,3
1514427858,4,9
1514429785,2,4
1514431715,8,12
1514433877,1,5
1514435776,13,0
1514437688,1,5
1514439629,1,3
1514441534,6,9
1514443457,5,15
1514445378,3,0
1514447290,15,0
1514449222,5,9
1514453051,7,0
1514455241,4,7
1514459300,7,7
1514461221,2,13
1514463397,12,6
1514465290,4,3
1514467218,6,6
1514469389,2,6
1514473463,2,12
1514476124,10,16
1514478039,2,0
1514481854,6,19
1514483790,5,6
1514485727,7,19
1514487720,5,8
1514489547,12,8
1514491465,2,0
1514493397,4,6
1514495318,3,2
1514497209,4,5
1514499131,5,5
1514501056,9,3
1514503069,6,6
1514505154,3,0
1514507063,11,4
1514508989,11,2
1514510900,9,7
1514512835,8,3
1514514757,9,8
1514516663,6,0
1514518595,6,0
1514520507,2,4
1514522676,6,5
1514524594,17,6
1514528415,5,22
1514530355,6,12
1514532263,11,5
1514534210,13,18
1514536096,12,14
1514538822,5,9
1514540915,11,0
1514546915,4,25
1514548851,2,0
1514550988,4,5
1514552913,4,6
1514554806,6,7
1514556752,4,4
1514558658,8,0
1514560580,12,7
1514562518,13,6
1514564433,5,6
1514566354,5,5
1514568259,9,7
1514570183,2,7
1514572106,5,6
1514574276,7,6
1514576199,9,4
1514578094,5,14
1514580276,14,13
1514582203,3,5
1514584103,5,8
1514586031,5,1
1514588192,3,11
1514590582,2,0
1514592507,3,12
1514594413,6,3
1514596602,9,0
1514598502,14,11
1514600442,4,3
1514602355,7,11
1514604270,9,4
1514606192,0,13
1514610040,8,10
1514611965,9,6
1514613866,3,6
1514615792,0,2
1514617716,2,6
1514619610,4,8
1514621542,3,5
1514623465,9,10
1514625394,4,12
1514627311,4,4
1514629233,1,4
1514631152,2,5
1514633057,2,6
1514634988,3,0
1514642889,9,17
1514644827,9,7
1514646735,7,4
1514648658,9,6
1514650597,11,15
1514652503,10,4
1514654658,11,4
1514658751,11,14
1514660917,7,10
1514662813,10,8
1514664998,10,6
1514666904,12,12
1514668839,7,7
1514670746,6,5
1514672901,8,2
1514674838,7,1
1514678684,2,14
1514680577,3,1
1514682514,7,4
1514686352,6,15
1514688498,14,18
1514690439,5,2
1514692353,1,9
1514694254,12,8
1514696169,2,11
1514698088,11,13
1514700279,4,12
1514702192,1,11
1514704094,5,11
1514706024,4,18
1514709851,13,23
1514711771,9,0
1514713948,7,8
1514715887,3,9
1514717774,6,5
