DateTime,Entries,UniqueIPs
1513609999,2925,2987
1513611867,2931,2993
1513613788,2926,2988
1513615711,2938,3000
1513617865,2944,3004
1513623641,2945,3005
1513627727,2921,2981
1513629640,2921,2981
1513631554,2922,2982
1513635416,2916,2976
1513637339,2928,2988
1513639255,2934,2994
1513641145,2931,2991
1513643074,2943,3003
1513645100,2928,2986
1513646967,2933,2991
1513650772,2917,2975
1513652674,2930,2988
1513654586,2936,2994
1513656503,2940,2998
1513658429,2944,3002
1513660333,2960,3018
1513662271,2963,3020
1513664198,2967,3024
1513666105,2968,3025
1513668008,2977,3034
1513671850,2981,3038
1513673772,2971,3029
1513675949,2977,3035
1513677883,2989,3047
1513679795,2987,3045
1513683753,2986,3044
1513685794,2985,3043
1513687693,2983,3038
1513689612,2981,3036
1513691534,2982,3037
1513693452,2991,3045
1513695386,2999,3053
1513699259,2988,3042
1513703057,2974,3028
1513704992,2976,3030
1513706926,2979,3033
1513709068,2987,3041
1513711008,2999,3053
1513712896,3008,3061
1513714832,3016,3070
1513719157,3008,3062
1513721350,2994,3049
1513723470,3004,3059
1513725390,3015,3069
1513727556,3006,3060
1513729456,3003,3057
1513731387,3005,3057
1513733319,3019,3072
1513735242,3011,3064
1513737156,2996,3049
1513739074,2987,3040
1513741002,2991,3044
1513742919,2988,3041
1513744814,2976,3029
1513746754,2979,3032
1513748661,2972,3025
1513750603,2968,3021
1513756348,2948,3001
1513758500,2958,3011
1513761138,2960,3013
1513763055,2960,3013
1513765029,2957,3010
1513767156,2958,3011
1513769067,2975,3028
1513770990,2973,3026
1513772920,2973,3026
1513774836,2975,3028
1513776760,2971,3024
1513780601,2970,3024
1513783488,2992,3046
1513785379,2993,3046
1513787345,3002,3055
1513789272,3009,3063
1513791405,2995,3049
1513793563,2996,3050
1513795463,2996,3052
1513797431,2997,3053
1513799562,2991,3049
1513801709,2990,3048
1513803666,2987,3045
1513805547,2988,3046
1513807457,2980,3038
1513809395,2973,3031
1513811556,2975,3033
1513813469,2986,3044
1513817555,2992,3050
1513819453,3001,3059
1513821635,3003,3061
1513825476,3004,3062
1513827370,2997,3055
1513829303,2997,3055
1513831227,2999,3057
1513833148,2999,3057
1513835058,3009,3067
1513836999,3019,3076
1513838917,3030,3087
1513840836,3039,3096
1513842758,3030,3087
1513844907,3045,3102
1513848991,3032,3089
1513850915,3034,3089
1513853057,3037,3090
1513855010,3043,3096
1513856914,3049,3102
1513859094,3051,3104
1513861250,3039,3092
1513863156,3039,3092
1513865303,3041,3094
1513867226,3031,3084
1513869400,3034,3087
1513871547,3021,3073
1513873709,3026,3078
1513875863,3022,3074
1513877795,3020,3072
1513879704,3017,3069
1513881626,3013,3065
