DateTime,AddedIPs,RemovedIPs
1513609999,39,12
1513611867,35,40
1513613788,18,37
1513615711,44,14
1513617865,41,42
1513623641,16,45
1513627727,19,18
1513629640,17,21
1513631554,15,15
1513635416,8,17
1513637339,31,8
1513639255,20,30
1513641145,12,20
1513643074,34,12
1513645100,8,35
1513646967,33,8
1513650772,14,32
1513652674,37,13
1513654586,20,37
1513656503,21,21
1513658429,39,19
1513660333,33,40
1513662271,29,34
1513664198,24,28
1513666105,44,21
1513668008,26,44
1513671850,40,29
1513673772,14,40
1513675949,18,14
1513677883,36,14
1513679795,13,40
1513683753,21,16
1513685794,16,20
1513687693,18,17
1513689612,16,17
1513691534,17,13
1513693452,36,18
1513695386,20,33
1513699259,16,20
1513703057,19,17
1513704992,12,17
1513706926,17,16
1513709068,30,16
1513711008,27,32
1513712896,30,25
1513714832,31,27
1513719157,12,38
1513721350,25,12
1513723470,30,22
1513725390,23,29
1513727556,11,26
1513729456,27,10
1513731387,15,24
1513733319,44,16
1513735242,13,46
1513737156,11,14
1513739074,11,11
1513741002,12,11
1513742919,12,10
1513744814,11,15
1513746754,24,10
1513748661,22,22
1513750603,16,24
1513756348,17,16
1513758500,47,18
1513761138,21,41
1513763055,33,20
1513765029,19,35
1513767156,16,18
1513769067,45,16
1513770990,13,48
1513772920,42,13
1513774836,18,40
1513776760,11,19
1513780601,20,12
1513783488,39,19
1513785379,12,41
1513787345,38,11
1513789272,19,35
1513791405,12,21
1513793563,9,14
1513795463,27,7
1513797431,20,23
1513799562,10,25
1513801709,26,11
1513803666,7,26
1513805547,18,9
1513807457,16,14
1513809395,11,18
1513811556,13,12
1513813469,27,12
1513817555,16,27
1513819453,32,16
1513821635,6,34
1513825476,12,5
1513827370,12,11
1513829303,19,13
1513831227,14,19
1513833148,17,14
1513835058,27,14
1513836999,41,28
1513838917,40,41
1513840836,24,39
1513842758,14,25
1513844907,41,12
1513848991,18,41
1513850915,20,21
1513853057,26,21
1513855010,24,24
1513856914,20,24
1513859094,20,20
1513861250,15,21
1513863156,16,14
1513865303,13,15
1513867226,11,13
1513869400,9,13
1513871547,10,9
1513873709,31,11
1513875863,16,27
1513877795,27,18
1513879704,12,30
1513881626,15,10
1513883828,15,14
1513886197,13,18
1513888119,44,13
1513890039,15,39
1513891958,15,16
1513893856,13,12
1513900118,40,15
1513903949,37,41
1513906113,44,36
1513908268,29,46
1513914258,36,28
1513916189,33,37
1513918356,48,30
1513920258,48,44
1513922194,41,48
1513924354,25,44
1513926268,38,26
1513928186,42,36
1513930119,40,41
1513934204,20,46
1513936093,33,18
1513939949,18,35
1513941865,46,20
1513943774,51,41
1513945699,49,50
1513947666,24,49
1513949560,16,28
1513951464,14,16
1513953398,23,13
1513955310,13,24
1513957233,18,15
1513959135,22,18
1513961065,34,18
1513963001,15,34
1513964914,39,14
1513966832,20,40
1513968752,21,22
1513970656,42,21
1513972598,13,40
1513974524,37,14
1513976432,17,37
1513978374,29,19
1513980263,17,27
1513982186,11,18
1513984156,17,11
1513986208,32,13
1513988421,29,27
1513990342,36,29
1513992255,33,36
1513994169,40,32
1513996103,42,42
1514001865,25,44
1514003789,21,25
1514005692,19,26
1514009548,44,20
1514011466,37,35
1514013378,44,40
1514017223,36,43
1514019224,45,39
1514021053,33,43
1514022989,30,39
1514024919,23,32
1514026824,25,22
1514028732,24,24
1514031027,19,24
1514033052,44,17
1514037150,15,42
1514040972,14,19
1514042898,45,14
1514044835,14,44
1514046749,21,16
1514048661,16,20
1514052513,41,17
1514054423,11,40
1514056348,37,9
1514058277,25,31
1514060197,40,29
1514062114,28,44
1514064038,34,27
1514065954,14,35
1514067883,43,14
1514070058,12,41
1514072196,27,13
1514076037,18,27
1514077955,16,19
1514079861,38,14
1514081809,16,40
1514083709,43,16
1514085623,9,45
1514087535,13,8
1514089485,31,13
1514091390,5,29
1514093572,16,7
1514095461,16,17
1514097403,48,14
1514099309,40,38
1514103394,45,46
1514105320,49,45
1514107217,27,52
1514109389,56,28
1514111310,13,54
1514113469,53,14
1514115395,17,50
1514117408,47,18
1514123057,33,42
1514125004,8,36
1514126915,35,12
1514129061,43,31
1514130993,31,43
1514133159,15,34
1514135077,34,15
1514136998,44,36
1514138915,38,39
1514140830,20,41
1514142760,33,19
1514144915,34,31
1514147071,35,34
1514148990,20,39
1514151151,42,18
1514156917,25,41
1514159799,34,25
1514161714,39,35
1514163644,12,41
1514165544,11,12
1514167474,22,12
1514169378,14,21
1514171299,36,14
1514173216,26,34
1514176105,35,27
1514178037,49,32
1514179935,51,47
1514181860,29,49
1514183796,43,32
1514185704,44,42
1514187610,41,46
1514191460,44,39
1514193400,24,49
1514195317,41,20
1514197230,14,46
1514199148,15,15
1514201054,39,12
1514203006,39,37
1514205157,33,41
1514207063,36,35
1514209000,28,35
1514210907,47,29
1514212833,49,46
1514214758,36,46
1514218845,33,41
1514220729,35,32
1514222658,36,32
1514226521,48,36
1514228441,19,50
1514230361,14,21
1514232262,18,16
1514234198,13,14
1514236105,8,13
1514238284,45,9
1514240204,27,41
1514242119,42,28
1514244041,36,44
1514245955,14,33
1514247854,27,15
1514249799,29,26
1514251712,36,30
1514253672,24,35
1514255558,36,24
1514263225,31,39
1514265158,19,33
1514267074,26,16
1514269006,46,27
1514270898,47,45
1514274989,45,44
1514281005,15,51
1514282917,36,11
1514285072,21,42
1514286977,18,22
1514288910,22,16
1514290845,14,24
1514292761,15,12
1514294683,26,13
1514296594,32,23
1514298520,44,30
1514300440,13,51
1514302342,10,11
1514304280,16,11
1514306188,15,19
1514308109,15,12
1514310017,17,15
1514312201,37,17
1514314110,47,35
1514316030,25,45
1514317954,21,30
1514320102,46,21
1514322042,12,43
1514323955,19,13
1514325885,17,19
1514327799,10,18
1514329726,13,12
1514331859,30,13
1514334282,28,26
1514336914,50,28
1514339074,28,50
1514341004,26,27
1514342910,33,27
1514344934,28,34
1514346753,19,30
1514348790,41,17
1514350592,15,42
1514352521,35,15
1514354421,9,36
1514356351,12,10
1514358258,17,10
1514360195,12,18
1514364012,21,12
1514365934,14,21
1514368113,43,13
1514370011,19,41
1514371958,14,21
1514373861,11,16
1514376037,24,9
1514378200,18,24
1514380106,12,17
1514382031,39,10
1514384208,27,35
1514386354,15,35
1514388263,36,15
1514392111,41,31
1514394040,19,46
1514395962,12,19
1514398136,17,13
1514400272,41,15
1514402207,8,40
1514404113,51,8
1514406040,31,51
1514407947,14,31
1514410112,33,15
1514412045,23,32
1514413949,13,22
1514415879,16,11
1514417897,13,20
1514419949,21,12
1514421860,35,19
1514423798,11,39
1514425967,12,11
1514427858,29,11
1514429785,11,27
1514431715,34,13
1514433877,15,32
1514435776,35,12
1514437688,10,40
1514439629,8,13
1514441534,29,8
1514443457,26,24
1514445378,9,26
1514447290,35,9
1514449222,21,32
1514453051,28,25
1514455241,20,31
1514459300,31,16
1514461221,8,30
1514463397,32,12
1514465290,19,32
1514467218,18,19
1514469389,22,14
1514473463,15,25
1514476124,35,14
1514478039,9,34
1514481854,29,9
1514483790,14,31
1514485727,34,15
1514487720,14,33
1514489547,23,16
1514491465,6,22
1514493397,17,7
1514495318,15,17
1514497209,18,15
1514499131,23,17
1514501056,34,22
1514503069,29,34
1514505154,12,25
1514507063,34,12
1514508989,33,27
1514510900,35,40
1514512835,29,38
1514514757,32,27
1514516663,32,33
1514518595,42,30
1514520507,25,41
1514522676,22,27
1514524594,43,22
1514528415,29,44
1514530355,27,24
1514532263,46,27
1514534210,48,41
1514536096,34,50
1514538822,25,39
1514540915,38,27
1514546915,10,41
1514548851,15,12
1514550988,23,13
1514552913,20,25
1514554806,22,15
1514556752,15,24
1514558658,20,13
1514560580,37,23
1514562518,41,34
1514564433,19,42
1514566354,13,22
1514568259,27,9
1514570183,13,24
1514572106,41,15
1514574276,21,43
1514576199,16,22
1514578094,22,13
1514580276,40,22
1514582203,14,40
1514584103,27,11
1514586031,14,32
1514588192,15,15
1514590582,9,16
1514592507,14,9
1514594413,13,15
1514596602,21,11
1514598502,35,21
1514600442,13,34
1514602355,13,17
1514604270,32,13
1514606192,9,28
1514610040,39,7
1514611965,29,34
1514613866,10,30
1514615792,7,14
1514617716,11,9
1514619610,18,13
1514621542,16,16
1514623465,34,13
1514625394,14,38
1514627311,17,15
1514629233,10,18
1514631152,17,12
1514633057,10,17
1514634988,10,9
1514642889,37,10
1514644827,34,30
1514646735,42,32
1514648658,37,44
1514650597,39,37
1514652503,37,37
1514654658,37,38
1514658751,44,31
1514660917,37,49
1514662813,46,39
1514664998,45,46
1514666904,42,41
1514668839,35,48
1514670746,47,35
1514672901,36,47
1514674838,40,36
1514678684,12,42
1514680577,15,13
1514682514,28,16
1514686352,45,26
1514688498,50,41
1514690439,14,54
1514692353,10,16
1514694254,43,10
1514696169,18,40
1514698088,46,17
1514700279,16,47
1514702192,20,21
1514704094,28,17
1514706024,17,23
1514709851,42,20
1514711771,28,41
1514713948,33,29
1514715887,18,35
1514717774,29,17
