DateTime,Entries,UniqueIPs
1513609999,46,46
1513611867,41,41
1513613788,22,22
1513615711,52,52
1513617865,51,51
1513623641,22,22
1513627727,23,23
1513629640,19,19
1513631554,19,19
1513635416,10,10
1513637339,33,33
1513639255,23,23
1513641145,15,15
1513643074,37,37
1513645100,10,10
1513646967,35,35
1513650772,17,17
1513652674,41,41
1513654586,24,24
1513656503,24,24
1513658429,44,44
1513660333,37,37
1513662271,32,32
1513664198,28,28
1513666105,51,51
1513668008,33,33
1513671850,44,44
1513673772,18,18
1513675949,22,22
1513677883,44,44
1513679795,17,17
1513683753,22,22
1513685794,18,18
1513687693,19,19
1513689612,18,18
1513691534,22,22
1513693452,40,40
1513695386,27,27
1513699259,23,23
1513703057,25,25
1513704992,20,20
1513706926,21,21
1513709068,35,35
1513711008,30,30
1513712896,35,35
1513714832,39,39
1513719157,13,13
1513721350,26,26
1513723470,34,34
1513725390,28,28
1513727556,13,13
1513729456,30,30
1513731387,21,21
1513733319,49,49
1513735242,16,16
1513737156,13,13
1513739074,13,13
1513741002,14,14
1513742919,16,16
1513744814,12,12
1513746754,26,26
1513748661,26,26
1513750603,18,18
1513756348,19,19
1513758500,48,48
1513761138,28,28
1513763055,41,41
1513765029,25,25
1513767156,23,23
1513769067,52,52
1513770990,17,17
1513772920,46,46
1513774836,24,24
1513776760,16,16
1513780601,24,24
1513783488,44,44
1513785379,15,15
1513787345,42,42
1513789272,26,26
1513791405,17,17
1513793563,12,12
1513795463,32,32
1513797431,29,29
1513799562,14,14
1513801709,29,29
1513803666,10,10
1513805547,19,19
1513807457,21,21
1513809395,14,14
1513811556,15,15
1513813469,30,30
1513817555,19,19
1513819453,35,35
1513821635,7,7
1513825476,14,14
1513827370,15,15
1513829303,21,21
1513831227,16,16
1513833148,19,19
1513835058,32,32
1513836999,45,45
1513838917,44,44
1513840836,29,29
1513842758,18,18
1513844907,47,47
1513848991,24,24
1513850915,23,23
1513853057,28,28
1513855010,28,28
1513856914,24,24
1513859094,24,24
1513861250,18,18
1513863156,20,20
1513865303,18,18
1513867226,16,16
1513869400,12,12
1513871547,13,13
1513873709,33,33
1513875863,22,22
1513877795,31,31
1513879704,13,13
1513881626,18,18
1513883828,19,19
1513886197,14,14
1513888119,45,45
1513890039,21,21
1513891958,20,20
1513893856,21,21
1513900118,46,46
1513903949,42,42
1513906113,50,50
1513908268,33,33
1513914258,41,41
1513916189,37,37
1513918356,55,55
1513920258,59,59
1513922194,52,52
1513924354,33,33
1513926268,45,45
1513928186,51,51
1513930119,50,50
1513934204,24,24
1513936093,39,39
1513939949,22,22
1513941865,48,48
1513943774,58,58
1513945699,57,57
1513947666,32,32
1513949560,20,20
1513951464,18,18
1513953398,28,28
1513955310,17,17
1513957233,20,20
1513959135,24,24
1513961065,40,40
1513963001,21,21
1513964914,46,46
1513966832,26,26
1513968752,25,25
1513970656,46,46
1513972598,19,19
1513974524,42,42
1513976432,22,22
1513978374,32,32
1513980263,22,22
1513982186,15,15
1513984156,21,21
1513986208,40,40
1513988421,42,42
1513990342,49,49
1513992255,46,46
1513994169,54,54
1513996103,54,54
1514001865,35,35
1514003789,31,31
1514005692,24,24
1514009548,48,48
1514011466,50,50
1514013378,54,54
1514017223,47,47
1514019224,53,53
1514021053,43,43
1514022989,34,34
1514024919,25,25
1514026824,28,28
1514028732,28,28
1514031027,23,23
1514033052,50,50
1514037150,23,23
1514040972,18,18
1514042898,49,49
1514044835,19,19
1514046749,24,24
1514048661,20,20
1514052513,44,44
1514054423,15,15
1514056348,43,43
1514058277,37,37
1514060197,48,48
