DateTime,AddedIPs,RemovedIPs
1509216463,11,8
1509227316,8,9
1509242079,4,7
1509253040,16,4
1509264046,13,13
1509274926,10,8
1509286083,18,11
1509297022,7,8
1509307935,14,15
1509318867,10,11
1509329843,9,2
1509340656,16,8
1509351237,12,8
1509362052,6,8
1509372644,6,4
1509384015,18,14
1509395014,10,15
1509406481,11,15
1509417499,9,13
1509428244,10,12
1509439013,7,18
1509449990,8,9
1509461022,11,10
1509471423,5,16
1509482848,7,12
1509493829,11,12
1509504953,13,7
1509515953,4,7
1509527286,11,8
1509538231,7,9
1509549461,10,11
1509560378,16,7
1509571382,19,7
1509582478,12,4
1509593473,10,4
1509604300,12,1
1509615079,13,3
1509626149,19,5
1509637453,10,6
1509648497,8,8
1509659532,13,12
1509670540,14,16
1509681759,14,6
1509692694,15,9
1509703737,18,4
1509714556,6,7
1509725683,19,11
1509736931,12,10
1509747696,12,12
1509758356,14,7
1509769564,16,13
1509780384,10,5
1509791723,13,7
1509802766,13,7
1509813812,16,7
1509825134,11,6
1509836124,14,11
1509847453,14,5
1509858411,15,10
1509869536,7,11
1509880417,11,7
1509891294,20,6
1509902406,16,14
1509913652,10,6
1509924907,10,7
1509935981,8,8
1509946978,11,6
1509958014,15,3
1509969017,7,4
1509979589,9,2
1509991408,16,6
1510002698,9,4
1510013976,13,0
1510024875,6,9
1510035837,8,4
1510046774,10,7
1510057703,11,6
1510068640,6,6
1510079762,3,3
1510090794,8,12
1510101738,6,10
1510112876,7,2
1510123833,6,7
1510135162,10,7
1510145967,6,4
1510157242,5,4
1510168304,5,3
1510179365,12,5
1510190219,7,7
1510201109,9,3
1510212253,7,4
1510223286,4,2
1510234412,8,5
1510245310,1,4
1510256397,4,1
1510268361,9,5
1510279687,10,3
1510290673,17,3
1510301982,11,11
1510312988,13,3
1510324039,5,5
1510335036,18,2
1510346049,16,14
1510356978,12,17
1510368008,11,17
1510378704,13,24
1510389851,15,15
1510400883,14,16
1510412129,11,18
1510424311,23,8
1510435676,11,18
1510446675,15,20
1510457609,10,9
1510468556,12,18
1510479339,10,12
1510490282,16,14
1510500914,10,15
1510511893,12,14
1510522707,13,13
1510533827,13,6
1510544873,7,10
1510555931,16,9
1510566897,18,9
1510577843,13,10
1510589010,10,12
1510600096,16,8
1510611302,24,13
1510622338,18,10
1510633327,14,14
1510644263,11,9
1510655285,7,14
1510666717,11,15
1510677785,7,14
1510689539,18,9
1510700627,12,9
1510711936,15,15
1510722957,14,10
1510733980,13,6
1510745042,15,11
1510756487,14,6
1510767782,13,26
1510778795,13,24
1510790109,10,14
1510801069,20,25
1510811963,5,22
1510823155,8,22
1510834097,7,15
1510845072,14,12
1510856026,6,14
1510866949,8,18
1510877751,12,11
1510888453,5,14
1510899565,8,17
1510910622,13,17
1510921910,9,24
1510933204,13,19
1510944338,10,12
1510955165,12,16
1510966026,9,16
1510976865,9,10
1510987856,3,14
1510998966,17,13
1511010180,10,20
1511021755,11,18
1511032826,8,12
1511043582,3,13
1511054542,7,6
1511065453,7,11
1511076456,10,13
1511087645,5,12
1511098368,6,15
1511109437,10,8
1511120395,9,19
1511131681,6,13
1511142934,9,16
1511153272,4,12
1511164189,7,7
1511175038,6,13
1511186155,5,11
1511197064,17,15
1511207859,5,8
1511218585,11,10
1511229347,5,10
1511240243,10,8
1511251127,5,7
1511262414,5,10
1511273496,8,16
1511284545,6,11
1511295465,8,20
1511306010,6,15
1511317215,3,2
1511328088,5,10
1511338956,7,13
1511349776,3,16
1511360817,4,9
1511371935,6,9
1511382937,9,12
1511394123,15,13
1511404986,5,11
1511415400,5,13
1511426379,6,15
1511437377,6,13
1511448385,5,13
1511459433,8,11
1511470354,5,10
1511481343,9,15
1511492103,6,10
1511503169,8,4
1511514231,4,17
