DateTime,Entries,UniqueIPs
1509216463,2183,2183
1509227316,2182,2182
1509242079,2179,2179
1509253040,2191,2191
1509264046,2191,2191
1509274926,2193,2193
1509286083,2200,2200
1509297022,2199,2199
1509307935,2198,2198
1509318867,2197,2197
1509329843,2204,2204
1509340656,2212,2212
1509351237,2216,2216
1509362052,2214,2214
1509372644,2216,2216
1509384015,2220,2220
1509395014,2215,2215
1509406481,2211,2211
1509417499,2207,2207
1509428244,2205,2205
1509439013,2194,2194
1509449990,2193,2193
1509461022,2194,2194
1509471423,2183,2183
1509482848,2178,2178
1509493829,2177,2177
1509504953,2183,2183
1509515953,2180,2180
1509527286,2183,2183
1509538231,2181,2181
1509549461,2180,2180
1509560378,2189,2189
1509571382,2201,2201
1509582478,2209,2209
1509593473,2215,2215
1509604300,2226,2226
1509615079,2236,2236
1509626149,2250,2250
1509637453,2254,2254
1509648497,2254,2254
1509659532,2255,2255
1509670540,2253,2253
1509681759,2261,2261
1509692694,2267,2267
1509703737,2281,2281
1509714556,2280,2280
1509725683,2288,2288
1509736931,2290,2290
1509747696,2290,2290
1509758356,2297,2297
1509769564,2300,2300
1509780384,2305,2305
1509791723,2311,2311
1509802766,2317,2317
1509813812,2326,2326
1509825134,2331,2331
1509836124,2334,2334
1509847453,2343,2343
1509858411,2348,2348
1509869536,2344,2344
1509880417,2348,2348
1509891294,2362,2362
1509902406,2364,2364
1509913652,2368,2368
1509924907,2371,2371
1509935981,2371,2371
1509946978,2376,2376
1509958014,2388,2388
1509969017,2391,2391
1509979589,2398,2398
1509991408,2408,2408
1510002698,2413,2413
1510013976,2426,2426
1510024875,2423,2423
1510035837,2427,2427
1510046774,2430,2430
1510057703,2435,2435
1510068640,2435,2435
1510079762,2435,2435
1510090794,2431,2431
1510101738,2427,2427
1510112876,2432,2432
1510123833,2431,2431
1510135162,2434,2434
1510145967,2436,2436
1510157242,2437,2437
1510168304,2439,2439
1510179365,2446,2446
1510190219,2446,2446
1510201109,2452,2452
1510212253,2455,2455
1510223286,2457,2457
1510234412,2460,2460
1510245310,2457,2457
1510256397,2460,2460
1510268361,2464,2464
1510279687,2471,2471
1510290673,2485,2485
1510301982,2485,2485
1510312988,2495,2495
1510324039,2495,2495
1510335036,2511,2511
1510346049,2513,2513
1510356978,2508,2508
1510368008,2502,2502
1510378704,2491,2491
1510389851,2491,2491
1510400883,2489,2489
1510412129,2482,2482
1510424311,2497,2497
1510435676,2490,2490
1510446675,2485,2485
1510457609,2486,2486
1510468556,2480,2480
1510479339,2478,2478
1510490282,2480,2480
1510500914,2475,2475
1510511893,2473,2473
1510522707,2473,2473
1510533827,2480,2480
1510544873,2477,2477
1510555931,2484,2484
1510566897,2493,2493
1510577843,2496,2496
1510589010,2494,2494
1510600096,2502,2502
1510611302,2513,2513
1510622338,2521,2521
1510633327,2521,2521
1510644263,2523,2523
1510655285,2516,2516
1510666717,2512,2512
1510677785,2505,2505
1510689539,2514,2514
1510700627,2517,2517
1510711936,2517,2517
1510722957,2521,2521
1510733980,2528,2528
1510745042,2532,2532
1510756487,2540,2540
1510767782,2527,2527
1510778795,2516,2516
1510790109,2512,2512
1510801069,2507,2507
1510811963,2490,2490
1510823155,2476,2476
1510834097,2468,2468
1510845072,2470,2470
1510856026,2462,2462
1510866949,2452,2452
1510877751,2453,2453
1510888453,2444,2444
1510899565,2435,2435
1510910622,2431,2431
1510921910,2416,2416
1510933204,2410,2410
1510944338,2408,2408
1510955165,2404,2404
1510966026,2397,2397
1510976865,2396,2396
1510987856,2385,2385
1510998966,2389,2389
1511010180,2379,2379
1511021755,2372,2372
1511032826,2368,2368
1511043582,2358,2358
1511054542,2359,2359
1511065453,2355,2355
1511076456,2352,2352
1511087645,2345,2345
1511098368,2336,2336
1511109437,2338,2338
1511120395,2328,2328
1511131681,2321,2321
1511142934,2314,2314
1511153272,2306,2306
1511164189,2306,2306
1511175038,2299,2299
1511186155,2293,2293
1511197064,2295,2295
1511207859,2292,2292
1511218585,2293,2293
1511229347,2288,2288
1511240243,2290,2290
1511251127,2288,2288
1511262414,2283,2283
1511273496,2275,2275
1511284545,2270,2270
1511295465,2258,2258
1511306010,2249,2249
1511317215,2250,2250
1511328088,2245,2245
1511338956,2239,2239
1511349776,2226,2226
1511360817,2221,2221
1511371935,2218,2218
1511382937,2215,2215
1511394123,2217,2217
1511404986,2211,2211
1511415400,2203,2203
1511426379,2194,2194
1511437377,2187,2187
1511448385,2179,2179
1511459433,2176,2176
1511470354,2171,2171
1511481343,2165,2165
1511492103,2161,2161
1511503169,2165,2165
1511514231,2152,2152
1511525346,2139,2139
1511536300,2139,2139
1511547097,2133,2133
1511558090,2134,2134
1511569086,2130,2130
1511580119,2129,2129
1511591017,2127,2127
1511602324,2124,2124
1511613314,2123,2123
1511624231,2118,2118
1511635134,2101,2101
1511646311,2100,2100
1511657485,2089,2089
1511668424,2086,2086
1511679304,2079,2079
1511690380,2068,2068
1511701426,2046,2046
1511712390,2036,2036
1511723316,2037,2037
1511734313,2028,2028
1511745359,2030,2030
1511756333,2022,2022
1511767334,2009,2009
1511778527,1999,1999
1511790904,1997,1997
1511801967,1988,1988
1511812973,1984,1984
1511824062,1972,1972
1511835086,1966,1966
1511846146,1951,1951
1511856946,1948,1948
1511867859,1934,1934
1511878624,1926,1926
1511889610,1920,1920
1511900509,1914,1914
1511911228,1909,1909
1511921948,1908,1908
1511933226,1907,1907
1511944254,1900,1900
1511955321,1894,1894
1511966140,1888,1888
1511976913,1886,1886
1511987972,1879,1879
1511999012,1878,1878
1512009938,1877,1877
1512020736,1876,1876
1512031646,1879,1879
1512042681,1881,1881
1512053740,1873,1873
1512064441,1870,1870
1512075624,1866,1866
1512086563,1856,1856
1512097594,1846,1846
1512108203,1844,1844
1512119119,1839,1839
1512130100,1826,1826
1512140890,1820,1820
1512151942,1812,1812
1512162536,1794,1794
1512173510,1785,1785
1512184515,1776,1776
1512195054,1763,1763
1512206133,1744,1744
