DateTime,AddedIPs,RemovedIPs
1509326701,3148,3148
1509337501,1691,1691
1509348301,1112,1112
1509359101,1045,1045
1509369901,993,993
1509380701,903,903
1509391501,797,797
1509402301,1177,1177
1509413101,2994,2994
1509423901,1377,1377
1509434701,1109,1109
1509445501,965,965
1509456301,863,863
1509467101,769,769
1509477901,772,772
1509488701,766,766
1509499501,2788,2788
1509510301,1316,1316
1509521101,1144,1144
1509531901,968,968
1509542701,892,892
1509553501,946,946
1509564301,806,806
1509575101,809,809
1509585901,2809,2809
1509596701,1424,1424
1509607501,1224,1224
1509618301,1174,1174
1509629101,1183,1183
1509639901,1210,1210
1509650701,1171,1171
1509661501,2020,2020
1509672301,4222,4222
1509683101,2634,2634
1509693901,1975,1975
1509704701,1735,1735
1509715501,2054,2054
1509726301,3204,3204
1509737101,4119,4119
1509747901,4694,4694
1509758701,5857,5857
1509769501,3479,3479
1509780301,2515,2515
1509791101,2987,2987
1509801901,3959,3959
1509812701,4538,4538
1509823501,5054,5054
1509834301,5424,5424
1509845101,5980,5980
1509855901,2887,2887
1509866701,2278,2278
1509877501,2381,2381
1509888301,3326,3326
1509899101,3954,3954
1509909901,4427,4427
1509920701,4815,4815
1509931501,5257,5257
1509942301,2239,2239
1509953101,1963,1963
1509963901,1583,1583
1509974701,2474,2474
1509985501,3221,3221
1509996301,3776,3776
1510007101,4182,4182
1510017901,4836,4836
1510028701,1989,1989
1510039501,1661,1661
1510050301,1569,1569
1510061101,2365,2365
1510071901,2847,2847
1510082701,3568,3568
1510093501,3940,3940
1510104301,4698,4698
1510115101,1535,1535
1510125901,1265,1265
1510136701,1085,1085
1510147501,1138,1138
1510158301,1887,1887
1510169101,2434,2434
1510179901,2906,2906
1510190701,4111,4111
1510201501,1386,1386
1510212301,1135,1135
1510223101,1122,1122
1510233901,1008,1008
1510244701,1468,1468
1510255501,2015,2015
1510266301,2491,2491
1510277101,4156,4156
1510287901,1392,1392
1510298701,1069,1069
1510309501,967,967
1510320301,867,867
1510331101,765,765
1510341901,1288,1288
1510352701,1821,1821
1510363501,3684,3684
1510374301,1213,1213
1510385101,1028,1028
1510395901,837,837
1510406701,790,790
1510417501,720,720
1510428301,651,651
1510439101,1018,1018
1510449901,3195,3195
1510460701,1073,1073
1510471501,900,900
1510482301,851,851
1510493101,703,703
1510503901,635,635
1510514701,636,636
1510525501,632,632
1510536301,2371,2371
1510547101,968,968
1510557901,943,943
1510568701,884,884
