DateTime,AddedIPs,RemovedIPs
1514220986,95,455
1514222200,76,468
1514223153,69,349
1514224110,90,438
1514225061,84,400
1514226015,82,483
1514226994,79,567
1514227954,41,0
1514228907,66,469
1514229857,108,631
1514230830,87,633
1514231775,75,716
1514232759,105,713
1514233697,88,692
1514234676,78,692
1514235636,44,318
1514236583,424,36
1514237560,479,82
1514238748,774,1705
1514239704,104,11
1514240681,37,59
1514241618,24,5
1514242587,28,10
1514243560,70,146
1514244503,31,7
1514245469,35,56
1514246438,42,58
1514247381,39,8
1514248365,34,86
1514249296,44,7
1514250279,31,42
1514251223,43,107
1514252186,40,6
1514253160,48,96
1514254104,41,3
1514255057,40,74
1514256030,33,3
1514256983,66,103
1514257968,63,55
1514258897,44,39
1514259871,29,1
1514260832,64,44
1514261799,70,127
1514262750,35,9
1514263707,33,53
1514264660,66,76
1514265636,50,100
1514266575,30,51
1514267569,55,49
1514268494,25,3
1514269471,30,69
1514270428,45,45
1514271388,45,49
1514272356,44,48
1514273553,45,56
1514274508,56,51
1514275460,50,41
1514276667,41,51
1514277640,47,55
1514278587,43,41
1514279540,39,36
1514280519,42,48
1514281468,41,45
1514282420,36,46
1514283400,46,43
1514284613,52,37
1514285564,51,53
1514286494,42,52
1514287469,57,38
1514288437,36,34
1514289390,43,56
1514290362,45,57
1514291296,38,50
1514292270,49,53
1514293235,48,62
1514294177,47,74
1514295160,52,62
1514296110,38,62
1514297094,40,58
1514298537,63,123
1514299461,42,55
1514300445,29,49
1514301392,41,31
1514302359,43,60
1514303309,23,64
1514304285,32,24
1514305216,42,50
1514306204,35,63
1514307146,53,67
1514308114,27,61
1514309057,46,32
1514310022,46,90
1514310988,37,2
1514312207,83,110
1514313137,35,11
1514314127,47,70
1514315344,50,110
1514316521,50,62
1514317472,34,36
1514318435,49,79
1514319643,45,44
1514320598,36,52
1514321551,48,86
1514322516,38,16
1514323470,555,110
1514324443,389,54
1514325392,337,1112
1514326364,111,80
1514327313,52,61
1514328256,19,6
1514329238,48,94
1514330202,86,52
1514331154,51,77
1514332357,73,51
1514333456,50,123
1514334756,46,44
1514335665,37,61
1514336932,49,75
1514338130,60,88
1514339096,47,49
1514340031,44,2
1514341024,52,120
1514341947,49,3
1514342927,67,82
1514343863,75,4
1514344939,65,117
1514346280,62,62
1514347245,41,75
1514348209,52,76
1514349159,51,52
1514350116,38,62
1514351067,48,64
1514352034,51,36
1514352994,40,76
1514354437,72,54
1514355376,32,49
1514356357,59,53
1514357311,49,75
1514358263,47,9
1514359217,59,53
1514360201,37,22
1514361135,44,78
1514362114,52,58
1514363057,45,48
1514364017,38,76
1514364992,45,94
1514365939,40,5
1514366912,30,52
1514368119,41,33
1514369068,36,64
1514370016,33,59
1514371181,45,55
1514372449,59,106
1514373407,36,56
1514374364,42,12
1514375569,60,123
1514376570,38,57
1514377743,46,71
1514378687,43,41
1514379659,60,65
1514380615,33,53
1514381570,48,54
1514382500,29,6
1514383713,54,112
1514384673,40,11
1514385891,65,102
1514386823,37,8
1514387807,49,96
1514388756,38,6
1514389723,53,103
1514390666,41,5
1514391618,37,45
1514392601,43,52
1514393567,46,113
1514394508,42,59
1514395460,57,10
1514396425,30,71
1514398176,90,145
1514399300,62,52
1514400278,31,65
1514401223,44,63
1514402212,45,71
1514403159,55,80
1514404118,49,74
1514405066,47,63
1514406045,41,54
1514406999,40,96
1514407953,74,74
1514408896,47,47
1514410129,551,81
1514411073,758,109
1514412062,84,1001
1514412999,117,101
1514413957,47,90
1514414908,39,12
1514415885,58,80
1514416820,23,7
1514417913,50,128
1514419011,51,41
1514419954,68,78
1514420901,44,46
1514421867,53,104
1514422843,48,50
1514423805,37,63
1514424759,41,6
1514425973,66,78
1514426917,41,90
1514427865,51,71
1514428814,45,4
1514429802,56,58
1514430736,33,51
1514431721,53,107
1514432673,39,49
1514433883,77,60
1514434839,60,47
1514435781,40,55
1514437022,56,77
1514437946,68,50
1514438900,67,66
1514439866,46,61
1514440838,48,58
1514441791,70,65
1514442774,87,121
1514443715,43,17
1514444673,63,130
1514445633,48,47
1514446601,53,61
1514447548,44,52
1514448496,57,82
1514449491,52,75
1514450424,49,69
1514451372,34,10
1514452364,55,97
1514453295,14,17
1514454257,51,31
1514455246,94,105
1514456209,54,45
1514457140,29,10
1514458119,63,89
1514459306,71,62
1514460537,68,128
1514461456,52,42
1514462438,75,65
1514463404,44,55
1514464623,70,81
1514465788,61,44
1514466736,34,61
1514467718,73,93
1514468911,48,68
1514469941,60,55
1514471097,78,51
1514472040,49,78
1514472983,78,88
1514473940,46,49
1514474918,46,69
1514476143,85,90
1514477062,49,8
1514478044,75,91
1514478994,47,40
1514479957,40,71
1514480896,34,8
1514481860,57,59
1514482827,53,89
1514483796,49,48
1514484785,53,52
1514485735,37,30
1514486693,62,83
1514487725,43,41
1514488628,51,76
1514489552,54,63
1514490505,58,74
1514491484,49,9
1514492413,51,64
1514493402,62,41
1514494335,61,67
1514495334,39,37
1514496259,428,76
1514497215,48,12
1514498187,55,62
1514499137,105,531
1514500126,51,78
1514501060,44,101
1514502044,61,16
1514503076,57,102
1514504074,57,48
1514505159,72,71
1514506122,62,74
1514507069,29,60
1514508018,53,52
1514508993,49,78
1514509951,58,92
1514510910,43,53
1514511871,55,70
1514512840,80,58
1514513779,35,58
1514514776,54,56
1514515699,55,76
1514516668,55,65
1514517620,29,40
1514518612,59,72
1514519536,46,6
1514520512,71,55
1514521464,85,73
1514522693,68,97
1514523624,57,6
1514524604,75,109
1514525538,37,12
1514526519,63,125
1514527461,52,6
1514528421,42,88
1514529412,65,61
1514530360,57,67
1514531293,63,86
1514532285,60,94
1514533231,70,70
1514534215,50,72
1514535406,54,89
1514536349,34,64
1514537304,46,95
1514538839,73,114
1514539907,41,46
1514540923,75,127
1514542124,59,75
1514543098,51,46
1514544013,56,62
1514544989,38,46
1514545968,44,86
1514546936,46,72
1514547859,37,49
1514548857,49,54
1514550066,56,132
1514551005,42,68
1514551938,47,8
1514552918,53,57
1514554131,59,115
1514555059,36,51
1514556269,50,88
1514557212,61,59
1514558196,35,39
1514559152,60,63
1514560096,50,56
1514561072,40,62
1514562535,60,118
1514563461,53,7
1514564439,67,131
1514565395,55,96
1514566360,70,88
1514567320,57,64
1514568267,52,81
1514569485,63,75
1514570670,69,107
1514571619,50,73
1514572602,39,62
1514573793,56,56
1514574755,53,47
1514575708,49,66
1514576925,43,85
1514577860,39,7
1514579332,77,100
1514580294,40,49
1514581234,46,64
1514582208,104,52
1514583157,315,67
1514584120,53,48
1514585304,94,642
1514586258,49,42
1514587234,31,53
1514588197,47,65
1514589399,63,83
1514590599,59,85
1514591545,50,58
1514592512,45,83
1514593461,42,108
1514594419,47,135
1514595412,44,176
1514596618,50,66
1514597552,41,62
1514598506,30,69
1514599464,51,66
1514600448,40,57
1514601400,45,44
1514602361,49,56
1514603299,40,45
1514604289,49,49
1514605213,29,32
1514606197,38,42
1514607150,45,45
1514608109,32,46
1514609070,41,21
1514610044,41,57
1514610993,56,35
1514611982,40,29
1514612910,43,34
1514613872,40,42
1514614812,46,33
1514615809,32,46
1514616736,30,15
1514617722,40,66
1514618658,51,55
1514619615,39,19
1514620596,45,38
1514621549,34,62
1514622493,11,38
1514623482,79,46
1514624422,35,59
1514625399,28,45
1514626351,53,46
1514627318,45,52
1514628263,39,33
1514629238,44,44
1514630193,29,40
1514631158,70,48
1514632118,37,55
1514633063,51,68
1514634028,35,37
1514635007,47,51
1514636198,38,9
1514637155,36,83
1514638116,28,4
1514639071,27,65
1514640026,54,72
1514640998,22,4
1514641944,35,46
1514642906,28,60
