DateTime,Entries,UniqueIPs
1514220986,71017,71017
1514222200,70625,70625
1514223153,70345,70345
1514224110,69997,69997
1514225061,69681,69681
1514226015,69280,69280
1514226994,68792,68792
1514227954,68833,68833
1514228907,68430,68430
1514229857,67907,67907
1514230830,67361,67361
1514231775,66720,66720
1514232759,66112,66112
1514233697,65508,65508
1514234676,64894,64894
1514235636,64620,64620
1514236583,65008,65008
1514237560,65405,65405
1514238748,64474,64474
1514239704,64567,64567
1514240681,64545,64545
1514241618,64564,64564
1514242587,64582,64582
1514243560,64506,64506
1514244503,64530,64530
1514245469,64509,64509
1514246438,64493,64493
1514247381,64524,64524
1514248365,64472,64472
1514249296,64509,64509
1514250279,64498,64498
1514251223,64434,64434
1514252186,64468,64468
1514253160,64420,64420
1514254104,64458,64458
1514255057,64424,64424
1514256030,64454,64454
1514256983,64417,64417
1514257968,64425,64425
1514258897,64430,64430
1514259871,64458,64458
1514260832,64478,64478
1514261799,64421,64421
1514262750,64447,64447
1514263707,64427,64427
1514264660,64417,64417
1514265636,64367,64367
1514266575,64346,64346
1514267569,64352,64352
1514268494,64374,64374
1514269471,64335,64335
1514270428,64335,64335
1514271388,64331,64331
1514272356,64327,64327
1514273553,64316,64316
1514274508,64321,64321
1514275460,64330,64330
1514276667,64320,64320
1514277640,64312,64312
1514278587,64314,64314
1514279540,64317,64317
1514280519,64311,64311
1514281468,64307,64307
1514282420,64297,64297
1514283400,64300,64300
1514284613,64315,64315
1514285564,64313,64313
1514286494,64303,64303
1514287469,64322,64322
1514288437,64324,64324
1514289390,64311,64311
1514290362,64299,64299
1514291296,64287,64287
1514292270,64283,64283
1514293235,64269,64269
1514294177,64242,64242
1514295160,64232,64232
1514296110,64208,64208
1514297094,64190,64190
1514298537,64130,64130
1514299461,64117,64117
1514300445,64097,64097
1514301392,64107,64107
1514302359,64090,64090
1514303309,64049,64049
1514304285,64057,64057
1514305216,64049,64049
1514306204,64021,64021
1514307146,64007,64007
1514308114,63973,63973
1514309057,63987,63987
1514310022,63943,63943
1514310988,63978,63978
1514312207,63951,63951
1514313137,63975,63975
1514314127,63952,63952
1514315344,63892,63892
1514316521,63880,63880
1514317472,63878,63878
1514318435,63848,63848
1514319643,63849,63849
1514320598,63833,63833
1514321551,63795,63795
1514322516,63817,63817
1514323470,64262,64262
1514324443,64597,64597
1514325392,63822,63822
1514326364,63853,63853
1514327313,63844,63844
1514328256,63857,63857
1514329238,63811,63811
1514330202,63845,63845
1514331154,63819,63819
1514332357,63841,63841
1514333456,63768,63768
1514334756,63770,63770
1514335665,63746,63746
1514336932,63720,63720
1514338130,63692,63692
1514339096,63690,63690
1514340031,63732,63732
1514341024,63664,63664
1514341947,63710,63710
1514342927,63695,63695
1514343863,63766,63766
1514344939,63714,63714
1514346280,63714,63714
1514347245,63680,63680
1514348209,63656,63656
1514349159,63655,63655
1514350116,63631,63631
1514351067,63615,63615
1514352034,63630,63630
1514352994,63594,63594
1514354437,63612,63612
1514355376,63595,63595
1514356357,63601,63601
1514357311,63575,63575
1514358263,63613,63613
1514359217,63619,63619
1514360201,63634,63634
1514361135,63600,63600
1514362114,63594,63594
1514363057,63591,63591
1514364017,63553,63553
1514364992,63504,63504
1514365939,63539,63539
1514366912,63517,63517
1514368119,63525,63525
1514369068,63497,63497
1514370016,63471,63471
1514371181,63461,63461
1514372449,63414,63414
1514373407,63394,63394
1514374364,63424,63424
1514375569,63361,63361
1514376570,63342,63342
1514377743,63317,63317
1514378687,63319,63319
1514379659,63314,63314
1514380615,63294,63294
1514381570,63288,63288
1514382500,63311,63311
1514383713,63253,63253
1514384673,63282,63282
1514385891,63245,63245
1514386823,63274,63274
1514387807,63227,63227
1514388756,63259,63259
1514389723,63209,63209
1514390666,63245,63245
1514391618,63237,63237
1514392601,63228,63228
1514393567,63161,63161
1514394508,63144,63144
1514395460,63191,63191
1514396425,63150,63150
1514398176,63095,63095
1514399300,63105,63105
1514400278,63071,63071
1514401223,63052,63052
1514402212,63026,63026
1514403159,63001,63001
1514404118,62976,62976
1514405066,62960,62960
1514406045,62947,62947
1514406999,62891,62891
1514407953,62891,62891
1514408896,62891,62891
1514410129,63361,63361
1514411073,64010,64010
1514412062,63093,63093
1514412999,63109,63109
1514413957,63066,63066
1514414908,63093,63093
1514415885,63071,63071
1514416820,63087,63087
1514417913,63009,63009
1514419011,63019,63019
1514419954,63009,63009
1514420901,63007,63007
1514421867,62956,62956
1514422843,62954,62954
1514423805,62928,62928
1514424759,62963,62963
1514425973,62951,62951
1514426917,62902,62902
1514427865,62882,62882
1514428814,62923,62923
1514429802,62921,62921
1514430736,62903,62903
1514431721,62849,62849
1514432673,62839,62839
1514433883,62856,62856
1514434839,62869,62869
1514435781,62854,62854
1514437022,62833,62833
1514437946,62851,62851
1514438900,62852,62852
1514439866,62837,62837
1514440838,62827,62827
1514441791,62832,62832
1514442774,62798,62798
1514443715,62824,62824
1514444673,62757,62757
1514445633,62758,62758
1514446601,62750,62750
1514447548,62742,62742
1514448496,62717,62717
1514449491,62694,62694
1514450424,62674,62674
1514451372,62698,62698
1514452364,62656,62656
1514453295,62653,62653
1514454257,62673,62673
1514455246,62662,62662
1514456209,62671,62671
1514457140,62690,62690
1514458119,62664,62664
1514459306,62673,62673
1514460537,62613,62613
1514461456,62623,62623
1514462438,62633,62633
1514463404,62622,62622
1514464623,62611,62611
1514465788,62628,62628
1514466736,62601,62601
1514467718,62581,62581
1514468911,62561,62561
1514469941,62566,62566
1514471097,62593,62593
1514472040,62564,62564
1514472983,62554,62554
1514473940,62551,62551
1514474918,62528,62528
1514476143,62523,62523
1514477062,62564,62564
1514478044,62548,62548
1514478994,62555,62555
1514479957,62524,62524
1514480896,62550,62550
1514481860,62548,62548
1514482827,62512,62512
1514483796,62513,62513
1514484785,62514,62514
1514485735,62521,62521
1514486693,62500,62500
1514487725,62502,62502
1514488628,62477,62477
1514489552,62468,62468
1514490505,62452,62452
1514491484,62492,62492
1514492413,62479,62479
1514493402,62500,62500
1514494335,62494,62494
1514495334,62496,62496
1514496259,62848,62848
1514497215,62884,62884
1514498187,62877,62877
1514499137,62451,62451
1514500126,62424,62424
1514501060,62367,62367
1514502044,62412,62412
1514503076,62367,62367
1514504074,62376,62376
1514505159,62377,62377
1514506122,62365,62365
1514507069,62334,62334
1514508018,62335,62335
1514508993,62306,62306
1514509951,62272,62272
1514510910,62262,62262
1514511871,62247,62247
1514512840,62269,62269
1514513779,62246,62246
1514514776,62244,62244
1514515699,62223,62223
1514516668,62213,62213
1514517620,62202,62202
1514518612,62189,62189
1514519536,62229,62229
1514520512,62245,62245
1514521464,62257,62257
1514522693,62228,62228
1514523624,62279,62279
1514524604,62245,62245
1514525538,62270,62270
1514526519,62208,62208
1514527461,62254,62254
1514528421,62208,62208
1514529412,62212,62212
1514530360,62202,62202
1514531293,62179,62179
1514532285,62145,62145
1514533231,62145,62145
1514534215,62123,62123
1514535406,62088,62088
1514536349,62058,62058
1514537304,62009,62009
1514538839,61968,61968
1514539907,61963,61963
1514540923,61911,61911
1514542124,61895,61895
1514543098,61900,61900
1514544013,61894,61894
1514544989,61886,61886
1514545968,61844,61844
1514546936,61818,61818
1514547859,61806,61806
1514548857,61801,61801
1514550066,61725,61725
1514551005,61699,61699
1514551938,61738,61738
1514552918,61734,61734
1514554131,61678,61678
1514555059,61663,61663
1514556269,61625,61625
1514557212,61627,61627
1514558196,61623,61623
1514559152,61620,61620
1514560096,61614,61614
1514561072,61592,61592
1514562535,61534,61534
1514563461,61580,61580
1514564439,61516,61516
1514565395,61475,61475
1514566360,61457,61457
1514567320,61450,61450
1514568267,61421,61421
1514569485,61409,61409
1514570670,61371,61371
1514571619,61348,61348
1514572602,61325,61325
1514573793,61325,61325
1514574755,61331,61331
1514575708,61314,61314
1514576925,61272,61272
1514577860,61304,61304
1514579332,61281,61281
1514580294,61272,61272
1514581234,61254,61254
1514582208,61306,61306
1514583157,61554,61554
1514584120,61559,61559
1514585304,61011,61011
1514586258,61018,61018
1514587234,60996,60996
1514588197,60978,60978
1514589399,60958,60958
1514590599,60932,60932
1514591545,60924,60924
1514592512,60886,60886
1514593461,60820,60820
1514594419,60732,60732
1514595412,60600,60600
1514596618,60584,60584
1514597552,60563,60563
1514598506,60524,60524
1514599464,60509,60509
1514600448,60492,60492
1514601400,60493,60493
1514602361,60486,60486
1514603299,60481,60481
1514604289,60481,60481
1514605213,60478,60478
1514606197,60474,60474
1514607150,60474,60474
1514608109,60460,60460
1514609070,60480,60480
1514610044,60464,60464
1514610993,60485,60485
1514611982,60496,60496
1514612910,60505,60505
1514613872,60503,60503
1514614812,60516,60516
1514615809,60502,60502
1514616736,60517,60517
1514617722,60491,60491
1514618658,60487,60487
1514619615,60507,60507
1514620596,60514,60514
1514621549,60486,60486
1514622493,60459,60459
1514623482,60492,60492
1514624422,60468,60468
1514625399,60451,60451
1514626351,60458,60458
1514627318,60451,60451
1514628263,60457,60457
1514629238,60457,60457
1514630193,60446,60446
1514631158,60468,60468
1514632118,60450,60450
1514633063,60433,60433
1514634028,60431,60431
1514635007,60427,60427
1514636198,60456,60456
1514637155,60409,60409
1514638116,60433,60433
1514639071,60395,60395
1514640026,60377,60377
1514640998,60395,60395
1514641944,60384,60384
1514642906,60352,60352
1514643868,60352,60352
1514644833,60346,60346
1514645775,60333,60333
1514646751,60337,60337
1514647709,60333,60333
1514648663,60330,60330
1514649899,60335,60335
1514651072,60332,60332
1514652027,60318,60318
1514652983,60342,60342
1514654212,60330,60330
1514655138,60339,60339
1514656358,60339,60339
1514657306,60356,60356
1514658256,60352,60352
1514659229,60361,60361
1514660208,60372,60372
1514661402,60391,60391
1514662355,60395,60395
1514663417,60397,60397
1514664521,60406,60406
1514665458,60431,60431
1514666428,60433,60433
1514667397,60449,60449
1514668364,60515,60515
1514669322,60607,60607
1514670270,60612,60612
1514671467,60582,60582
1514672431,59161,59161
1514673392,59157,59157
1514674346,59149,59149
1514675313,59163,59163
1514676267,59133,59133
1514677214,59117,59117
1514678187,59122,59122
1514679156,59114,59114
1514680093,59103,59103
1514681067,59066,59066
1514682036,59034,59034
1514682981,59022,59022
1514683954,59008,59008
1514684901,59045,59045
1514685874,59066,59066
1514686824,59051,59051
1514688114,59068,59068
1514689249,59088,59088
1514690445,59057,59057
1514691397,59096,59096
1514692358,59043,59043
1514693561,59062,59062
1514694504,59078,59078
1514695456,59086,59086
1514696428,59090,59090
1514697414,59090,59090
1514698353,59121,59121
1514699306,59124,59124
1514700284,59127,59127
1514701235,59126,59126
1514702199,59161,59161
1514703414,59150,59150
1514704349,59141,59141
1514705303,59130,59130
1514706260,59142,59142
1514707240,59132,59132
1514708182,59146,59146
1514709162,59096,59096
1514710097,59122,59122
1514711079,59074,59074
1514712091,59100,59100
1514712993,59112,59112
1514713954,59097,59097
1514714907,59085,59085
1514715893,59090,59090
1514716825,59063,59063
1514717791,59058,59058
1514718768,59076,59076
