DateTime,AddedIPs,RemovedIPs
1514220986,615,622
1514222200,690,696
1514223153,644,646
1514224110,729,727
1514225061,528,523
1514226015,729,737
1514226994,471,469
1514227954,682,672
1514228907,436,432
1514229857,744,745
1514230830,617,622
1514231775,568,574
1514232759,808,813
1514233697,624,625
1514234676,583,579
1514235636,700,705
1514236583,634,631
1514237560,515,514
1514238748,735,724
1514239704,1988,2004
1514240681,660,653
1514241618,553,552
1514242587,550,552
1514243560,810,815
1514244503,707,710
1514245469,578,584
1514246438,685,699
1514247381,759,770
1514248365,557,579
1514249296,783,806
1514250279,548,555
1514251223,594,609
1514252186,811,818
1514253160,545,565
1514254104,692,696
1514255057,628,632
1514256030,606,616
1514256983,542,543
1514257968,802,791
1514258897,729,733
1514259871,247,236
1514260832,699,688
1514261799,688,679
1514262750,788,778
1514263707,431,434
1514264660,925,921
1514265636,746,753
1514266575,433,444
1514267569,803,797
1514268494,647,648
1514269471,344,344
1514270428,667,657
1514271388,732,740
1514272356,629,626
1514273553,823,822
1514274508,459,468
1514275460,744,746
1514276667,717,723
1514277640,861,856
1514278587,549,545
1514279540,614,626
1514280519,498,496
1514281468,755,761
1514282420,530,526
1514283400,652,646
1514284613,824,831
1514285564,764,760
1514286494,483,489
1514287469,809,817
1514288437,629,633
1514289390,464,461
1514290362,618,618
1514291296,528,530
1514292270,675,663
1514293235,593,588
1514294177,575,575
1514295160,609,604
1514296110,684,681
1514297094,649,645
1514298537,927,926
1514299461,526,530
1514300445,667,676
1514301392,460,458
1514302359,737,746
1514303309,442,444
1514304285,689,677
1514305216,662,664
1514306204,521,510
1514307146,781,780
1514308114,556,554
1514309057,660,657
1514310022,697,689
1514310988,643,642
1514312207,761,770
1514313137,817,820
1514314127,600,597
1514315344,830,822
1514316521,749,739
1514317472,559,553
1514318435,799,799
1514319643,732,739
1514320598,602,606
1514321551,873,867
1514322516,697,691
1514323470,699,693
1514324443,392,393
1514325392,743,738
1514326364,1953,1966
1514327313,730,727
1514328256,551,551
1514329238,719,715
1514330202,694,692
1514331154,740,748
1514332357,1205,1213
1514333456,805,823
1514334756,937,956
1514335665,759,766
1514336932,691,709
1514338130,1016,1031
1514339096,918,933
1514340031,645,646
1514341024,554,561
1514341947,661,662
1514342927,791,777
1514343863,962,944
1514344939,869,871
1514346280,1088,1086
1514347245,466,465
1514348209,809,796
1514349159,794,791
1514350116,830,829
1514351067,772,761
1514352034,799,799
1514352994,590,581
1514354437,1178,1174
1514355376,593,588
1514356357,877,868
1514357311,740,735
1514358263,785,784
1514359217,903,902
1514360201,687,683
1514361135,540,539
1514362114,676,680
1514363057,764,768
1514364017,732,728
1514364992,519,507
1514365939,820,806
1514366912,578,572
1514368119,919,931
1514369068,467,466
1514370016,551,557
1514371181,1003,1011
1514372449,876,873
1514373407,521,526
1514374364,824,831
1514375569,853,858
1514376570,737,738
1514377743,831,813
1514378687,723,726
1514379659,860,846
1514380615,480,476
1514381570,742,744
1514382500,423,414
1514383713,897,893
1514384673,905,906
1514385891,768,771
1514386823,724,736
1514387807,560,555
1514388756,638,634
1514389723,848,845
1514390666,758,753
1514391618,731,725
1514392601,673,669
1514393567,690,694
1514394508,520,524
1514395460,864,868
1514396425,517,514
1514398176,1292,1302
1514399300,807,820
1514400278,527,525
1514401223,831,812
1514402212,681,672
1514403159,884,882
1514404118,674,679
1514405066,726,722
1514406045,852,861
1514406999,516,510
1514407953,915,917
1514408896,522,520
1514410129,925,912
1514411073,797,789
1514412062,472,469
1514412999,1985,1999
1514413957,521,508
1514414908,970,970
1514415885,688,687
1514416820,678,683
1514417913,613,616
1514419011,879,888
1514419954,816,813
1514420901,561,583
1514421867,739,756
1514422843,839,851
1514423805,460,474
1514424759,901,913
1514425973,884,892
1514426917,564,577
1514427865,872,872
1514428814,685,690
1514429802,742,737
1514430736,419,417
1514431721,768,760
1514432673,736,748
1514433883,899,892
1514434839,737,730
1514435781,285,278
1514437022,1019,1021
1514437946,900,887
1514438900,796,793
1514439866,472,476
1514440838,637,635
1514441791,804,796
1514442774,801,807
1514443715,455,459
1514444673,798,801
1514445633,633,638
1514446601,1003,1022
1514447548,398,379
1514448496,663,651
1514449491,830,818
1514450424,427,422
1514451372,767,769
1514452364,773,778
1514453295,286,290
1514454257,823,824
1514455246,861,862
1514456209,692,693
1514457140,529,530
1514458119,672,657
1514459306,960,973
1514460537,608,613
1514461456,746,752
1514462438,667,661
1514463404,544,537
1514464623,843,839
1514465788,842,831
1514466736,418,406
1514467718,732,721
1514468911,796,786
1514469941,827,817
1514471097,838,836
1514472040,621,625
1514472983,835,844
1514473940,497,498
1514474918,552,557
1514476143,946,931
1514477062,714,696
1514478044,758,755
1514478994,633,630
1514479957,582,580
1514480896,633,632
1514481860,803,809
1514482827,667,670
1514483796,745,755
1514484785,671,662
1514485735,645,643
1514486693,708,708
1514487725,657,655
1514488628,721,711
1514489552,777,772
1514490505,767,766
1514491484,761,760
1514492413,552,552
1514493402,737,739
1514494335,754,758
1514495334,501,501
1514496259,796,794
1514497215,605,606
1514498187,756,752
1514499137,1063,1064
1514500126,687,691
1514501060,560,562
1514502044,925,920
1514503076,559,558
1514504074,942,946
1514505159,753,749
1514506122,846,848
1514507069,594,607
1514508018,758,772
1514508993,631,630
1514509951,822,819
1514510910,670,689
1514511871,728,730
1514512840,725,735
1514513779,718,722
1514514776,915,928
1514515699,687,684
1514516668,775,767
1514517620,497,499
1514518612,738,753
1514519536,543,538
1514520512,931,922
1514521464,886,882
1514522693,937,938
1514523624,837,829
1514524604,608,593
1514525538,748,743
1514526519,834,838
1514527461,682,666
1514528421,412,402
1514529412,884,886
1514530360,548,551
1514531293,779,782
1514532285,822,820
1514533231,741,742
1514534215,553,563
1514535406,703,726
1514536349,645,636
1514537304,638,649
1514538839,1235,1245
1514539907,600,606
1514540923,918,915
1514542124,720,731
1514543098,693,696
1514544013,585,590
1514544989,647,646
1514545968,743,739
1514546936,618,617
1514547859,454,471
1514548857,809,815
1514550066,754,744
1514551005,558,543
1514551938,771,775
1514552918,677,680
1514554131,753,760
1514555059,671,667
1514556269,856,842
1514557212,675,666
1514558196,462,453
1514559152,723,724
1514560096,629,638
1514561072,680,688
1514562535,901,907
1514563461,850,845
1514564439,668,666
1514565395,569,571
1514566360,804,795
1514567320,731,733
1514568267,579,569
1514569485,770,772
1514570670,788,791
1514571619,669,670
1514572602,528,519
1514573793,821,822
1514574755,864,846
1514575708,654,659
1514576925,654,653
1514577860,824,832
1514579332,1002,991
1514580294,715,718
1514581234,768,764
1514582208,496,499
1514583157,752,743
1514584120,723,727
1514585304,1010,1016
1514586258,846,848
1514587234,561,574
1514588197,748,752
1514589399,754,759
1514590599,856,860
1514591545,777,782
1514592512,710,726
1514593461,558,571
1514594419,766,781
1514595412,469,482
1514596618,847,875
1514597552,785,789
1514598506,580,601
1514599464,747,761
1514600448,732,735
1514601400,706,706
1514602361,709,719
1514603299,598,604
1514604289,694,685
1514605213,735,739
1514606197,425,425
1514607150,815,822
1514608109,745,744
1514609070,592,591
1514610044,573,579
1514610993,772,773
1514611982,764,762
1514612910,632,627
1514613872,769,775
1514614812,647,648
1514615809,536,531
1514616736,699,699
1514617722,582,579
1514618658,750,749
1514619615,575,584
1514620596,736,745
1514621549,629,635
1514622493,235,236
1514623482,1086,1079
1514624422,536,537
1514625399,533,538
1514626351,673,657
1514627318,685,685
1514628263,554,550
