DateTime,Entries,UniqueIPs
1514220986,2668,2668
1514222200,2662,2662
1514223153,2660,2660
1514224110,2662,2662
1514225061,2667,2667
1514226015,2659,2659
1514226994,2661,2661
1514227954,2671,2671
1514228907,2675,2675
1514229857,2674,2674
1514230830,2669,2669
1514231775,2663,2663
1514232759,2658,2658
1514233697,2657,2657
1514234676,2661,2661
1514235636,2656,2656
1514236583,2659,2659
1514237560,2660,2660
1514238748,2671,2671
1514239704,2655,2655
1514240681,2662,2662
1514241618,2663,2663
1514242587,2661,2661
1514243560,2656,2656
1514244503,2653,2653
1514245469,2647,2647
1514246438,2633,2633
1514247381,2622,2622
1514248365,2600,2600
1514249296,2577,2577
1514250279,2570,2570
1514251223,2555,2555
1514252186,2548,2548
1514253160,2528,2528
1514254104,2524,2524
1514255057,2520,2520
1514256030,2510,2510
1514256983,2509,2509
1514257968,2520,2520
1514258897,2516,2516
1514259871,2527,2527
1514260832,2538,2538
1514261799,2547,2547
1514262750,2557,2557
1514263707,2554,2554
1514264660,2558,2558
1514265636,2551,2551
1514266575,2540,2540
1514267569,2546,2546
1514268494,2545,2545
1514269471,2545,2545
1514270428,2555,2555
1514271388,2547,2547
1514272356,2550,2550
1514273553,2551,2551
1514274508,2542,2542
1514275460,2540,2540
1514276667,2534,2534
1514277640,2539,2539
1514278587,2543,2543
1514279540,2531,2531
1514280519,2533,2533
1514281468,2527,2527
1514282420,2531,2531
1514283400,2537,2537
1514284613,2530,2530
1514285564,2534,2534
1514286494,2528,2528
1514287469,2520,2520
1514288437,2516,2516
1514289390,2519,2519
1514290362,2519,2519
1514291296,2517,2517
1514292270,2529,2529
1514293235,2534,2534
1514294177,2534,2534
1514295160,2539,2539
1514296110,2542,2542
1514297094,2546,2546
1514298537,2547,2547
1514299461,2543,2543
1514300445,2534,2534
1514301392,2536,2536
1514302359,2527,2527
1514303309,2525,2525
1514304285,2537,2537
1514305216,2535,2535
1514306204,2546,2546
1514307146,2547,2547
1514308114,2549,2549
1514309057,2552,2552
1514310022,2560,2560
1514310988,2561,2561
1514312207,2552,2552
1514313137,2549,2549
1514314127,2552,2552
1514315344,2560,2560
