DateTime,AddedIPs,RemovedIPs
1514220984,4,8
1514222198,3,9
1514223150,5,7
1514224108,3,6
1514225059,3,6
1514226012,3,4
1514226991,1,7
1514227951,6,0
1514228905,6,7
1514229854,5,6
1514230827,3,9
1514231772,3,4
1514232757,3,8
1514233695,2,4
1514234673,6,6
1514235633,2,12
1514236580,7,11
1514237557,5,6
1514238746,4,22
1514239702,8,0
1514240678,3,11
1514241615,3,0
1514242585,2,4
1514243558,4,15
1514244500,5,0
1514245467,5,22
1514246435,2,14
1514247379,6,0
1514248362,5,29
1514249293,4,0
1514250277,5,27
1514251221,14,49
1514252184,14,0
1514253157,9,56
1514254101,16,0
1514255054,13,31
1514256028,12,0
1514256981,6,32
1514257965,20,6
1514258894,10,6
1514259869,21,0
1514260830,25,12
1514261797,15,19
1514262748,17,0
1514263705,8,13
1514264657,12,13
1514265634,8,27
1514266572,0,10
1514267567,13,15
1514268491,4,0
1514269468,6,12
1514270425,18,13
1514271385,5,16
1514272354,11,10
1514273550,12,8
1514274505,10,8
1514275457,9,17
1514276665,10,7
1514277638,7,13
1514278585,16,4
1514279537,9,14
1514280517,12,12
1514281466,13,14
1514282417,8,13
1514283398,8,8
1514284611,8,5
1514285562,16,14
1514286492,12,11
1514287467,9,4
1514288434,4,9
1514289388,9,9
1514290360,8,8
1514291294,7,6
1514292268,12,9
1514293233,3,7
1514294175,6,13
1514295157,12,7
1514296108,4,19
1514297092,2,7
1514298535,7,15
1514299458,5,12
1514300443,1,10
1514301390,7,8
1514302357,3,6
1514303307,3,11
1514304282,5,6
1514305214,5,5
1514306202,3,7
1514307143,1,9
1514308112,4,7
1514309055,10,4
1514310019,7,5
1514310986,3,0
1514312204,9,8
1514313135,2,0
1514314125,4,6
1514315341,2,17
1514316518,9,3
1514317469,3,0
1514318432,7,23
1514319641,9,4
1514320595,5,14
1514321549,2,9
1514322513,9,0
1514323467,4,8
1514324441,3,9
1514325390,1,15
1514326362,4,4
1514327310,6,2
1514328253,2,0
1514329235,5,11
1514330200,5,0
1514331151,1,9
1514332355,4,12
1514333454,4,32
1514334753,4,23
1514335662,8,20
1514336930,3,16
1514338128,16,23
1514339093,11,26
1514340028,18,0
1514341021,10,20
1514341945,18,0
1514342924,17,23
1514343861,21,0
1514344937,9,22
1514346278,23,11
1514347243,14,18
1514348206,15,16
1514349157,10,21
1514350114,11,6
1514351064,13,6
1514352032,11,9
1514352992,12,12
1514354435,16,8
1514355374,8,10
1514356353,13,10
1514357309,17,21
1514358261,7,0
1514359215,18,19
1514360198,7,8
1514361132,14,17
1514362112,18,12
1514363054,8,11
1514364015,15,8
1514364990,14,21
1514365937,18,0
1514366909,11,24
1514368116,11,19
1514369065,10,10
1514370014,4,13
1514371179,10,9
1514372446,14,11
1514373405,11,8
1514374362,5,0
1514375566,14,19
1514376568,6,13
1514377740,9,8
1514378684,9,8
1514379656,8,3
1514380613,5,5
1514381568,1,8
1514382497,12,0
1514383711,3,17
1514384671,3,0
1514385889,7,12
1514386820,7,0
1514387804,5,19
1514388753,5,0
1514389720,0,4
1514390663,3,0
1514391616,2,8
1514392598,1,3
1514393564,5,5
1514394506,4,6
1514395458,5,0
1514396423,2,10
1514398174,9,6
1514399297,6,4
1514400275,4,2
1514401221,3,6
1514402209,6,13
1514403156,5,5
1514404116,6,13
1514405064,8,8
1514406043,5,7
1514406997,4,3
1514407951,5,6
1514408894,2,3
1514410126,11,5
1514411070,5,3
1514412060,5,7
1514412997,6,5
1514413955,11,8
1514414906,3,0
1514415882,5,12
1514416817,4,0
1514417911,6,20
1514419008,8,10
1514419952,2,21
1514420899,6,21
1514421865,10,17
1514422841,6,8
1514423803,5,14
1514424756,6,0
1514425970,15,20
1514426915,7,18
1514427862,11,18
1514428811,12,0
1514429799,12,18
1514430734,13,19
1514431718,10,16
1514432670,6,14
1514433880,23,11
1514434836,14,9
1514435778,16,7
1514437020,7,16
1514437944,20,9
1514438898,12,5
1514439863,11,10
1514440836,11,6
1514441789,11,12
1514442771,7,12
1514443713,14,0
1514444671,7,40
1514445630,17,0
1514446599,3,11
1514447545,17,8
1514448494,17,14
1514449488,11,10
1514450422,15,17
1514451370,7,8
1514452361,12,7
1514453293,5,10
1514454255,14,6
1514455243,13,8
1514456206,3,7
1514457137,9,8
1514458117,13,17
1514459303,10,6
1514460534,10,7
1514461453,6,6
1514462435,15,3
1514463402,6,9
1514464620,7,7
1514465786,16,3
1514466734,6,13
1514467716,8,5
1514468909,9,9
1514469938,10,6
1514471095,14,18
1514472038,7,0
1514472980,4,11
1514473937,10,9
1514474916,4,8
1514476140,15,8
1514477059,6,5
1514478042,5,12
1514478992,4,12
1514479954,6,7
1514480894,1,16
1514481857,4,38
1514482824,3,13
1514483793,5,7
1514484783,6,5
1514485733,9,5
1514486691,5,5
1514487723,8,4
1514488626,4,0
1514489550,8,4
1514490503,5,6
1514491481,7,3
1514492411,6,5
1514493399,4,4
1514494333,2,0
1514495332,5,15
1514496256,7,0
1514497212,4,8
1514498185,4,2
1514499134,7,7
1514500123,1,11
1514501058,8,0
1514502042,9,7
1514503074,7,6
1514504071,6,10
1514505156,9,9
1514506120,7,10
1514507066,4,13
1514508016,11,12
1514508991,6,22
1514509948,11,17
1514510907,6,23
1514511869,8,22
1514512838,8,7
1514513776,5,12
1514514774,9,3
1514515696,15,17
1514516666,11,16
1514517618,8,11
1514518609,8,10
1514519534,12,0
1514520510,15,20
1514521462,18,12
1514522690,16,26
1514523622,13,0
1514524601,24,35
1514525535,12,0
1514526516,8,29
1514527458,22,0
1514528418,9,27
1514529409,7,17
1514530358,11,23
1514531291,13,23
1514532282,10,22
1514533228,9,36
1514534213,9,21
1514535404,8,18
1514536346,11,31
1514537302,6,25
1514538836,12,35
1514539904,9,34
1514540920,20,21
1514542122,12,23
1514543096,13,12
1514544011,17,15
1514544987,10,13
1514545965,7,24
1514546933,7,17
1514547857,8,13
1514548855,6,21
1514550064,10,42
1514551003,4,11
1514551936,5,0
1514552916,16,21
1514554129,10,29
1514555057,7,19
1514556266,5,23
1514557210,12,15
1514558194,10,17
1514559150,6,13
1514560094,12,14
1514561070,2,15
1514562532,4,35
1514563459,4,0
1514564437,5,23
1514565393,4,19
1514566358,7,9
1514567318,4,16
1514568264,13,14
1514569483,8,10
1514570668,5,10
1514571616,6,10
1514572596,8,7
1514573791,5,5
1514574753,8,8
1514575705,3,13
1514576922,5,11
1514577857,5,0
1514579329,8,18
1514580291,5,16
1514581231,2,16
1514582206,5,4
1514583155,6,7
1514584117,3,13
1514585301,6,11
1514586256,4,3
1514587231,4,5
1514588195,3,9
1514589396,3,2
1514590596,4,15
1514591543,3,9
1514592510,2,18
1514593458,5,21
1514594416,5,20
1514595410,6,9
1514596616,3,25
1514597550,6,16
1514598504,3,21
1514599461,7,15
1514600446,2,10
1514601398,5,14
1514602358,5,9
1514603297,6,8
1514604287,13,16
1514605211,1,8
1514606195,12,5
1514607148,8,9
1514608106,4,11
1514609067,7,9
1514610042,7,7
1514610990,15,9
1514611979,7,2
1514612908,12,10
1514613869,5,8
1514614810,8,6
1514615806,8,5
1514616733,7,19
1514617719,6,2
1514618655,8,7
1514619613,11,8
1514620593,8,10
1514621547,7,12
1514622491,1,7
1514623479,14,14
1514624420,9,7
1514625397,2,11
1514626348,19,8
1514627315,8,19
1514628260,8,4
1514629236,12,7
1514630191,9,16
1514631156,13,3
1514632115,6,13
1514633060,8,13
1514634026,8,0
1514635005,10,20
1514636196,7,0
1514637153,6,16
1514638114,4,0
1514639069,5,22
1514640023,15,4
1514640996,6,0
1514641941,3,5
1514642903,4,3
1514643865,11,9
1514644831,3,7
1514645772,1,5
1514646749,3,3
1514647706,2,6
1514648660,4,12
1514649896,6,6
1514651070,10,6
1514652024,5,12
1514652981,4,0
1514654210,9,11
1514655136,5,5
1514656355,7,6
1514657304,8,8
1514658253,2,1
1514659226,4,8
1514660206,4,4
1514661399,6,2
1514662353,5,6
1514663414,4,3
1514664518,5,3
1514665456,9,4
1514666425,9,3
1514667394,10,5
1514668362,5,5
1514669319,7,8
1514670267,8,3
1514671464,10,4
1514672428,4,3
1514673390,7,6
1514674343,8,4
1514675311,10,6
1514676265,2,11
1514677212,6,24
1514678184,7,10
1514679154,6,18
1514680090,7,22
1514681064,4,18
1514682034,8,18
1514682978,7,9
1514683951,10,20
1514684898,23,2
1514685871,18,13
1514686821,11,9
1514688112,15,4
1514689246,17,6
