DateTime,AddedIPs,RemovedIPs
1514220984,4,6
1514222198,3,8
1514223150,5,8
1514224108,3,3
1514225059,3,4
1514226012,3,7
1514226991,1,4
1514227951,6,5
1514228905,6,2
1514229854,5,9
1514230827,3,6
1514231772,3,8
1514232757,3,8
1514233695,2,2
1514234673,6,0
1514235633,2,4
1514236580,7,9
1514237557,5,9
1514238746,4,4
1514239702,8,8
1514240678,3,3
1514241615,3,1
1514242585,2,5
1514243558,4,5
1514244500,5,5
1514245467,5,11
1514246435,2,14
1514247379,6,20
1514248362,5,27
1514249293,4,27
1514250277,5,14
1514251221,14,28
1514252184,14,22
1514253157,9,32
1514254101,16,18
1514255054,13,15
1514256028,12,20
1514256981,6,8
1514257965,20,9
1514258894,10,9
1514259869,21,6
1514260830,25,14
1514261797,15,16
1514262748,17,8
1514263705,8,12
1514264657,12,6
1514265634,8,11
1514266572,0,9
1514267567,13,8
1514268491,4,5
1514269468,6,7
1514270425,18,12
1514271385,5,13
1514272354,11,10
1514273550,12,13
1514274505,10,14
1514275457,9,9
1514276665,10,10
1514277638,7,13
1514278585,16,9
1514279537,9,17
1514280517,12,7
1514281466,13,12
1514282417,8,7
1514283398,8,6
1514284611,8,9
1514285562,16,11
1514286492,12,8
1514287467,9,8
1514288434,4,3
1514289388,9,10
1514290360,8,5
1514291294,7,9
1514292268,12,3
1514293233,3,5
1514294175,6,8
1514295157,12,7
1514296108,4,4
1514297092,2,6
1514298535,7,9
1514299458,5,3
1514300443,1,5
1514301390,7,3
1514302357,3,3
1514303307,3,2
1514304282,5,3
1514305214,5,4
1514306202,3,5
1514307143,1,4
1514308112,4,6
1514309055,10,6
1514310019,7,4
1514310986,3,3
1514312204,9,7
1514313135,2,4
1514314125,4,3
1514315341,2,5
1514316518,9,4
1514317469,3,4
1514318432,7,2
1514319641,9,9
1514320595,5,2
1514321549,2,3
1514322513,9,9
1514323467,4,4
1514324441,3,5
1514325390,1,1
1514326362,4,1
1514327310,6,2
1514328253,2,4
1514329235,5,4
1514330200,5,6
1514331151,1,7
1514332355,4,11
1514333454,4,18
1514334753,4,26
1514335662,8,17
1514336930,3,24
1514338128,16,36
1514339093,11,18
1514340028,18,20
1514341021,10,15
1514341945,18,14
1514342924,17,7
1514343861,21,9
1514344937,9,6
1514346278,23,15
1514347243,14,14
1514348206,15,6
1514349157,10,10
1514350114,11,7
1514351064,13,5
1514352032,11,4
1514352992,12,4
1514354435,16,17
1514355374,8,4
1514356353,13,8
1514357309,17,11
1514358261,7,3
1514359215,18,12
1514360198,7,4
1514361132,14,7
1514362112,18,17
1514363054,8,9
1514364015,15,17
1514364990,14,5
1514365937,18,7
1514366909,11,3
1514368116,11,18
1514369065,10,9
1514370014,4,7
1514371179,10,12
1514372446,14,8
1514373405,11,6
1514374362,5,7
1514375566,14,10
1514376568,6,4
1514377740,9,5
1514378684,9,5
1514379656,8,9
1514380613,5,3
1514381568,1,8
1514382497,12,7
1514383711,3,3
1514384671,3,4
1514385889,7,4
1514386820,7,6
1514387804,5,3
1514388753,5,4
1514389720,0,2
1514390663,3,3
1514391616,2,2
1514392598,1,1
1514393564,5,8
1514394506,4,5
1514395458,5,3
1514396423,2,6
1514398174,9,10
1514399297,6,5
1514400275,4,7
1514401221,3,6
1514402209,6,7
1514403156,5,4
1514404116,6,6
1514405064,8,3
1514406043,5,5
1514406997,4,2
1514407951,5,6
1514408894,2,2
1514410126,11,6
1514411070,5,0
1514412060,5,5
1514412997,6,4
1514413955,11,3
1514414906,3,3
1514415882,5,6
1514416817,4,8
1514417911,6,5
1514419008,8,14
1514419952,2,9
1514420899,6,27
1514421865,10,29
1514422841,6,13
1514423803,5,19
1514424756,6,22
1514425970,15,22
1514426915,7,21
1514427862,11,11
1514428811,12,12
1514429799,12,9
1514430734,13,8
1514431718,10,4
1514432670,6,11
1514433880,23,20
1514434836,14,12
1514435778,16,10
1514437020,7,9
1514437944,20,6
1514438898,12,11
1514439863,11,16
1514440836,11,7
1514441789,11,7
1514442771,7,9
1514443713,14,15
1514444671,7,8
1514445630,17,12
1514446599,3,21
1514447545,17,2
1514448494,17,7
1514449488,11,4
1514450422,15,9
1514451370,7,9
1514452361,12,8
1514453293,5,7
1514454255,14,12
1514455243,13,8
1514456206,3,6
1514457137,9,13
1514458117,13,0
1514459303,10,11
1514460534,10,6
1514461453,6,4
1514462435,15,14
1514463402,6,1
1514464620,7,9
1514465786,16,8
1514466734,6,2
1514467716,8,5
1514468909,9,6
1514469938,10,4
1514471095,14,3
1514472038,7,5
1514472980,4,7
1514473937,10,3
1514474916,4,0
1514476140,15,2
1514477059,6,1
1514478042,5,8
1514478992,4,2
1514479954,6,4
1514480894,1,4
1514481857,4,5
1514482824,3,6
1514483793,5,9
1514484783,6,1
1514485733,9,8
1514486691,5,9
1514487723,8,7
1514488626,4,5
1514489550,8,7
1514490503,5,7
1514491481,7,1
1514492411,6,4
1514493399,4,7
1514494333,2,4
1514495332,5,4
1514496256,7,9
1514497212,4,5
1514498185,4,2
1514499134,7,3
1514500123,1,3
1514501058,8,8
1514502042,9,4
1514503074,7,6
1514504071,6,3
1514505156,9,9
1514506120,7,9
1514507066,4,22
1514508016,11,24
1514508991,6,10
1514509948,11,14
1514510907,6,22
1514511869,8,11
1514512838,8,11
1514513776,5,14
1514514774,9,14
1514515696,15,14
1514516666,11,4
1514517618,8,5
1514518609,8,21
1514519534,12,7
1514520510,15,8
1514521462,18,17
