DateTime,Entries,UniqueIPs
1514220984,705,705
1514222198,700,700
1514223150,697,697
1514224108,697,697
1514225059,696,696
1514226012,692,692
1514226991,689,689
1514227951,690,690
1514228905,694,694
1514229854,690,690
1514230827,687,687
1514231772,682,682
1514232757,677,677
1514233695,677,677
1514234673,683,683
1514235633,681,681
1514236580,679,679
1514237557,675,675
1514238746,675,675
1514239702,675,675
1514240678,675,675
1514241615,677,677
1514242585,674,674
1514243558,673,673
1514244500,673,673
1514245467,667,667
1514246435,655,655
1514247379,641,641
1514248362,619,619
1514249293,596,596
1514250277,587,587
1514251221,573,573
1514252184,565,565
1514253157,542,542
1514254101,540,540
1514255054,538,538
1514256028,530,530
1514256981,528,528
1514257965,539,539
1514258894,540,540
1514259869,555,555
1514260830,566,566
1514261797,565,565
1514262748,574,574
1514263705,570,570
1514264657,576,576
1514265634,573,573
1514266572,564,564
1514267567,569,569
1514268491,568,568
1514269468,567,567
1514270425,573,573
1514271385,565,565
1514272354,566,566
1514273550,565,565
1514274505,561,561
1514275457,561,561
1514276665,561,561
1514277638,555,555
1514278585,562,562
1514279537,554,554
1514280517,559,559
1514281466,560,560
1514282417,561,561
1514283398,563,563
1514284611,562,562
1514285562,567,567
1514286492,571,571
1514287467,572,572
1514288434,573,573
1514289388,572,572
1514290360,575,575
1514291294,573,573
1514292268,582,582
1514293233,580,580
1514294175,578,578
1514295157,583,583
1514296108,583,583
1514297092,579,579
1514298535,577,577
1514299458,579,579
1514300443,575,575
1514301390,579,579
1514302357,579,579
1514303307,580,580
1514304282,582,582
1514305214,583,583
1514306202,581,581
1514307143,578,578
1514308112,576,576
1514309055,580,580
1514310019,583,583
1514310986,583,583
1514312204,585,585
1514313135,583,583
1514314125,584,584
1514315341,581,581
1514316518,586,586
1514317469,585,585
1514318432,590,590
1514319641,590,590
1514320595,593,593
1514321549,592,592
1514322513,592,592
1514323467,592,592
1514324441,590,590
1514325390,590,590
1514326362,593,593
1514327310,597,597
1514328253,595,595
1514329235,596,596
1514330200,595,595
1514331151,589,589
1514332355,582,582
1514333454,568,568
1514334753,546,546
1514335662,537,537
1514336930,516,516
1514338128,496,496
1514339093,489,489
1514340028,487,487
1514341021,482,482
1514341945,486,486
1514342924,496,496
1514343861,508,508
1514344937,511,511
1514346278,519,519
1514347243,519,519
1514348206,528,528
1514349157,528,528
1514350114,532,532
1514351064,540,540
1514352032,547,547
1514352992,555,555
1514354435,554,554
1514355374,558,558
1514356353,563,563
1514357309,569,569
1514358261,573,573
1514359215,579,579
1514360198,582,582
1514361132,589,589
1514362112,590,590
1514363054,589,589
1514364015,587,587
1514364990,596,596
1514365937,607,607
1514366909,615,615
1514368116,608,608
1514369065,609,609
1514370014,606,606
1514371179,604,604
1514372446,610,610
1514373405,615,615
1514374362,613,613
1514375566,617,617
1514376568,619,619
1514377740,623,623
1514378684,627,627
1514379656,626,626
1514380613,628,628
1514381568,621,621
1514382497,626,626
1514383711,626,626
1514384671,625,625
1514385889,628,628
1514386820,629,629
1514387804,631,631
1514388753,632,632
1514389720,630,630
1514390663,630,630
1514391616,630,630
1514392598,630,630
1514393564,627,627
1514394506,626,626
1514395458,628,628
1514396423,624,624
1514398174,623,623
1514399297,624,624
1514400275,621,621
1514401221,618,618
1514402209,617,617
1514403156,618,618
1514404116,618,618
1514405064,623,623
1514406043,623,623
1514406997,625,625
1514407951,624,624
1514408894,624,624
1514410126,629,629
1514411070,634,634
1514412060,634,634
1514412997,636,636
1514413955,644,644
1514414906,644,644
1514415882,643,643
1514416817,639,639
1514417911,640,640
1514419008,634,634
1514419952,627,627
1514420899,606,606
1514421865,587,587
1514422841,580,580
1514423803,566,566
1514424756,550,550
1514425970,543,543
1514426915,529,529
1514427862,529,529
1514428811,529,529
1514429799,532,532
1514430734,537,537
1514431718,543,543
1514432670,538,538
1514433880,541,541
1514434836,543,543
1514435778,549,549
1514437020,547,547
1514437944,561,561
1514438898,562,562
1514439863,557,557
1514440836,561,561
1514441789,565,565
1514442771,563,563
1514443713,562,562
1514444671,561,561
1514445630,566,566
1514446599,548,548
1514447545,563,563
1514448494,573,573
1514449488,580,580
1514450422,586,586
1514451370,584,584
1514452361,588,588
1514453293,586,586
1514454255,588,588
1514455243,593,593
1514456206,590,590
1514457137,586,586
1514458117,599,599
1514459303,598,598
1514460534,602,602
1514461453,604,604
1514462435,605,605
1514463402,610,610
1514464620,608,608
1514465786,616,616
1514466734,620,620
1514467716,623,623
1514468909,626,626
1514469938,632,632
1514471095,643,643
1514472038,645,645
1514472980,642,642
1514473937,649,649
1514474916,653,653
1514476140,666,666
1514477059,671,671
1514478042,668,668
1514478992,670,670
1514479954,672,672
1514480894,669,669
1514481857,668,668
1514482824,665,665
1514483793,661,661
1514484783,666,666
1514485733,667,667
1514486691,663,663
1514487723,664,664
1514488626,663,663
1514489550,664,664
1514490503,662,662
1514491481,668,668
1514492411,670,670
1514493399,667,667
1514494333,665,665
1514495332,666,666
1514496256,664,664
1514497212,663,663
1514498185,665,665
1514499134,669,669
1514500123,667,667
1514501058,667,667
1514502042,672,672
1514503074,673,673
1514504071,676,676
1514505156,676,676
1514506120,674,674
1514507066,656,656
1514508016,643,643
1514508991,639,639
1514509948,636,636
1514510907,620,620
1514511869,617,617
1514512838,614,614
1514513776,605,605
1514514774,600,600
1514515696,601,601
1514516666,608,608
1514517618,611,611
1514518609,598,598
1514519534,603,603
1514520510,610,610
1514521462,611,611
1514522690,615,615
1514523622,620,620
1514524601,636,636
1514525535,644,644
1514526516,644,644
1514527458,657,657
1514528418,662,662
1514529409,658,658
1514530358,653,653
1514531291,654,654
1514532282,656,656
1514533228,659,659
1514534213,651,651
1514535404,633,633
1514536346,632,632
1514537302,623,623
1514538836,614,614
1514539904,610,610
1514540920,615,615
1514542122,604,604
1514543096,604,604
1514544011,605,605
1514544987,604,604
1514545965,606,606
1514546933,609,609
1514547857,605,605
1514548855,600,600
1514550064,602,602
1514551003,601,601
1514551936,596,596
1514552916,601,601
1514554129,604,604
1514555057,605,605
1514556266,605,605
1514557210,608,608
1514558194,613,613
1514559150,616,616
1514560094,620,620
1514561070,617,617
1514562532,614,614
1514563459,613,613
1514564437,613,613
1514565393,611,611
1514566358,611,611
1514567318,612,612
1514568264,624,624
1514569483,628,628
1514570668,620,620
1514571616,618,618
1514572596,623,623
1514573791,622,622
1514574753,628,628
1514575705,626,626
1514576922,627,627
1514577857,625,625
1514579329,630,630
1514580291,632,632
1514581231,629,629
1514582206,628,628
1514583155,629,629
1514584117,625,625
1514585301,624,624
1514586256,623,623
1514587231,612,612
1514588195,609,609
1514589396,604,604
1514590596,599,599
1514591543,593,593
1514592510,582,582
1514593458,565,565
1514594416,548,548
1514595410,535,535
1514596616,504,504
1514597550,497,497
1514598504,479,479
1514599461,468,468
1514600446,465,465
1514601398,465,465
1514602358,462,462
1514603297,451,451
1514604287,459,459
1514605211,450,450
1514606195,453,453
1514607148,451,451
1514608106,448,448
1514609067,444,444
1514610042,442,442
1514610990,444,444
1514611979,448,448
1514612908,451,451
1514613869,447,447
1514614810,446,446
1514615806,449,449
1514616733,444,444
1514617719,445,445
1514618655,443,443
1514619613,440,440
1514620593,439,439
1514621547,436,436
1514622491,435,435
1514623479,443,443
1514624420,441,441
1514625397,434,434
1514626348,447,447
1514627315,442,442
1514628260,447,447
1514629236,454,454
1514630191,455,455
1514631156,459,459
1514632115,463,463
1514633060,462,462
1514634026,462,462
1514635005,462,462
1514636196,459,459
1514637153,459,459
1514638114,457,457
1514639069,455,455
1514640023,464,464
1514640996,468,468
1514641941,467,467
1514642903,462,462
1514643865,467,467
1514644831,466,466
1514645772,465,465
1514646749,461,461
1514647706,458,458
1514648660,455,455
1514649896,455,455
1514651070,458,458
1514652024,460,460
1514652981,461,461
1514654210,458,458
1514655136,460,460
1514656355,465,465
1514657304,471,471
1514658253,466,466
1514659226,466,466
1514660206,463,463
1514661399,464,464
1514662353,463,463
1514663414,464,464
1514664518,463,463
1514665456,463,463
1514666425,470,470
1514667394,477,477
1514668362,480,480
1514669319,478,478
1514670267,477,477
1514671464,480,480
1514672428,476,476
1514673390,480,480
1514674343,483,483
1514675311,488,488
1514676265,488,488
1514677212,491,491
1514678184,492,492
1514679154,484,484
1514680090,481,481
1514681064,470,470
1514682034,470,470
1514682978,468,468
1514683951,466,466
1514684898,482,482
1514685871,487,487
1514686821,490,490
1514688112,495,495
1514689246,490,490
1514690443,483,483
1514691394,486,486
1514692356,487,487
1514693559,483,483
1514694502,480,480
1514695453,482,482
1514696426,490,490
1514697412,486,486
1514698350,489,489
1514699303,485,485
1514700282,478,478
1514701233,478,478
1514702195,481,481
1514703411,476,476
1514704346,476,476
1514705301,479,479
1514706257,474,474
1514707238,470,470
1514708180,471,471
1514709160,468,468
1514710094,472,472
1514711076,474,474
1514712089,475,475
1514712990,475,475
1514713951,476,476
1514714905,476,476
1514715891,470,470
1514716822,468,468
1514717789,467,467
1514718765,465,465
