DateTime,AddedIPs,RemovedIPs
1514220986,36,0
1514222200,41,0
1514223153,31,0
1514224110,33,0
1514225061,34,0
1514226015,36,0
1514226994,16,0
1514227954,24,0
1514228907,16,0
1514229857,35,0
1514230830,22,0
1514231775,25,0
1514232759,41,0
1514233697,28,0
1514234676,20,0
1514235636,22,0
1514236583,20,0
1514237560,9,0
1514238748,69,0
1514239704,88,0
1514240681,22,0
1514241618,18,0
1514242587,25,0
1514243560,39,0
1514244503,24,0
1514245469,21,0
1514246438,36,0
1514247381,36,0
1514248365,18,0
1514249296,35,0
1514250279,19,0
1514251223,21,0
1514252186,23,0
1514253160,22,0
1514254104,27,0
1514255057,22,0
1514256030,22,0
1514256983,34,46
1514257968,34,0
1514258897,30,0
1514259871,9,0
1514260832,36,0
1514261799,26,0
1514262750,23,0
1514263707,20,0
1514264660,41,0
1514265636,36,0
1514266575,22,0
1514267569,33,0
1514268494,26,0
1514269471,17,0
1514270428,26,0
1514271388,37,0
1514272356,27,0
1514273553,29,0
1514274508,56,0
1514275460,28,0
1514276667,31,1
1514277640,34,5
1514278587,20,8
1514279540,27,3
1514280519,23,7
1514281468,35,0
1514282420,18,0
1514283400,32,0
1514284613,33,0
1514285564,32,0
1514286494,30,24
1514287469,53,44
1514288437,36,155
1514289390,28,137
1514290362,40,102
1514291296,36,88
1514292270,34,0
1514293235,34,0
1514294177,37,0
1514295160,39,0
1514296110,33,0
1514297094,42,0
1514298537,34,0
1514299461,32,0
1514300445,32,0
1514301392,25,0
1514302359,45,0
1514303309,26,0
1514304285,33,0
1514305216,32,0
1514306204,18,0
1514307146,42,0
1514308114,18,0
1514309057,30,0
1514310022,31,0
1514310988,28,0
1514312207,67,0
1514313137,35,0
1514314127,33,0
1514315344,40,0
1514316521,31,0
1514317472,23,0
1514318435,42,0
1514319643,38,4
1514320598,15,0
1514321551,31,2
1514322516,28,3
1514323470,58,4
1514324443,47,0
1514325392,48,0
1514326364,85,0
1514327313,40,0
1514328256,17,0
1514329238,28,241
1514330202,107,129
1514331154,40,179
1514332357,59,205
1514333456,36,204
1514334756,40,179
1514335665,24,41
1514336932,35,0
1514338130,33,0
1514339096,27,0
1514340031,18,0
1514341024,25,0
1514341947,21,0
1514342927,32,0
1514343863,40,0
1514344939,35,0
1514346280,37,0
1514347245,21,5
1514348209,36,3
1514349159,29,1
1514350116,25,1
1514351067,21,2
1514352034,33,2
1514352994,16,1
1514354437,42,0
1514355376,21,0
1514356357,37,2
1514357311,21,152
1514358263,33,0
1514359217,35,290
1514360201,25,671
1514361135,24,0
1514362114,34,530
1514363057,36,0
1514364017,21,195
1514364992,18,0
1514365939,33,0
1514366912,19,0
1514368119,37,0
1514369068,16,0
1514370016,24,0
1514371181,42,0
1514372449,49,0
1514373407,29,0
1514374364,59,0
1514375569,51,0
1514376570,43,0
1514377743,49,0
1514378687,32,0
1514379659,48,0
1514380615,21,0
1514381570,46,0
1514382500,18,0
1514383713,36,0
1514384673,46,0
1514385891,43,0
1514386823,38,0
1514387807,27,0
1514388756,38,0
1514389723,37,0
1514390666,38,0
1514391618,36,0
1514392601,33,0
1514393567,35,0
1514394508,28,0
1514395460,42,0
1514396425,21,0
1514398176,74,2
1514399300,44,2
1514400278,21,1
1514401223,31,1
1514402212,28,2
1514403159,39,1
1514404118,29,0
1514405066,31,0
1514406045,36,0
1514406999,21,0
1514407953,55,44
1514408896,40,82
1514410129,52,132
1514411073,52,149
1514412062,25,108
1514412999,94,111
1514413957,20,92
1514414908,39,0
1514415885,27,0
1514416820,29,0
1514417913,21,0
1514419011,38,0
1514419954,43,2
1514420901,27,0
1514421867,24,12
1514422843,41,0
1514423805,18,0
1514424759,29,3
1514425973,32,0
1514426917,14,0
1514427865,29,0
1514428814,29,0
1514429802,26,32
1514430736,15,98
1514431721,22,244
1514432673,32,247
1514433883,32,496
1514434839,28,172
1514435781,13,0
1514437022,42,20
1514437946,34,0
1514438900,35,0
1514439866,20,0
1514440838,26,0
1514441791,50,0
1514442774,91,0
1514443715,41,0
1514444673,61,0
1514445633,29,0
1514446601,44,0
1514447548,17,0
1514448496,33,0
1514449491,35,0
1514450424,19,0
1514451372,30,0
1514452364,25,0
1514453295,13,0
1514454257,28,0
1514455246,57,0
1514456209,46,0
1514457140,24,0
1514458119,39,0
1514459306,65,0
1514460537,35,0
1514461456,47,0
1514462438,49,0
1514463404,28,0
1514464623,50,0
1514465788,38,0
1514466736,13,0
1514467718,37,0
1514468911,30,0
1514469941,34,0
1514471097,62,0
1514472040,36,0
1514472983,55,0
1514473940,49,0
1514474918,44,0
1514476143,58,0
1514477062,42,0
1514478044,54,0
1514478994,32,0
1514479957,27,0
1514480896,37,0
1514481860,52,0
1514482827,49,0
1514483796,41,0
1514484785,36,0
1514485735,32,0
1514486693,35,0
1514487725,31,0
1514488628,30,0
1514489552,37,0
1514490505,28,0
1514491484,29,0
1514492413,23,0
1514493402,51,0
1514494335,41,0
1514495334,19,0
1514496259,39,0
1514497215,33,0
1514498187,32,0
1514499137,68,0
1514500126,39,0
1514501060,11,0
1514502044,45,0
1514503076,30,0
1514504074,48,0
1514505159,48,0
1514506122,36,0
1514507069,19,0
1514508018,30,0
1514508993,37,0
1514509951,31,0
1514510910,29,0
1514511871,28,0
1514512840,52,0
1514513779,19,2
1514514776,39,3
1514515699,30,3
1514516668,24,23
1514517620,12,3
1514518612,41,6
1514519536,25,0
1514520512,46,0
1514521464,44,0
1514522693,38,0
1514523624,40,0
1514524604,29,203
1514525538,30,0
1514526519,41,238
1514527461,24,0
1514528421,22,222
1514529412,53,17
1514530360,25,0
1514531293,35,0
1514532285,29,0
1514533231,50,0
1514534215,35,0
1514535406,31,0
1514536349,20,0
1514537304,31,0
1514538839,45,0
1514539907,23,0
1514540923,45,0
1514542124,43,0
1514543098,36,0
1514544013,24,0
1514544989,26,0
1514545968,37,0
1514546936,35,0
1514547859,30,0
1514548857,33,0
1514550066,35,0
1514551005,22,0
1514551938,44,0
1514552918,39,0
1514554131,41,0
1514555059,34,0
1514556269,34,7
1514557212,34,5
1514558196,29,4
1514559152,42,0
1514560096,33,3
1514561072,30,4
1514562535,45,0
1514563461,52,0
1514564439,35,0
1514565395,31,0
1514566360,47,28
1514567320,49,170
1514568267,38,198
1514569485,48,352
1514570670,41,182
1514571619,32,125
1514572602,23,84
1514573793,39,0
1514574755,33,0
1514575708,35,0
1514576925,29,0
1514577860,32,0
1514579332,52,0
1514580294,29,0
1514581234,36,0
1514582208,21,0
1514583157,39,0
1514584120,35,0
1514585304,43,0
1514586258,27,0
1514587234,22,0
1514588197,29,0
1514589399,31,0
1514590599,41,0
1514591545,28,0
1514592512,29,0
1514593461,20,0
1514594419,25,0
1514595412,20,0
1514596618,36,0
1514597552,35,0
1514598506,25,0
1514599464,30,0
1514600448,23,0
1514601400,27,0
1514602361,35,0
1514603299,15,0
1514604289,27,0
1514605213,23,0
1514606197,20,0
1514607150,23,0
1514608109,26,0
1514609070,22,0
1514610044,25,0
1514610993,31,0
1514611982,26,0
1514612910,22,0
1514613872,26,0
1514614812,28,0
1514615809,19,0
1514616736,16,0
1514617722,22,0
1514618658,29,0
1514619615,26,0
1514620596,27,0
1514621549,22,0
1514622493,9,1
1514623482,55,0
1514624422,17,0
1514625399,24,0
1514626351,27,0
1514627318,22,0
1514628263,24,0
1514629238,22,0
1514630193,19,0
1514631158,43,1
1514632118,27,61
1514633063,29,65
1514634028,26,24
1514635007,36,0
1514636198,34,0
1514637155,33,0
1514638116,26,0
1514639071,15,0
1514640026,28,0
1514640998,19,8
1514641944,22,70
1514642906,19,48
1514643868,37,47
1514644833,28,31
1514645775,21,0
1514646751,34,0
1514647709,21,0
1514648663,37,0
1514649899,28,0
1514651072,25,0
1514652027,30,0
1514652983,31,0
1514654212,34,0
1514655138,32,0
1514656358,26,0
1514657306,24,0
1514658256,16,0
1514659229,31,0
1514660208,34,0
1514661402,42,0
1514662355,28,0
1514663417,26,0
1514664521,32,0
1514665458,39,0
1514666428,20,0
1514667397,35,0
1514668364,31,0
1514669322,24,0
1514670270,24,0
1514671467,37,0
1514672431,33,0
1514673392,27,0
1514674346,32,0
1514675313,27,0
1514676267,25,0
1514677214,23,0
1514678187,39,0
1514679156,32,0
1514680093,27,0
1514681067,32,0
1514682036,32,0
1514682981,33,0
1514683954,29,0
1514684901,27,0
1514685874,29,0
1514686824,29,0
1514688114,22,0
1514689249,27,0
1514690445,20,0
1514691397,36,0
1514692358,16,0
1514693561,29,0
1514694504,25,0
1514695456,28,0
1514696428,21,0
1514697414,35,0
1514698353,26,0
1514699306,23,0
1514700284,42,0
1514701235,31,1
1514702199,32,0
1514703414,40,0
1514704349,30,0
1514705303,16,0
1514706260,7,1
1514707240,39,0
1514708182,23,0
1514709162,23,0
1514710097,29,0
1514711079,15,30
1514712091,32,38
1514712993,9,50
1514713954,33,40
1514714907,16,43
