DateTime,Entries,UniqueIPs
1514220986,78127,92409
1514222200,77707,91954
1514223153,77397,91598
1514224110,77007,91140
1514225061,76651,90712
1514226015,76231,90220
1514226994,75687,89600
1514227954,75723,89636
1514228907,75274,89134
1514229857,74710,88502
1514230830,74127,87861
1514231775,73449,87122
1514232759,72806,86428
1514233697,72149,85708
1514234676,71494,85010
1514235636,71206,84703
1514236583,71602,85105
1514237560,72022,85558
1514238748,71045,84518
1514239704,71149,84639
1514240681,71120,84601
1514241618,71143,84632
1514242587,71166,84664
1514243560,71070,84547
1514244503,71097,84583
1514245469,71075,84554
1514246438,71076,84551
1514247381,71108,84596
1514248365,71071,84550
1514249296,71115,84604
1514250279,71114,84607
1514251223,71063,84546
1514252186,71091,84584
1514253160,71059,84543
1514254104,71090,84577
1514255057,71058,84541
1514256030,71083,84570
1514256983,71049,84508
1514257968,71043,84494
1514258897,71046,84496
1514259871,71055,84507
1514260832,71066,84519
1514261799,70995,84416
1514262750,71016,84449
1514263707,70992,84423
1514264660,70980,84407
1514265636,70938,84357
1514266575,70929,84336
1514267569,70936,84337
1514268494,70967,84371
1514269471,70916,84318
1514270428,70908,84320
1514271388,70915,84329
1514272356,70907,84312
1514273553,70894,84307
1514274508,70907,84340
1514275460,70917,84353
1514276667,70910,84348
1514277640,70902,84344
1514278587,70898,84334
1514279540,70902,84343
1514280519,70883,84318
1514281468,70888,84327
1514282420,70872,84302
1514283400,70870,84306
1514284613,70889,84319
1514285564,70879,84315
1514286494,70871,84297
1514287469,70907,84328
1514288437,70922,84347
1514289390,70905,84325
1514290362,70894,84307
1514291296,70886,84294
1514292270,70881,84287
1514293235,70853,84246
1514294177,70817,84213
1514295160,70801,84201
1514296110,70781,84194
1514297094,70772,84190
1514298537,70688,84099
1514299461,70680,84083
1514300445,70667,84066
1514301392,70672,84064
1514302359,70664,84060
1514303309,70616,84025
1514304285,70632,84047
1514305216,70622,84030
1514306204,70587,83991
1514307146,70581,83978
1514308114,70545,83941
1514309057,70551,83949
1514310022,70500,83902
1514310988,70541,83945
1514312207,70512,83903
1514313137,70549,83956
1514314127,70529,83928
1514315344,70475,83869
1514316521,70455,83847
1514317472,70452,83850
1514318435,70433,83841
1514319643,70437,83856
1514320598,70424,83837
1514321551,70376,83815
1514322516,70400,83864
1514323470,70898,84426
1514324443,71234,84762
1514325392,70425,83905
1514326364,70474,83995
1514327313,70457,83985
1514328256,70476,84011
1514329238,70428,83961
1514330202,70502,84103
1514331154,70481,84082
1514332357,70510,84114
1514333456,70451,84069
1514334756,70468,84094
1514335665,70446,84076
1514336932,70422,84046
1514338130,70394,84023
1514339096,70399,84027
1514340031,70426,84057
1514341024,70357,83976
1514341947,70394,84016
1514342927,70368,83975
1514343863,70423,84036
1514344939,70370,83969
1514346280,70359,83976
1514347245,70320,83927
1514348209,70291,83903
1514349159,70290,83916
1514350116,70268,83898
1514351067,70247,83871
1514352034,70260,83899
1514352994,70210,83839
1514354437,70226,83853
1514355376,70202,83838
1514356357,70202,83833
1514357311,70165,83779
1514358263,70208,83833
1514359217,70203,83828
1514360201,70215,83845
1514361135,70171,83805
1514362114,70167,83799
1514363057,70182,83818
1514364017,70140,83779
1514364992,70074,83705
1514365939,70109,83746
1514366912,70081,83732
1514368119,70098,83760
1514369068,70058,83705
1514370016,70036,83681
1514371181,70031,83671
1514372449,69990,83623
1514373407,69978,83599
1514374364,70031,83670
1514375569,69959,83598
1514376570,69945,83584
1514377743,69923,83561
1514378687,69923,83555
1514379659,69908,83547
1514380615,69892,83519
1514381570,69899,83526
1514382500,69918,83553
1514383713,69842,83460
1514384673,69889,83524
1514385891,69840,83458
1514386823,69879,83513
1514387807,69819,83431
1514388756,69864,83482
1514389723,69809,83418
1514390666,69858,83472
1514391618,69849,83474
1514392601,69845,83464
1514393567,69760,83374
1514394508,69741,83349
1514395460,69790,83421
1514396425,69746,83367
1514398176,69697,83324
1514399300,69715,83340
1514400278,69676,83306
1514401223,69660,83285
1514402212,69636,83260
1514403159,69602,83227
1514404118,69576,83198
1514405066,69561,83177
1514406045,69558,83172
1514406999,69485,83090
1514407953,69490,83115
1514408896,69498,83126
1514410129,69996,83671
1514411073,70659,84351
1514412062,69688,83340
1514412999,69720,83384
1514413957,69673,83318
1514414908,69709,83374
1514415885,69678,83326
1514416820,69704,83361
1514417913,69622,83250
1514419011,69640,83277
1514419954,69647,83267
1514420901,69654,83271
