DateTime,AddedIPs,RemovedIPs
1514220986,627,627
1514222200,702,702
1514223153,647,647
1514224110,737,737
1514225061,535,535
1514226015,741,741
1514226994,472,472
1514227954,677,677
1514228907,436,436
1514229857,747,747
1514230830,619,619
1514231775,570,570
1514232759,812,812
1514233697,630,630
1514234676,583,583
1514235636,708,708
1514236583,630,630
1514237560,510,510
1514238748,731,731
1514239704,2000,2000
1514240681,660,660
1514241618,554,554
1514242587,551,551
1514243560,815,815
1514244503,710,710
1514245469,578,578
1514246438,691,691
1514247381,759,759
1514248365,556,556
1514249296,789,789
1514250279,545,545
1514251223,584,584
1514252186,804,804
1514253160,540,540
1514254104,683,683
1514255057,622,622
1514256030,601,601
1514256983,543,543
1514257968,793,793
1514258897,728,728
1514259871,230,230
1514260832,683,683
1514261799,676,676
1514262750,777,777
1514263707,426,426
1514264660,923,923
1514265636,748,748
1514266575,438,438
1514267569,796,796
1514268494,654,654
1514269471,344,344
1514270428,652,652
1514271388,732,732
1514272356,625,625
1514273553,816,816
1514274508,457,457
1514275460,743,743
1514276667,717,717
1514277640,859,859
1514278587,540,540
1514279540,617,617
1514280519,491,491
1514281468,754,754
1514282420,528,528
1514283400,651,651
1514284613,834,834
1514285564,761,761
1514286494,486,486
1514287469,825,825
1514288437,640,640
1514289390,467,467
1514290362,630,630
1514291296,534,534
1514292270,677,677
1514293235,600,600
1514294177,582,582
1514295160,611,611
1514296110,688,688
1514297094,658,658
1514298537,934,934
1514299461,532,532
1514300445,682,682
1514301392,461,461
1514302359,759,759
1514303309,447,447
1514304285,695,695
1514305216,670,670
1514306204,523,523
1514307146,793,793
1514308114,559,559
1514309057,658,658
1514310022,697,697
1514310988,646,646
1514312207,773,773
1514313137,825,825
1514314127,604,604
1514315344,832,832
1514316521,745,745
1514317472,558,558
1514318435,799,799
1514319643,736,736
1514320598,606,606
1514321551,873,873
1514322516,694,694
1514323470,696,696
1514324443,389,389
1514325392,743,743
1514326364,1968,1968
1514327313,730,730
1514328256,552,552
1514329238,719,719
1514330202,693,693
1514331154,745,745
1514332357,1212,1212
1514333456,809,809
1514334756,940,940
1514335665,756,756
1514336932,690,690
1514338130,1004,1004
1514339096,916,916
1514340031,631,631
1514341024,548,548
1514341947,652,652
1514342927,778,778
1514343863,945,945
1514344939,870,870
1514346280,1076,1076
1514347245,456,456
1514348209,799,799
1514349159,788,788
1514350116,827,827
1514351067,762,762
1514352034,799,799
1514352994,583,583
1514354437,1170,1170
1514355376,587,587
1514356357,868,868
1514357311,727,727
1514358263,783,783
1514359217,896,896
1514360201,684,684
1514361135,534,534
1514362114,672,672
1514363057,768,768
1514364017,720,720
1514364992,509,509
1514365939,813,813
1514366912,573,573
1514368119,922,922
1514369068,464,464
1514370016,556,556
1514371181,1014,1014
1514372449,879,879
1514373407,529,529
1514374364,839,839
1514375569,864,864
1514376570,755,755
1514377743,840,840
1514378687,734,734
1514379659,864,864
1514380615,485,485
1514381570,756,756
1514382500,416,416
1514383713,903,903
1514384673,920,920
1514385891,775,775
1514386823,737,737
1514387807,566,566
1514388756,644,644
1514389723,862,862
1514390666,765,765
1514391618,738,738
1514392601,678,678
1514393567,692,692
1514394508,527,527
1514395460,871,871
1514396425,519,519
1514398176,1309,1309
1514399300,824,824
1514400278,525,525
1514401223,833,833
1514402212,679,679
1514403159,885,885
1514404118,676,676
1514405066,723,723
1514406045,862,862
1514406999,515,515
1514407953,919,919
1514408896,526,526
1514410129,916,916
1514411073,794,794
1514412062,470,470
1514412999,2000,2000
1514413957,514,514
1514414908,976,976
1514415885,684,684
1514416820,683,683
1514417913,614,614
1514419011,878,878
1514419954,817,817
1514420901,560,560
1514421867,732,732
1514422843,842,842
1514423805,459,459
1514424759,898,898
1514425973,875,875
1514426917,562,562
1514427865,866,866
1514428814,682,682
1514429802,734,734
1514430736,410,410
1514431721,765,765
1514432673,744,744
1514433883,881,881
1514434839,727,727
1514435781,271,271
1514437022,1020,1020
1514437946,884,884
1514438900,789,789
1514439866,463,463
1514440838,629,629
1514441791,798,798
1514442774,801,801
1514443715,446,446
1514444673,799,799
1514445633,629,629
1514446601,1014,1014
1514447548,384,384
1514448496,654,654
1514449491,825,825
1514450424,415,415
1514451372,772,772
1514452364,774,774
1514453295,286,286
1514454257,823,823
1514455246,866,866
1514456209,700,700
1514457140,527,527
1514458119,670,670
1514459306,976,976
1514460537,615,615
1514461456,761,761
1514462438,668,668
1514463404,551,551
1514464623,856,856
1514465788,843,843
1514466736,415,415
1514467718,731,731
1514468911,793,793
1514469941,826,826
1514471097,839,839
1514472040,626,626
1514472983,848,848
1514473940,505,505
1514474918,565,565
1514476143,949,949
1514477062,718,718
1514478044,768,768
1514478994,638,638
1514479957,587,587
1514480896,642,642
1514481860,812,812
1514482827,679,679
1514483796,756,756
1514484785,675,675
1514485735,647,647
1514486693,714,714
1514487725,656,656
1514488628,721,721
1514489552,776,776
1514490505,767,767
1514491484,762,762
1514492413,553,553
1514493402,741,741
1514494335,761,761
1514495334,502,502
1514496259,794,794
1514497215,608,608
1514498187,757,757
1514499137,1072,1072
1514500126,693,693
1514501060,556,556
1514502044,931,931
1514503076,559,559
1514504074,953,953
1514505159,750,750
1514506122,852,852
1514507069,596,596
1514508018,754,754
1514508993,631,631
1514509951,816,816
1514510910,673,673
1514511871,722,722
1514512840,728,728
1514513779,717,717
1514514776,922,922
1514515699,679,679
1514516668,771,771
1514517620,500,500
1514518612,743,743
1514519536,536,536
1514520512,927,927
1514521464,878,878
1514522693,937,937
1514523624,831,831
1514524604,592,592
1514525538,751,751
1514526519,837,837
1514527461,671,671
1514528421,407,407
1514529412,885,885
1514530360,544,544
1514531293,778,778
1514532285,820,820
1514533231,747,747
1514534215,554,554
1514535406,705,705
1514536349,642,642
1514537304,644,644
1514538839,1242,1242
1514539907,603,603
1514540923,912,912
1514542124,722,722
1514543098,696,696
1514544013,580,580
1514544989,647,647
1514545968,751,751
1514546936,626,626
1514547859,465,465
1514548857,817,817
1514550066,757,757
1514551005,559,559
1514551938,780,780
1514552918,679,679
1514554131,762,762
1514555059,676,676
1514556269,860,860
1514557212,668,668
1514558196,457,457
1514559152,729,729
1514560096,635,635
1514561072,694,694
1514562535,915,915
1514563461,866,866
1514564439,675,675
1514565395,573,573
1514566360,807,807
1514567320,742,742
1514568267,579,579
1514569485,776,776
1514570670,794,794
1514571619,677,677
1514572602,525,525
1514573793,830,830
1514574755,860,860
1514575708,661,661
1514576925,658,658
1514577860,830,830
1514579332,1002,1002
1514580294,722,722
1514581234,773,773
1514582208,496,496
1514583157,747,747
1514584120,728,728
1514585304,1014,1014
1514586258,851,851
1514587234,565,565
1514588197,752,752
1514589399,760,760
1514590599,863,863
1514591545,784,784
1514592512,718,718
1514593461,556,556
1514594419,767,767
1514595412,469,469
1514596618,849,849
1514597552,784,784
1514598506,586,586
1514599464,747,747
1514600448,736,736
1514601400,710,710
1514602361,716,716
1514603299,595,595
1514604289,686,686
1514605213,741,741
1514606197,421,421
1514607150,815,815
1514608109,746,746
1514609070,590,590
1514610044,574,574
1514610993,766,766
1514611982,765,765
1514612910,626,626
1514613872,774,774
1514614812,647,647
1514615809,534,534
1514616736,693,693
1514617722,581,581
1514618658,747,747
1514619615,573,573
1514620596,740,740
1514621549,630,630
1514622493,237,237
1514623482,1090,1090
1514624422,533,533
1514625399,537,537
1514626351,659,659
1514627318,684,684
1514628263,550,550
1514629238,733,733
1514630193,500,500
1514631158,714,714
1514632118,498,498
1514633063,823,823
1514634028,613,613
1514635007,744,744
1514636198,919,919
1514637155,649,649
1514638116,662,662
1514639071,275,275
1514640026,921,921
1514640998,485,485
1514641944,755,755
1514642906,565,565
1514643868,709,709
1514644833,732,732
1514645775,545,545
1514646751,665,665
1514647709,540,540
1514648663,712,712
1514649899,786,786
1514651072,889,889
1514652027,668,668
1514652983,627,627
1514654212,933,933
1514655138,691,691
1514656358,850,850
1514657306,641,641
1514658256,666,666
1514659229,696,696
1514660208,739,739
1514661402,969,969
1514662355,672,672
1514663417,645,645
1514664521,856,856
1514665458,837,837
1514666428,618,618
1514667397,722,722
1514668364,842,842
1514669322,539,539
1514670270,701,701
1514671467,1079,1079
1514672431,733,733
1514673392,584,584
1514674346,749,749
1514675313,646,646
1514676267,878,878
1514677214,486,486
1514678187,876,876
1514679156,948,948
1514680093,696,696
1514681067,739,739
1514682036,711,711
1514682981,573,573
1514683954,954,954
1514684901,770,770
1514685874,808,808
1514686824,788,788
