DateTime,AddedIPs,RemovedIPs
1512493225,4,1
1512496826,1,0
1512500434,1,0
1512504024,3,0
1512507625,3,0
1512511225,3,0
1512518438,1,2
1512525624,1,0
1512532824,1,0
1512536425,1,1
1512540035,0,1
1512543626,1,1
1512547230,0,2
1512550825,2,1
1512554429,0,1
1512558029,0,1
1512561627,2,0
1512565235,1,1
1512568827,1,1
1512576028,0,1
1512579625,0,1
1512583225,1,1
1512586829,0,2
1512590432,2,0
1512601225,0,3
1512604825,0,1
1512608426,1,0
1512612025,1,0
1512619224,1,1
1512622824,1,0
1512626425,1,1
1512630024,0,1
1512633628,2,0
1512637225,4,2
1512644425,9,2
1512648025,2,0
1512651627,39,1
1512655227,4,1
1512658827,3,0
1512662430,4,2
1512666028,2,0
1512669629,3,0
1512673228,1,5
1512676829,2,1
1512680430,2,2
1512684027,0,3
1512687628,2,3
1512691228,1,3
1512694827,3,5
1512698428,0,4
1512702032,0,4
1512705629,0,3
1512709227,1,0
1512712827,0,1
1512716427,2,1
1512727227,1,1
1512730829,0,2
1512734431,1,0
1512741632,1,0
1512745233,1,0
1512748832,1,1
1512752431,3,1
1512756032,1,0
1512759639,4,2
1512763233,0,1
1512766827,1,1
1512770426,2,6
1512777627,0,1
1512781227,2,2
1512784827,0,3
1512788426,2,7
1512792034,1,17
1512795627,0,16
1512799226,1,0
1512817228,0,1
1512820827,0,1
1512824428,2,1
1512831627,0,2
1512835225,1,0
1512842426,0,1
1512846028,1,0
1512849627,1,1
1512853231,1,0
1512856827,2,0
1512860426,1,3
1512864030,0,2
1512871227,0,2
1512878427,0,1
1512882026,0,1
1512885627,0,1
1512889226,0,1
1512892826,2,2
1512896430,2,0
1512900025,3,1
1512903624,2,1
1512907227,4,3
1512910834,3,0
1512914425,3,1
1512918025,6,0
1512921626,1,2
1512925227,4,0
1512928827,4,1
1512932427,0,4
1512936026,3,2
1512943229,2,2
1512946826,2,1
1512950426,1,2
1512954025,0,3
1512957625,9,4
1512961225,3,4
1512964826,0,2
1512968426,1,1
1512972026,3,2
1512979236,2,0
1512982826,2,2
1512986426,0,2
1512990026,2,1
1512993626,2,2
1512997237,0,1
1513000829,0,1
1513004426,1,1
1513008039,1,0
1513011629,2,1
1513015232,0,3
1513018833,2,1
1513022429,1,45
1513026027,0,10
1513029628,1,13
1513036831,1,1
1513040430,0,3
1513044022,0,2
1513047625,0,2
1513051224,0,1
1513054825,1,3
1513058423,1,1
1513062023,2,3
1513065622,0,5
1513069226,1,0
1513072823,0,1
1513076422,1,3
1513080022,1,2
1513083625,0,1
1513090821,2,1
1513094423,3,4
1513098033,0,2
1513101621,3,1
1513105221,4,1
1513108822,4,1
1513112421,0,5
1513116022,1,1
1513119621,2,0
1513123220,1,1
1513126824,0,1
1513130421,1,1
1513137621,1,0
1513141221,2,1
1513148421,1,1
1513152022,0,1
1513155622,0,2
1513159220,1,1
1513162821,1,0
1513166421,2,2
1513170021,0,2
1513173631,1,1
1513180822,2,0
1513188021,0,1
1513191620,0,1
1513195221,0,3
1513198821,0,1
1513202421,1,0
1513206021,3,0
1513209622,1,1
1513213228,4,1
1513216822,0,2
1513220422,1,1
1513224028,0,1
1513227626,8,0
1513231221,5,0
1513234823,3,1
1513238444,7,2
1513242033,5,2
1513245630,7,1
1513249223,5,4
1513252823,5,1
1513256441,6,39
1513260024,3,4
1513263622,1,1
1513267221,0,1
1513270823,1,2
1513274421,2,2
1513278021,1,2
1513281622,1,2
1513285224,0,2
1513288821,1,1
1513296022,0,3
1513299621,1,7
1513303221,1,5
1513306822,1,3
1513310421,0,1
1513314020,1,2
1513321220,1,2
1513328422,1,1
1513332027,0,1
1513346430,0,1
1513350023,0,2
1513353622,1,2
1513357221,0,2
1513360823,0,1
1513364422,1,4
1513368023,0,1
1513375226,1,1
1513378822,0,1
1513382423,0,3
1513386024,2,0
1513389624,0,2
1513393224,2,2
1513400423,1,0
1513407621,1,0
1513414826,0,1
1513418421,1,0
1513436421,1,1
1513440022,1,0
1513447223,1,1
1513450822,0,1
1513454422,1,0
1513458023,0,1
1513461621,0,1
1513465222,2,0
1513468822,3,0
1513472423,4,1
1513476025,2,0
1513479623,5,1
1513483224,2,0
1513490424,2,0
1513494023,2,0
1513497622,2,0
1513501231,3,1
1513504827,2,0
1513508425,5,2
1513515624,2,2
1513519226,3,0
1513522836,0,2
1513526420,1,1
1513530027,2,3
