DateTime,Entries,UniqueIPs
1512493225,396,396
1512496826,397,397
1512500434,398,398
1512504024,401,401
1512507625,404,404
1512511225,407,407
1512518438,406,406
1512525624,407,407
1512532824,408,408
1512536425,408,408
1512540035,407,407
1512543626,407,407
1512547230,405,405
1512550825,406,406
1512554429,405,405
1512558029,404,404
1512561627,406,406
1512565235,406,406
1512568827,406,406
1512576028,405,405
1512579625,404,404
1512583225,404,404
1512586829,402,402
1512590432,404,404
1512601225,401,401
1512604825,400,400
1512608426,401,401
1512612025,402,402
1512619224,402,402
1512622824,403,403
1512626425,403,403
1512630024,402,402
1512633628,404,404
1512637225,406,406
1512644425,413,413
1512648025,415,415
1512651627,453,453
1512655227,456,456
1512658827,459,459
1512662430,461,461
1512666028,463,463
1512669629,466,466
1512673228,462,462
1512676829,463,463
1512680430,463,463
1512684027,460,460
1512687628,459,459
1512691228,457,457
1512694827,455,455
1512698428,451,451
1512702032,447,447
1512705629,444,444
1512709227,445,445
1512712827,444,444
1512716427,445,445
1512727227,445,445
1512730829,443,443
1512734431,444,444
1512741632,445,445
1512745233,446,446
1512748832,446,446
1512752431,448,448
1512756032,449,449
1512759639,451,451
1512763233,450,450
1512766827,450,450
1512770426,446,446
1512777627,445,445
1512781227,445,445
1512784827,442,442
1512788426,437,437
1512792034,421,421
1512795627,405,405
1512799226,406,406
1512817228,405,405
1512820827,404,404
1512824428,405,405
1512831627,403,403
1512835225,404,404
1512842426,403,403
1512846028,404,404
1512849627,404,404
1512853231,405,405
1512856827,407,407
1512860426,405,405
1512864030,403,403
1512871227,401,401
1512878427,400,400
1512882026,399,399
1512885627,398,398
1512889226,397,397
1512892826,397,397
1512896430,399,399
1512900025,401,401
1512903624,402,402
1512907227,403,403
1512910834,406,406
1512914425,408,408
1512918025,414,414
1512921626,413,413
1512925227,417,417
1512928827,420,420
1512932427,416,416
1512936026,417,417
1512943229,417,417
1512946826,418,418
1512950426,417,417
1512954025,414,414
1512957625,419,419
1512961225,418,418
1512964826,416,416
1512968426,416,416
1512972026,417,417
1512979236,419,419
1512982826,419,419
1512986426,417,417
1512990026,418,418
1512993626,418,418
1512997237,417,417
1513000829,416,416
1513004426,416,416
1513008039,417,417
1513011629,418,418
1513015232,415,415
1513018833,416,416
1513022429,372,372
1513026027,362,362
1513029628,350,350
1513036831,350,350
1513040430,347,347
1513044022,345,345
1513047625,343,343
1513051224,342,342
1513054825,340,340
1513058423,340,340
1513062023,339,339
1513065622,334,334
1513069226,335,335
1513072823,334,334
1513076422,332,332
1513080022,331,331
1513083625,330,330
1513090821,331,331
1513094423,330,330
1513098033,328,328
1513101621,330,330
1513105221,333,333
1513108822,336,336
1513112421,331,331
1513116022,331,331
1513119621,333,333
1513123220,333,333
1513126824,332,332
1513130421,332,332
1513137621,333,333
1513141221,334,334
1513148421,334,334
1513152022,333,333
1513155622,331,331
1513159220,331,331
1513162821,332,332
1513166421,332,332
1513170021,330,330
1513173631,330,330
1513180822,332,332
1513188021,331,331
1513191620,330,330
1513195221,327,327
1513198821,326,326
1513202421,327,327
1513206021,330,330
1513209622,330,330
1513213228,333,333
1513216822,331,331
1513220422,331,331
1513224028,330,330
1513227626,338,338
1513231221,343,343
1513234823,345,345
1513238444,350,350
1513242033,353,353
1513245630,359,359
1513249223,360,360
1513252823,364,364
1513256441,331,331
1513260024,330,330
1513263622,330,330
1513267221,329,329
1513270823,328,328
1513274421,328,328
1513278021,327,327
1513281622,326,326
1513285224,324,324
1513288821,324,324
1513296022,321,321
1513299621,315,315
1513303221,311,311
1513306822,309,309
1513310421,308,308
1513314020,307,307
1513321220,306,306
1513328422,306,306
1513332027,305,305
1513346430,304,304
1513350023,302,302
1513353622,301,301
1513357221,299,299
1513360823,298,298
1513364422,295,295
1513368023,294,294
1513375226,294,294
1513378822,293,293
1513382423,290,290
1513386024,292,292
1513389624,290,290
1513393224,290,290
1513400423,291,291
1513407621,292,292
1513414826,291,291
1513418421,292,292
1513436421,292,292
1513440022,293,293
1513447223,293,293
1513450822,292,292
1513454422,293,293
1513458023,292,292
1513461621,291,291
1513465222,293,293
1513468822,296,296
1513472423,299,299
1513476025,301,301
1513479623,305,305
1513483224,307,307
1513490424,309,309
1513494023,311,311
1513497622,313,313
1513501231,315,315
1513504827,317,317
1513508425,320,320
1513515624,320,320
1513519226,323,323
1513522836,321,321
1513526420,321,321
1513530027,320,320
1513533627,318,318
1513537225,318,318
1513540823,318,318
1513544423,319,319
1513548025,318,318
1513551623,316,316
