DateTime,AddedIPs,RemovedIPs
1502877606,0,1
1502902806,1,0
1502942406,1,0
1502946006,1,0
1502974806,1,0
1502989219,0,2
1503039608,1,0
1503046808,0,2
1503100808,0,1
1503108006,1,0
1503154805,0,1
1503158405,0,1
1503172805,1,1
1503176405,1,0
1503198006,1,0
1503234005,1,0
1503252006,0,1
1503298805,0,1
1503320405,2,0
1503327606,1,0
1503334806,0,1
1503338406,2,0
1503370806,1,0
1503378006,1,0
1503468006,1,0
1503504007,0,1
1503507607,0,1
1503511206,1,0
1503532806,2,1
1503540006,1,0
1503547206,0,1
1503554406,0,1
1503561606,0,1
1503601207,1,0
1503626405,0,1
1503637207,1,0
1503676806,1,1
1503691206,2,0
1503698407,1,0
1503723607,0,1
1503745206,1,0
1503748807,1,0
1503777606,0,1
1503853782,0,1
1503875404,1,0
1503918627,1,0
1503936605,0,1
1503943208,0,1
1503954005,0,1
1503986407,0,1
1504011606,1,0
1504036807,0,1
1504054806,1,0
1504119606,1,1
1504130406,0,1
1504141206,0,1
1504144806,0,1
1504188006,1,0
1504191606,1,0
1504202406,2,0
1504220406,1,0
1504227606,0,1
1504234806,0,1
1504238406,1,0
1504249206,0,1
1504299606,0,1
1504310406,0,1
1504328406,0,1
1504335606,0,1
1504339205,0,1
1504346406,1,0
1504353606,1,1
1504360807,0,2
1504368006,0,1
1504378805,0,1
1504393205,1,0
1504414806,0,1
1504476005,1,0
1504490405,2,0
1504494006,1,0
1504519206,0,1
1504584006,1,0
1504634405,0,1
1504659606,1,1
1504713606,1,0
1504717206,1,0
1504724408,1,0
1504731606,0,1
1504803607,1,0
1504807206,0,1
1504821606,0,1
1504825205,1,1
1504836005,0,1
1504839606,1,0
1504843206,1,1
1504857606,1,0
1504954806,1,0
1504965606,0,1
1505016017,1,0
1505073606,1,0
1505091606,0,1
1505095206,0,1
1505098805,0,1
1505113205,0,1
1505131209,1,0
1505149207,1,0
1505152806,1,0
1505170815,1,0
1505196005,0,1
1505224806,0,1
1505228406,1,0
1505232006,0,1
1505235609,0,1
1505268005,0,1
1505332806,0,1
1505340005,1,1
1505358005,1,0
1505368806,2,0
1505376006,0,1
1505408405,1,0
1505412006,1,0
1505426406,0,0
1505430007,0,0
1505448007,0,1
1505466007,0,1
1505484005,1,0
1505509206,0,1
1505527206,1,0
1505556006,0,1
1505592006,0,1
1505613606,1,0
1505649605,0,1
1505667606,1,0
1505682005,0,1
1505736006,0,1
1505739605,1,0
1505754006,1,0
1505779205,0,1
1505808006,0,1
1505822406,1,0
1505833206,0,1
1505862005,1,0
1505887205,1,0
