DateTime,AddedIPs,RemovedIPs
1512133215,0,1
1512136817,0,2
1512144015,1,0
1512151215,0,2
1512158414,0,1
1512162018,1,0
1512165615,5,1
1512169215,0,1
1512176416,2,1
1512180016,3,1
1512183615,10,1
1512187216,13,4
1512190816,12,0
1512201617,0,1
1512205217,0,2
1512208816,0,1
1512212416,1,3
1512216021,1,2
1512219619,0,1
1512223226,0,3
1512226817,2,4
1512230416,0,4
1512234015,0,4
1512237616,1,3
1512241216,0,5
1512244815,1,5
1512248415,0,1
1512255615,2,1
1512259217,2,1
1512262816,1,1
1512270018,1,0
1512273620,1,0
1512277226,1,0
1512280816,1,1
1512284423,1,1
1512288016,1,0
1512295215,1,0
1512298817,0,1
1512302415,1,0
1512313217,1,0
1512316816,1,1
1512320419,0,2
1512324016,0,2
1512327619,2,1
1512334817,0,1
1512338418,0,1
1512342017,0,1
1512345640,1,0
1512349218,1,1
1512360016,0,1
1512363616,0,2
1512370815,0,1
1512378016,1,0
1512381616,0,1
1512385216,0,2
1512392416,1,0
1512403215,0,1
1512410416,2,0
1512414016,1,1
1512417616,1,1
1512421216,1,1
1512424815,0,1
1512435620,2,0
1512439219,1,0
1512442826,2,0
1512446415,1,0
1512450016,3,0
1512453615,1,1
1512457215,4,0
1512460815,1,0
1512468016,2,1
1512471616,2,0
1512475217,2,2
1512478816,2,1
1512482417,0,3
1512486018,1,0
1512489618,6,0
1512493217,3,1
1512496821,1,0
1512500418,1,0
1512504016,3,0
1512507617,3,0
1512511219,3,0
1512518416,1,2
1512525616,1,0
1512532816,1,0
1512536416,1,1
1512540016,0,1
1512543619,1,1
1512547229,0,1
1512550818,2,1
1512554422,0,1
1512558021,0,1
1512561620,2,0
1512565222,1,1
1512568820,1,0
1512576020,0,1
1512583218,0,1
1512590421,2,0
1512601217,0,3
1512608418,1,0
1512612017,1,0
1512619216,1,1
1512622816,1,0
1512626417,1,1
1512630016,0,1
1512633619,1,0
1512637217,0,1
1512644417,7,2
1512648017,2,0
1512651618,38,1
1512655219,3,0
1512658819,2,0
1512662421,2,1
1512666020,1,0
1512669619,2,0
1512673220,1,1
1512676821,2,1
1512680426,1,1
1512684020,0,2
1512687620,2,2
1512691221,0,3
1512694819,1,3
1512698420,0,1
1512702025,0,1
1512705623,0,2
1512712819,0,1
1512716419,2,1
1512727219,1,1
1512730820,0,2
1512741625,1,0
1512745226,1,0
1512748825,1,1
1512752432,2,1
1512756025,1,0
1512759624,4,2
1512763225,0,1
1512766819,1,1
1512770418,1,6
1512777620,0,1
1512781219,1,2
1512784819,0,3
1512788418,1,7
1512792018,0,17
1512795619,0,16
1512799219,1,0
1512817221,0,1
1512820819,0,1
1512824420,1,1
1512831619,0,1
1512835219,1,0
1512842418,0,1
1512846020,1,0
1512849619,1,1
1512853221,1,0
1512856820,1,0
1512860419,0,3
1512864020,0,2
1512871219,0,2
1512878420,0,1
1512882018,0,1
1512885621,0,1
1512892818,0,2
1512900017,0,1
1512903616,2,1
1512907217,1,3
1512910816,3,0
1512914416,2,0
1512918018,4,0
