DateTime,AddedIPs,RemovedIPs
1512922453,95,74
1512926051,76,92
1512929653,65,78
1512933253,38,81
1512936859,49,76
1512940468,78,65
1512944059,86,85
1512947661,62,53
1512951259,71,102
1512954861,70,82
1512958456,54,65
1512962063,62,56
1512965659,53,77
1512969255,80,89
1512972844,57,67
1512976448,42,71
1512980044,39,67
1512983646,71,60
1512987264,83,53
1512990844,57,66
1512994441,82,99
1512998060,74,72
1513001657,65,67
1513005268,80,56
1513008867,51,69
1513012496,86,87
1513016084,65,94
1513019662,50,66
1513023265,59,66
1513026874,75,79
1513030462,93,63
1513034041,55,57
1513037681,67,55
1513041249,54,74
1513044870,46,85
1513048476,39,47
1513052040,40,46
1513055648,96,68
1513059232,59,82
1513062838,50,71
1513066442,30,76
1513070031,46,67
1513073637,76,68
1513077233,81,72
1513080873,77,47
1513084464,84,101
1513088046,76,76
1513091659,49,48
1513095246,76,49
1513098851,76,77
1513102438,78,96
1513106048,66,61
1513109646,53,68
1513113245,57,67
1513116840,82,51
1513120439,86,48
1513124044,73,73
1513127642,85,83
1513131245,79,67
1513134844,56,60
1513138436,59,37
1513142027,51,55
1513145634,90,79
1513149232,90,81
1513152840,65,58
1513156490,50,61
1513160089,80,61
1513163665,94,52
1513167251,74,70
1513170872,91,76
1513174459,69,92
1513178071,59,61
1513181656,71,59
1513185256,62,48
1513188856,98,72
1513192465,65,97
1513196059,61,75
1513199656,48,73
1513203264,51,63
1513206848,89,64
1513210454,76,62
1513214047,77,53
1513217641,57,101
1513221263,59,52
1513224872,57,58
1513228457,64,45
1513232059,81,62
1513235643,63,84
1513239243,62,78
1513242840,57,71
1513246441,73,57
1513250050,74,50
1513253661,93,61
1513257244,65,58
1513260834,78,84
1513264447,74,74
1513268067,53,66
1513271662,83,62
1513275269,50,55
1513278855,90,72
1513282440,72,88
1513286046,52,66
1513289645,51,73
1513293243,63,71
1513296845,86,66
1513300435,73,69
1513304078,73,77
1513307645,56,100
1513311258,68,69
1513314862,59,62
1513318536,46,57
1513322139,93,89
1513325721,60,99
1513329333,49,81
1513332934,53,97
1513336429,48,91
1513340038,93,78
1513343638,77,81
1513347235,67,70
1513350836,60,122
1513354424,70,87
1513358049,69,75
1513361634,66,75
1513365228,81,89
1513368838,63,108
1513372443,66,87
1513376028,66,77
1513379633,78,79
1513383235,87,82
1513386871,110,81
1513390464,78,55
1513394040,85,87
1513397633,78,73
1513401231,59,53
1513404828,73,48
1513408427,69,77
1513412039,108,82
1513415626,74,94
1513419224,74,64
1513422827,68,69
1513426432,81,65
1513430028,105,67
1513433631,94,64
1513437238,80,61
1513440842,72,86
1513444444,63,63
1513448039,69,48
1513451639,56,68
1513455238,97,73
1513458913,62,93
1513462448,64,78
1513466059,43,67
1513469652,65,88
1513473246,118,56
1513476845,76,67
1513480453,64,58
1513484044,64,108
1513487636,73,63
1513491237,45,60
1513494842,67,44
1513498442,101,90
1513502043,65,89
1513505627,64,71
1513509232,53,69
1513512818,36,71
1513516444,54,64
1513520038,48,75
1513523627,77,68
1513527225,69,86
1513530820,47,71
1513534433,58,57
1513538058,67,35
1513541649,43,46
1513545233,39,88
1513548818,52,87
1513552419,47,61
1513556024,57,70
1513559667,54,76
1513563225,36,62
1513566833,61,62
1513570437,59,69
1513574025,38,89
1513577618,45,60
1513581220,49,39
1513584818,40,44
1513588417,42,76
1513592017,39,91
1513595619,58,67
1513599218,55,85
1513602811,41,80
1513606417,51,70
1513610018,52,67
1513613613,51,61
1513617227,47,103
1513620813,55,60
1513624411,48,53
1513628012,42,42
1513631611,34,81
1513635197,43,95
1513638802,48,63
1513642405,45,72
1513646001,39,58
1513649594,44,51
1513653188,40,51
1513656781,40,44
1513660382,50,90
1513663982,44,59
1513667580,38,52
1513671178,46,42
1513674780,44,55
1513678378,41,85
1513681978,40,79
1513685571,46,75
1513689185,39,73
1513692775,57,72
1513696384,43,44
1513699977,40,74
1513703574,45,73
1513707204,54,91
1513710773,65,70
1513714392,30,52
1513717982,32,48
1513721566,54,81
1513725177,52,85
1513728778,80,72
1513732361,54,81
1513735976,52,75
1513739584,57,57
1513743163,68,57
1513746772,60,49
1513750362,59,94
1513753961,59,69
1513757564,58,62
1513761169,49,45
1513764762,65,72
1513768359,56,87
1513771959,44,83
1513775543,54,86
1513779143,52,67
1513782744,71,60
1513786343,74,72
1513789956,88,60
1513793561,93,94
1513797164,75,77
1513800760,83,61
1513804363,93,42
1513807963,46,46
1513811566,75,92
1513815167,67,81
1513818774,105,82
1513822355,56,58
1513825955,65,63
1513829568,45,55
1513833147,77,62
1513836753,101,79
1513840357,63,67
1513843958,93,72
1513847552,74,64
1513851159,58,68
1513854752,51,74
1513858350,61,93
1513861958,100,76
1513865554,70,68
1513869155,71,67
1513872750,57,54
1513876354,50,76
1513879954,100,53
1513883548,70,106
1513887152,86,65
1513890753,169,56
1513894358,53,53
1513897964,59,64
1513901560,68,91
1513905166,83,75
1513908768,84,70
1513912367,71,52
1513915959,55,70
1513919565,62,69
1513923167,77,57
1513926769,93,91
1513930373,63,62
1513933970,71,50
1513937578,75,54
1513941171,62,43
1513944786,78,91
1513948408,58,65
1513951977,109,68
1513955580,94,68
1513959171,63,71
1513962782,74,68
1513966399,87,73
1513969995,102,81
1513973584,92,67
1513977186,79,66
1513980806,76,57
1513984377,68,68
1513988000,85,75
1513991598,67,95
1513995217,111,65
1513998849,77,70
1514002397,71,66
1514005987,48,61
1514009589,59,79
1514013190,107,60
1514016796,83,105
1514020390,71,80
1514023984,75,72
1514027588,73,62
1514031176,56,88
1514034791,66,99
1514038396,102,95
1514041996,74,71
1514045587,81,63
1514049187,78,66
1514052792,98,81
1514056397,125,45
1514059991,133,93
1514063598,81,64
1514067203,92,62
1514070805,87,46
1514074405,69,75
1514078002,68,106
1514081594,63,78
1514085197,87,72
1514088798,65,58
1514092405,64,71
1514095997,50,46
1514099605,76,70
1514103201,106,103
1514106810,94,70
1514110404,72,63
1514114000,66,52
1514117583,58,46
1514121189,75,47
1514124787,54,40
1514128398,100,51
1514132005,82,63
1514135619,64,49
1514139225,57,44
1514142817,54,53
1514146410,53,40
1514150025,43,33
1514153615,53,49
1514157242,59,31
1514160826,101,48
1514164439,65,38
1514168036,77,43
1514171612,66,46
1514175228,61,57
1514178843,61,40
1514182424,54,47
1514186007,86,47
1514189613,60,41
1514193219,64,45
1514196810,51,39
1514200408,51,54
1514204032,85,54
1514207626,86,62
1514211219,66,48
1514214817,81,59
1514218414,67,55
1514222042,53,51
1514225630,53,53
1514229230,50,43
1514232824,87,41
1514236427,57,38
1514240021,57,43
1514243619,41,54
1514247226,77,53
1514250828,89,39
1514254423,70,46
1514258034,65,39
1514261628,48,54
1514265220,62,42
1514268829,56,48
1514272430,43,45
1514276032,78,35
1514279633,66,43
1514283235,64,45
1514286837,50,41
1514290446,66,43
1514294056,103,41
1514297638,71,65
1514301237,69,48
1514304855,68,37
1514308453,70,53
1514312046,68,52
1514315655,54,54
1514319252,64,35
1514322853,66,51
1514326458,65,53
1514330043,48,55
1514333658,43,85
1514337257,61,52
1514340850,91,59
1514344494,57,57
1514348061,86,55
1514351656,78,48
1514355254,45,71
1514358850,66,71
1514362452,45,62
1514366052,75,54
1514369654,54,74
1514373248,58,64
1514376846,55,75
1514380445,72,84
1514384038,90,67
1514387640,56,74
1514391236,69,74
1514394830,59,86
1514398437,59,100
1514402041,67,66
1514405631,80,86
1514409231,86,86
1514412840,65,43
1514416444,63,71
1514420028,47,68
1514423631,63,94
1514427234,104,59
1514430833,55,61
1514434431,60,56
1514438025,57,76
1514441620,55,94
1514445230,52,63
1514448824,52,96
1514452427,75,84
1514456016,63,69
1514459620,54,58
1514463231,41,64
1514466822,54,94
1514470427,78,64
1514474028,93,66
1514477621,67,67
1514481235,73,45
1514484843,73,91
1514488440,47,67
1514492036,72,79
1514495632,53,138
1514499227,75,53
1514502827,55,56
1514506428,48,70
1514510039,39,83
1514513627,60,75
1514517235,83,72
1514520824,71,52
1514524433,72,55
1514528027,55,70
1514531634,42,95
1514535224,65,66
1514538832,44,60
1514542431,69,64
1514546025,52,72
1514549612,61,74
1514553229,50,50
1514556824,66,115
1514560428,105,90
1514564021,77,64
1514567628,68,56
1514571219,91,79
1514574824,52,102
1514578423,62,101
1514582021,45,75
1514585622,79,58
1514589218,63,56
1514592821,69,69
1514596416,54,62
1514600013,62,104
1514603612,86,70
1514607213,99,56
1514610818,56,60
1514614413,75,69
1514618009,64,110
1514621606,43,74
1514625209,68,85
1514628805,49,70
1514632407,73,63
1514636014,52,55
1514639610,39,78
1514643214,58,105
1514646806,78,70
1514650405,96,76
1514654018,75,82
1514657607,77,93
1514661200,92,129
1514664803,48,134
1514668407,66,75
1514672002,49,81
1514675611,84,90
1514679204,54,70
1514682800,54,82
1514686402,37,69
1514689989,61,98
1514693590,99,68
1514697186,61,71
1514700789,56,60
1514704397,71,78
1514707994,52,94
1514711594,55,86
1514715190,70,70
1514718792,66,62
