DateTime,Entries,UniqueIPs
1512922453,14455,14455
1512926051,14439,14439
1512929653,14426,14426
1512933253,14383,14383
1512936859,14356,14356
1512940468,14369,14369
1512944059,14370,14370
1512947661,14379,14379
1512951259,14348,14348
1512954861,14336,14336
1512958456,14325,14325
1512962063,14331,14331
1512965659,14307,14307
1512969255,14298,14298
1512972844,14288,14288
1512976448,14259,14259
1512980044,14231,14231
1512983646,14242,14242
1512987264,14272,14272
1512990844,14263,14263
1512994441,14246,14246
1512998060,14248,14248
1513001657,14246,14246
1513005268,14270,14270
1513008867,14252,14252
1513012496,14251,14251
1513016084,14222,14222
1513019662,14206,14206
1513023265,14199,14199
1513026874,14195,14195
1513030462,14225,14225
1513034041,14223,14223
1513037681,14235,14235
1513041249,14215,14215
1513044870,14176,14176
1513048476,14168,14168
1513052040,14162,14162
1513055648,14190,14190
1513059232,14167,14167
1513062838,14146,14146
1513066442,14100,14100
1513070031,14079,14079
1513073637,14087,14087
1513077233,14096,14096
1513080873,14126,14126
1513084464,14109,14109
1513088046,14109,14109
1513091659,14110,14110
1513095246,14137,14137
1513098851,14136,14136
1513102438,14118,14118
1513106048,14123,14123
1513109646,14108,14108
1513113245,14098,14098
1513116840,14129,14129
1513120439,14167,14167
1513124044,14167,14167
1513127642,14169,14169
1513131245,14181,14181
1513134844,14177,14177
1513138436,14199,14199
1513142027,14195,14195
1513145634,14206,14206
1513149232,14215,14215
1513152840,14222,14222
1513156490,14211,14211
1513160089,14230,14230
1513163665,14272,14272
1513167251,14276,14276
1513170872,14291,14291
1513174459,14268,14268
1513178071,14266,14266
1513181656,14278,14278
1513185256,14292,14292
1513188856,14318,14318
1513192465,14286,14286
1513196059,14272,14272
1513199656,14247,14247
1513203264,14235,14235
1513206848,14260,14260
1513210454,14274,14274
1513214047,14298,14298
1513217641,14254,14254
1513221263,14261,14261
1513224872,14260,14260
1513228457,14279,14279
1513232059,14298,14298
1513235643,14277,14277
1513239243,14261,14261
1513242840,14247,14247
1513246441,14263,14263
1513250050,14287,14287
1513253661,14319,14319
1513257244,14326,14326
1513260834,14320,14320
1513264447,14320,14320
1513268067,14307,14307
1513271662,14328,14328
1513275269,14323,14323
1513278855,14341,14341
1513282440,14325,14325
1513286046,14311,14311
1513289645,14289,14289
1513293243,14281,14281
1513296845,14301,14301
1513300435,14305,14305
1513304078,14301,14301
1513307645,14257,14257
1513311258,14256,14256
1513314862,14253,14253
1513318536,14242,14242
1513322139,14246,14246
1513325721,14207,14207
1513329333,14175,14175
1513332934,14131,14131
1513336429,14088,14088
1513340038,14103,14103
1513343638,14099,14099
1513347235,14096,14096
1513350836,14034,14034
1513354424,14017,14017
1513358049,14011,14011
1513361634,14002,14002
1513365228,13994,13994
1513368838,13949,13949
1513372443,13928,13928
1513376028,13917,13917
1513379633,13916,13916
1513383235,13921,13921
1513386871,13950,13950
1513390464,13973,13973
1513394040,13971,13971
1513397633,13976,13976
1513401231,13982,13982
1513404828,14007,14007
1513408427,13999,13999
1513412039,14025,14025
1513415626,14005,14005
1513419224,14015,14015
1513422827,14014,14014
1513426432,14030,14030
1513430028,14068,14068
1513433631,14098,14098
1513437238,14117,14117
1513440842,14103,14103
1513444444,14103,14103
1513448039,14124,14124
1513451639,14112,14112
1513455238,14136,14136
1513458913,14105,14105
1513462448,14091,14091
1513466059,14067,14067
1513469652,14044,14044
1513473246,14106,14106
1513476845,14115,14115
1513480453,14121,14121
1513484044,14077,14077
1513487636,14087,14087
1513491237,14072,14072
1513494842,14095,14095
1513498442,14106,14106
1513502043,14082,14082
1513505627,14075,14075
1513509232,14059,14059
1513512818,14024,14024
1513516444,14014,14014
1513520038,13987,13987
1513523627,13996,13996
1513527225,13979,13979
1513530820,13955,13955
1513534433,13956,13956
1513538058,13988,13988
1513541649,13985,13985
1513545233,13936,13936
1513548818,13901,13901
1513552419,13887,13887
1513556024,13874,13874
1513559667,13852,13852
1513563225,13826,13826
1513566833,13825,13825
1513570437,13815,13815
1513574025,13764,13764
1513577618,13749,13749
1513581220,13759,13759
1513584818,13755,13755
1513588417,13721,13721
1513592017,13669,13669
1513595619,13660,13660
1513599218,13630,13630
1513602811,13591,13591
1513606417,13572,13572
1513610018,13557,13557
1513613613,13547,13547
1513617227,13491,13491
1513620813,13486,13486
1513624411,13481,13481
1513628012,13481,13481
1513631611,13434,13434
1513635197,13382,13382
1513638802,13367,13367
1513642405,13340,13340
1513646001,13321,13321
1513649594,13314,13314
1513653188,13303,13303
1513656781,13299,13299
1513660382,13259,13259
1513663982,13244,13244
1513667580,13230,13230
1513671178,13234,13234
1513674780,13223,13223
1513678378,13179,13179
1513681978,13140,13140
1513685571,13111,13111
1513689185,13077,13077
1513692775,13062,13062
1513696384,13061,13061
1513699977,13027,13027
1513703574,12999,12999
1513707204,12962,12962
1513710773,12957,12957
1513714392,12935,12935
1513717982,12919,12919
1513721566,12892,12892
1513725177,12859,12859
1513728778,12867,12867
1513732361,12840,12840
1513735976,12817,12817
1513739584,12817,12817
1513743163,12828,12828
1513746772,12839,12839
1513750362,12804,12804
1513753961,12794,12794
1513757564,12790,12790
1513761169,12794,12794
1513764762,12787,12787
1513768359,12756,12756
1513771959,12717,12717
1513775543,12685,12685
1513779143,12670,12670
1513782744,12681,12681
1513786343,12683,12683
1513789956,12711,12711
1513793561,12710,12710
1513797164,12708,12708
1513800760,12730,12730
1513804363,12781,12781
1513807963,12781,12781
1513811566,12764,12764
1513815167,12750,12750
1513818774,12773,12773
1513822355,12771,12771
1513825955,12773,12773
1513829568,12763,12763
1513833147,12778,12778
1513836753,12800,12800
1513840357,12796,12796
1513843958,12817,12817
1513847552,12827,12827
1513851159,12817,12817
1513854752,12794,12794
1513858350,12762,12762
1513861958,12786,12786
1513865554,12788,12788
1513869155,12792,12792
1513872750,12795,12795
1513876354,12769,12769
1513879954,12816,12816
1513883548,12780,12780
1513887152,12801,12801
1513890753,12914,12914
1513894358,12914,12914
1513897964,12909,12909
1513901560,12886,12886
1513905166,12894,12894
1513908768,12908,12908
1513912367,12927,12927
1513915959,12912,12912
1513919565,12905,12905
1513923167,12925,12925
1513926769,12927,12927
1513930373,12928,12928
1513933970,12949,12949
1513937578,12970,12970
1513941171,12989,12989
1513944786,12976,12976
