DateTime,AddedIPs,RemovedIPs
1512915317,67,42
1512918938,50,43
1512922528,76,51
1512926139,59,77
1512929760,54,61
1512933341,31,66
1512936936,46,65
1512940553,66,54
1512944140,79,73
1512947741,51,47
1512951341,62,96
1512954947,55,71
1512958536,44,62
1512962133,53,52
1512965739,47,64
1512969334,74,82
1512972913,49,60
1512976523,33,63
1512980113,32,61
1512983758,66,55
1512987357,72,46
1512990923,49,58
1512994533,70,82
1512998160,58,66
1513001752,49,56
1513005359,63,46
1513008970,41,53
1513012658,74,76
1513016226,57,80
1513019748,38,52
1513023361,41,61
1513026988,71,57
1513030525,83,46
1513034106,50,53
1513037801,63,56
1513041316,45,68
1513044992,42,72
1513048607,34,42
1513052121,30,40
1513055724,87,58
1513059301,53,73
1513062913,43,64
1513066513,25,71
1513070108,39,61
1513073708,68,53
1513077308,72,64
1513080955,67,37
1513084567,70,92
1513088127,65,65
1513091736,41,41
1513095326,64,44
1513098932,68,68
1513102526,65,91
1513106126,55,56
1513109731,44,57
1513113319,47,58
1513116921,73,43
1513120512,69,38
1513124124,64,65
1513127717,78,76
1513131310,64,58
1513134916,46,55
1513138505,50,32
1513142098,45,44
1513145708,83,73
1513149304,74,75
1513152932,53,54
1513156621,38,60
1513160228,70,55
1513163764,83,47
1513167333,60,62
1513170952,75,67
1513174533,55,82
1513178172,50,51
1513181725,56,46
1513185353,43,38
1513188933,78,65
1513192531,52,86
1513196132,48,68
1513199733,36,63
1513203349,40,56
1513206918,77,47
1513210528,64,55
1513214120,64,42
1513217747,52,95
1513221318,53,46
1513224932,49,48
1513228548,57,36
1513232144,71,56
1513235708,56,79
1513239311,53,67
1513242938,50,61
1513246519,62,48
1513250141,63,38
1513253737,79,55
1513257323,42,47
1513260904,69,76
1513264524,66,62
1513268167,47,61
1513271743,60,48
1513275372,40,38
1513278943,74,67
1513282505,61,77
1513286115,44,57
1513289710,47,67
1513293312,55,69
1513296910,76,55
1513300496,61,61
1513307738,119,166
1513311332,58,65
1513314955,48,56
1513319378,42,48
1513322949,83,85
1513326537,51,88
1513330153,46,71
1513333766,47,90
1513336488,41,84
1513340106,77,69
1513343703,69,71
1513347316,58,58
1513350901,46,115
1513354497,52,77
1513358129,53,64
1513361706,58,67
1513365309,73,78
1513368905,57,94
1513372512,58,74
1513376094,46,71
1513379707,64,71
1513383306,76,74
1513386961,98,68
1513390582,61,43
1513394113,70,82
1513397698,66,60
1513401306,51,50
1513404891,68,38
1513408490,53,69
1513412084,95,72
1513415684,64,78
1513419287,65,60
1513422881,59,60
1513426489,71,59
1513430096,91,58
1513433691,82,61
1513437297,68,53
1513440901,63,75
1513444506,56,47
1513448103,63,37
1513451707,47,52
1513455316,82,68
1513458984,53,76
1513462520,49,68
1513466146,36,59
1513469722,51,79
1513473317,104,46
1513476909,67,60
1513480511,61,47
1513484112,52,97
1513487698,58,55
1513491301,40,50
1513494895,54,40
1513498504,93,75
1513502102,56,83
1513505688,57,61
1513509288,44,58
1513512881,28,65
1513516562,41,58
1513520092,42,66
1513523684,63,55
1513527288,55,69
1513530872,40,57
1513534493,47,49
1513538174,59,30
1513541738,37,40
1513545302,34,74
1513548890,43,79
1513552497,44,55
1513556096,46,59
1513559781,48,63
1513563307,25,49
1513566916,50,53
1513570523,54,61
1513574105,34,83
1513577676,36,51
1513581288,39,32
1513584880,35,33
1513588485,38,69
1513592077,33,82
1513595680,50,59
1513599286,46,75
1513602879,35,63
1513606480,39,46
1513610093,40,51
1513613702,43,48
1513617289,34,86
1513620887,39,50
1513624487,38,40
1513628075,35,34
1513631678,31,72
1513635272,41,82
1513638872,38,56
1513642473,43,67
