DateTime,Entries,UniqueIPs
1512915317,12399,12399
1512918938,12406,12406
1512922528,12431,12431
1512926139,12413,12413
1512929760,12406,12406
1512933341,12371,12371
1512936936,12352,12352
1512940553,12364,12364
1512944140,12370,12370
1512947741,12374,12374
1512951341,12340,12340
1512954947,12324,12324
1512958536,12306,12306
1512962133,12307,12307
1512965739,12290,12290
1512969334,12282,12282
1512972913,12271,12271
1512976523,12241,12241
1512980113,12212,12212
1512983758,12223,12223
1512987357,12249,12249
1512990923,12240,12240
1512994533,12228,12228
1512998160,12220,12220
1513001752,12213,12213
1513005359,12230,12230
1513008970,12218,12218
1513012658,12216,12216
1513016226,12193,12193
1513019748,12179,12179
1513023361,12159,12159
1513026988,12173,12173
1513030525,12210,12210
1513034106,12207,12207
1513037801,12214,12214
1513041316,12191,12191
1513044992,12161,12161
1513048607,12153,12153
1513052121,12143,12143
1513055724,12172,12172
1513059301,12152,12152
1513062913,12131,12131
1513066513,12085,12085
1513070108,12063,12063
1513073708,12078,12078
1513077308,12086,12086
1513080955,12116,12116
1513084567,12094,12094
1513088127,12094,12094
1513091736,12094,12094
1513095326,12114,12114
1513098932,12114,12114
1513102526,12088,12088
1513106126,12087,12087
1513109731,12074,12074
1513113319,12063,12063
1513116921,12093,12093
1513120512,12124,12124
1513124124,12123,12123
1513127717,12125,12125
1513131310,12131,12131
1513134916,12122,12122
1513138505,12140,12140
1513142098,12141,12141
1513145708,12151,12151
1513149304,12150,12150
1513152932,12149,12149
1513156621,12127,12127
1513160228,12142,12142
1513163764,12178,12178
1513167333,12176,12176
1513170952,12184,12184
1513174533,12157,12157
1513178172,12156,12156
1513181725,12166,12166
1513185353,12171,12171
1513188933,12184,12184
1513192531,12150,12150
1513196132,12130,12130
1513199733,12103,12103
1513203349,12087,12087
1513206918,12117,12117
1513210528,12126,12126
1513214120,12148,12148
1513217747,12105,12105
1513221318,12112,12112
1513224932,12113,12113
1513228548,12134,12134
1513232144,12149,12149
1513235708,12126,12126
1513239311,12112,12112
1513242938,12101,12101
1513246519,12115,12115
1513250141,12140,12140
1513253737,12164,12164
1513257323,12159,12159
1513260904,12152,12152
1513264524,12156,12156
1513268167,12142,12142
1513271743,12154,12154
1513275372,12156,12156
1513278943,12163,12163
1513282505,12147,12147
1513286115,12134,12134
1513289710,12114,12114
1513293312,12100,12100
1513296910,12121,12121
1513300496,12121,12121
1513307738,12074,12074
1513311332,12067,12067
1513314955,12059,12059
1513319378,12053,12053
1513322949,12051,12051
1513326537,12014,12014
1513330153,11989,11989
1513333766,11946,11946
1513336488,11903,11903
1513340106,11911,11911
1513343703,11909,11909
1513347316,11909,11909
1513350901,11840,11840
1513354497,11815,11815
1513358129,11804,11804
1513361706,11795,11795
1513365309,11790,11790
1513368905,11753,11753
1513372512,11737,11737
1513376094,11712,11712
1513379707,11705,11705
1513383306,11707,11707
1513386961,11737,11737
1513390582,11755,11755
1513394113,11743,11743
1513397698,11749,11749
1513401306,11750,11750
1513404891,11780,11780
1513408490,11764,11764
1513412084,11787,11787
1513415684,11773,11773
1513419287,11778,11778
1513422881,11777,11777
1513426489,11789,11789
1513430096,11822,11822
1513433691,11843,11843
1513437297,11858,11858
1513440901,11846,11846
1513444506,11855,11855
1513448103,11881,11881
1513451707,11876,11876
1513455316,11890,11890
1513458984,11867,11867
1513462520,11848,11848
1513466146,11825,11825
1513469722,11797,11797
1513473317,11855,11855
1513476909,11862,11862
1513480511,11876,11876
1513484112,11831,11831
1513487698,11834,11834
1513491301,11824,11824
1513494895,11838,11838
1513498504,11856,11856
1513502102,11829,11829
1513505688,11825,11825
1513509288,11811,11811
1513512881,11774,11774
1513516562,11757,11757
1513520092,11733,11733
1513523684,11741,11741
1513527288,11727,11727
1513530872,11710,11710
1513534493,11708,11708
1513538174,11737,11737
1513541738,11734,11734
1513545302,11694,11694
1513548890,11658,11658
1513552497,11647,11647
1513556096,11634,11634
1513559781,11619,11619
1513563307,11595,11595
1513566916,11592,11592
1513570523,11585,11585
1513574105,11536,11536
1513577676,11521,11521
1513581288,11528,11528
1513584880,11530,11530
1513588485,11499,11499
1513592077,11450,11450
1513595680,11441,11441
1513599286,11412,11412
1513602879,11384,11384
1513606480,11377,11377
1513610093,11366,11366
1513613702,11361,11361
1513617289,11309,11309
1513620887,11298,11298
1513624487,11296,11296
1513628075,11297,11297
1513631678,11256,11256
1513635272,11215,11215
1513638872,11197,11197
1513642473,11173,11173
1513646065,11158,11158
1513649662,11142,11142
1513653263,11137,11137
1513656845,11139,11139
1513660445,11102,11102
1513664047,11091,11091
1513667642,11083,11083
1513671247,11093,11093
1513674841,11082,11082
1513678447,11031,11031
1513682052,10994,10994
1513685644,10967,10967
1513689247,10942,10942
1513692844,10931,10931
1513696454,10926,10926
1513700043,10896,10896
1513703647,10866,10866
1513707282,10833,10833
1513710849,10833,10833
1513714445,10821,10821
1513718064,10811,10811
1513721648,10790,10790
1513725249,10769,10769
1513728855,10784,10784
1513732449,10754,10754
1513736057,10729,10729
1513739676,10733,10733
1513743248,10746,10746
1513746839,10753,10753
1513750435,10716,10716
1513754029,10700,10700
1513757627,10693,10693
1513761235,10698,10698
1513764826,10699,10699
1513768424,10669,10669
1513772021,10644,10644
1513775611,10624,10624
1513779217,10620,10620
1513782819,10638,10638
1513786412,10639,10639
1513790025,10673,10673
1513793634,10676,10676
1513797237,10681,10681
1513800842,10703,10703
1513804441,10748,10748
1513808032,10747,10747
1513811631,10741,10741
1513815233,10724,10724
1513818860,10753,10753
1513822426,10755,10755
1513826021,10758,10758
1513829610,10748,10748
1513833212,10767,10767
1513836811,10788,10788
1513840419,10786,10786
1513844021,10809,10809
1513847616,10816,10816
1513851216,10810,10810
1513854816,10801,10801
1513858407,10772,10772
1513862019,10810,10810
1513865614,10815,10815
1513869214,10818,10818
1513872817,10822,10822
1513876419,10814,10814
1513880034,10859,10859
1513883626,10836,10836
1513887228,10847,10847
1513890837,10956,10956
1513894478,10956,10956
1513898045,10942,10942
1513901648,10924,10924
1513905244,10934,10934
1513908844,10943,10943
1513912429,10957,10957
1513916033,10940,10940
1513919643,10941,10941
1513923241,10964,10964
1513926844,10969,10969
1513930447,10973,10973
1513934043,10989,10989
1513937659,11010,11010
1513941251,11034,11034
1513944917,11023,11023
1513948523,11006,11006
1513952051,11036,11036
1513955671,11061,11061
1513959250,11058,11058
1513962874,11063,11063
1513966494,11077,11077
1513970095,11092,11092
1513973673,11111,11111
1513977285,11121,11121
1513980898,11144,11144
1513984461,11145,11145
1513988092,11152,11152
1513991697,11127,11127
1513995337,11172,11172
1513998937,11179,11179
1514002464,11191,11191
1514006061,11185,11185
1514009662,11170,11170
