DateTime,AddedIPs,RemovedIPs
1512781436,1,2
1512785032,1,2
1512788625,2,3
1512792222,0,10
1512795816,0,2
1512799423,1,1
1512803009,3,2
1512806615,1,4
1512810204,1,5
1512813813,3,0
1512817413,3,2
1512821009,2,1
1512824612,4,2
1512828210,0,2
1512831810,3,0
1512835406,3,0
1512839007,0,1
1512842670,3,1
1512846266,5,1
1512849872,4,1
1512853477,0,1
1512857068,4,4
1512860660,2,2
1512864273,1,4
1512867879,3,1
1512871467,2,0
1512875075,0,3
1512878624,1,4
1512882223,0,1
1512889435,1,0
1512893013,2,1
1512896634,1,0
1512900235,4,1
1512903816,2,3
1512907415,1,4
1512911012,1,1
1512914616,2,2
1512918220,0,3
1512921822,1,0
1512925423,1,4
1512929034,3,2
1512932632,2,2
1512936231,1,2
1512939842,0,1
1512943430,2,3
1512947029,3,2
1512950626,2,3
1512954232,0,3
1512957830,1,0
1512961431,1,1
1512965034,1,1
1512968633,0,1
1512972218,1,0
1512975828,1,2
1512979420,0,1
1512983024,1,3
1512986645,0,1
1512990221,0,2
1512997442,1,0
1513001039,2,2
1513004643,4,1
1513008241,1,2
1513011886,3,2
1513015462,1,1
1513019039,1,1
1513022642,1,1
1513026257,1,2
1513029825,2,6
1513037061,1,1
1513040622,1,2
1513044259,0,5
1513047861,0,4
1513051421,2,1
1513055024,1,0
1513058611,0,3
1513062218,3,1
1513065818,2,1
1513069411,2,3
1513073019,2,0
1513076618,1,1
1513080252,2,1
1513083846,2,0
1513087428,2,1
1513091029,0,1
1513094627,1,0
1513098228,5,3
1513101823,2,4
1513105428,1,1
1513109025,3,3
1513116224,2,2
1513119819,0,3
1513123425,0,3
1513127024,1,4
1513130616,3,6
1513134221,0,4
1513137812,0,3
1513155882,1,0
1513159475,0,1
1513163042,0,1
1513166624,2,4
1513170244,1,3
1513173832,1,1
1513177448,0,2
1513181031,1,3
1513184631,2,3
1513188222,0,2
1513191823,3,0
1513195426,3,1
1513199029,3,1
1513202637,2,0
1513209827,0,1
1513213434,1,6
1513217048,1,0
1513227836,0,1
1513235013,1,4
1513238619,2,2
1513242247,2,0
1513245822,0,4
1513249433,3,0
1513253025,1,2
1513256624,1,1
1513260221,0,1
1513263810,0,1
1513267443,1,1
1513271031,1,1
1513274640,2,1
1513278231,5,2
1513281813,2,2
1513285416,2,3
1513289018,0,2
1513292618,1,5
1513299805,0,1
1513303460,0,1
1513307028,1,1
1513310629,0,1
1513314239,0,1
1513317923,1,0
1513321528,0,7
1513325121,2,3
1513328726,1,2
1513332326,3,0
1513335815,2,2
1513339421,4,0
1513343016,2,0
1513346629,3,2
1513350216,2,0
1513357433,4,6
1513361021,3,1
1513364623,3,4
1513368226,1,3
1513371828,1,3
1513375421,1,2
1513379025,0,1
1513386268,5,0
1513389856,5,0
1513393435,2,1
1513397025,1,0
1513400625,0,1
1513404217,0,1
1513407817,0,1
1513411413,1,1
1513415016,26,1
1513418614,17,1
1513422220,30,2
1513425825,6,3
1513429422,0,3
1513436627,4,3
1513440224,2,2
1513443827,2,0
1513447430,5,2
1513451030,4,5
