DateTime,AddedIPs,RemovedIPs
1513135921,240,314
1513138083,104,86
1513140002,169,205
1513145763,101,117
1513147684,117,89
1513153443,85,67
1513155363,78,79
1513159209,64,70
1513161124,77,76
1513165443,100,78
1513167363,82,76
1513169283,76,82
1513171202,82,76
1513173123,102,97
1513176964,72,81
1513180810,117,86
1513182964,111,74
1513184884,74,111
1513186803,182,157
1513190643,113,100
1513196642,100,113
1513198564,222,212
1513200484,182,179
1513202410,196,218
1513206482,99,125
1513210323,77,147
1513212242,117,127
1513214164,127,117
1513216083,202,193
1513219922,77,111
1513227612,102,148
1513229523,123,119
1513231443,106,132
1513233364,131,89
1513237203,102,98
1513241042,96,100
1513244882,122,126
1513249444,101,87
1513251364,126,112
1513255203,95,100
1513259043,125,101
1513262882,100,110
1513266963,114,90
1513270812,102,96
1513272723,123,128
1513276563,129,127
1513280403,151,127
1513282322,207,228
1513284243,245,231
1513286162,204,221
1513288082,247,265
1513290004,139,104
1513291923,165,241
1513295763,134,93
1513297687,151,224
1513299610,128,106
1513301525,106,90
1513303442,71,122
1513309205,88,119
1513311122,117,136
1513314962,299,198
1513316885,237,344
1513318803,130,114
1513322644,285,276
1513324565,301,284
1513326483,86,112
1513328411,114,130
1513330322,243,186
1513332245,100,121
1513334163,122,114
1513338003,128,125
1513341843,122,109
1513345922,156,115
1513348086,115,156
1513350009,222,174
1513351927,115,124
1513357924,217,226
1513363924,126,135
1513367764,139,145
1513371844,125,143
1513373763,109,137
1513377602,128,131
1513381443,107,140
1513385282,140,107
1513387445,107,140
1513389363,213,204
1513393210,87,124
1513397042,111,123
1513398965,107,132
1513402804,92,99
1513406886,138,90
1513413123,160,136
1513416964,94,96
1513420804,118,97
1513426564,119,111
1513428483,139,93
1513430404,106,101
1513436410,111,113
1513438326,96,96
1513442404,111,94
1513446246,105,109
1513450322,275,366
1513452242,295,217
1513454163,220,186
1513456083,78,126
1513458010,99,99
1513461841,101,111
1513465682,127,216
1513467602,347,221
1513469527,221,347
1513473551,134,104
1513477448,105,91
1513479362,83,114
1513483228,102,138
1513488962,197,209
1513492802,118,89
1513496643,73,82
1513502404,79,71
1513504322,94,77
1513508163,100,73
1513512009,115,85
1513513924,110,93
1513517765,108,90
1513521604,88,90
1513525445,90,88
1513527363,157,145
1513529284,89,112
1513533123,125,93
1513535763,102,93
1513539602,106,111
1513543443,96,131
1513549444,112,110
1513551363,95,138
1513555212,67,124
