DateTime,Entries,UniqueIPs
1513135921,6326,6326
1513138083,6344,6344
1513140002,6308,6308
1513145763,6292,6292
1513147684,6320,6320
1513153443,6338,6338
1513155363,6337,6337
1513159209,6331,6331
1513161124,6332,6332
1513165443,6354,6354
1513167363,6360,6360
1513169283,6354,6354
1513171202,6360,6360
1513173123,6365,6365
1513176964,6356,6356
1513180810,6387,6387
1513182964,6424,6424
1513184884,6387,6387
1513186803,6412,6412
1513190643,6425,6425
1513196642,6412,6412
1513198564,6422,6422
1513200484,6425,6425
1513202410,6403,6403
1513206482,6377,6377
1513210323,6307,6307
1513212242,6297,6297
1513214164,6307,6307
1513216083,6316,6316
1513219922,6282,6282
1513227612,6236,6236
1513229523,6240,6240
1513231443,6214,6214
1513233364,6256,6256
1513237203,6260,6260
1513241042,6256,6256
1513244882,6252,6252
1513249444,6266,6266
1513251364,6280,6280
1513255203,6275,6275
1513259043,6299,6299
1513262882,6289,6289
1513266963,6313,6313
1513270812,6319,6319
1513272723,6314,6314
1513276563,6316,6316
1513280403,6340,6340
1513282322,6319,6319
1513284243,6333,6333
1513286162,6316,6316
1513288082,6298,6298
1513290004,6333,6333
1513291923,6257,6257
1513295763,6298,6298
1513297687,6225,6225
1513299610,6247,6247
1513301525,6263,6263
1513303442,6212,6212
1513309205,6181,6181
1513311122,6162,6162
1513314962,6263,6263
1513316885,6156,6156
1513318803,6172,6172
1513322644,6181,6181
1513324565,6198,6198
1513326483,6172,6172
1513328411,6156,6156
1513330322,6213,6213
1513332245,6192,6192
1513334163,6200,6200
1513338003,6203,6203
1513341843,6216,6216
1513345922,6257,6257
1513348086,6216,6216
1513350009,6264,6264
1513351927,6255,6255
1513357924,6246,6246
1513363924,6237,6237
1513367764,6231,6231
1513371844,6213,6213
1513373763,6185,6185
1513377602,6182,6182
1513381443,6149,6149
1513385282,6182,6182
1513387445,6149,6149
1513389363,6158,6158
1513393210,6121,6121
1513397042,6109,6109
1513398965,6084,6084
1513402804,6077,6077
1513406886,6125,6125
1513413123,6149,6149
1513416964,6147,6147
1513420804,6168,6168
1513426564,6176,6176
1513428483,6222,6222
1513430404,6227,6227
1513436410,6225,6225
1513438326,6225,6225
1513442404,6242,6242
1513446246,6238,6238
1513450322,6147,6147
1513452242,6225,6225
1513454163,6259,6259
1513456083,6211,6211
1513458010,6211,6211
1513461841,6201,6201
1513465682,6112,6112
1513467602,6238,6238
1513469527,6112,6112
1513473551,6142,6142
1513477448,6156,6156
1513479362,6125,6125
1513483228,6089,6089
1513488962,6077,6077
1513492802,6106,6106
1513496643,6097,6097
1513502404,6105,6105
1513504322,6122,6122
1513508163,6149,6149
1513512009,6179,6179
1513513924,6196,6196
1513517765,6214,6214
1513521604,6212,6212
1513525445,6214,6214
1513527363,6226,6226
1513529284,6203,6203
1513533123,6235,6235
1513535763,6244,6244
1513539602,6239,6239
1513543443,6204,6204
1513549444,6206,6206
1513551363,6163,6163
1513555212,6106,6106
1513559043,6113,6113
1513560963,6140,6140
1513564803,6096,6096
1513566723,6140,6140
1513568643,6096,6096
1513570562,6072,6072
1513572483,6067,6067
1513576322,6056,6056
1513580163,6111,6111
1513584009,6122,6122
1513585923,6110,6110
1513590002,6126,6126
1513591923,6112,6112
1513593842,6110,6110
1513596484,6126,6126
1513598410,6112,6112
1513600322,6125,6125
1513602242,6131,6131
1513604163,6154,6154
1513608002,6169,6169
1513609923,6167,6167
1513617842,6158,6158
1513621684,6179,6179
1513623610,6192,6192
1513625523,6200,6200
1513629602,6181,6181
1513633443,6147,6147
1513637282,6127,6127
1513639203,6094,6094
1513641123,6127,6127
1513643043,6094,6094
1513644963,6106,6106
1513647364,6098,6098
1513651203,6073,6073
1513655043,6043,6043
1513658883,6025,6025
1513662722,5986,5986
1513666811,6009,6009
1513668963,5986,5986
1513673042,6051,6051
1513678803,6084,6084
1513680722,6056,6056
1513682644,6028,6028
1513686723,6069,6069
1513690563,6101,6101
1513694402,6124,6124
1513698242,6107,6107
1513702082,6104,6104
1513705923,6106,6106
1513710010,6130,6130
1513713842,6133,6133
1513716003,6153,6153
1513718163,6087,6087
1513724164,6079,6079
1513726323,6060,6060
1513730403,6032,6032
1513732323,6050,6050
1513740002,6026,6026
1513741922,6021,6021
1513747682,6006,6006
1513749608,6004,6004
1513755603,6042,6042
1513759443,6067,6067
1513765924,6061,6061
1513770004,6082,6082
1513773845,6081,6081
1513775763,6082,6082
1513777683,6061,6061
1513780084,6095,6095
1513782010,6101,6101
1513785843,6089,6089
1513787764,6095,6095
1513789683,6118,6118
1513791843,6150,6150
1513795922,6157,6157
1513798083,6134,6134
1513801922,6125,6125
1513805764,6105,6105
1513810083,6125,6125
1513812003,6085,6085
1513813922,6050,6050
1513815843,6056,6056
1513818010,6074,6074
1513821842,6084,6084
1513823763,6047,6047
1513829523,6033,6033
1513831685,6014,6014
1513837442,5995,5995
1513839364,6033,6033
1513843209,6013,6013
1513849443,6059,6059
1513851364,6072,6072
1513859525,6092,6092
1513863604,6089,6089
1513865764,6104,6104
1513867686,6117,6117
1513872244,6118,6118
1513876322,6142,6142
1513878243,6124,6124
1513882322,6146,6146
1513886163,6142,6142
1513888083,6112,6112
1513891923,6136,6136
1513898163,6090,6090
1513900084,6064,6064
1513906084,6065,6065
1513908242,6085,6085
1513910163,6054,6054
1513916162,6032,6032
1513918323,6011,6011
1513922166,6006,6006
1513924324,6037,6037
1513928162,6039,6039
1513934165,6036,6036
1513936083,6029,6029
1513941844,6041,6041
1513945685,6037,6037
1513947610,6079,6079
1513949525,6101,6101
1513955282,6091,6091
1513957204,6109,6109
1513959123,6079,6079
1513961045,6091,6091
1513962963,6129,6129
1513964883,6160,6160
1513968725,6109,6109
1513970644,6125,6125
1513972564,6094,6094
1513974482,6108,6108
1513978323,6129,6129
1513982162,6123,6123
1513984085,6108,6108
1513986003,6060,6060
1513989843,6107,6107
1513993682,6124,6124
1513997522,6101,6101
1514001363,6062,6062
1514005211,6053,6053
1514009043,6036,6036
1514010963,6062,6062
1514012882,6084,6084
1514014804,6062,6062
1514018644,6104,6104
1514022485,6117,6117
1514026323,6135,6135
1514030883,6137,6137
1514032802,6146,6146
1514036643,6156,6156
1514040482,6152,6152
1514042403,6156,6156
1514044322,6136,6136
1514048163,6128,6128
1514052010,6134,6134
1514055843,6130,6130
1514060164,6036,6036
1514062083,6094,6094
1514065922,6078,6078
1514070009,6076,6076
1514072163,6047,6047
1514076002,6067,6067
1514077923,6047,6047
1514079843,6059,6059
1514085602,6041,6041
1514087522,6055,6055
1514091362,6027,6027
1514093523,6023,6023
1514097364,6052,6052
1514101444,6056,6056
1514105284,6052,6052
1514107202,6068,6068
1514111283,6138,6138
1514115363,6112,6112
1514119202,6140,6140
1514123043,6151,6151
1514126884,6152,6152
1514130964,6152,6152
1514133123,6151,6151
1514138884,6152,6152
1514140802,6147,6147
1514144883,6150,6150
1514147042,6152,6152
1514148962,6150,6150
1514151122,6125,6125
1514153043,6080,6080
1514154964,6106,6106
1514156885,6080,6080
1514159763,6048,6048
1514163609,6081,6081
1514165522,6125,6125
1514167443,6077,6077
1514171287,6040,6040
1514173203,6024,6024
1514177043,6011,6011
1514180884,6002,6002
1514182804,6024,6024
1514184722,6002,6002
1514186884,6024,6024
1514188806,6037,6037
1514190963,6060,6060
1514194802,6047,6047
1514198643,6064,6064
1514202965,6086,6086
1514205123,6097,6097
1514208963,6109,6109
1514212802,6129,6129
1514216642,6103,6103
1514220722,6117,6117
1514224563,6115,6115
1514228411,6113,6113
1514230324,6117,6117
1514232242,6101,6101
1514234167,6097,6097
1514236083,6113,6113
1514238244,6086,6086
1514242085,6049,6049
1514245923,6027,6027
1514249765,6033,6033
1514255523,6045,6045
1514257445,6024,6024
1514259363,5989,5989
1514263202,6024,6024
1514265124,5980,5980
1514267044,5988,5988
1514268965,5980,5980
1514270883,6013,6013
1514274964,6014,6014
1514277125,6016,6016
1514280965,6044,6044
1514285044,6072,6072
1514288887,6053,6053
1514290812,6056,6056
1514296565,6046,6046
1514300411,6073,6073
1514302323,6049,6049
1514306163,6061,6061
1514310002,6068,6068
1514314083,6057,6057
1514316003,6068,6068
1514317922,6057,6057
1514320088,6054,6054
1514322009,6057,6057
1514323924,6035,6035
1514325843,6019,6019
1514327766,5997,5997
1514331603,6019,6019
1514334004,5962,5962
1514336644,5963,5963
1514338803,5983,5983
1514342643,5966,5966
1514346722,5930,5930
1514350563,5919,5919
1514354884,5934,5934
1514356802,5919,5919
1514358724,5959,5959
1514366402,5949,5949
1514368562,5954,5954
1514374324,5997,5997
1514378163,6017,6017
1514382003,5997,5997
1514384166,6035,6035
1514390162,6036,6036
1514395924,3827,3827
1514398083,6039,6039
1514400243,6060,6060
1514402164,6051,6051
1514404083,6048,6048
1514407922,6044,6044
1514410084,6010,6010
1514413923,5989,5989
1514417762,5974,5974
1514421844,5989,5989
1514423764,6001,6001
1514425924,5989,5989
1514429764,5966,5966
1514431685,5966,5966
1514433843,5955,5955
1514435762,5932,5932
1514441523,5914,5914
1514443443,5932,5932
1514445363,5965,5965
1514447282,5975,5975
1514451123,5971,5971
1514455211,5975,5975
1514457123,6021,6021
1514461202,6047,6047
1514465282,6031,6031
1514469362,6040,6040
1514471524,767,767
1514473442,6052,6052
1514476084,6063,6063
1514479922,6057,6057
1514483762,6067,6067
1514485684,6052,6052
1514487608,6072,6072
1514491443,6067,6067
1514493363,6042,6042
1514495282,6067,6067
1514497202,6057,6057
1514499122,6016,6016
1514501043,5986,5986
1514505123,5964,5964
1514508963,5979,5979
1514512807,5957,5957
1514514723,5921,5921
1514518563,5921,5921
1514522642,5908,5908
1514526482,5921,5921
1514528403,5887,5887
1514530322,5929,5929
1514534163,5943,5943
1514536084,5908,5908
1514538483,5954,5954
1514540403,5929,5929
1514542563,5931,5931
1514544483,5940,5940
1514548322,5983,5983
1514552411,6003,6003
1514554563,6014,6014
1514558643,6009,6009
1514562483,6008,6008
1514566322,6032,6032
1514570163,6009,6009
1514572082,6035,6035
1514574242,6019,6019
1514576163,6035,6035
1514578084,5990,5990
1514580243,5971,5971
1514582163,5955,5955
1514588163,5943,5943
1514592483,5909,5909
1514594402,5938,5938
1514598483,5934,5934
1514602322,5890,5890
1514606163,5871,5871
1514610011,5893,5893
1514611923,5886,5886
1514615763,5892,5892
1514619603,5913,5913
1514623443,5947,5947
1514627284,5967,5967
1514629204,5958,5958
1514634963,5947,5947
1514637122,5992,5992
1514640964,6024,6024
1514644803,5992,5992
1514646722,6020,6020
1514650563,6007,6007
1514652483,6006,6006
1514658723,5989,5989
1514660883,5999,5999
1514662802,6024,6024
1514664962,5984,5984
1514668808,5979,5979
