DateTime,AddedIPs,RemovedIPs
1514141115,2,0
1514141715,6,0
1514142016,5,0
1514142915,11,3
1514143522,61,0
1514143818,61,0
1514144416,66,2
1514145015,62,2
1514146215,12,0
1514148016,1,0
1514149517,12,0
1514150717,44,0
1514151616,4,0
1514152216,1,0
1514153415,1,0
1514153716,1,0
1514154322,21,0
1514154915,1,0
1514155517,1,0
1514155815,1,0
1514156418,2,0
1514157315,1,0
1514157615,6,0
1514159114,1,0
1514159715,57,0
1514160317,1,0
1514162114,1,0
1514162415,3,0
1514165128,12,0
1514165416,3,0
1514166016,8,0
1514166919,43,3
1514169316,1,0
1514169615,1,0
1514170816,5,0
1514172016,7,0
1514172321,46,9
1514172916,1,0
1514173216,5,3
1514176514,6,0
1514176815,6,0
1514177414,7,0
1514178015,46,0
1514178615,3,0
1514180416,2,0
1514181616,16,0
1514182516,7,0
1514184016,1,0
1514184616,16,0
1514185217,9,3
1514186416,15,0
1514187617,1,0
1514188817,3,0
1514190017,12,0
1514190915,4,0
1514191515,2,3
1514192716,1,0
1514194816,6,0
1514196015,2,0
1514197215,10,0
1514197815,38,0
1514198115,7,0
1514199015,40,9
1514201132,7,0
1514202615,26,0
1514202915,9,0
1514204415,13,9
1514205016,3,0
1514205615,36,0
1514208016,2,0
1514209216,44,0
1514209815,52,0
1514210416,35,0
1514212816,4,0
1514214615,1,0
1514215519,40,0
1514216115,26,0
1514217015,50,3
1514220016,3,0
1514221215,44,0
1514223016,6,0
1514223916,74,3
1514224817,6,0
1514226615,5,0
1514229315,25,0
1514229916,18,0
1514230216,1,3
1514230815,7,0
1514231115,46,0
1514232015,1,0
1514233814,2,0
1514235015,32,0
1514235617,2,0
1514238915,7,0
1514239216,40,0
1514240115,112,0
1514241015,4,0
1514244915,6,0
1514246116,24,0
1514247616,7,3
1514292016,2,0
1514293216,1,0
1514298017,10,0
1514298330,239,6
1514298916,83,0
1514302815,3,7
1514303415,0,9
1514303716,0,5
1514304315,3,6
1514304616,0,6
1514304916,0,4
1514305216,0,1
1514308817,15,3
1514309415,64,0
1514309715,29,3
1514310015,63,0
1514310315,166,6
1514311216,22,0
1514311515,44,3
1514312114,1,0
1514312726,3,0
1514313315,1,0
1514313616,8,0
1514313916,5,0
1514314816,28,3
1514315115,3,0
1514315716,15,3
1514316320,1,0
1514316915,17,3
1514317216,1,0
1514317815,3,0
1514318416,8,0
1514319014,20,2
1514319617,46,3
1514320215,4,0
1514320515,60,3
1514320816,5,0
1514323815,10,0
1514325315,2,0
1514325616,1,0
1514326815,38,0
1514327119,1,0
1514327715,2,0
1514328915,1,0
1514330115,1,0
1514331916,2,0
1514332215,1,0
1514333415,35,0
1514336116,46,0
1514338216,16,0
1514339416,11,0
1514340017,4,0
1514340916,57,0
1514341216,2,0
1514345127,3,0
1514346015,4,0
1514346615,78,0
1514347216,13,0
1514348716,1,0
1514349016,4,0
1514350515,23,0
1514351716,135,0
1514352016,39,4
1514353516,11,6
1514354416,1,0
1514360716,46,3
1514361015,36,0
1514363715,10,0
1514364016,10,0
1514366416,54,6
1514367022,5,3
1514368516,3,0
1514371216,4,0
1514371816,9,0
1514372416,40,0
1514374220,1,0
1514376916,66,0
1514377516,45,12
1514378116,28,0
1514379917,1,0
1514381418,2,0
1514382618,101,0
1514383217,131,0
1514384115,1,0
1514384416,1,0
1514385316,32,3
1514386215,3,0
1514388615,93,0
1514389215,3,0
1514389515,24,3
1514390115,36,0
1514391918,3,0
1514392217,1,0
1514393415,6,0
1514394916,62,0
1514395815,60,3
1514397617,5,0
1514399715,16,0
1514400916,1,0
1514401815,2,0
1514403015,1,0
1514403917,50,0
1514404816,2,0
1514406617,2,0
1514409615,2,0
1514410816,25,0
1514411416,9,0
1514412016,1,0
1514412615,1,0
1514413816,44,0
1514414715,4,0
1514417715,1,0
1514418616,6,0
1514418916,22,0
1514419517,34,6
1514419815,95,3
1514420416,51,0
1514421015,43,0
1514421616,2,0
1514422215,2,0
1514422817,3,0
1514423115,2,0
1514423715,7,0
1514424015,5,0
1514424914,32,0
1514425216,11,0
1514426417,8,0
1514427615,35,6
1514428215,15,0
1514428516,2,0
1514429415,2,0
1514430615,1,0
1514431216,8,0
1514432116,1,0
1514432715,58,0
1514433315,9,0
1514433616,1,0
1514436014,3,0
1514436615,3,0
1514436915,1,0
1514437815,16,0
1514438416,3,0
1514439016,1,0
1514439616,42,0
1514440215,1,0
1514440817,1,0
1514443216,1,0
1514443816,2,0
1514444415,5,0
1514445615,2,0
1514446515,60,0
1514449815,5,0
1514450115,3,0
1514450415,14,0
1514451314,47,0
1514453714,1,0
1514454016,1,0
1514454615,3,0
1514455215,5,0
1514455815,9,0
1514456115,2,0
1514456415,1,0
1514456721,2,0
1514457016,2,1
1514457616,4,1
1514458218,54,3
1514458816,38,0
1514460016,4,0
1514460315,1,3
1514460915,7,0
1514461215,3,0
1514461514,22,0
1514461816,63,0
1514462117,32,0
1514462415,11,0
1514463015,12,3
1514463316,51,13
1514464514,12,0
1514465415,4,0
1514465716,45,3
1514466018,1,0
1514466615,12,0
1514467815,48,0
1514468415,31,0
1514469315,10,0
1514469914,51,0
1514470216,1,0
1514471714,1,0
1514472615,10,0
1514473815,77,0
1514474416,9,0
1514475315,8,0
1514475915,4,0
1514476515,3,1
1514476816,3,3
1514477115,63,3
1514477415,33,3
1514478317,28,0
1514478915,1,0
1514479514,1,0
1514481617,2,0
1514482215,2,0
1514482816,67,0
1514484316,31,6
1514484616,53,0
1514485215,6,0
1514486115,2,0
1514487616,2,0
1514488515,7,0
1514489115,6,0
1514489415,1,0
1514490015,3,0
1514490615,1,0
1514490915,3,0
1514491216,3,0
1514491815,6,0
1514492115,7,0
1514492416,3,0
1514492717,39,6
1514493315,47,3
1514494214,24,0
1514494516,1,0
1514496915,3,0
1514499616,14,0
1514500215,68,0
1514501415,2,0
1514502915,1,0
1514504114,1,0
1514505615,2,0
1514506515,31,0
1514507415,3,0
1514508015,1,0
1514508915,3,0
1514509219,50,0
1514509814,2,0
1514510416,14,0
1514510723,2,0
1514511315,6,3
1514511915,17,3
1514514316,18,0
1514515215,52,3
1514515815,9,0
1514518215,33,6
1514519415,13,0
1514520915,33,0
1514521216,11,0
1514522115,3,0
1514523915,3,0
1514525123,6,0
1514526016,8,0
1514526915,61,0
1514529915,1,0
1514531416,1,0
1514531716,1,3
1514533815,18,0
1514535015,7,0
1514535315,1,0
1514536816,4,0
1514537114,2,0
1514538015,57,0
1514538915,3,0
1514540416,3,3
1514541316,6,0
1514541915,8,0
1514543415,4,0
1514544016,28,0
1514544616,3,0
1514546416,1,0
1514547616,58,0
1514548215,10,0
1514549716,14,6
1514550017,9,0
1514550317,42,3
1514553615,107,0
1514553915,19,0
1514557217,15,0
1514558716,1,0
1514560217,1,0
1514562015,10,0
