DateTime,Entries,UniqueIPs
1507266314,302556,312136
1507270214,302541,312120
1507271414,302499,312054
1507272015,302495,312050
1507279215,302494,312049
1507281015,302493,312048
1507298114,302492,312047
1507299923,302491,312046
1507310416,302490,312045
1507317917,302489,312044
1507319116,302488,312043
1507394715,302499,312054
1507413617,302498,312053
1507451416,302490,312042
1507489215,302489,312041
1507495815,302488,312040
1507506914,302487,312039
1507532715,302486,312038
1507577415,302485,312037
1507584314,302484,312036
1507590915,302483,312035
1507615814,302481,312033
1507626616,302480,312032
1507633516,302479,312031
1507638315,302478,312030
1507656315,302477,312029
1507663519,302476,312028
1507674015,302475,312027
1507677616,302486,312038
1507677915,302494,312046
1507678515,302503,312055
1507678816,302513,312065
1507679115,302518,312070
1507679415,302537,312089
1507685416,302536,312088
1507692914,302535,312087
1507702515,302534,312086
1507711814,302533,312085
1507712115,302532,312084
1507712418,302530,312082
1507725615,302529,312081
1507726214,302526,312078
1507731315,302525,312077
1507750215,302524,312076
1507771815,302523,312075
1507800015,302522,312074
1507814114,302521,312073
1507821928,302520,312072
1507824919,302519,312071
1507842015,302518,312070
1507845316,302517,312069
1507857615,302526,312078
1507863314,302525,312077
1507885815,302524,312076
1507886114,302523,312075
1507894514,302522,312074
1507897815,302521,312073
1507917615,302520,312072
1507941015,302519,312071
1507970415,302518,312070
1507972515,302517,312069
1507977615,302516,312068
1507992316,302515,312067
1507995914,302514,312066
1508000714,302513,312065
1508002514,302512,312064
1508013615,302511,312063
1508013914,302510,312062
1508060714,302509,312061
1508075114,302520,312072
1508100618,302519,312071
1508111414,302518,312070
1508113514,302517,312069
1508120114,302516,312068
1508165714,302515,312067
1508190015,302513,312065
1508190615,302512,312064
1508193015,302511,312063
1508203816,302517,312070
1508243715,302516,312069
1508244016,302516,312068
1508247313,302515,312067
1508258715,302514,312066
1508259916,302513,312065
1508260214,302512,312064
1508261714,302511,312063
1508285415,302510,312062
1508318116,302509,312061
1508330114,302508,312060
1508334316,302506,312058
1508375715,302505,312057
1508379616,302504,312056
1508409915,302550,312103
1508410215,302569,312122
1508410515,302577,312130
1508416216,302587,312140
1508430614,302599,312152
1508450115,302598,312151
1508452516,302596,312149
1508452814,302595,312148
1508453115,302612,312165
1508454315,302806,312359
1508454615,302805,312358
1508459715,302804,312357
1508467516,302803,312356
1508484614,302823,312376
1508485516,302822,312375
1508490314,302821,312374
1508490616,302820,312373
1508509515,302819,312372
1508518214,302818,312371
1508524814,302836,312389
1508541014,302835,312388
1508542515,302847,312400
1508556615,302847,312399
1508574015,302844,312396
1508577015,302858,312410
1508580016,302863,312415
1508584215,302868,312420
1508598920,302878,312430
1508599520,302882,312434
1508603415,302884,312436
1508603715,302888,312440
1508605215,302894,312446
1508606719,302899,312451
1508609114,302901,312453
1508610014,302902,312454
1508614216,302906,312458
1508614515,302905,312457
1508616915,302906,312458
1508617216,302913,312465
1508623217,302918,312470
1508623515,302920,312472
1508624115,302921,312473
1508625015,302922,312474
1508625616,302923,312475
1508636715,302922,312474
1508637314,302921,312473
1508652016,302921,312472
1508658615,302920,312471
1508661015,302937,312488
1508684716,302946,312498
1508685316,302945,312497
1508687715,302944,312496
1508690715,302955,312507
1508696723,302954,312506
1508703615,302953,312505
1508712016,302960,312513
1508712616,302970,312523
1508712914,302972,312525
1508713814,303029,312582
