DateTime,AddedIPs,RemovedIPs
1514228716,13,0
1514229315,23,0
1514229916,36,0
1514230216,12,0
1514230815,38,0
1514231115,14,0
1514231417,13,0
1514231714,10,0
1514232016,10,0
1514232315,16,0
1514232615,21,0
1514233215,38,0
1514233814,25,0
1514234415,32,0
1514235015,53,0
1514235315,43,0
1514235617,64,0
1514236220,97,0
1514236515,193,0
1514236815,139,0
1514237125,9,0
1514237715,84,0
1514238315,59,0
1514238616,26,0
1514238915,7,0
1514239216,17,0
1514239515,14,0
1514240115,44,0
1514240416,12,0
1514241015,62,0
1514241616,87,0
1514242215,63,0
1514242515,20,0
1514242818,22,0
1514243415,16,0
1514244016,49,0
1514244316,4,0
1514244915,3,1
1514245514,9,0
1514246116,11,0
1514246416,1,0
1514246716,16,0
1514247016,11,0
1514247315,3,0
1514247616,7,0
1514247920,15,0
1514248216,8,0
1514248816,18,0
1514249415,14,0
1514249715,5,0
1514250017,8,0
1514250616,28,0
1514250915,21,0
1514251216,15,0
1514251519,8,0
1514251817,8,0
1514252115,8,0
1514252415,11,0
1514252716,14,0
1514253018,8,0
1514253616,21,0
1514253915,10,0
1514254515,16,0
1514254816,10,0
1514255415,10,0
1514256016,17,0
1514256316,1,0
1514256615,5,0
1514256914,11,0
1514257515,14,0
1514257814,18,0
1514258416,26,0
1514258721,9,0
1514259016,3,0
1514259315,18,0
1514259616,21,0
1514260215,30,0
1514260515,12,0
1514260817,15,0
1514261415,23,0
1514261715,14,0
1514262017,7,0
1514262327,7,0
1514262616,5,0
1514262916,13,0
1514263216,8,0
1514263516,5,0
1514264115,2,0
1514264417,1,0
1514264714,4,0
1514265315,24,0
1514265616,4,0
1514265916,18,0
1514266218,15,0
1514266514,27,0
1514266816,20,0
1514267116,12,0
1514267415,13,0
1514268016,30,0
1514268316,18,0
1514268915,33,0
1514269215,14,0
1514269815,15,0
1514270116,21,0
1514270416,10,0
1514270716,17,0
1514271016,12,0
1514271315,15,0
1514271616,16,0
1514271915,19,0
1514272516,25,0
1514273119,29,0
1514273418,15,0
1514273715,19,0
1514274017,11,0
1514274315,24,0
1514274915,39,0
1514275217,8,0
1514275516,18,0
1514275816,13,0
1514276415,18,0
1514277015,20,0
1514277615,38,0
1514277915,12,0
1514278217,2,0
1514278516,27,0
1514278816,18,0
1514279115,15,0
1514279414,12,0
1514279716,5,0
1514280016,5,0
1514280915,60,0
1514281216,26,0
1514281815,38,1
1514282115,7,0
1514282416,11,0
1514283020,40,0
1514283922,15,0
1514284516,26,0
1514285116,49,0
1514285415,7,0
1514286016,7,0
1514286316,13,0
1514286616,14,0
1514286915,13,0
1514287217,15,0
1514287818,39,0
1514288417,39,0
1514289016,37,0
1514289315,21,0
1514289616,14,0
1514289916,12,0
