DateTime,Entries,UniqueIPs
1508763044,39,10240
1508766788,40,10496
1508769023,41,10752
1508774062,35,8960
1508776224,34,8704
1508781357,33,8448
1508790635,34,8704
1508791875,33,8448
1508793308,32,8192
1508797836,31,7936
1508824305,32,8192
1508844640,28,7168
1508850906,27,6912
1508853624,26,6656
1508854507,25,6400
1508860481,30,7680
1508862623,29,7424
1508863950,30,7680
1508869823,29,7424
1508875253,30,7680
1508877028,29,7424
1508922036,28,7168
1508935988,31,7936
1508938219,32,8192
1508945428,28,7168
1508949023,26,6656
1508961048,25,6400
1509022295,23,5888
1509030907,22,5632
1509036772,25,6400
1509039025,26,6656
1509042623,25,6400
1509046229,26,6656
1509057031,27,6912
1509105083,36,9216
1509108750,37,9728
1509121829,38,9984
1509123112,35,9216
1509125419,34,8960
1509132626,33,8704
1509146106,32,8448
1509150635,33,8704
1509161434,34,8960
1509190237,27,7168
1509191471,28,7424
1509193837,27,7168
1509195154,24,6400
1509202356,32,8704
1509204620,33,8960
1509216993,34,9216
1509222629,35,9472
1509229831,35,9472
1509243306,34,9216
1509288690,32,8448
1509290108,31,8192
1509298225,30,7936
1509306939,31,8192
1509308105,30,7936
1509315306,29,7680
1509316230,30,7936
1509317513,31,8192
1509323434,32,8448
1509341434,31,8192
1509375149,26,6656
1509377456,25,6400
1509391858,24,6144
1509400327,23,5888
1509402656,22,5632
1509403897,25,6400
1509406225,26,6656
1509414966,27,6912
1509440460,35,8960
1509468790,36,9216
1509473760,37,9472
1509482708,38,9728
1509489064,35,8960
1509498020,34,8704
1509526268,27,6912
1509560170,26,6656
1509565835,25,6400
1509575437,24,6144
1509576665,30,7680
1509580224,29,7424
1509582621,28,7168
1509583791,29,7424
1509586225,28,7168
1509592576,29,7424
1509613254,30,7680
1509659494,32,8192
1509661818,28,7168
1509666683,29,7424
1509669022,28,7168
1509674090,29,7424
1509691894,31,7936
1509695159,32,8192
1509699179,31,7936
1509717042,32,8192
1509735127,33,8448
1509745903,30,7680
1509759022,29,7424
1509774308,28,7168
1509777005,26,6656
1509780658,25,6400
1509803453,24,6144
1509821456,23,5888
1509832351,27,6912
1509834619,28,7168
1509835540,27,6912
1509841841,26,6656
1509879034,27,6912
1509900686,30,7680
1509911146,31,7936
1509911413,32,8192
1509918659,29,7424
1509921941,29,7424
1509967828,28,7168
1509968999,33,8448
1509987018,30,7680
1509989437,31,7936
1509994216,32,8192
1509995751,31,7936
1509996623,32,8192
1509997826,31,7936
1510012243,32,8192
1510020906,31,7936
1510044617,32,8192
1510055119,30,7680
1510056918,29,7424
1510075820,27,6912
1510079416,25,6400
1510084296,30,7680
1510094992,31,7936
1510102620,33,8448
1510121707,32,8192
1510131013,31,7936
1510170702,24,6144
1510181445,27,6912
1510187420,26,6656
1510224647,32,8192
1510249775,33,8448
1510263019,34,8704
1510263938,35,8960
1510267781,33,8448
1510273818,32,8192
1510289399,36,9216
1510296577,37,9472
1510311187,33,8448
1510336253,32,8192
1510349437,31,7936
1510360234,32,8192
1510365002,31,7936
1510375813,26,6656
1510381844,27,6912
1510396249,26,6656
1510399853,25,6400
1510401760,24,6144
1510403450,23,5888
1510428658,22,5632
1510445722,25,6400
1510450252,26,6656
1510464636,27,6912
1510530309,24,6144
1510534932,27,6912
1510542908,26,6656
1510551022,25,6400
1510554635,26,6656
1510555510,25,6400
1510593329,26,6656
1510621431,29,7424
1510623021,30,7680
1510626618,29,7424
1510633821,30,7680
1510644645,29,7424
1510677910,28,7168
1510704066,33,8448
1510707173,31,7936
1510708510,30,7680
1510710665,31,7936
1510714680,32,8192
1510743176,34,8960
1510777824,35,9216
1510782631,36,9472
1510787765,30,7936
1510788632,31,8192
1510793472,30,7936
1510795825,29,7680
1510813842,30,7936
1510830070,26,6912
1510836311,25,6656
1510864245,24,6144
1510875006,23,5888
1510880823,27,7168
1510882242,28,7424
1510885846,28,7424
1510888121,30,7936
1510900255,29,7680
1510927871,30,7936
1510967244,30,7936
1510968642,29,7424
1510971271,28,7168
1510972251,29,7424
1510974556,28,7168
1510978171,29,7424
1510993843,28,7168
1511013902,27,6912
1511052312,22,5632
1511053224,28,7168
1511058654,27,6912
1511063110,26,6656
1511064022,27,6912
1511139014,32,8192
1511139651,27,6912
1511145034,28,7168
1511220825,36,9216
1511225119,39,9984
1511226918,35,8960
1511252444,39,10240
1511254804,41,11008
1511256074,41,11264
1511257509,40,11008
1511261116,41,11264
1511262914,42,11520
1511275520,41,11776
1511306134,39,11264
1511310603,35,10240
1511312403,34,9984
1511321402,33,9728
1511338837,28,7936
1511340336,26,7424
1511341205,25,7168
1511343937,25,6912
1511346603,25,6656
1511348403,24,6400
1511354737,23,6144
1511361938,22,5888
1511364049,28,7424
1511365526,29,7680
1511369120,28,7424
1511370928,32,8448
1511378133,35,9472
1511383532,36,9728
1511386203,35,9472
1511387134,36,9728
1511392841,37,9984
1511443803,44,11776
1511446879,45,12032
1511449203,42,11008
1511456402,39,10240
1511461803,40,10496
1511464856,38,9984
1511469930,37,9728
1511471737,38,9984
1511477139,39,10240
1511493681,40,10496
1511530202,26,6656
1511536558,25,6400
1511541003,24,6144
1511544602,33,8448
1511558132,34,8704
1511567154,35,8960
1511571603,37,9472
1511585139,36,9216
1511594447,35,8960
1511623587,39,10496
1511630130,36,9728
1511636402,35,9472
1511637726,36,9728
1511655839,37,9984
1511657138,35,9472
1511666142,34,9216
1511687738,35,9472
1511706074,37,9984
1511709717,32,8192
1511714724,33,8448
1511716869,31,7936
1511723723,30,7680
1511738139,31,7936
1511765139,30,7680
1511773205,29,7424
1511775003,28,7168
1511791204,25,6400
1511792477,29,7424
1511801127,27,6912
1511810134,28,7168
1511814114,27,6912
1511817645,28,7168
1511822736,29,7424
1511828154,30,7680
1511878884,26,6656
1511882607,33,8448
1511887528,34,8704
1511896892,35,8960
1511910003,33,8448
1511962203,36,9216
1511967604,31,7936
1511973269,30,7680
1511982931,29,7424
1511986996,28,7168
1511988337,28,7168
1511995708,29,7424
1511998204,28,7168
1512007204,29,7424
1512032406,28,7168
1512048939,24,6144
1512055398,27,6912
1512061204,26,6656
1512074739,25,6400
1512092739,24,6144
1512138357,29,7680
1512141331,28,7424
1512161182,29,7680
1512169203,28,7424
1512181369,29,7680
1512224545,26,6912
1512225003,26,6656
1512227743,25,6400
1512228636,29,7424
1512231328,30,7680
1512234927,29,7424
1512236082,30,7680
1512238965,31,7936
1512240328,32,8192
1512247536,32,8192
1512249743,33,8448
1512254735,34,8704
1512257404,33,8448
1512292547,32,8192
1512315003,29,7424
1512316805,28,7168
1512322204,27,6912
1512325983,31,7936
1512327606,29,7424
1512334805,27,6912
1512340203,26,6656
1512343390,28,7168
1512347404,27,6912
1512380736,28,7168
1512394018,34,8704
1512405929,35,8960
1512413129,33,8448
1512421205,32,8192
1512427533,33,8448
1512429752,31,7936
1512435603,30,7680
1512467138,29,7424
1512480201,24,6144
1512485137,23,5888
1512491404,22,5632
1512495004,32,8192
1512497720,33,8448
1512501774,34,8704
1512503121,35,8960
1512506728,37,9472
1512508530,36,9216
1512515739,35,8960
1512580535,28,7168
1512581530,39,9984
1512589521,38,9728
1512602124,36,9216
1512606604,35,8960
1512613804,34,8704
1512628204,33,8448
1512653220,36,9472
1512668725,28,7424
1512674125,27,7168
1512678604,26,6912
1512679528,27,7168
1512688949,28,7424
1512694805,27,7168
1512695742,28,7424
1512739530,24,6400
1512753712,23,6144
1512757832,27,7168
1512765097,27,6912
1512774910,26,6656
1512782110,25,6400
1512801933,26,6656
1512832534,27,6912
1512837005,32,8192
1512843329,33,8448
1512869004,33,8448
1512915862,39,10240
1512922527,30,7936
1512924325,29,7680
1512933331,30,7936
1512945933,29,7680
1512954005,30,7936
1512967547,31,8192
1513002293,26,6912
1513009805,24,6400
1513013088,29,7680
1513025130,30,7936
1513034133,31,8192
1513039540,31,7936
1513041341,32,8192
1513062005,30,7680
1513099450,23,5888
1513100741,24,6144
1513106683,28,7168
1513111532,27,6912
1513119608,26,6656
1513125933,27,6912
1513193081,21,5376
1513211127,28,7168
1513211406,27,6912
1513212317,29,7424
1513297464,22,5632
1513301407,25,6400
1513302313,24,6144
1513316715,25,6400
1513320316,26,6656
1513363531,29,7424
1513367118,30,7680
1513387341,27,6912
1513459807,23,5888
1513467910,22,5632
1513484347,27,6912
1513485539,29,7424
1513487793,30,7680
1513498508,31,7936
1513512909,32,8192
1513538118,33,8448
1513555217,29,7424
1513561516,30,7680
1513571406,25,6400
1513574529,24,6144
1513601116,22,5632
1513604715,23,5888
1513618207,26,6656
1513623611,25,6400
1513646518,26,6656
1513647006,25,6400
1513711807,24,6144
1513731609,20,5120
1513732894,25,6400
1513734307,28,7168
1513758162,33,8448
1513763107,34,8704
1513818010,33,8448
1513820708,30,7680
1513844116,25,6400
1513846819,23,5888
1513869316,22,5632
1513874714,21,5376
1513887321,20,5120
1513905677,24,6144
1513910715,25,6400
1513984967,28,7424
1513990813,27,7168
1513993517,30,7936
1514007919,29,7680
1514071302,24,6400
1514072719,23,5888
1514078492,29,7424
1514079008,28,7168
1514079916,30,7680
1514083514,31,7936
1514099716,30,7680
1514142012,29,7424
1514159115,30,7680
1514164955,28,7168
1514165409,26,6656
1514167213,27,6912
1514241008,31,7936
1514244609,30,7680
1514251301,26,6656
1514284210,30,7680
1514301307,31,7936
1514328309,32,8192
1514337310,30,7680
1514343612,29,7424
1514351714,28,7168
1514369710,23,5888
1514373314,22,5632
1514387710,21,5376
1514414714,20,5120
1514424609,24,6144
1514425509,25,6400
1514510112,21,5376
1514510475,24,6400
1514511009,23,6144
1514511909,28,7424
1514513706,29,7680
1514515509,33,8704
1514533508,34,8960
1514544308,35,9216
1514546473,38,9984
1514596885,35,9216
1514598306,33,8448
1514601019,31,7936
1514625324,30,7680
1514629823,29,7424
1514633422,21,5376
1514640104,22,5632
1514645126,21,5376
1514683304,24,6144
1514708461,26,6912
1514709912,27,7168
1514713511,28,7424
1514715311,29,7680
