DateTime,AddedIPs,RemovedIPs
1504760453,0,256
1504796265,512,0
1504803147,0,512
1504807227,512,0
1504810834,256,0
1504879253,0,768
1504890907,0,256
1504899025,256,0
1504964707,0,256
1504965640,256,0
1504970672,0,256
1505045221,768,0
1505067309,256,0
1505069107,0,512
1505079025,256,0
1505138430,512,0
1505142907,0,512
1505143818,256,0
1505163653,0,256
1505176223,0,256
1505224831,512,0
1505240108,0,256
1505248225,0,256
1505311241,256,0
1505318430,0,256
1505325639,256,0
1505335509,0,256
1505412931,256,512
1505417983,0,256
1505429110,0,0
1505430937,0,0
1505433664,256,0
1505491248,256,0
1505496404,256,0
1505503371,256,0
1505512849,256,0
1505566846,768,0
1505570437,0,1024
1505583425,256,0
1505590462,512,0
1505648706,0,256
1505667632,256,256
1505678470,0,256
1505694565,256,0
1505743250,0,256
1505828708,0,256
1505829653,768,0
1505853006,256,0
1505915109,0,256
1505919636,512,0
1506005110,0,256
1506014111,1280,0
1506018620,256,0
1506024922,0,256
1506035822,256,0
1506092444,256,0
1506096045,0,768
1506117658,0,256
1506129348,0,256
1506139262,256,0
1506170708,0,256
1506172546,0,256
1506176130,512,0
1506187361,0,256
1506191406,0,256
1506193246,256,0
1506195010,0,512
1506265244,256,0
1506271507,0,512
1506277823,256,0
1506288623,0,256
1506347109,0,512
1506354309,0,256
1506362440,256,0
1506364006,256,0
1506373270,256,0
1506384059,0,256
1506433510,0,256
1506435350,768,0
1506436226,256,0
1506457834,0,256
1506459672,256,0
1506523506,0,256
1506528048,256,0
1506537471,512,0
1506618045,0,512
1506687326,512,0
1506780908,256,512
1506798385,0,256
1506801704,256,0
1506844247,0,256
1506858651,256,0
1506870015,0,512
1506888041,0,256
1506927151,512,0
1506933018,256,0
1506934316,256,0
1506951030,256,0
1506961835,256,0
1506970818,0,256
1507039221,0,512
1507060245,768,0
1507066231,0,256
1507078521,256,0
1507094106,0,256
1507129224,256,0
1507131025,256,0
1507132389,0,512
1507148107,0,256
1507159830,256,0
1507164707,0,256
1507215011,256,0
1507222805,0,512
1507242622,0,256
1507305149,256,0
1507307419,256,0
1507317306,0,256
1507329028,0,256
1507384306,768,0
1507384820,0,512
1507415426,256,0
1507422630,256,0
1507463372,0,512
1507474247,768,0
1507483823,256,0
1507501823,256,0
1507509033,256,0
1507531864,0,512
1507537829,0,256
1507541431,0,256
1507551307,0,256
1507566630,0,256
1507568054,256,0
1507571108,0,256
1507573821,256,0
1507577425,256,0
1507581026,256,0
1507639842,256,0
1507665096,0,512
1507667429,256,0
1507733515,0,256
1507780264,256,0
1507811433,256,0
1507816304,2304,0
1507818620,256,0
1507819937,0,768
1507910428,0,256
1507912237,0,256
1507913452,256,0
1507916708,0,256
1507924849,256,0
1507941035,256,0
1507989174,0,256
1507992660,1536,0
1507996320,256,0
1508002224,256,0
1508003466,256,0
1508005822,256,0
1508013027,256,0
1508020232,0,256
1508021477,256,0
1508077833,0,512
1508084106,768,0
1508098506,0,256
1508099415,256,0
1508106627,0,256
1508110225,0,256
1508154743,0,256
1508158284,256,0
1508172669,0,256
