DateTime,AddedIPs,RemovedIPs
1508653838,512,512
1508655060,256,256
1508662361,256,256
1508666421,256,256
1508669618,256,256
1508671836,256,256
1508687468,2304,2304
1508689824,256,256
1508691195,256,256
1508695206,512,512
1508705515,256,256
1508707823,256,256
1508711429,256,256
1508725835,256,256
1508736636,256,256
1508759600,1536,1536
1508761822,256,256
1508763044,256,256
1508765423,256,256
1508766788,256,256
1508769023,256,256
1508774062,256,256
1508776224,256,256
1508777482,256,256
1508783430,256,256
1508790635,256,256
1508824305,256,256
1508835699,256,256
1508860481,1536,1536
1508862623,256,256
1508863950,256,256
1508875253,256,256
1508877028,256,256
1508884229,256,256
1508905836,256,256
1508932402,256,256
1508935988,1024,1024
1508938219,256,256
1508945428,256,256
1508956228,256,256
1508974234,256,256
1509036772,1024,1024
1509039025,256,256
1509046229,256,256
1509057031,256,256
1509060628,256,256
1509105083,2560,2560
1509107418,256,256
1509108750,768,768
1509121829,256,256
1509125419,256,256
1509126651,256,256
1509143432,256,256
1509150635,256,256
1509151907,256,256
1509157833,256,256
1509161434,256,256
1509191471,256,256
1509202356,2816,2816
1509204620,512,512
1509208219,256,256
1509209499,256,256
1509213107,256,256
1509216993,256,256
1509222629,768,768
1509229831,512,512
1509255035,256,256
1509288690,2048,2048
1509291023,256,256
1509294622,256,256
1509295884,256,256
1509301821,256,256
1509306939,256,256
1509311706,256,256
1509313881,256,256
1509316230,256,256
1509317513,256,256
1509323434,256,256
1509324672,256,256
1509328268,256,256
1509330633,256,256
1509341434,256,256
1509353632,256,256
1509384653,256,256
1509385907,256,256
1509403897,1280,1280
1509406225,256,256
1509409821,256,256
1509412559,256,256
1509414966,256,256
1509440460,2048,2048
1509468790,256,256
1509473760,256,256
1509479508,256,256
1509482708,256,256
1509489064,512,512
1509494424,768,768
1509496270,256,256
1509499831,256,256
1509576665,1792,1792
1509583791,256,256
1509592576,256,256
1509613254,256,256
1509659494,1024,1024
1509661818,768,768
1509665417,256,256
1509666683,256,256
1509672628,512,512
1509674090,256,256
1509676221,256,256
1509688252,256,256
1509691894,1024,1024
1509695159,256,256
1509717042,256,256
1509735127,768,768
1509750906,256,256
1509756655,256,256
1509763818,256,256
1509832351,1280,1280
1509834619,256,256
1509835850,256,256
1509879034,256,256
1509881436,256,256
1509882678,256,256
1509900686,1280,1280
1509911146,256,256
1509911413,512,512
1509916543,256,256
1509921941,512,512
1509935447,256,256
1509968999,1536,1536
1509971426,256,256
1509989437,512,512
1509994216,768,768
1509996623,256,256
1510011024,256,256
1510012243,256,256
1510019388,256,256
1510036228,256,256
1510039852,256,256
1510044617,256,256
1510084296,2048,2048
1510094992,512,512
1510102620,512,512
1510181445,1280,1280
1510187420,256,256
1510210196,256,256
1510211746,256,256
1510224647,1792,1792
1510249775,256,256
1510259420,256,256
1510263019,512,512
1510263938,256,256
1510278568,256,256
1510289399,2048,2048
1510296577,512,512
1510299046,256,256
1510300331,256,256
1510306220,256,256
1510307408,256,256
1510309829,256,256
1510311187,256,256
1510313426,256,256
1510314607,256,256
1510317033,256,256
1510318251,256,256
1510342233,256,256
1510360234,256,256
1510381844,256,256
1510445722,1280,1280
1510450252,256,256
1510452957,256,256
1510455752,256,256
1510464636,256,256
1510470194,256,256
1510534932,1024,1024
1510540218,256,256
1510554635,256,256
1510558238,256,256
1510593329,256,256
1510621431,1536,1536
1510623021,256,256
1510633821,256,256
1510686911,256,256
1510687857,256,256
1510691434,256,256
1510704066,2048,2048
1510707173,512,512
1510710665,256,256
1510714680,512,512
1510743176,1536,1536
1510750250,256,256
1510756237,256,256
1510770617,256,256
1510777824,512,512
1510782631,256,256
1510788632,256,256
1510793472,256,256
1510795825,256,256
1510799433,256,256
1510810236,256,256
1510811424,256,256
1510813842,256,256
1510880823,1280,1280
1510882242,512,512
1510885846,256,256
1510888121,512,512
1510909566,256,256
1510927871,256,256
1510967244,1280,1280
1510972251,256,256
1510978171,256,256
1511053224,1536,1536
1511064022,256,256
1511139014,1792,1792
1511145034,256,256
1511171434,256,256
1511220825,2560,2560
1511225119,1280,1280
1511226918,512,512
1511235914,256,256
1511252444,2304,2304
1511254804,768,768
1511256074,256,256
1511257509,256,256
1511259314,256,256
1511261116,256,256
1511262914,512,512
1511264717,256,256
1511269203,256,256
1511275520,256,256
1511282725,256,256
1511299227,256,256
1511300733,256,256
1511364049,1792,1792
1511365526,256,256
1511367674,256,256
1511369120,512,512
1511370928,1024,1024
1511372721,256,256
1511378133,1280,1280
1511383532,256,256
1511387134,256,256
1511392841,256,256
1511443803,3840,3840
1511446879,256,256
1511450463,256,256
1511456402,256,256
1511461803,256,256
1511471737,256,256
1511477139,256,256
1511493681,256,256
1511495142,256,256
1511498742,256,256
1511507745,256,256
1511544602,2816,2816
1511550937,256,256
1511558132,256,256
1511567154,256,256
1511568474,256,256
1511571603,512,512
1511579751,256,256
1511623587,3072,3072
1511628314,256,256
1511630130,512,512
1511635525,256,256
1511637726,512,512
1511652117,256,256
1511655839,256,256
1511658937,256,256
1511660128,256,256
1511662541,256,256
1511678738,256,256
1511687738,256,256
1511689539,256,256
1511706074,1280,1280
1511709717,256,256
1511714724,256,256
1511716869,512,512
1511727667,256,256
1511729134,256,256
1511738139,256,256
1511792477,1280,1280
1511810134,256,256
1511815533,256,256
1511817645,256,256
1511822736,256,256
1511824539,512,512
1511828154,256,256
1511873143,256,256
1511882607,2560,2560
1511887528,256,256
1511889325,256,256
1511892926,256,256
1511896892,512,512
1511900129,256,256
1511901930,256,256
1511911375,256,256
1511946945,256,256
1511962203,1280,1280
1511976135,256,256
1511988337,256,256
1511995708,256,256
1511999139,256,256
1512007204,256,256
1512055398,1024,1024
1512062128,256,256
1512076531,256,256
1512083731,256,256
1512138357,1792,1792
1512139520,256,256
1512141331,256,256
1512148528,256,256
1512149810,256,256
1512152627,256,256
1512153033,256,256
1512153930,256,256
1512156175,256,256
1512161182,256,256
1512167041,256,256
1512170139,256,256
1512181369,256,256
1512206140,256,256
1512228636,1280,1280
1512231328,256,256
1512236082,256,256
1512238965,256,256
1512240328,256,256
1512242130,512,512
1512245732,256,256
