DateTime,AddedIPs,RemovedIPs
1510971124,467,497
1510978804,607,549
1510986483,438,460
1510994163,350,348
1511001842,259,245
1511007843,198,203
1511015523,166,152
1511023203,182,180
1511030882,197,197
1511038562,128,130
1511046242,79,80
1511050084,884,897
1511057763,433,472
1511065442,608,555
1511073364,453,452
1511081043,376,388
1511088963,304,292
1511096642,192,205
1511100483,170,165
1511108163,172,179
1511115843,137,133
1511123762,167,155
1511131684,132,131
1511139364,887,901
1511143444,478,526
1511151123,641,613
1511158803,507,497
1511166483,368,363
1511174162,276,261
1511183763,880,886
1511187603,882,878
1511223603,685,895
1511227444,264,65
1511231283,539,557
1511238963,595,608
1511246643,484,458
1511254323,58,62
1511262008,39,41
1511269923,12,15
1511274003,16,18
1511281684,7,4
1511289604,13,12
1511297282,5,5
1511304964,3,3
1511312883,888,868
1511320566,867,887
1511328244,151,147
1511335924,66,60
1511343603,35,44
1511351283,18,19
1511358964,9,9
1511366645,15,15
1511374323,16,15
1511382002,6,7
1511389682,2,2
1511393524,10,14
1511405043,556,563
1511412723,495,485
1511420412,30,27
1511428082,28,24
1511435763,34,38
1511443444,19,20
1511451124,22,25
1511456645,12,13
1511464563,9,10
1511472244,8,8
1511479924,6,6
1511483764,679,868
1511491443,848,679
1511499122,252,236
1511506805,41,36
1511514483,22,22
1511518323,37,37
1511526496,24,22
1511534164,12,12
1511541845,8,11
1511549523,9,10
1511557209,2,4
1511564884,69,63
1511568722,403,871
1511576403,869,403
1511584083,56,62
1511591763,246,226
1511599443,46,48
1511607123,32,35
1511614808,16,15
1511618642,9,10
1511630162,3,5
1511634003,5,6
1511641682,11,10
1511649363,7,6
1511657042,477,877
1511664722,874,477
1511672410,501,500
1511676242,31,27
1511683923,48,51
1511691612,26,29
1511699523,13,13
1511707203,31,26
1511714882,13,13
1511722564,15,13
1511730243,10,11
1511737923,4,5
1511741762,896,878
1511749444,873,896
1511757123,430,429
1511764803,128,129
1511772482,25,26
1511780413,32,32
1511788323,35,33
1511792162,24,22
1511799844,10,9
1511808003,7,8
1511815682,7,8
1511823364,10,9
1511827423,816,876
1511835123,867,816
1511842803,386,383
1511850483,86,76
1511858163,78,74
1511866564,27,27
1511874242,11,15
1511881923,11,10
1511889603,9,9
1511893443,6,7
1511901123,6,7
1511908803,7,8
1511913611,297,878
1511921282,855,297
1511928963,527,513
1511936644,216,212
1511944324,35,32
1511952002,5,7
1511959683,26,26
1511967364,5,5
1511975042,20,21
1511978882,13,11
1511986562,7,10
1511994245,8,9
1512002883,1,871
1512010564,855,0
1512018243,571,542
1512025923,143,148
1512033603,22,20
1512041283,44,42
1512048963,41,43
1512052803,12,11
1512060724,16,17
1512068643,5,8
1512076564,5,4
1512084243,7,8
1512088084,384,879
1512095764,868,383
1512103443,515,519
1512111364,308,301
1512119044,377,362
1512122883,33,36
1512130804,25,26
1512138484,8,8
1512146404,9,9
1512154084,6,7
1512162011,10,11
1512169924,2,2
1512174003,1,881
1512181682,895,1
1512189362,758,784
1512197043,96,83
1512204723,64,60
1512212415,13,13
1512220083,30,27
1512223923,29,31
1512231843,7,6
1512239523,9,10
1512247203,14,12
1512254882,4,5
1512262809,2,888
1512266644,882,2
1512274326,456,466
1512282003,435,434
1512289684,90,82
1512297364,25,25
1512305043,53,51
1512312964,49,46
1512320642,24,22
1512324484,15,14
1512332162,11,13
1512339843,10,10
1512351603,179,791
1512359283,762,158
1512366964,159,143
1512374643,66,61
1512382323,10,8
1512390244,32,33
1512397922,14,15
1512401766,17,20
1512409443,13,12
1512417605,12,11
1512425284,4,5
1512433203,6,898
1512440884,875,6
1512448564,457,457
1512456243,213,217
1512463923,53,52
1512471611,93,88
1512475682,41,40
1512483363,14,10
1512491044,15,16
1512498964,11,10
1512506643,7,8
1512514564,86,80
1512522243,3,886
1512529923,874,1
1512537603,433,444
1512545283,317,316
1512552964,368,352
1512556803,40,41
1512564483,93,82
1512572163,36,35
1512579844,15,13
1512589443,20,18
1512602410,18,19
1512617764,601,619
1512621603,349,350
1512629283,398,383
1512636964,26,23
1512644642,78,76
1512652324,16,13
1512660003,19,23
1512669124,16,14
1512672964,7,7
1512680643,6,5
1512689286,12,15
1512697445,5,896
1512701282,867,0
1512708963,570,571
1512716644,128,127
1512724324,100,95
1512732242,51,48
1512740164,21,21
1512748084,43,39
1512751923,3,4
1512759605,7,5
1512767524,4,4
1512775923,4,4
1512787443,1,886
1512795123,888,0
1512802808,367,387
1512806643,496,496
1512818163,244,230
1512822015,90,89
1512829686,110,99
1512837602,36,33
1512845284,11,14
1512852963,18,19
1512860644,4,5
1512868323,8,890
1512876245,670,0
1512883924,503,321
1512891604,203,213
1512899283,523,490
1512903122,223,215
1512911042,66,67
1512918723,27,25
1512926403,17,18
1512934564,30,28
1512942243,20,20
1512949923,11,12
1512954009,8,895
1512961683,874,0
1512969364,644,655
1512977044,456,441
1512984725,163,154
1512992644,124,124
1512996483,63,67
1513004412,48,50
1513012083,37,42
1513021683,24,24
1513029363,23,27
1513033210,11,9
1513040883,14,882
1513048565,799,0
1513056245,405,355
1513063924,642,650
1513071606,384,361
1513079285,72,76
1513083123,85,95
1513090811,97,92
1513098723,89,89
1513106403,44,46
1513114083,18,20
1513121764,30,29
1513129444,1,866
1513137363,862,0
1513145284,411,407
1513149124,181,183
1513156803,101,95
1513164484,87,80
1513172165,46,44
1513180084,30,32
1513187764,28,25
1513195683,19,18
1513203365,11,10
1513218965,6,880
1513222802,872,0
1513226646,817,819
1513234323,211,212
1513242007,116,105
1513249923,54,58
1513257603,25,25
1513265284,15,14
1513273203,19,18
1513280884,6,6
1513289524,10,12
1513293364,8,11
1513301524,0,881
1513309204,869,0
1513320723,543,545
1513324564,132,127
1513332244,106,96
1513339925,39,42
1513344004,46,46
1513351925,1,1
1513359844,1,2
1513375683,1,1
1513387444,2,877
1513395124,561,0
1513402803,386,82
1513406885,333,337
1513415042,90,90
1513422724,444,434
1513430403,61,58
1513438325,35,34
1513446244,72,76
1513450083,7,7
1513457764,5,5
1513465444,7,6
1513487043,872,871
1513494724,250,251
1513498563,764,761
1513506244,240,239
1513513923,101,101
1513521603,26,30
1513529283,17,16
1513537207,27,24
1513544883,11,10
1513552564,3,2
1513560243,3,881
1513567922,153,0
1513575603,820,97
1513583282,392,400
1513590964,287,277
1513598883,61,62
1513606802,7,8
1513610644,20,17
1513618563,2,3
1513626243,8,9
1513633922,10,12
1513641607,6,879
1513649285,183,0
1513656965,684,18
1513664643,643,627
1513672565,313,316
1513680243,176,185
1513687924,228,221
1513695844,23,17
1513699683,21,20
1513707363,17,23
1513715285,37,34
1513722963,36,35
1513738564,586,585
1513746244,427,447
1513753924,330,324
1513761843,110,96
1513770002,25,26
1513773844,6,6
1513781523,1,0
1513789212,3,4
1513796884,18,18
1513804563,10,8
1513812485,4,3
