DateTime,AddedIPs,RemovedIPs
1514233697,22,7
1514234676,20,3
1514235636,14,2
1514236583,16,2
1514237560,7,0
1514238748,27,0
1514239449,51,50
1514239704,78,0
1514240681,20,2
1514241618,15,3
1514242587,27,0
1514243560,54,9
1514244503,23,3
1514245469,26,3
1514246438,27,3
1514247381,34,5
1514248365,17,0
1514249296,27,0
1514250279,21,2
1514251223,25,0
1514252186,31,0
1514253160,25,0
1514254104,33,0
1514255057,26,0
1514256030,29,0
1514256983,41,26
1514257968,45,5
1514258897,30,1
1514259871,28,0
1514260832,49,0
1514261799,114,64
1514262750,31,9
1514263707,26,3
1514264660,45,0
1514265636,32,0
1514266575,14,3
1514267569,40,0
1514268494,18,1
1514269471,16,0
1514270428,37,7
1514271388,33,5
1514272356,31,3
1514273553,32,8
1514274508,56,24
1514275460,31,0
1514276667,25,41
1514277640,31,10
1514278587,26,12
1514279540,24,9
1514280519,26,10
1514281468,26,11
1514282420,19,2
1514283400,36,3
1514284613,24,0
1514285564,31,6
1514286494,29,19
1514287469,32,26
1514288437,30,113
1514289390,41,87
1514290362,35,86
1514291296,32,62
1514292270,26,10
1514293235,24,3
1514294177,27,5
1514295160,34,2
1514296110,32,0
1514297094,29,1
1514298537,27,5
1514299461,25,3
1514300445,16,3
1514301392,20,0
1514302359,21,6
1514303309,22,0
1514304285,26,0
1514305216,23,0
1514306204,15,0
1514307146,26,0
1514308114,20,3
1514309057,870,1834
1514310022,29,5
1514310988,20,3
1514312207,50,2
1514312889,29,22
1514313137,25,2
1514314127,28,3
1514315344,33,0
1514316521,33,4
1514317472,23,6
1514318435,38,5
1514319643,30,2
1514320598,13,0
1514321551,36,1
1514322516,28,2
1514323470,26,5
1514324443,14,0
1514324908,48,23
1514325392,32,4
1514326364,82,4
1514327313,35,5
1514328256,14,2
1514328727,20,0
1514329238,45,149
1514330202,110,100
1514331154,43,116
1514332357,55,145
1514333456,45,157
1514334756,50,115
1514335665,28,30
1514336932,32,3
1514338130,42,0
1514339096,31,0
1514340031,37,0
1514341024,28,2
1514341947,29,0
1514342927,40,1
1514343863,53,4
1514344939,36,1
1514346280,48,3
1514347245,34,0
1514348209,111,88
1514349159,35,4
1514350116,27,1
1514351067,25,1
1514352034,37,7
1514352994,21,1
1514354437,51,0
1514355376,21,6
1514356357,43,1
1514357311,41,97
1514358263,32,0
1514359217,49,180
1514360201,48,392
1514361135,28,0
1514362114,44,340
1514363057,28,0
1514364017,31,136
1514364992,25,63
1514365939,36,3
1514366912,22,28
1514368119,35,2
1514369068,21,0
1514370016,19,3
1514371181,30,0
1514372449,42,0
1514373407,19,0
1514374364,43,3
1514375569,38,3
1514376570,19,0
1514377743,38,2
1514378687,24,0
1514379659,36,2
1514380615,15,0
1514381570,26,3
1514382500,23,3
1514383713,30,0
1514384673,25,5
1514385891,32,3
1514386823,28,0
1514387807,18,0
1514388756,23,3
1514389723,26,0
1514390666,27,2
1514391618,35,3
1514392601,25,0
1514393567,28,0
1514394508,19,0
1514395460,1297,1994
1514395941,33,20
1514396425,14,0
1514398176,49,7
1514399300,30,1
1514400278,20,1
1514401223,31,1
1514402212,25,4
1514403159,40,3
1514404118,22,21
1514405066,32,22
1514406045,21,3
1514406999,25,11
1514407953,47,63
1514408896,27,76
1514410129,43,89
1514411073,34,82
1514411534,62,70
1514412062,29,56
1514412999,86,77
1514413957,24,55
1514414908,36,2
1514415374,24,26
1514415885,28,3
1514416820,17,2
1514417913,18,0
1514419011,36,0
1514419954,39,0
1514420901,26,2
1514421867,31,14
1514422843,34,3
1514423805,23,0
1514424759,23,5
1514425973,38,0
1514426917,12,5
1514427865,28,2
1514428814,30,0
1514429802,32,16
1514430736,30,49
1514431721,30,146
1514432673,27,165
1514433883,57,323
1514434839,122,178
1514435781,25,3
1514437022,34,42
1514437946,45,15
1514438900,39,13
1514439866,27,0
1514440838,26,8
1514441791,46,9
1514442774,77,33
1514443715,40,22
1514444673,52,34
1514445633,31,0
1514446601,36,13
1514447548,27,4
1514448496,40,2
1514449491,34,6
1514450424,34,0
1514451372,22,2
1514452364,24,0
1514453295,10,5
1514454257,31,0
1514455246,45,1
1514456209,26,2
1514457140,22,5
1514458119,44,0
1514459306,49,0
1514460537,28,0
1514461456,28,3
1514462438,52,0
1514463404,21,5
1514464623,40,3
1514465788,34,0
1514466736,23,0
1514467718,29,3
1514468911,30,3
1514469941,31,2
1514471097,57,1
1514472040,30,3
1514472983,44,0
1514473940,35,4
1514474918,26,3
1514476143,49,3
1514477062,34,0
1514478044,47,3
1514478994,25,3
1514479957,21,0
1514480896,26,5
1514481860,927,1445
1514482336,25,12
1514482827,33,0
1514483796,24,13
1514484785,29,11
1514485735,24,14
1514486693,29,11
1514487725,32,8
1514488628,30,5
1514489552,37,17
1514490505,22,7
1514491484,28,3
1514492413,19,3
1514493402,36,6
1514494335,29,0
1514495334,20,0
1514496259,28,3
1514497215,30,9
1514497698,67,38
1514498187,28,3
1514499137,63,2
1514500126,37,5
1514501060,15,3
1514501532,25,22
1514502044,40,0
1514503076,27,10
1514504074,38,1
1514505159,45,4
1514506122,30,10
1514507069,19,8
1514508018,43,7
1514508993,33,6
1514509951,30,5
1514510910,25,7
1514511871,27,2
1514512840,47,3
1514513779,20,1
1514514776,33,1
1514515699,35,3
1514516668,31,16
1514517620,12,2
1514518612,36,4
1514519536,31,0
1514520512,51,0
1514521464,139,78
1514522693,38,0
1514523624,41,1
1514524604,58,131
1514525538,30,1
1514526519,42,161
1514527461,34,0
1514528421,32,133
1514529412,49,21
1514530360,27,0
1514531293,35,0
1514532285,29,0
1514533231,45,0
1514534215,36,0
1514535406,24,0
1514536349,21,0
1514537304,25,3
1514538839,37,2
1514539907,22,0
1514540923,49,0
1514542124,44,0
1514543098,34,2
1514544013,28,0
1514544989,26,0
1514545968,28,0
1514546936,26,0
1514547859,23,0
1514548857,25,0
1514550066,31,2
1514551005,18,0
1514551938,31,3
1514552918,39,3
1514554131,30,3
1514555059,30,4
1514556269,34,0
1514557212,37,6
1514558196,33,6
1514559152,34,0
1514560096,28,6
1514561072,19,3
1514562535,32,3
1514563461,34,3
1514564439,26,3
1514565395,23,3
1514566360,41,22
1514567320,46,134
1514568267,815,2706
1514569485,42,236
1514570670,38,123
1514571619,46,99
1514572602,26,46
1514573793,32,0
1514574755,34,0
1514575708,27,4
1514576925,31,5
1514577860,29,0
1514579332,48,5
1514580294,21,0
1514581234,30,0
1514582208,24,0
1514583157,50,22
1514584120,29,1
1514585304,39,0
1514586258,25,0
1514587234,71,49
1514588197,25,1
1514589399,25,3
1514590599,34,3
1514591545,18,2
1514592512,19,7
1514593461,23,0
1514594419,24,0
1514595412,22,0
1514596618,26,6
1514597552,33,3
1514598506,19,0
1514599464,29,1
1514600448,22,43
1514601400,24,27
1514602361,32,28
1514603299,18,18
1514604289,34,20
1514605213,18,14
1514606197,27,0
1514607150,76,64
1514608109,24,0
1514609070,23,0
1514610044,27,0
1514610993,31,6
1514611982,27,0
1514612910,28,0
1514613872,20,3
1514614812,29,0
1514615809,20,0
1514616736,21,0
1514617722,22,0
1514618658,29,5
1514619615,30,0
1514620596,25,0
1514621549,20,0
1514622493,7,0
1514623482,50,0
1514624422,22,0
1514625399,20,3
1514626351,34,6
1514627318,22,0
1514628263,28,0
1514629238,32,2
1514630193,26,1
1514631158,42,1
1514632118,28,38
1514633063,31,52
1514634028,27,26
1514635007,26,0
1514636198,25,1
1514637155,18,6
1514638116,13,0
1514639071,13,0
1514640026,34,0
1514640998,22,8
1514641944,21,66
1514642906,16,52
1514643868,34,44
1514644833,18,34
1514645775,12,13
1514646751,18,16
1514647709,16,8
1514648663,27,0
1514649899,24,3
1514651072,23,2
1514652027,26,0
1514652983,23,0
1514654212,702,952
1514655138,28,0
1514656358,24,0
1514657306,24,0
1514657839,30,17
1514658256,12,0
1514659229,26,0
1514660208,32,2
1514661402,37,0
1514662355,28,3
1514663417,24,0
1514664521,27,0
1514665458,40,2
1514666428,25,0
1514667397,40,0
1514668364,27,0
1514669322,26,0
1514669775,21,17
1514670270,25,0
1514671467,32,0
1514672431,30,2
1514673392,25,3
1514673857,49,36
1514674346,26,3
1514675313,31,0
1514676267,26,0
1514677214,22,3
1514678187,33,3
1514679156,26,3
1514680093,23,8
1514681067,27,0
1514682036,33,0
1514682981,32,0
1514683954,30,1
1514684901,42,0
1514685874,36,1
1514686824,31,6
1514688114,33,0
1514689249,35,0
1514690445,27,0
1514691397,33,3
1514692358,18,6
1514693561,47,46
1514694504,19,0
1514695456,27,3
1514696428,26,0
1514697414,33,0
1514698353,29,3
1514699306,20,0
1514700284,28,3
1514701235,37,3
1514702199,32,0
1514703414,43,3
1514704349,27,0
1514705303,19,0
1514706260,11,1
1514707240,32,8
1514708182,33,8
1514709162,15,2
1514710097,32,6
1514711079,21,20
1514712091,32,28
1514712993,7,37
1514713954,38,26
1514714907,11,28
1514715893,27,15
1514716825,6,7
1514717791,21,3
1514718768,22,2
