DateTime,AddedIPs,RemovedIPs
1514404084,139,143
1514404322,1,0
1514405030,3,8
1514406004,0,105
1514406122,3,1
1514406782,10,1
1514407321,6,13
1514407922,96,0
1514408521,1,3
1514408570,0,1
1514409121,8,13
1514410085,81,89
1514410381,5,3
1514410922,3,5
1514411522,1,5
1514412170,3,5
1514413924,82,108
1514414522,3,8
1514415121,1,0
1514415770,1,3
1514416921,0,1
1514417763,95,228
1514418122,6,42
1514418721,4,1
1514419371,1,9
1514419922,1,0
1514420524,1,5
1514421181,9,2
1514421844,115,3
1514422970,4,4
1514423764,101,96
1514424122,0,6
1514424721,2,0
1514425322,15,5
1514425925,96,203
1514426629,0,4
1514427121,1,0
1514427722,2,7
1514428921,1,0
1514429764,80,0
1514430229,1,6
1514431686,425,66
1514431981,4,7
1514432522,5,7
1514433122,14,5
1514433844,72,543
1514435762,118,0
1514436122,1,6
1514436721,3,4
1514437429,1,3
1514437922,0,1
1514438522,14,3
1514439121,2,0
1514439603,0,143
1514439721,3,6
1514440973,22,11
1514441523,93,0
1514442122,7,1
1514442722,2,8
1514443443,2,103
1514444569,5,0
1514445122,4,0
1514445367,200,165
1514445721,3,4
1514446381,14,6
1514446922,3,1
1514447282,92,0
1514447522,12,9
1514448121,1,4
1514448170,0,1
1514448722,31,6
1514449322,2,7
1514450521,2,6
1514451124,67,149
1514451830,6,6
1514452321,0,3
1514452921,3,4
1514453581,0,5
1514454122,9,0
1514454722,2,12
1514455211,93,0
1514455371,44,31
1514455922,5,6
1514456521,25,2
1514457124,106,67
1514457721,25,8
1514458322,3,0
1514458970,17,15
1514459521,9,13
1514460122,30,45
1514460781,0,5
1514461204,97,74
1514461322,14,7
1514461922,0,4
1514462576,13,5
1514463364,5,83
1514463721,4,6
1514464381,5,6
1514464921,11,18
1514465282,76,0
1514465522,8,13
1514466170,7,0
1514467321,1,2
1514467981,6,9
1514468522,0,1
1514469363,87,75
1514469771,8,6
1514470921,11,0
1514471525,84,160
1514472121,8,9
1514473442,7,2
1514474521,7,2
1514476084,104,14
1514476322,3,14
1514476970,2,6
1514477522,1,0
1514478122,0,2
1514478781,0,4
1514479321,0,1
1514479922,74,16
1514480521,4,0
1514480570,0,1
1514481121,7,2
1514481843,3,148
1514482321,1,3
1514482922,2,1
1514483762,150,48
1514484171,5,5
1514484722,1,3
