DateTime,Entries,UniqueIPs
1514404084,32195,39635
1514404322,32196,39636
1514405030,32191,39631
1514406004,32086,39526
1514406122,32087,39528
1514406782,32094,39537
1514407321,32085,39530
1514407922,32180,39626
1514408521,32179,39624
1514408570,32178,39623
1514409121,32170,39618
1514410085,32162,39610
1514410381,32163,39612
1514410922,32161,39610
1514411522,32157,39606
1514412170,32155,39604
1514413924,32129,39578
1514414522,32125,39573
1514415121,32126,39574
1514415770,32124,39572
1514416921,32123,39571
1514417763,31992,39438
1514418122,31958,39402
1514418721,31960,39405
1514419371,31952,39397
1514419922,31953,39398
1514420524,31950,39394
1514421181,31955,39401
1514421844,32067,39513
1514422970,32067,39513
1514423764,32072,39518
1514424122,32067,39512
1514424721,32068,39514
1514425322,32076,39524
1514425925,31968,39417
1514426629,31964,39413
1514427121,31964,39414
1514427722,31959,39409
1514428921,31960,39410
1514429764,32039,39490
1514430229,32035,39485
1514431686,32394,39844
1514431981,32391,39841
1514432522,32389,39839
1514433122,32397,39848
1514433844,31925,39377
1514435762,32043,39495
1514436122,32037,39490
1514436721,32036,39489
1514437429,32034,39487
1514437922,32033,39486
1514438522,32041,39497
1514439121,32042,39499
1514439603,31899,39356
1514439721,31895,39353
1514440973,31906,39364
1514441523,31999,39457
1514442122,32004,39463
1514442722,31999,39457
1514443443,31898,39356
1514444569,31902,39361
1514445122,31906,39365
1514445367,31941,39400
1514445721,31935,39399
1514446381,31943,39407
1514446922,31942,39409
1514447282,32034,39501
1514447522,32038,39504
1514448121,32036,39501
1514448170,32035,39500
1514448722,32057,39525
1514449322,32053,39520
1514450521,32049,39516
1514451124,31969,39434
1514451830,31964,39434
1514452321,31961,39431
1514452921,31961,39430
1514453581,31956,39425
1514454122,31959,39434
1514454722,31950,39424
1514455211,32043,39517
1514455371,32036,39530
1514455922,32036,39529
1514456521,32042,39552
1514457124,32080,39591
1514457721,32087,39608
1514458322,32090,39611
1514458970,32079,39613
1514459521,32073,39609
1514460122,32049,39594
1514460781,32045,39589
1514461204,32068,39612
1514461322,32071,39619
1514461922,32068,39615
1514462576,32076,39623
1514463364,31996,39545
1514463721,31994,39543
1514464381,31992,39542
1514464921,31979,39535
1514465282,32055,39611
1514465522,32047,39606
1514466170,32053,39613
1514467321,32051,39612
1514467981,32051,39609
1514468522,32050,39608
1514469363,32063,39620
1514469771,32060,39622
1514470921,32059,39633
1514471525,31982,39557
1514472121,31975,39556
1514473442,31973,39561
1514474521,31977,39566
1514476084,32068,39656
1514476322,32057,39645
1514476970,32055,39641
1514477522,32056,39642
1514478122,32054,39640
1514478781,32050,39636
1514479321,32049,39635
1514479922,32107,39693
1514480521,32110,39697
1514480570,32109,39696
1514481121,32108,39701
1514481843,31964,39556
1514482321,31962,39554
1514482922,31963,39555
1514483762,32065,39657
1514484171,32066,39657
1514484722,32064,39655
1514485322,32063,39654
1514485685,32129,39721
1514485981,32131,39723
1514486522,32133,39725
1514487122,32126,39716
1514487608,32055,39644
1514487770,32051,39645
1514488321,32049,39641
1514488921,32053,39638
1514489522,32047,39659
1514490122,32045,39657
1514490722,32046,39658
1514491444,31954,39562
1514492521,31973,39589
1514493363,32066,39685
1514493722,32066,39686
1514495282,31972,39592
1514495522,31974,39594
1514496122,31979,39600
1514496781,31972,39592
1514497202,32154,39776
1514497322,32153,39775
1514497922,32152,39774
1514498570,32155,39777
1514499123,31924,39545
1514499324,31971,39592
1514499722,31964,39585
1514500381,31951,39570
1514501043,32020,39640
1514502170,32019,39637
1514502722,31998,39614
1514503322,31985,39600
1514504522,31985,39601
1514505124,31980,39596
1514505770,31975,39591
1514506322,31973,39590
1514507521,31971,39573
1514508122,31970,39572
1514508964,31979,39585
1514509371,31979,39588
1514509922,31980,39589
1514510521,31968,39577
1514511181,31967,39575
1514511721,31965,39573
1514512814,31964,39572
1514512971,31958,39561
1514513522,31959,39562
1514514122,31969,39572
1514514723,32009,39612
1514515322,32009,39612
1514515923,32000,39601
1514516644,31812,39410
1514517722,31818,39418
1514518563,31944,39552
1514518922,31951,39559
1514520121,31954,39564
1514520721,31949,39559
1514521322,31948,39558
1514521921,31945,39555
1514522643,31963,39573
1514523122,31961,39571
1514523770,31958,39568
1514524322,31956,39566
1514524921,31953,39563
1514526122,31969,39584
1514526483,32041,39656
1514526721,32038,39654
1514527371,32035,39651
1514527922,32024,39638
1514528403,31804,39418
1514528522,31804,39419
1514529722,31807,39422
1514530322,31929,39544
1514530922,31906,39521
1514531521,31911,39527
1514532122,31911,39529
1514533322,31911,39530
1514534164,31842,39461
1514534570,31840,39459
1514535122,31841,39460
1514535721,31843,39461
1514536084,32020,39638
1514536321,32016,39634
1514536922,32000,39617
1514537522,32004,39621
1514538483,31897,39511
1514539322,31899,39513
1514540403,31896,39510
1514540522,31894,39508
1514541771,31894,39508
1514542564,31817,39430
1514542922,31821,39434
1514543521,31819,39432
