DateTime,AddedIPs,RemovedIPs
1513422955,5,4
1513425001,0,1
1513426802,7,15
1513429802,3072,35072
1513430410,11,7
1513433724,2,3
1513437310,4,0
1513440910,3,14
1513444485,11,23
1513445412,1,0
1513448415,11,9
1513451102,1,0
1513452243,22,10
1513455337,7,6
1513459202,6,9
1513460713,1,0
1513462547,7,10
1513464602,1,0
1513466402,10,14
1513468814,1,0
1513469765,34,4
1513473902,11,2
1513476902,6,8
1513480544,5,55
1513484402,8,20
1513484702,1792,1792
1513485602,1280,1280
1513487793,293,262
1513489202,256,256
1513491602,6,7
1513494954,18,2
1513498570,256,256
1513498802,7,12
1513502409,3,15
1513505753,18,9
1513509302,7,2
1513510211,3,0
1513512927,264,288
1513514711,512,512
1513515301,2048,12288
1513515847,4,0
1513516802,31,5
1513520401,9,11
1513524115,7,16
1513527777,14,12
1513531203,7,13
1513534522,12,34
1513538118,256,256
1513538142,20,15
1513541716,10,23
1513545366,1,0
1513545744,39,6
1513549450,11,6
1513552568,6,8
1513553702,1,0
1513556196,21,1
1513557129,1,0
1513559791,10,10
1513560966,3,0
1513561802,256,256
1513563380,3,22
1513570922,31,28
1513574404,15,7
1513578244,6,3
1513581342,7,3
1513584945,2,4
1513588802,2,9
1513590317,1,0
1513592117,15,6
1513596490,4,9
1513599314,1,0
1513599901,10,2
1513601110,2,0
1513602960,0,5
1513604715,256,256
1513606539,5,19
1513610401,10,14
1513613771,13,11
1513617843,15,5
1513618502,768,768
1513621202,10,4
1513624802,7,12
1513625528,768,768
1513628401,13,5
1513631787,4,7
1513634102,1,0
1513635602,4,12
1513639207,6,3
1513641124,2,1
1513641302,256,256
1513643044,27,27
1513646159,7,12
1513646518,1024,1024
1513649760,15,9
1513653372,20,31
1513657201,13,10
1513658102,1,0
1513660808,6,5
1513664649,10,7
1513667762,2,11
1513671325,10,14
1513675307,8,6
1513678809,9,10
1513682646,5,3
1513683910,1,0
1513686002,15,7
1513686725,1,0
1513688101,512,26624
1513689322,8,1
1513692938,6,4
1513696535,1,0
1513700539,2,11
1513702084,1,0
1513704013,6,10
1513708090,11,13
1513710935,6,13
1513714527,23,4
1513719007,10,2
1513722244,3,9
1513725602,7,8
1513729202,23,7
1513732522,8,20
1513732894,1280,1280
1513734902,512,768
1513736402,6,9
1513740005,10,44
1513743851,4,5
1513746999,9,15
1513750802,12,9
1513754146,27,7
1513757738,6,5
1513758302,2048,1792
1513760702,256,256
1513761847,768,768
1513762802,6,3
1513764024,256,256
1513764922,3,11
1513768802,7,8
1513772132,7,7
1513774205,0,20992
1513776002,6,7
1513780089,10,5
1513782017,1,0
1513782912,256,256
1513783201,7,9
1513786510,11,2
1513788902,257,256
1513790701,5,4
1513794301,6,12
1513798088,11,11
1513800009,1,0
1513800909,256,256
1513801502,5,17
1513803844,3,1
1513804502,9,4
1513808164,4,8
1513812004,2,4
1513815389,30,5
1513819202,4,10
1513822801,13,7
1513826135,12,25
1513830115,7,9
1513833608,4,5
1513837445,5,2
1513838716,1,0
1513840549,4,6
1513844472,5,4
1513847720,5,7
1513849515,1,0
1513851706,5,6
1513855444,9,11
1513858935,10,3
1513860902,2816,47872
1513862133,2,8
1513866607,8,3
1513869843,3,3
1513873416,7,9
1513876802,9,5
1513880527,6,9
1513884245,8,1
1513888089,3,9
1513888502,0,1
1513890016,0,1
1513890919,0,1
1513891929,6,3
1513893002,0,1
1513895102,4,7
1513898402,6,11
1513902009,23,4
1513906086,1031,1031
1513908977,4,10
1513911302,256,256
1513913102,2,40
1513914601,256,256
1513916475,19,15
1513918502,256,256
1513920247,5,5
1513922168,256,256
1513923328,4,9
1513924327,2,0
1513926998,9,6
1513931101,16,15
1513934402,17,3
1513935013,0,1
1513938006,13,1
1513941849,13,6
1513944917,6,8
1513947624,1024,25344
1513948560,1,11
1513952107,13,2
1513956002,4,4
1513957515,0,1
1513959343,2,5
1513963201,6,4
1513966804,2,9
1513970645,7,4
1513973755,5,3
1513977357,4,1
1513980962,2,2
1513984517,0,2
1513984967,1794,1799
1513986315,512,512
1513987932,1,0
1513988197,25,7
1513992613,2,8
1513993802,768,768
1513995605,9,5
1513998943,8,24
1514001366,2,0
1514002546,1,19
1514006125,11,12
1514009747,15,25
1514013317,256,256
1514013601,10,6
1514016725,0,8
1514016924,8,6
1514017802,0,1
1514018650,1,0
1514019002,0,1
1514020880,24,8
1514022487,1,0
1514024404,5,20
1514028485,14,6
1514031602,2,7
1514034302,0,28160
1514035501,9,3
1514038802,10,5
1514042410,6,19
1514046246,8,4
1514049302,9,6
1514053201,7,15
1514056524,18,8
1514057005,256,256
1514060401,12,2
1514064006,3,5
1514067846,3,3
1514071502,4,44
1514074802,28,14
1514078118,41,3
1514078702,1536,1536
1514080201,512,512
1514082302,9,0
1514083802,256,256
1514085611,2,19
1514089446,2,14
1514090713,256,256
1514092848,10,13
1514096139,4,14
1514100002,19,8
1514103658,3,1
1514111289,13,16
1514113449,1,0
1514114116,4,6
1514117297,3,0
1514118002,6,11
1514118615,3,0
1514120416,2816,3072
1514121309,7,1
1514125809,17,8
1514129047,5,6
1514132120,7,4
1514135709,0,1
1514135741,8,6
1514140209,9,5
1514143294,1,5
1514147044,2,5
1514150639,2,6
1514153715,10,12
1514157601,12,4
1514159769,256,256
1514161685,29,6
1514164802,8,7
1514165102,1280,1280
1514167450,256,256
1514168125,7,13
1514171757,3,23
1514175360,7,12
1514179202,18,8
1514182812,12,13
1514186887,4,18
1514189756,10,9
1514190965,1,0
1514193602,16,11
1514196934,22,9
1514200910,13,4
1514201411,2,0
1514205127,10,4
1514206501,3072,0
1514207749,6,7
1514210101,256,256
1514211308,256,256
1514211602,7,3
1514214955,0,6
1514219409,3,9
1514222645,3,8
1514226494,8,10
1514229311,256,256
1514229602,9,6
1514232940,6,6
1514236802,5,5
1514240402,6,12
1514241012,1280,1280
1514244006,7,44
1514244117,1280,1280
1514247844,71,5
1514250902,14,4
1514251301,1280,1280
1514253649,1,0
1514254538,3,5
1514256602,256,256
1514258150,10,22
1514258454,256,256
1514262002,5,13
1514265323,264,291
1514269808,16,15
1514273049,16,5
1514276122,15,4
1514279751,5,8
1514284213,1541,1549
1514287260,268,258
1514290814,11,7
1514292902,1280,2048
1514294647,9,6
1514298490,5,4
1514301307,256,256
1514301902,2,5
1514304924,4,30
1514308087,2,0
1514308520,30,11
1514312401,6,14
1514316007,18,3
1514316902,0,1
1514320091,12,6
1514323202,13,6
1514326562,2,4
1514328902,256,256
1514330402,2,11
1514334012,29,4
1514337344,11,19
1514338807,0,2
1514341276,7,9
1514345102,16,38
1514348646,6,13
1514351750,16,37
1514355689,0,1
1514355902,1,0
1514356209,14,12
1514358953,28,13
1514362802,6,5
1514366408,5,7
1514369804,9,13
1514370490,2,0
1514373602,11,17
1514376910,0,1
1514377501,8,11
1514378168,0,1
1514379302,0,5888
1514380088,1,1
1514380801,10,9
1514384402,12,23
1514388244,30,10
1514391443,9,14
1514392087,2,0
1514395202,24,10
1514400245,11,7
1514402402,14,16
1514406009,13,5
1514410086,10,22
1514413296,4,6
1514416601,14,10
1514417417,0,1
1514421902,38,8
1514424614,1024,1024
1514425202,12,15
1514426102,256,256
1514430013,0,15
1514432102,0,86
1514435765,0,64
1514464501,0,1
1514466016,2304,15616
1514473445,0,1
1514478010,0,1
1514478902,82,61
1514482210,68,0
1514485810,23,0
1514489527,28,0
1514493369,4,16
1514496609,11,21
1514500211,20,8
1514503655,16,13
1514509202,31,7
1514510887,1024,1024
1514511602,11,23
1514512501,1280,1280
1514513706,256,256
1514514729,25,18
1514515502,0,1
1514516102,1024,1024
1514518567,14,25
1514522648,13,15
1514525475,5,10
1514529302,11,15
1514532610,9,12
1514534165,256,256
1514535307,256,256
1514536501,11,11
1514539272,256,256
1514540706,7,11
1514543411,14,17
1514545202,256,256
1514546702,2048,2048
1514547010,11,10
1514550612,13,11
1514552422,4096,14592
1514554565,23,8
1514557810,14,18
1514559605,256,256
1514559614,0,1
1514559902,1,0
1514561410,9,6
1514565060,10,9
1514569202,7,9
1514572262,5,15
1514576166,20,7
1514579410,2,6
1514583016,8,13
1514586610,6,11
1514587506,65536,51200
1514590802,14,16
1514594404,1,1
1514595602,26,14
1514596569,1,1
1514598489,17,12
1514601019,7,9
1514604621,11,24
1514608258,15,16
1514608502,1,0
1514612102,11,21
1514615766,14,14
1514619022,14,7
1514622621,7,8
1514623514,1,0
1514626223,26,7
1514627287,2,0
1514629207,0,4
1514633044,14,5
1514637128,2,3
1514638502,1024,14592
1514639702,3,14
1514640104,256,256
1514644223,6,2
1514646902,5,33
1514651702,26,9
1514654649,11,9
1514658002,11,2
1514660887,0,1
1514661602,7,4
1514665202,4,10
1514668810,12,8
1514672888,12,4
1514675702,4,8
1514676728,1,2
1514679336,19,9
1514683304,772,775
1514684404,1,0
1514687405,5,19
1514690410,12,35
1514694247,6,7
1514697314,2,10
1514700953,49,16
1514705101,16,14
1514708054,45,9
1514708461,1024,1024
1514710814,256,256
1514712302,280,257
1514714102,256,256
1514715311,256,256
1514715845,7,4
1514717769,256,256
1514719333,258,259
