DateTime,Entries,UniqueIPs
1514448005,82250,9342179
1514448604,82261,9342190
1514448973,82269,9342198
1514449222,82146,9342066
1514449806,82171,9342092
1514450404,82126,9342047
1514451004,82132,9342053
1514451307,82101,9342022
1514452207,82036,9341957
1514452804,82054,9341975
1514453051,82061,9341982
1514453106,82009,9341930
1514453704,82028,9341949
1514454309,81962,9341882
1514455241,81926,9341849
1514456170,81875,9341798
1514456704,81893,9341818
1514457616,81775,9341700
1514458811,81697,9341621
1514459300,81699,9341622
1514459708,81664,9341587
1514460303,81658,9341582
1514460605,81642,9341566
1514461221,81573,9341497
1514461807,81527,9341451
1514462405,81530,9341455
1514463397,81502,9341427
1514463874,81496,9341423
1514464204,81443,9341370
1514464804,81510,9341437
1514465290,81511,9341438
1514465704,81454,9341382
1514466312,81358,9341286
1514466904,81349,9341277
1514467218,81349,9341277
1514468111,81257,9341186
1514468703,81277,9341206
1514469389,81253,9341183
1514469604,81198,9341128
1514470209,81153,9341083
1514470803,81151,9341080
1514471407,81092,9341021
1514472005,81109,9341038
1514472308,81059,9340988
1514472905,81138,9341076
1514473463,81130,9341067
1514473509,81053,9340990
1514474104,81055,9340991
1514474708,80995,9340932
1514476124,80991,9340928
1514476504,80996,9340933
1514477105,80991,9340928
1514478039,80991,9340928
1514478516,80945,9340881
1514478904,80938,9340864
1514479809,80905,9340831
1514480404,80943,9340869
1514481304,80867,9340791
1514481854,80855,9340778
1514481903,80903,9340834
1514482504,80902,9340832
1514483103,80894,9340824
1514483790,80882,9340813
1514484305,80873,9340803
1514484904,80857,9340787
1514485467,80860,9340790
1514485727,80826,9340756
1514486104,80820,9340749
1514486704,80860,9340790
1514487720,80852,9340782
1514487907,80814,9340742
1514488504,80874,9340809
1514489547,80874,9340808
1514489704,80826,9340760
1514490304,80825,9340759
1514490905,80829,9340763
1514491465,80831,9340765
1514491506,80815,9340749
1514492104,80807,9340738
1514492704,80806,9340737
1514493397,80814,9340745
1514493904,80823,9340754
1514494504,80834,9340765
1514495318,80796,9340737
1514495704,80791,9340694
