DateTime,AddedIPs,RemovedIPs
1514359322,4,1
1514359981,1,0
1514360521,6,4
1514361122,3,0
1514361721,4,7
1514362321,1,1
1514362922,11,3
1514364122,1,19
1514364722,9,1
1514365322,0,9
1514365922,3,0
1514367181,2,7
1514367721,1,0
1514368321,1,6
1514368921,0,5
1514370122,1,5
1514370781,0,1
1514371921,19,14
1514372521,6,6
1514373721,33,22
1514374322,7,16
1514375522,3,10
1514376121,38,0
1514376721,11,4
1514377322,12,5
1514377981,3,1
1514378521,8,0
1514379121,2,2
1514379721,12,4
1514380322,4,10
1514380922,9,0
1514382121,16,6
1514382722,6,0
1514383321,3,0
1514383921,13,3
1514384522,3,4
1514385122,5,2
1514385722,23,1
1514386321,4,0
1514386921,11,7
1514387521,11,9
1514388121,3,13
1514388722,2,0
1514389322,3,1
1514389921,2,18
1514390522,4,0
1514391121,2,0
1514391722,1,1
1514392322,4,4
1514392922,4,8
1514394121,5,14
1514394722,7,2
1514395322,4,0
1514395922,16,7
1514396522,2,16
1514397721,4,55
1514398322,4,5
1514398921,2,0
1514399581,1,6
1514400122,1,0
1514400722,2,4
1514401322,5,31
1514401922,6,1
1514402521,1,0
1514403721,0,13
1514404322,1,0
1514404921,2,4
1514406122,3,1
1514406782,10,1
1514407321,6,13
1514407922,5,0
1514408521,1,3
1514409121,8,13
1514409722,2,2
1514410381,5,3
1514410922,4,5
1514411522,1,5
1514412121,2,4
1514414522,3,8
1514415121,1,0
1514415721,1,2
1514416921,0,1
1514417581,11,18
1514418122,6,42
1514418721,4,1
1514419322,1,7
1514419922,1,0
1514420524,1,5
1514421181,9,2
1514421722,0,3
1514422922,0,4
1514423521,1,0
1514424122,0,6
1514424721,2,0
1514425322,15,5
1514425921,7,3
1514426521,0,1
1514427121,1,0
1514427722,2,7
1514428921,1,0
1514430121,1,5
1514431321,3,8
1514431981,4,7
1514432522,5,7
1514433122,14,5
1514433721,4,4
1514436122,1,6
1514436721,3,4
1514437322,1,3
1514437922,0,1
1514438522,14,3
1514439121,2,0
1514439721,3,6
1514440973,22,11
1514442122,7,1
1514442722,2,8
1514443322,2,10
1514444522,3,0
1514445122,4,0
1514445721,3,4
1514446381,14,6
1514446922,3,1
1514447522,12,9
1514448121,1,4
1514448722,31,6
1514449322,2,7
1514450521,2,6
1514451122,3,3
1514451722,6,6
1514452321,0,3
1514452921,3,4
1514453581,0,5
1514454122,9,0
1514454722,2,12
1514455322,44,29
1514455922,5,6
1514456521,25,2
1514457721,25,8
1514458322,3,0
1514458922,17,12
1514459521,9,13
1514460122,30,45
1514460781,0,5
1514461322,14,7
1514461922,0,4
1514462522,12,5
1514463121,5,0
1514463721,4,6
1514464381,5,6
1514464921,11,18
1514465522,8,13
1514466122,7,0
1514467321,1,2
1514467981,6,9
1514468522,0,1
1514469122,0,1
1514469721,7,6
1514470921,11,0
1514472121,8,9
1514473322,7,0
1514474521,7,2
1514475722,7,14
1514476322,3,14
1514476922,2,4
1514477522,1,0
1514478122,0,2
1514478781,0,4
1514479321,0,1
1514480521,4,0
1514481121,7,2
1514481722,2,0
1514482321,1,3
1514482922,2,1
1514483522,42,48
1514484121,5,3
1514484722,1,3
1514485322,1,2
1514485981,3,1
1514486522,4,2
1514487122,1,10
1514487722,7,6
1514488321,4,8
1514488921,7,10
1514489522,21,0
1514490122,1,3
1514490722,1,0
1514491321,4,6
1514492521,31,4
1514493182,7,5
1514493722,3,2
1514494922,4,3
1514495522,2,0
1514496122,6,0
1514496781,0,8
1514497322,1,2
1514497922,1,2
1514498521,2,1
1514499324,47,0
1514499722,5,12
1514500381,1,16
1514500922,0,3
1514502121,5,6
1514502722,7,30
1514503322,1,15
1514504522,1,0
1514505722,0,5
1514506322,3,4
1514507521,6,23
1514508122,0,1
1514508722,17,7
1514509322,8,2
1514509922,1,0
1514510521,4,16
1514511181,2,0
1514511721,0,2
1514512921,2,13
1514513522,1,0
1514514122,10,0
1514514721,1,4
1514515322,2,2
1514515923,0,11
1514516522,1,3
1514517722,8,0
1514518381,26,2
1514518922,9,2
1514520121,8,3
1514520721,1,6
1514521322,2,3
1514521921,0,3
1514522521,5,2
1514523122,1,3
1514524322,0,2
1514524921,0,3
1514526122,21,0
1514526721,3,5
1514527922,0,13
1514528522,1,0
1514529722,4,1
1514530922,23,46
1514531521,6,0
1514532122,14,12
1514533322,1,0
1514533922,0,6
1514534521,0,1
1514535122,1,0
1514535721,4,3
1514536321,1,5
1514536922,3,20
1514537522,9,5
1514538122,6,14
1514539322,3,1
1514539982,4,1
1514540522,1,3
1514541722,2,2
1514542322,1,0
1514542922,12,8
1514543521,3,5
1514544721,1,0
1514545321,3,9
1514545922,1,0
1514546521,30,19
1514547181,2,3
1514547721,2,1
1514548922,4,8
1514549522,8,5
1514550122,3,7
1514550781,1,0
1514551322,0,10
1514551921,1,1
1514552521,2,8
1514553122,3,2
1514553722,1,28
1514554382,1,0
1514554921,1,7
1514555522,7,5
1514556122,4,0
1514557322,3,10
1514557981,1,11
1514558521,3,3
1514559122,1,0
1514560922,3,6
1514561522,4,0
1514562721,1,4
1514563322,2,0
1514563922,2,1
1514564522,2,1
1514565182,1,0
1514565721,2,4
1514566322,0,15
1514566921,12,7
1514567521,0,4
1514568122,1,6
1514568722,16,24
1514569321,16,0
1514569922,0,1
1514570521,1,0
1514571121,1,1
1514571721,0,1
1514572321,0,1
1514572382,2,0
1514572921,1,7
1514573522,2,8
1514574121,5,3
1514575322,3,1
1514575981,12,1
1514576522,1,7
1514577121,3,1
1514577722,3,8
1514578922,12,1
1514579581,3,2
1514580122,2,4
1514581321,1,2
1514581922,3,1
1514582521,5,0
1514583181,1,0
1514583722,9,17
1514584321,5,0
1514584922,3,5
1514585521,6,6
1514586122,2,8
1514586722,44,24
1514587321,6,3
1514587922,2,2
1514588522,10,17
1514589121,2,0
1514589722,3,0
1514590322,2,0
1514590921,11,1
1514591522,0,1
1514592122,1,3
1514592722,1,0
1514593322,2,0
1514593921,3,1
1514594523,3,1
1514595122,4,2
1514595721,19,1
1514596322,1,5
1514596922,1,0
1514597521,4,0
1514598122,2,7
1514598721,2,0
1514599322,0,4
1514600522,14,4
1514601181,6,8
1514601721,16,6
1514602323,2,4
1514602922,2,0
1514604122,12,0
1514605321,13,16
1514605921,2,1
1514606522,1,0
1514607722,3,10
1514608381,4,10
1514608921,4,8
1514610122,0,2
1514610722,2,0
1514611321,1,3
1514611922,1,14
1514612521,16,0
1514613121,2,2
1514613721,3,7
1514614322,2,1
1514614921,3,0
1514615581,1,5
1514616121,1,4
1514617321,21,53
1514617921,3,0
1514618522,4,0
1514619721,1,0
1514620322,0,2
1514620922,0,3
1514622122,1,4
1514623321,0,3
1514624522,9,18
1514625121,2,2
1514625722,1,0
1514626321,0,8
1514626922,2,6
1514627522,1,3
1514628122,1,4
1514629321,0,18
1514629981,5,0
1514631121,1,1
1514631721,2,6
1514632321,10,23
1514632922,9,7
1514633522,4,0
1514634122,9,1
1514634721,3,7
1514635921,0,3
1514636522,1,6
1514637122,2,0
1514637721,0,5
1514638922,23,3
1514639422,0,9
1514640122,5,3
1514640781,2,4
1514641322,4,7
1514642521,6,10
1514643122,5,5
1514643722,2,2
1514644321,1,0
1514644921,2,9
1514645522,3,3
1514646121,2,4
1514646722,1,0
1514647322,0,5
1514648521,5,10
1514649721,4,6
