DateTime,AddedIPs,RemovedIPs
1513656488,0,2
1513656969,1,0
1513657446,1,4
1513657925,1,1
1513658406,0,2
1513658891,1,1
1513659366,0,3
1513659847,0,2
1513660324,8,0
1513660810,0,2
1513661291,1,0
1513665126,0,1
1513665846,1,0
1513666326,0,5
1513666814,2,1
1513667291,0,1
1513667773,1,1
1513668245,1,1
1513668968,1,1
1513669690,1,0
1513670165,0,1
1513670650,1,1
1513671130,1,0
1513672088,1,1
1513672569,1,1
1513673050,0,1
1513674019,2,0
1513674966,0,2
1513675446,1,1
1513675927,2,0
1513676406,0,1
1513676894,1,2
1513677365,1,1
1513677854,2,0
1513678812,0,2
1513679287,2,1
1513679770,1,0
1513680247,0,2
1513680730,1,1
1513681217,1,0
1513681686,0,1
1513682164,1,1
1513682648,1,1
1513683129,2,1
1513683606,1,1
1513684091,1,0
1513685287,0,2
1513685766,2,0
1513686729,1,0
1513687210,0,1
1513687686,1,1
1513688412,1,0
1513689130,2,2
1513689605,2,1
1513690084,1,2
1513690569,1,0
1513691047,1,0
1513691526,0,1
1513692251,1,1
1513692970,1,1
1513693927,0,1
1513694407,1,1
1513694890,1,1
1513695365,1,1
1513695849,1,0
1513696357,3,1
1513696806,1,2
1513697289,1,0
1513697766,1,2
1513698251,2,2
1513698725,1,0
1513699219,0,1
1513699689,0,1
1513700171,2,1
1513700647,2,0
1513701130,3,0
1513704485,0,1
1513704969,0,3
1513705933,3,0
1513710019,0,1
1513710486,1,0
1513711933,0,1
1513712409,6,0
1513712886,0,3
1513713369,3,0
1513714807,0,4
1513715292,4,2
1513716007,2,2
1513716490,3,4
1513716966,1,5
1513717687,4,0
1513718172,1,0
1513718646,0,2
1513719133,1,2
1513719849,3,1
1513720326,1,4
1513721291,3,2
1513721772,263,240
1513722247,1,2
1513722730,2,0
1513723444,0,1
1513723930,0,2
1513724412,2,3
1513725127,3,2
1513725849,4,4
1513726329,4,1
1513727530,0,3
1513728021,3,3
1513728486,2,0
1513728970,1,0
1513729445,1,1
1513729930,1,2
1513730407,2,1
1513730888,1,0
1513731364,0,3
1513731849,1,4
1513732331,4,1
1513732806,1,1
1513733289,0,4
1513733767,7,0
1513734250,0,1
1513734729,0,3
1513735220,3,1
1513735687,2,1
1513736172,1,0
1513736644,0,3
1513737127,2,3
1513737605,2,0
1513738091,0,2
1513738568,2,4
1513739051,3,1
1513740032,1,1
1513740486,3,2
1513740971,3,1
1513741930,0,3
1513742419,2,6
1513742887,5,0
1513743370,1,2
1513743853,2,4
1513744329,2,2
1513744805,1,1
1513745289,2,2
1513745771,2,0
1513746249,2,2
1513746729,0,1
1513747206,8,1
1513748166,1,1
1513749126,1,0
1513751539,239,261
1513752005,0,4
1513752486,2,4
1513752966,3,0
1513753448,0,2
1513753931,1,1
1513754406,2,1
1513754886,1,1
1513755609,1,4
1513756091,4,2
1513756566,3,1
1513757048,0,1
1513757527,1,3
1513758009,2,4
1513758489,4,0
1513758967,2,2
1513759448,2,2
1513761066,1,3
1513761849,4,2
1513762571,1,3
1513763045,2,4
1513763525,5,0
1513764026,1,2
1513764490,2,5
1513764994,4,1
1513765444,0,2
1513765932,2,1
1513766645,2,1
1513767129,1,1
1513767617,1,0
1513768087,1,3
1513768565,3,1
1513769047,1,0
1513769531,0,1
1513770007,1,1
1513770487,1,2
1513770967,2,1
1513771447,1,1
1513771928,1,3
1513772421,3,1
1513773366,0,2
1513773850,2,2
1513774327,3,1
1513774816,1,0
1513775288,0,4
1513775768,4,3
1513776245,2,0
1513777204,0,6
1513777691,4,1
1513778165,3,3
1513778647,3,1
1513779125,2,3
1513780091,2,0
1513781049,1,2
1513781529,262,240
1513782019,1,0
1513782488,2,3
1513782970,1,2
1513783445,1,1
1513783955,5,0
1513784406,1,2
1513784886,1,1
1513785367,2,0
1513785851,0,2
1513786327,2,3
1513786807,2,0
1513787772,1,3
1513788249,2,3
1513788728,4,0
1513789220,0,1
1513789687,7,0
1513790410,0,1
1513790886,1,0
1513791366,0,1
1513791851,1,0
1513792326,0,2
1513793048,2,2
1513793525,2,0
1513795931,4,0
1513796888,0,1
1513797370,0,3
1513798091,3,1
1513798566,1,2
1513799055,2,0
1513799524,0,1
1513800011,1,0
1513800487,0,1
1513801206,1,0
1513802649,3,3
1513803615,0,1
1513804085,1,0
1513804570,0,1
1513805050,1,1
1513806004,0,1
1513807446,0,3
1513807931,3,0
1513808408,2,1
1513808888,1,0
1513809369,0,5
1513810091,1,6
1513811050,0,2
1513811531,2,0
1513816333,0,1
1513816807,1,0
1513817529,0,1
1513818015,1,0
1513818487,0,1
1513818970,0,16
1513819444,0,7
1513819927,0,13
1513820408,0,3
1513827621,3,0
1513839849,1,0
1513841771,0,1
1513842245,1,0
1513850887,1,0
1513871548,1,0
1513889047,2,3
1513915462,3,0
1513925290,2,0
1513959137,10,0
1513975446,4,3
1514002813,1,0
1514023446,1,0
1514061857,3,2
1514070732,0,1
1514071686,1,0
1514090434,2,0
1514095448,0,1
1514095926,1,0
1514113452,1,0
1514117300,3,0
1514118967,3,0
1514126406,15,0
1514126892,4,3
1514127367,3,0
1514128101,0,1
1514129049,1,0
1514129526,0,1
1514130005,1,2
1514130485,1,0
1514130972,1,0
1514131686,0,14
1514132170,3,0
1514132645,0,4
1514133132,4,1
1514133605,0,1
1514134113,1,0
1514134565,1,1
1514135054,0,1
1514135770,3,0
1514136972,0,1
1514137444,1,4
1514137925,4,2
1514138414,0,2
1514138891,3,3
1514140328,4,0
1514140807,0,1
1514141289,1,0
1514142252,0,2
1514142733,2,1
1514143447,1,0
1514144889,0,1
1514145368,0,1
1514145845,1,0
1514146329,1,4
1514147047,4,2
1514148005,0,2
1514148489,6,1
1514149456,0,1
1514149926,0,1
1514150683,1,1
1514151128,0,2
1514151609,4,2
1514152820,1,1
1514153529,2,2
1514154005,1,3
1514154488,1,0
1514154968,0,1
1514155448,3,1
1514155924,1,2
1514156419,1,0
1514156899,2,1
1514157847,0,1
1514158332,1,0
1514159771,1,3
1514160249,1,0
1514160726,1,1
1514161209,2,0
1514162648,0,1
1514163125,1,0
1514164087,0,2
1514164571,1,2
1514165532,3,0
1514166007,0,1
1514167453,1,4
1514167928,3,1
1514168410,2,0
1514168887,0,4
1514169367,1,0
1514169846,3,3
1514170810,2,1
1514171770,0,1
1514172245,1,3
1514172727,3,2
1514173208,0,2
1514174164,2,0
1514174646,1,0
1514175128,0,1
1514175613,0,1
1514177528,0,2
1514178038,2,1
1514178487,1,1
1514179446,0,1
1514180405,1,0
1514180895,0,1
1514190968,1,0
1514199126,19,0
1514200087,0,2
1514200566,2,2
1514201046,2,0
1514201530,2,0
1514202974,0,3
1514203699,3,3
1514204165,2,2
1514204658,3,0
1514205605,0,2
1514206088,2,0
1514206567,0,3
1514207049,1,0
1514207530,2,1
1514208005,1,0
1514208491,0,6
1514208967,5,2
1514209450,3,1
1514209925,0,4
1514210413,5,0
1514210891,0,5
1514211369,2,3
1514211846,2,4
1514212809,1,6
1514213286,1,0
1514213765,1,1
1514214729,0,4
1514215210,2,1
1514216169,1,1
1514216648,3,1
1514217129,1,1
1514218086,2,0
1514218814,0,1
1514219525,0,1
1514220009,2,2
1514220486,2,0
1514221725,1,4
1514222169,1,0
1514222648,2,2
1514223129,3,0
1514223604,0,1
1514224088,1,0
1514225046,0,1
1514225526,1,0
1514226005,0,2
1514226498,2,0
1514231764,0,1
1514232249,1,0
1514234648,1,3
1514236088,0,1
1514236570,1,0
1514240172,0,1
1514240645,1,0
1514241605,0,1
1514242094,1,0
1514244008,0,1
1514244490,1,0
1514250251,0,2
1514250725,1,1
1514251209,0,4
1514251687,0,2
1514265633,1,0
1514309547,1,0
1514316486,0,1
1514316970,1,0
1514321045,1,2
1514339529,0,1
1514340736,1,0
1514353468,2,0
1514373371,0,1
1514407454,2,1
1514441787,2,0
1514474406,2,0
1514485467,3,0
1514493848,1,3
1514509448,0,1
1514580248,3,1
1514616999,1,0
1514623933,1,0
1514660919,1,0
1514666887,1,4
1514672890,18,0
1514673367,3,1
1514673850,1,0
1514674822,0,1
1514675292,1,0
1514675770,0,1
1514676246,1,0
1514677687,0,3
1514678165,3,0
1514678655,0,1
1514679125,1,1
1514679608,2,2
1514680087,1,0
1514680570,1,1
1514681526,0,1
1514682015,1,0
1514682489,1,1
1514682969,8,0
1514683447,13,0
1514683930,11,0
1514684406,6,0
1514684884,4,0
1514685366,8,0
1514685846,1,0
1514686330,2,0
1514687532,0,1
1514688006,1,0
1514691370,0,3
1514691845,3,0
1514693526,0,1
1514695206,1,0
1514696888,0,1
1514697371,1,1
1514697845,1,0
1514700727,0,1
1514701211,1,1
1514701690,1,0
1514703852,0,1
1514704328,1,0
1514704836,0,2
1514705289,2,0
1514705766,0,2
1514706248,2,0
1514712073,0,1
1514712490,1,0
1514713927,0,1
1514714417,1,0
1514714887,0,3
1514715370,3,0
1514716392,0,1
1514716805,1,0
1514718247,0,1
1514718731,1,1
1514719211,0,1
