DateTime,Entries,UniqueIPs
1513656488,4335,4416
1513656969,4336,4417
1513657446,4333,4414
1513657925,4333,4414
1513658406,4331,4412
1513658891,4331,4412
1513659366,4328,4409
1513659847,4326,4407
1513660324,4334,4415
1513660810,4332,4413
1513661291,4333,4414
1513665126,4332,4413
1513665846,4333,4414
1513666326,4328,4409
1513666814,4329,4410
1513667291,4328,4409
1513667773,4328,4409
1513668245,4328,4409
1513668968,4328,4409
1513669690,4329,4410
1513670165,4328,4409
1513670650,4328,4409
1513671130,4329,4410
1513672088,4329,4410
1513672569,4329,4410
1513673050,4328,4409
1513674019,4330,4411
1513674966,4328,4409
1513675446,4328,4409
1513675927,4330,4411
1513676406,4329,4410
1513676894,4328,4409
1513677365,4328,4409
1513677854,4330,4411
1513678812,4328,4409
1513679287,4329,4410
1513679770,4330,4411
1513680247,4328,4409
1513680730,4328,4409
1513681217,4329,4410
1513681686,4328,4409
1513682164,4328,4409
1513682648,4328,4409
1513683129,4329,4410
1513683606,4329,4410
1513684091,4330,4411
1513685287,4328,4409
1513685766,4330,4411
1513686729,4331,4412
1513687210,4330,4411
1513687686,4330,4411
1513688412,4331,4412
1513689130,4331,4412
1513689605,4332,4413
1513690084,4331,4412
1513690569,4332,4413
1513691047,4333,4414
1513691526,4332,4413
1513692251,4332,4413
1513692970,4332,4413
1513693927,4331,4412
1513694407,4331,4412
1513694890,4331,4412
1513695365,4331,4412
1513695849,4332,4413
1513696357,4334,4415
1513696806,4333,4414
1513697289,4334,4415
1513697766,4333,4414
1513698251,4333,4414
1513698725,4334,4415
1513699219,4333,4414
1513699689,4332,4413
1513700171,4333,4414
1513700647,4335,4416
1513701130,4338,4419
1513704485,4337,4418
1513704969,4334,4415
1513705933,4337,4418
1513710019,4336,4417
1513710486,4337,4418
1513711933,4336,4417
1513712409,4342,4423
1513712886,4339,4420
1513713369,4342,4423
1513714807,4338,4419
1513715292,4340,4421
1513716007,4340,4421
1513716490,4339,4420
1513716966,4335,4416
1513717687,4339,4420
1513718172,4340,4421
1513718646,4338,4419
1513719133,4337,4418
1513719849,4339,4420
1513720326,4336,4417
1513721291,4337,4418
1513721772,4360,4441
1513722247,4359,4440
1513722730,4361,4442
1513723444,4360,4441
1513723930,4358,4439
1513724412,4357,4438
1513725127,4358,4439
1513725849,4358,4439
1513726329,4361,4442
1513727530,4358,4439
1513728021,4358,4439
1513728486,4360,4441
1513728970,4361,4442
1513729445,4361,4442
1513729930,4360,4441
1513730407,4361,4442
1513730888,4362,4443
1513731364,4359,4440
1513731849,4356,4437
1513732331,4359,4440
1513732806,4359,4440
1513733289,4355,4436
1513733767,4362,4443
1513734250,4361,4442
1513734729,4358,4439
1513735220,4360,4441
1513735687,4361,4442
1513736172,4362,4443
1513736644,4359,4440
1513737127,4358,4439
1513737605,4360,4441
1513738091,4358,4439
1513738568,4356,4437
1513739051,4358,4439
1513740032,4358,4439
1513740486,4359,4440
1513740971,4361,4442
1513741930,4358,4439
1513742419,4354,4435
1513742887,4359,4440
1513743370,4358,4439
1513743853,4356,4437
1513744329,4356,4437
1513744805,4356,4437
1513745289,4356,4437
1513745771,4358,4439
1513746249,4358,4439
1513746729,4357,4438
1513747206,4363,4445
1513748166,4363,4445
1513749126,4364,4446
1513751539,4342,4424
1513752005,4339,4420
1513752486,4337,4418
1513752966,4340,4421
1513753448,4338,4419
1513753931,4338,4419
1513754406,4339,4420
1513754886,4339,4420
1513755609,4336,4417
1513756091,4338,4419
1513756566,4340,4421
1513757048,4339,4420
1513757527,4337,4418
1513758009,4335,4416
1513758489,4339,4420
1513758967,4339,4420
1513759448,4339,4420
1513761066,4337,4418
1513761849,4339,4420
1513762571,4337,4418
1513763045,4335,4416
1513763525,4340,4421
1513764026,4339,4420
1513764490,4336,4417
1513764994,4339,4420
1513765444,4337,4418
1513765932,4338,4419
1513766645,4339,4420
1513767129,4339,4420
1513767617,4340,4421
1513768087,4338,4419
1513768565,4340,4421
1513769047,4341,4422
1513769531,4340,4421
1513770007,4340,4421
1513770487,4339,4420
1513770967,4340,4421
1513771447,4340,4421
1513771928,4338,4419
1513772421,4340,4421
1513773366,4338,4419
1513773850,4338,4419
1513774327,4340,4421
1513774816,4341,4422
1513775288,4337,4418
1513775768,4338,4419
1513776245,4340,4421
1513777204,4334,4415
1513777691,4337,4418
1513778165,4337,4418
1513778647,4339,4420
1513779125,4338,4419
1513780091,4340,4421
1513781049,4339,4420
1513781529,4361,4442
1513782019,4362,4443
1513782488,4360,4442
1513782970,4359,4441
1513783445,4359,4441
1513783955,4364,4446
1513784406,4363,4445
1513784886,4363,4445
1513785367,4365,4447
1513785851,4363,4445
1513786327,4362,4444
1513786807,4364,4446
1513787772,4362,4444
1513788249,4361,4443
1513788728,4365,4447
1513789220,4364,4446
1513789687,4370,4453
1513790410,4369,4452
1513790886,4370,4453
1513791366,4369,4452
1513791851,4370,4453
1513792326,4368,4451
1513793048,4368,4451
1513793525,4370,4453
1513795931,4374,4457
1513796888,4373,4456
1513797370,4370,4453
1513798091,4372,4455
1513798566,4371,4454
1513799055,4373,4456
1513799524,4373,4455
1513800011,4373,4456
1513800487,4372,4455
1513801206,4373,4456
1513802649,4373,4456
1513803615,4372,4455
1513804085,4373,4456
1513804570,4372,4455
1513805050,4373,4455
1513806004,4372,4454
1513807446,4369,4451
1513807931,4372,4454
1513808408,4372,4455
1513808888,4373,4456
1513809369,4368,4451
1513810091,4364,4446
1513811050,4362,4444
1513811531,4364,4446
1513816333,4363,4445
1513816807,4364,4446
1513817529,4363,4445
1513818015,4364,4446
1513818487,4363,4445
1513818970,4347,4429
1513819444,4340,4422
1513819927,4327,4409
1513820408,4324,4406
1513827621,4327,4409
1513839849,4328,4410
1513841771,4327,4409
1513842245,4328,4410
1513850887,4329,4411
1513871548,4330,4412
1513889047,4329,4411
1513915462,4332,4414
1513925290,4334,4416
1513959137,4344,4426
1513975446,4345,4427
1514002813,4346,4428
1514023446,4347,4429
1514061857,4348,4430
1514070732,4347,4429
1514071686,4348,4430
1514090434,4350,4432
1514095448,4349,4431
1514095926,4350,4432
1514113452,4351,4433
1514117300,4354,4436
1514118967,4357,4439
1514126406,4372,4454
1514126892,4373,4455
1514127367,4376,4458
1514128101,4375,4457
1514129049,4376,4458
1514129526,4375,4457
1514130005,4374,4456
1514130485,4375,4457
1514130972,4376,4458
1514131686,4362,4444
1514132170,4365,4447
1514132645,4361,4443
1514133132,4364,4446
1514133605,4363,4445
1514134113,4364,4446
1514134565,4364,4446
1514135054,4363,4445
1514135770,4366,4448
1514136972,4365,4447
1514137444,4362,4444
1514137925,4364,4446
1514138414,4362,4444
1514138891,4362,4444
1514140328,4366,4448
1514140807,4365,4447
1514141289,4366,4448
1514142252,4364,4446
1514142733,4365,4447
1514143447,4366,4448
1514144889,4365,4447
1514145368,4364,4446
1514145845,4365,4447
1514146329,4362,4444
1514147047,4364,4446
1514148005,4362,4444
1514148489,4367,4449
1514149456,4366,4448
1514149926,4365,4447
1514150683,4365,4447
1514151128,4363,4445
1514151609,4365,4447
1514152820,4365,4447
1514153529,4365,4447
1514154005,4363,4445
1514154488,4364,4446
1514154968,4363,4445
1514155448,4365,4447
1514155924,4364,4446
1514156419,4365,4447
1514156899,4366,4448
1514157847,4365,4447
1514158332,4366,4448
1514159771,4364,4446
1514160249,4365,4447
1514160726,4365,4447
1514161209,4367,4449
1514162648,4366,4448
1514163125,4367,4449
1514164087,4365,4447
1514164571,4364,4446
1514165532,4367,4449
1514166007,4366,4448
1514167453,4363,4445
1514167928,4365,4447
1514168410,4367,4449
1514168887,4363,4445
1514169367,4364,4446
1514169846,4364,4446
1514170810,4365,4447
1514171770,4364,4446
1514172245,4362,4444
1514172727,4363,4445
1514173208,4361,4443
1514174164,4363,4445
1514174646,4364,4446
1514175128,4363,4445
1514175613,4362,4444
1514177528,4360,4442
1514178038,4361,4443
1514178487,4361,4443
1514179446,4360,4442
1514180405,4361,4443
1514180895,4360,4442
1514190968,4361,4443
1514199126,4380,4462
1514200087,4378,4460
1514200566,4378,4460
1514201046,4380,4462
1514201530,4382,4464
1514202974,4379,4461
1514203699,4379,4461
1514204165,4379,4461
1514204658,4382,4464
1514205605,4380,4462
1514206088,4382,4464
1514206567,4379,4461
1514207049,4380,4462
1514207530,4381,4463
1514208005,4382,4464
1514208491,4376,4458
1514208967,4379,4461
1514209450,4381,4463
1514209925,4377,4459
1514210413,4382,4464
1514210891,4377,4459
1514211369,4376,4458
1514211846,4374,4456
1514212809,4369,4451
1514213286,4370,4452
1514213765,4370,4452
1514214729,4366,4448
1514215210,4367,4449
1514216169,4367,4449
1514216648,4369,4451
1514217129,4369,4451
1514218086,4371,4453
1514218814,4370,4452
1514219525,4369,4451
1514220009,4369,4451
1514220486,4371,4453
1514221725,4368,4450
1514222169,4369,4451
1514222648,4369,4451
1514223129,4372,4454
1514223604,4371,4453
1514224088,4372,4454
1514225046,4371,4453
1514225526,4372,4454
1514226005,4370,4452
1514226498,4372,4454
1514231764,4371,4453
1514232249,4372,4454
1514234648,4370,4452
1514236088,4369,4451
1514236570,4370,4452
1514240172,4369,4451
1514240645,4370,4452
1514241605,4369,4451
1514242094,4370,4452
1514244008,4369,4451
1514244490,4370,4452
1514250251,4368,4450
1514250725,4368,4450
1514251209,4364,4446
1514251687,4362,4444
1514265633,4363,4445
1514309547,4364,4446
1514316486,4363,4445
1514316970,4364,4446
1514321045,4363,4445
1514339529,4362,4444
1514340736,4363,4445
1514353468,4365,4447
1514373371,4364,4446
1514407454,4365,4447
1514441787,4367,4449
1514474406,4369,4451
1514485467,4372,4454
1514493848,4370,4452
1514509448,4369,4451
1514580248,4371,4453
1514616999,4372,4454
1514623933,4373,4455
1514660919,4374,4456
1514666887,4371,4453
1514672890,4389,4471
1514673367,4391,4473
1514673850,4392,4474
1514674822,4391,4473
1514675292,4392,4474
1514675770,4391,4473
1514676246,4392,4474
1514677687,4389,4471
1514678165,4392,4474
1514678655,4391,4473
1514679125,4391,4473
1514679608,4391,4473
1514680087,4392,4474
1514680570,4392,4474
1514681526,4391,4473
1514682015,4392,4474
1514682489,4392,4474
1514682969,4400,4482
1514683447,4411,4495
1514683930,4422,4506
1514684406,4428,4512
1514684884,4432,4516
1514685366,4440,4524
1514685846,4441,4525
1514686330,4443,4527
1514687532,4442,4526
1514688006,4443,4527
1514691370,4440,4524
1514691845,4443,4527
1514693526,4442,4526
1514695206,4443,4527
1514696888,4442,4526
1514697371,4442,4526
1514697845,4443,4527
1514700727,4442,4526
1514701211,4442,4526
1514701690,4443,4527
1514703852,4442,4526
1514704328,4443,4527
1514704836,4442,4525
1514705289,4443,4527
1514705766,4441,4525
1514706248,4443,4527
1514712073,4442,4526
1514712490,4443,4527
1514713927,4442,4526
1514714417,4443,4527
1514714887,4440,4524
1514715370,4443,4527
1514716392,4442,4526
1514716805,4443,4527
1514718247,4442,4526
1514718731,4443,4526
1514719211,4442,4525
